880387 家用电器 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2005/06/07	155.39	160.84	154.21	156.31	450047	190002880.00
2005/06/08	155.87	169.61	155.62	168.01	1182101	474674528.00
2005/06/09	167.93	172.48	164.25	170.23	1293332	528273216.00
2005/06/10	169.86	172.50	165.08	167.04	1237763	449488352.00
2005/06/13	167.38	170.20	163.93	167.85	603655	246552848.00
2005/06/14	167.58	169.31	162.08	162.68	561531	228038880.00
2005/06/15	162.14	163.06	158.01	159.28	396362	153511104.00
2005/06/16	158.56	161.67	157.46	161.11	281413	116649968.00
2005/06/17	161.81	164.26	159.71	161.28	345648	157224976.00
2005/06/20	161.33	165.38	158.26	164.97	402751	202180272.00
2005/06/21	165.33	166.67	161.98	163.43	465349	205079408.00
2005/06/22	163.59	166.33	162.05	164.62	347390	155574704.00
2005/06/23	164.43	165.59	161.21	162.06	335595	147323200.00
2005/06/24	161.27	162.95	159.55	162.07	255779	109022952.00
2005/06/27	162.96	168.40	162.89	166.39	644314	293866144.00
2005/06/28	165.96	166.74	162.57	163.86	534380	266573952.00
2005/06/29	163.22	164.69	161.52	162.28	313523	143528720.00
2005/06/30	161.78	163.03	157.36	158.10	469538	181361376.00
2005/07/01	156.42	158.42	150.84	152.35	632946	255811152.00
2005/07/04	151.50	153.03	146.35	151.20	440096	156397296.00
2005/07/05	151.39	152.76	148.77	150.19	342526	152396800.00
2005/07/06	150.42	152.35	147.34	149.27	249907	104522216.00
2005/07/07	149.05	151.30	147.04	149.56	336085	116410464.00
2005/07/08	148.78	149.30	143.36	145.15	440681	141755584.00
2005/07/11	145.64	150.75	143.90	145.09	453590	148324176.00
2005/07/12	144.82	150.79	143.43	149.83	529083	194427632.00
2005/07/13	149.79	151.64	147.16	149.57	533570	174931792.00
2005/07/14	148.17	150.25	146.20	148.12	456639	174472432.00
2005/07/15	148.21	149.34	143.36	144.46	360664	149997552.00
2005/07/18	144.13	145.63	140.00	142.02	314749	101018400.00
2005/07/19	142.01	144.37	140.22	142.41	230265	79628456.00
2005/07/20	142.46	144.94	140.67	143.14	375566	111354552.00
2005/07/21	143.12	144.67	140.65	143.28	295450	103223864.00
2005/07/22	142.70	146.81	139.88	143.73	649288	247725680.00
2005/07/25	143.00	143.58	138.31	139.66	464464	167965856.00
2005/07/26	139.31	143.41	138.09	142.53	671378	227424432.00
2005/07/27	142.54	147.75	141.90	147.19	706320	234704368.00
2005/07/28	147.20	149.87	144.86	146.86	747249	268049264.00
2005/07/29	146.53	148.39	144.85	146.59	408272	142914032.00
2005/08/01	146.47	148.91	145.56	147.74	326871	135125232.00
2005/08/02	148.16	150.82	145.94	149.99	707226	234634368.00
2005/08/03	150.23	155.05	148.88	151.79	1065532	375103264.00
2005/08/04	151.27	152.41	148.82	150.43	536272	206261376.00
2005/08/05	150.27	153.64	149.09	152.34	674801	282097792.00
2005/08/08	153.61	156.97	151.92	154.56	1081648	463011040.00
2005/08/09	154.37	156.99	151.81	156.29	796622	311550016.00
2005/08/10	156.34	158.64	153.90	157.30	834684	362555584.00
2005/08/11	157.46	160.46	155.63	158.94	940521	417527264.00
2005/08/12	159.19	162.53	154.79	155.97	1076759	458002400.00
2005/08/15	155.71	159.49	154.46	159.04	731133	315390656.00
2005/08/16	159.56	163.19	157.59	160.43	1128316	449567072.00
2005/08/17	160.26	164.65	158.03	163.74	1095162	480530688.00
2005/08/18	166.52	169.29	156.82	158.34	1421807	611957696.00
2005/08/19	157.94	161.48	153.86	157.33	865772	365321824.00
2005/08/22	156.73	160.15	155.25	158.11	464946	192802064.00
2005/08/23	158.10	159.13	153.79	155.61	490036	194554240.00
2005/08/24	155.77	159.39	154.40	157.74	501349	214536576.00
2005/08/25	157.73	159.53	154.95	157.76	591873	230250864.00
2005/08/26	157.72	159.57	155.86	158.08	490913	184636496.00
2005/08/29	158.16	159.50	155.39	157.16	501343	181078576.00
2005/08/30	156.87	159.07	155.21	157.05	523897	200884016.00
2005/08/31	157.05	159.45	154.50	158.64	997153	320394272.00
2005/09/01	158.84	163.22	157.17	162.01	1166620	423633440.00
2005/09/02	162.19	164.16	160.10	162.82	841945	327328288.00
