880399 家居用品 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2005/06/07	277.28	284.83	273.52	275.64	26730	13429384.00
2005/06/08	277.59	297.92	274.07	296.63	50723	24623540.00
2005/06/09	294.89	303.23	288.29	295.51	42353	21838740.00
2005/06/10	295.07	295.99	287.24	289.56	22094	11273238.00
2005/06/13	289.93	294.74	284.61	290.72	12839	6126063.50
2005/06/14	291.88	297.60	284.17	287.00	16859	8220183.00
2005/06/15	286.29	287.76	275.25	278.47	29955	21303752.00
2005/06/16	279.16	285.75	273.75	284.13	41249	31286932.00
2005/06/17	284.98	287.52	275.55	279.40	30033	21628256.00
2005/06/20	278.42	291.03	270.91	290.33	77325	61249872.00
2005/06/21	288.50	295.58	284.43	291.11	83245	66046616.00
2005/06/22	288.69	295.93	284.59	292.34	83381	68605568.00
2005/06/23	291.75	294.47	284.79	286.92	54392	45880484.00
2005/06/24	285.24	291.12	284.39	290.30	36046	25745290.00
2005/06/27	294.29	305.90	292.48	301.62	109611	92682400.00
2005/06/28	299.54	301.21	291.86	295.53	59587	48630664.00
2005/06/29	296.13	302.40	292.32	294.54	69841	56717944.00
2005/06/30	293.39	295.68	284.06	286.53	37187	28219692.00
2005/07/01	291.08	293.12	278.49	282.71	31998	23037212.00
2005/07/04	279.32	284.22	274.46	282.19	29548	20120900.00
2005/07/05	282.08	285.99	275.49	279.70	52697	41288660.00
2005/07/06	281.21	284.65	275.25	278.04	48049	34595776.00
2005/07/07	276.12	280.29	273.87	277.97	26366	20699236.00
2005/07/08	276.19	277.09	265.77	268.48	36898	24376520.00
2005/07/11	271.31	280.16	261.84	264.66	36882	24654152.00
2005/07/12	262.20	276.24	259.97	274.51	44992	31591752.00
2005/07/13	273.70	275.67	267.38	271.74	34690	25604340.00
2005/07/14	271.15	276.26	269.21	272.14	26013	15512922.00
2005/07/15	273.25	277.46	268.70	271.36	39635	21674374.00
2005/07/18	267.61	271.69	263.25	265.98	19209	10791201.00
2005/07/19	266.83	270.42	261.38	266.84	23185	12729044.00
2005/07/20	264.52	271.42	263.59	268.55	19465	11184932.00
2005/07/21	268.53	273.06	264.30	270.68	26126	13259096.00
2005/07/22	270.06	281.82	263.69	273.81	68995	43788324.00
2005/07/25	269.96	273.46	265.09	269.69	26520	16947700.00
2005/07/26	270.42	279.33	269.48	275.72	48454	27577456.00
2005/07/27	274.72	280.29	272.64	278.94	38942	24915312.00
2005/07/28	281.09	282.21	276.25	278.02	40587	26758782.00
2005/07/29	278.14	281.14	275.48	277.65	28652	14838772.00
2005/08/01	277.96	284.67	275.45	283.47	49923	26351744.00
2005/08/02	284.63	289.75	280.31	287.88	48145	28093406.00
2005/08/03	288.57	292.09	284.78	286.33	55805	33246732.00
2005/08/04	284.13	288.43	279.78	282.23	47894	26980084.00
2005/08/05	283.36	291.53	282.88	290.29	86666	56825336.00
2005/08/08	293.80	300.20	288.67	296.88	115306	78620768.00
2005/08/09	296.06	301.52	292.06	297.96	80172	50568212.00
2005/08/10	297.80	303.30	293.00	301.23	75667	46304248.00
2005/08/11	301.38	308.32	296.94	302.70	100232	63848968.00
