880437 通用机械 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2005/06/07	164.19	168.04	161.95	164.01	217548	95271584.00
2005/06/08	164.23	177.97	163.39	176.11	504347	203625168.00
2005/06/09	176.50	182.02	172.61	178.30	536805	231942496.00
2005/06/10	177.99	179.91	171.87	174.75	379346	187846560.00
2005/06/13	174.80	178.06	170.98	175.05	232813	118697296.00
2005/06/14	175.16	178.25	170.26	172.00	288334	127100792.00
2005/06/15	171.04	172.87	165.80	169.04	227672	95309312.00
2005/06/16	169.00	171.28	165.68	169.34	181019	88052184.00
2005/06/17	170.00	172.15	166.09	167.98	166847	88131824.00
2005/06/20	168.10	173.93	164.19	173.23	264671	155494272.00
2005/06/21	173.40	176.06	170.46	172.60	288004	197413056.00
2005/06/22	172.40	175.80	169.86	173.75	283912	195462016.00
2005/06/23	173.83	175.81	170.33	171.50	306860	171214544.00
2005/06/24	171.07	173.63	168.84	172.50	213917	125464376.00
2005/06/27	173.99	179.97	173.35	177.80	431996	262093280.00
2005/06/28	176.30	177.06	172.19	173.60	218863	138087648.00
2005/06/29	173.24	176.04	170.68	172.43	211134	124366576.00
2005/06/30	171.97	173.87	167.02	168.42	275164	139814656.00
2005/07/01	168.03	169.62	160.18	161.94	255335	126747208.00
2005/07/04	160.97	163.61	156.14	161.05	191087	96422976.00
2005/07/05	160.20	162.83	158.20	160.07	140910	80459960.00
2005/07/06	161.48	163.53	156.92	159.10	225263	94773944.00
2005/07/07	159.08	161.44	156.80	159.50	184443	75844360.00
2005/07/08	158.35	159.38	152.31	153.67	208981	84282920.00
2005/07/11	155.48	160.65	151.14	152.56	186281	87787312.00
2005/07/12	152.18	160.19	150.23	158.42	317531	146504848.00
2005/07/13	157.91	160.42	155.01	157.82	286387	118530880.00
2005/07/14	157.48	161.10	155.53	157.84	185615	76470040.00
2005/07/15	158.01	159.95	152.32	154.96	250182	96634904.00
2005/07/18	154.19	156.25	149.25	151.07	166542	65101264.00
2005/07/19	150.23	153.98	147.90	151.38	157829	61775780.00
2005/07/20	150.95	153.45	149.15	151.34	143461	64240408.00
2005/07/21	151.60	153.44	147.75	150.88	147416	68484344.00
2005/07/22	151.62	156.51	148.62	153.25	313019	142953056.00
2005/07/25	152.72	154.18	148.74	150.61	197458	102382128.00
2005/07/26	150.17	155.13	148.74	153.71	310017	145361328.00
2005/07/27	153.95	159.17	152.11	158.16	336250	152737440.00
2005/07/28	158.98	161.95	156.15	158.78	417807	182080816.00
2005/07/29	158.04	160.66	154.34	158.01	316825	131276080.00
2005/08/01	157.60	161.61	155.66	159.42	338896	174439024.00
2005/08/02	159.23	163.47	157.17	162.04	375065	168945040.00
2005/08/03	162.42	166.62	160.54	163.43	485933	208265872.00
2005/08/04	162.88	164.56	159.18	161.08	300185	137841232.00
2005/08/05	161.04	166.80	160.13	166.10	483928	230719824.00
2005/08/08	167.95	172.01	165.32	169.02	617813	302315168.00
2005/08/09	168.63	172.64	166.12	171.52	458967	213259872.00
2005/08/10	171.48	174.42	168.26	173.24	501854	214352896.00
2005/08/11	173.24	178.72	170.77	176.29	626919	297452256.00
