880464 仓储物流 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2005/06/07	189.79	196.04	188.62	190.53	45062	13325888.00
2005/06/08	190.61	207.84	189.53	207.36	93430	29945288.00
2005/06/09	206.90	214.20	203.80	210.51	119332	41095592.00
2005/06/10	209.64	213.20	202.66	204.51	70811	23974720.00
2005/06/13	204.15	208.70	202.25	205.02	42727	13228958.00
2005/06/14	206.48	217.53	201.23	210.50	113554	35198504.00
2005/06/15	208.33	210.43	198.77	201.12	52369	16264409.00
2005/06/16	201.55	202.67	191.40	196.82	41399	12037298.00
2005/06/17	197.48	200.99	193.80	195.07	25097	7484881.00
2005/06/20	195.03	201.72	187.71	200.15	36226	10983324.00
2005/06/21	199.90	201.16	194.37	196.58	24243	7412642.00
2005/06/22	195.11	198.09	193.58	197.02	13478	4245694.00
2005/06/23	200.38	201.00	195.04	197.22	55374	19769008.00
2005/06/24	194.55	197.17	191.20	196.96	20277	6627317.00
2005/06/27	200.12	204.67	198.59	201.34	40765	13133270.00
2005/06/28	200.77	202.15	196.03	198.56	23303	7614442.00
2005/06/29	198.25	200.65	196.80	198.32	20785	6724245.00
2005/06/30	194.73	197.58	186.49	189.20	43451	13843908.00
2005/07/01	185.00	188.32	177.93	179.05	46050	13666479.00
2005/07/04	181.04	188.80	170.71	182.85	63400	17187728.00
2005/07/05	182.95	192.87	180.95	188.98	85317	24281550.00
2005/07/06	189.22	192.93	187.04	190.71	73947	21507620.00
2005/07/07	190.07	195.59	188.26	193.08	64558	18761620.00
2005/07/08	191.99	193.36	183.96	189.14	66808	19173328.00
2005/07/11	189.50	196.98	187.72	191.53	73293	21051858.00
2005/07/12	193.01	204.23	189.88	202.44	156812	46569272.00
2005/07/13	200.86	202.93	187.11	193.44	153801	45754064.00
2005/07/14	190.21	193.81	186.15	191.74	65273	18798756.00
2005/07/15	189.99	192.40	183.44	188.50	41207	11678282.00
2005/07/18	187.51	188.99	176.35	178.61	38906	10736183.00
2005/07/19	177.37	183.25	171.95	182.10	42310	11384837.00
2005/07/20	181.81	184.98	178.66	181.85	28178	7631069.00
2005/07/21	180.26	181.90	175.58	179.38	23675	6339594.00
2005/07/22	178.72	189.75	177.26	185.88	59237	16443936.00
2005/07/25	185.96	189.97	183.23	189.39	37544	10773725.00
2005/07/26	189.67	194.55	187.49	192.21	70662	20354578.00
2005/07/27	193.09	195.92	189.33	195.31	69970	20250504.00
2005/07/28	194.80	196.67	189.45	191.22	63485	18430220.00
2005/07/29	191.02	192.46	190.00	191.49	18665	5293824.00
2005/08/01	192.44	195.99	187.91	193.76	43186	12516554.00
2005/08/02	192.75	195.76	190.20	194.82	40795	11785852.00
2005/08/03	196.07	204.28	195.42	198.11	113623	33944880.00
2005/08/04	197.77	202.02	194.96	196.38	64517	20075346.00
2005/08/05	196.40	202.28	195.09	201.15	64049	19488916.00
2005/08/08	200.73	206.25	199.52	203.80	74262	22713304.00
2005/08/09	204.79	214.45	200.73	211.38	99750	31037432.00
2005/08/10	211.63	214.60	205.90	212.24	100086	31597200.00
2005/08/11	210.65	217.18	208.06	214.49	102474	32678848.00
2005/08/12	215.58	219.51	205.29	207.35	99213	31482402.00
2005/08/15	206.28	212.61	204.27	211.11	52054	16320315.00
2005/08/16	212.30	221.59	210.00	218.70	121682	40217312.00
2005/08/17	217.75	225.13	212.88	222.95	117224	39724892.00
2005/08/18	223.48	228.53	208.09	209.74	124060	41939788.00
2005/08/19	207.74	216.37	203.48	211.34	96702	31610500.00
2005/08/22	211.50	216.14	207.82	212.68	47446	15827730.00
