399300 沪深300 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/01/02	4045.21	4087.78	4045.21	4087.40	146935440	178402033664.00
2018/01/03	4091.46	4140.05	4088.73	4111.39	151852224	205726892032.00
2018/01/04	4114.12	4137.64	4105.89	4128.81	134543792	174523564032.00
2018/01/05	4133.34	4151.28	4123.28	4138.75	149009872	185206292480.00
2018/01/08	4140.85	4166.32	4127.31	4160.16	173877664	226403876864.00
2018/01/09	4157.54	4191.28	4153.50	4189.30	139034288	181975072768.00
2018/01/10	4187.20	4211.05	4175.14	4207.81	151121664	194850258944.00
2018/01/11	4197.11	4211.80	4181.96	4205.59	121578536	170407313408.00
2018/01/12	4205.14	4227.39	4199.02	4225.00	111354792	157606215680.00
2018/01/15	4229.84	4262.93	4216.36	4225.24	170907904	234986586112.00
2018/01/16	4215.62	4260.21	4213.13	4258.47	161494960	228271226880.00
2018/01/17	4261.78	4283.34	4230.54	4248.12	214311040	284554362880.00
2018/01/18	4259.38	4292.64	4246.68	4271.42	172032848	225289682944.00
2018/01/19	4281.94	4316.57	4269.62	4285.40	209490576	258554724352.00
2018/01/22	4276.48	4338.48	4275.90	4336.60	174643200	233960226816.00
2018/01/23	4346.89	4383.57	4346.79	4382.61	201867584	257113358336.00
2018/01/24	4389.45	4397.82	4349.09	4389.89	219818896	284470804480.00
2018/01/25	4381.98	4392.20	4336.24	4365.08	195374944	250308083712.00
2018/01/26	4352.22	4403.34	4351.49	4381.30	177227232	223331303424.00
2018/01/29	4387.06	4395.91	4287.11	4302.02	191100352	256176324608.00
2018/01/30	4286.68	4308.51	4251.57	4256.10	139034736	186650558464.00
2018/01/31	4234.11	4287.86	4232.77	4275.90	145210160	194401796096.00
2018/02/01	4276.34	4287.39	4214.29	4245.90	190002928	239230304256.00
2018/02/02	4213.94	4271.76	4181.78	4271.23	146066832	191169871872.00
2018/02/05	4204.46	4274.15	4200.14	4274.15	161347792	217360138240.00
2018/02/06	4182.33	4211.52	4131.56	4148.89	214910448	279415095296.00
2018/02/07	4205.74	4212.57	4048.42	4050.50	203127488	261507022848.00
2018/02/08	4022.88	4071.67	3974.68	4012.05	159269984	199061766144.00
2018/02/09	3896.17	3911.29	3759.15	3840.65	206349824	246774824960.00
2018/02/12	3846.27	3907.84	3828.07	3890.10	116182640	149858041856.00
2018/02/13	3925.60	3986.98	3925.60	3935.63	112565888	144479354880.00
2018/02/14	3945.09	3971.40	3923.13	3966.96	71081336	93110198272.00
2018/02/22	4020.97	4058.79	4009.92	4052.73	105811568	138334355456.00
2018/02/23	4061.75	4085.20	4035.23	4071.09	99458744	128195837952.00
2018/02/26	4093.40	4128.74	4048.98	4118.42	137881008	179013091328.00
2018/02/27	4120.87	4120.87	4051.81	4058.98	125934472	169684893696.00
2018/02/28	4016.79	4051.71	3991.71	4023.64	109343592	152493916160.00
2018/03/01	3994.87	4061.03	3986.89	4049.09	110199856	146003460096.00
2018/03/02	4014.95	4044.42	4006.94	4016.46	96165000	130931179520.00
2018/03/05	4021.66	4042.83	3995.87	4018.10	87952544	118197862400.00
2018/03/06	4034.99	4067.55	3998.93	4066.56	138762448	171370659840.00
2018/03/07	4063.50	4089.70	4027.94	4036.65	106952424	136572305408.00
2018/03/08	4038.95	4078.23	4029.71	4077.60	91155808	123634638848.00
2018/03/09	4088.07	4110.67	4076.45	4108.87	113701808	150024126464.00
2018/03/12	4130.71	4139.53	4112.77	4127.67	140906736	190367596544.00
2018/03/13	4124.33	4130.28	4087.56	4091.25	111766432	141174161408.00
2018/03/14	4076.06	4089.09	4066.49	4073.34	99013408	131537960960.00
2018/03/15	4058.71	4098.99	4058.71	4096.16	88161152	126882455552.00
2018/03/16	4096.89	4110.04	4055.82	4056.42	84896192	122125344768.00
2018/03/19	4054.62	4074.52	4033.52	4074.25	81502880	118183813120.00
2018/03/20	4045.74	4080.19	4040.31	4077.70	80605280	111980232704.00
2018/03/21	4097.02	4110.12	4046.24	4061.05	97609488	139330404352.00
2018/03/22	4062.07	4072.38	4003.72	4020.35	89095256	127664340992.00
2018/03/23	3896.74	3928.51	3834.94	3904.94	180080448	218905034752.00
2018/03/26	3862.69	3883.90	3829.92	3879.89	115139128	156604530688.00
2018/03/27	3927.49	3936.78	3881.87	3913.27	113700712	162291548160.00
2018/03/28	3865.05	3907.28	3835.88	3842.72	101494912	155848949760.00
2018/03/29	3854.59	3913.96	3794.26	3894.05	116629064	164996775936.00
2018/03/30	3893.75	3915.35	3879.21	3898.50	97512272	137959276544.00
2018/04/02	3897.01	3937.02	3882.89	3886.92	111242664	159356076032.00
2018/04/03	3850.15	3878.15	3839.93	3862.48	95137368	132049936384.00
2018/04/04	3873.63	3898.61	3852.50	3854.86	88730608	131593068544.00
2018/04/09	3851.95	3870.67	3827.41	3852.93	84105464	118167273472.00
2018/04/10	3860.72	3927.42	3851.80	3927.17	106173720	137941303296.00
2018/04/11	3934.17	3958.71	3924.96	3938.34	111933024	139989286912.00
2018/04/12	3935.67	3937.78	3896.18	3898.64	82699488	108075565056.00
2018/04/13	3920.74	3929.95	3866.19	3871.14	71544200	98921824256.00
2018/04/16	3862.47	3869.16	3789.61	3808.86	99217768	131566870528.00
2018/04/17	3812.87	3822.63	3745.44	3748.64	90610792	126518755328.00
2018/04/18	3785.31	3789.66	3708.11	3766.28	106676704	143077670912.00
2018/04/19	3774.78	3824.03	3767.80	3811.84	99054064	127520120832.00
2018/04/20	3801.21	3815.44	3750.10	3760.85	99282928	123550662656.00
2018/04/23	3754.69	3787.40	3735.18	3766.33	90356288	111763030016.00
2018/04/24	3769.88	3854.43	3769.88	3843.49	114219528	145700519936.00
2018/04/25	3824.59	3838.69	3817.03	3828.70	78172608	105750446080.00
2018/04/26	3823.39	3828.71	3744.89	3755.49	87150640	125772308480.00
2018/04/27	3771.04	3776.98	3714.64	3756.88	89531728	142113619968.00
2018/05/02	3769.93	3787.30	3744.55	3763.65	83301032	120083480576.00
2018/05/03	3756.17	3797.53	3732.37	3793.00	93961120	122740170752.00
2018/05/04	3784.32	3801.52	3770.94	3774.60	71554288	98315255808.00
2018/05/07	3782.54	3834.59	3776.03	3834.19	87286192	126354800640.00
2018/05/08	3834.61	3892.07	3833.73	3878.68	94215160	135445864448.00
2018/05/09	3876.13	3878.94	3855.74	3871.62	66712968	92322897920.00
2018/05/10	3882.84	3894.49	3867.31	3893.06	70667808	103255138304.00
2018/05/11	3902.15	3903.34	3871.95	3872.84	73356608	107715461120.00
2018/05/14	3886.87	3919.30	3886.87	3909.29	81976000	122520051712.00
2018/05/15	3920.14	3924.34	3892.92	3924.10	76049552	106091905024.00
2018/05/16	3909.82	3923.34	3889.19	3892.84	71913648	106533928960.00
2018/05/17	3895.49	3899.51	3858.85	3864.05	59030124	87104167936.00
2018/05/18	3860.16	3903.06	3841.90	3903.06	72613952	96823853056.00
2018/05/21	3925.54	3937.46	3913.60	3921.24	92641736	120528723968.00
2018/05/22	3918.82	3918.82	3881.17	3906.21	75368776	102883344384.00
2018/05/23	3898.27	3898.27	3854.58	3854.58	83722320	110684504064.00
2018/05/24	3853.29	3859.10	3823.92	3827.22	68345024	93408223232.00
2018/05/25	3823.74	3841.12	3804.14	3816.50	70836384	95667544064.00
2018/05/28	3816.26	3846.55	3799.32	3833.26	71521136	100001636352.00
2018/05/29	3824.19	3841.78	3800.67	3804.01	81552664	117288583168.00
2018/05/30	3755.18	3767.89	3722.07	3723.37	87913288	115858972672.00
2018/05/31	3749.30	3804.79	3742.53	3802.38	92666896	130545418240.00
2018/06/01	3789.67	3802.54	3753.84	3770.59	77821816	105934864384.00
2018/06/04	3785.19	3813.41	3776.62	3807.58	76624344	115146465280.00
2018/06/05	3811.29	3845.56	3800.93	3845.32	78687360	121261465600.00
2018/06/06	3839.68	3848.33	3830.90	3837.35	73117240	107142045696.00
2018/06/07	3846.94	3859.85	3827.69	3831.01	80256144	112365707264.00
2018/06/08	3819.45	3819.46	3759.27	3779.62	83337336	107818795008.00
2018/06/11	3770.21	3792.55	3756.51	3779.98	68709832	105597927424.00
2018/06/12	3783.19	3830.47	3765.26	3825.95	73206240	116217143296.00
2018/06/13	3814.62	3817.45	3782.07	3788.34	66377968	97185497088.00
2018/06/14	3774.64	3808.16	3759.25	3773.37	68471320	99234013184.00
2018/06/15	3763.04	3780.34	3737.43	3753.43	85488896	109534904320.00
2018/06/19	3702.67	3712.82	3583.02	3621.12	160706544	193848803328.00
2018/06/20	3602.55	3649.34	3578.17	3635.44	86718096	112804814848.00
2018/06/21	3633.56	3673.56	3589.49	3592.97	93908552	115584147456.00
2018/06/22	3567.89	3609.08	3542.46	3608.90	75117864	89687285760.00
2018/06/25	3625.80	3631.03	3559.03	3560.48	79877080	106690347008.00
2018/06/26	3521.59	3541.78	3478.21	3531.11	84985272	108132163584.00
2018/06/27	3525.13	3537.66	3441.78	3459.26	81491816	107628896256.00
2018/06/28	3434.94	3477.06	3416.95	3423.53	75918048	98570526720.00
