600025 华能水电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/12/15	2.55	3.07	2.55	3.07	3242494	10068969.00
2017/12/18	3.38	3.38	3.38	3.38	1923883	6598918.50
2017/12/19	3.72	3.72	3.72	3.72	2368529	8929354.00
2017/12/20	4.10	4.10	4.10	4.10	3927349	16298498.00
2017/12/21	4.52	4.52	4.23	4.52	754467875	3381054976.00
2017/12/22	4.55	4.98	4.52	4.98	404553755	1933577600.00
2017/12/25	5.42	5.48	4.96	5.00	891008394	4711083008.00
2017/12/26	5.09	5.51	4.96	5.51	601921738	3198402304.00
2017/12/27	5.74	6.07	5.66	6.07	807041052	4833708032.00
2017/12/28	6.06	6.06	5.70	5.83	622355235	3674795520.00
2017/12/29	5.55	5.62	5.24	5.25	578188774	3103801856.00
2018/01/02	5.16	5.44	5.12	5.29	346440422	1847257088.00
2018/01/03	5.20	5.28	5.08	5.22	315443702	1653315072.00
2018/01/04	5.12	5.37	4.97	5.30	525425549	2744447232.00
2018/01/05	5.22	5.34	5.15	5.17	275383490	1453642496.00
2018/01/08	5.08	5.18	5.05	5.13	221018700	1136866816.00
2018/01/09	5.13	5.19	5.05	5.07	188853833	974376000.00
2018/01/10	5.02	5.05	4.86	4.91	268449181	1341450240.00
2018/01/11	4.87	5.04	4.76	4.92	225287606	1119393152.00
2018/01/12	4.91	4.92	4.76	4.77	204350099	994597568.00
2018/01/15	4.71	4.71	4.48	4.52	203351226	941727424.00
2018/01/16	4.49	4.98	4.45	4.98	395792153	1960494336.00
2018/01/17	5.23	5.40	5.05	5.11	548478266	2897082112.00
2018/01/18	4.98	5.13	4.81	5.00	283594868	1415170048.00
2018/01/19	4.93	5.13	4.87	4.95	190817077	964069888.00
2018/01/22	4.90	4.90	4.76	4.84	147959385	722717568.00
2018/01/23	4.79	4.89	4.79	4.87	119723472	583765376.00
2018/01/24	4.90	5.02	4.81	4.88	150490567	746469824.00
2018/01/25	4.84	4.90	4.78	4.82	131454007	641572864.00
2018/01/26	4.78	4.84	4.77	4.78	96941673	468846432.00
2018/01/29	4.81	4.90	4.78	4.82	120648549	587471296.00
2018/01/30	4.88	4.90	4.80	4.86	127520211	625012352.00
2018/01/31	4.81	4.84	4.60	4.66	140008035	665785344.00
2018/02/01	4.68	4.69	4.47	4.52	115500037	532413056.00
2018/02/02	4.51	4.69	4.31	4.57	102610646	470623040.00
2018/02/05	4.45	4.52	4.40	4.47	70714678	319992416.00
2018/02/06	4.37	4.42	4.15	4.16	116290313	506800512.00
2018/02/07	4.25	4.32	4.05	4.20	90435825	384538720.00
2018/02/08	4.16	4.22	4.15	4.19	62267425	263843504.00
2018/02/09	4.08	4.08	3.87	3.91	107172090	430619296.00
2018/02/12	3.96	4.00	3.93	3.98	53352202	214601808.00
2018/02/13	4.00	4.04	3.96	3.97	54858262	222118000.00
2018/02/14	3.98	3.99	3.93	3.95	37176863	148661504.00
2018/02/22	3.98	4.04	3.96	4.02	53306045	216134448.00
