600051 宁波联合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.96	4.07	3.92	4.03	241200	1945470.00
2000/01/05	4.04	4.19	4.03	4.06	239600	1966565.00
2000/01/06	4.03	4.22	3.85	4.22	464400	3784137.00
2000/01/07	4.25	4.51	4.25	4.46	801100	6853090.00
2000/01/10	4.53	4.56	4.30	4.48	795300	6828773.00
2000/01/11	4.40	4.45	4.12	4.15	504000	4270458.00
2000/01/12	4.15	4.33	4.02	4.02	430600	3535636.00
2000/01/13	4.00	4.03	3.88	3.89	257800	2069858.00
2000/01/14	3.90	4.02	3.88	3.91	186200	1479818.00
2000/01/17	3.92	4.03	3.83	3.99	295800	2332088.00
2000/01/18	4.00	4.04	3.88	3.88	223100	1777366.00
2000/01/19	3.88	3.94	3.83	3.88	287200	2268811.00
2000/01/20	3.98	3.98	3.85	3.96	297600	2358504.00
2000/01/21	4.03	4.03	3.81	3.88	462800	3652444.00
2000/01/24	3.88	3.88	3.66	3.73	676800	5185354.00
2000/01/25	3.73	3.88	3.73	3.85	346700	2703520.00
2000/01/26	3.84	3.94	3.79	3.94	299300	2354331.00
2000/01/27	3.98	3.98	3.81	3.82	742000	5815108.00
2000/01/28	3.87	3.88	3.73	3.83	836900	6487629.00
2000/02/14	4.00	4.42	4.00	4.42	1333400	11292327.00
2000/02/15	4.63	5.07	4.49	4.57	2523200	23015722.00
2000/02/16	4.53	4.75	4.41	4.72	1631200	14474398.00
2000/02/17	4.81	5.06	4.27	4.38	1885200	16808260.00
2000/02/18	4.34	4.34	4.10	4.31	933700	7807505.00
2000/02/21	4.31	4.95	4.10	4.95	2794700	24926356.00
2000/02/22	5.06	5.07	4.50	4.54	1832300	16569212.00
2000/02/23	4.40	4.56	4.34	4.44	689400	5951984.00
2000/02/24	4.46	4.70	4.45	4.64	793100	6985828.00
2000/02/25	4.64	5.17	4.58	4.92	3257800	30347740.00
2000/02/28	5.02	5.46	4.95	5.32	4523300	44160216.00
2000/02/29	5.32	5.40	4.98	5.13	2003300	19069856.00
2000/03/01	5.15	5.38	5.02	5.02	1394100	13321360.00
2000/03/02	5.02	5.09	4.88	5.00	1079500	10058670.00
2000/03/03	5.06	5.14	4.98	5.02	1353200	12763327.00
2000/03/06	5.02	5.14	4.68	4.69	1610800	14763011.00
2000/03/07	4.60	4.68	4.57	4.63	721900	6392668.00
2000/03/08	4.68	4.78	4.60	4.77	561700	5032651.00
2000/03/09	4.79	4.82	4.64	4.64	580500	5206017.00
2000/03/10	4.69	4.69	4.49	4.50	759200	6661790.00
2000/03/13	4.50	4.76	4.49	4.72	560400	5002027.00
2000/03/14	4.72	4.81	4.49	4.80	744200	6612047.00
2000/03/15	4.83	5.16	4.83	4.95	1678100	15765876.00
2000/03/16	4.95	5.13	4.81	5.03	3069700	28911318.00
2000/03/17	5.17	5.40	5.06	5.23	3284900	31764064.00
2000/03/20	5.28	5.91	5.28	5.70	6617000	67931792.00
2000/03/21	5.84	5.97	5.49	5.70	5932800	61397140.00
2000/03/22	5.69	5.85	5.52	5.76	3344400	34483412.00
2000/03/23	5.78	5.85	5.54	5.71	2402600	24625200.00
2000/03/24	5.48	5.72	5.35	5.36	3408900	34028068.00
2000/03/27	5.29	5.70	5.19	5.70	3666200	36482688.00
