600060 海信电器 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	1.59	1.65	1.54	1.65	683400	7509107.00
2000/01/05	1.65	1.67	1.59	1.59	775500	8617582.00
2000/01/06	1.57	1.82	1.57	1.75	1321100	15147072.00
2000/01/07	1.77	1.87	1.77	1.85	2916100	34860532.00
2000/01/10	1.86	1.91	1.79	1.85	1732100	20788936.00
2000/01/11	1.85	1.86	1.66	1.68	1075600	12522216.00
2000/01/12	1.67	1.72	1.58	1.61	898600	9946819.00
2000/01/13	1.61	1.62	1.56	1.58	421500	4578457.00
2000/01/14	1.61	1.61	1.57	1.58	309100	3348755.00
2000/01/17	1.58	1.61	1.56	1.61	305100	3305267.00
2000/01/18	1.62	1.64	1.59	1.60	312300	3428954.00
2000/01/19	1.61	1.62	1.59	1.60	256600	2806681.00
2000/01/20	1.61	1.70	1.61	1.66	512500	5717815.00
2000/01/21	1.66	1.70	1.62	1.66	700800	7844013.00
2000/01/24	1.66	1.67	1.57	1.60	677500	7372990.00
2000/01/25	1.60	1.61	1.57	1.58	668400	7257348.00
2000/01/26	1.58	1.61	1.55	1.59	591400	6359381.00
2000/01/27	1.59	1.71	1.59	1.64	919200	10270077.00
2000/01/28	1.64	1.77	1.63	1.73	1908200	21738086.00
2000/02/14	1.84	1.98	1.75	1.98	3563600	43771960.00
2000/02/15	2.01	2.07	1.85	1.87	4794000	60353280.00
2000/02/16	1.86	1.88	1.74	1.79	2402600	28408286.00
2000/02/17	1.82	1.91	1.66	1.69	2431000	28430760.00
2000/02/18	1.68	1.69	1.64	1.68	1412400	15810605.00
2000/02/21	1.68	1.85	1.68	1.79	2155300	25289438.00
2000/02/22	1.79	1.83	1.69	1.69	1172500	13514287.00
2000/02/23	1.66	1.70	1.64	1.67	852200	9546433.00
2000/02/24	1.67	1.72	1.66	1.68	688300	7738861.00
2000/02/25	1.70	1.72	1.66	1.67	811500	9139527.00
2000/02/28	1.71	1.75	1.66	1.75	1363200	15566803.00
2000/02/29	1.79	1.97	1.71	1.86	4473400	53895144.00
2000/03/01	1.91	1.92	1.77	1.78	1838400	21888102.00
2000/03/02	1.77	1.77	1.73	1.75	1143200	13235798.00
2000/03/03	1.75	1.88	1.75	1.81	1696500	20172806.00
2000/03/06	1.84	1.86	1.73	1.73	1603200	18769090.00
2000/03/07	1.71	1.88	1.69	1.84	2002700	23636618.00
2000/03/08	1.84	1.86	1.77	1.82	1281200	15234276.00
2000/03/09	1.83	1.91	1.79	1.88	3607200	43802340.00
2000/03/10	1.88	1.89	1.79	1.80	1427600	17021756.00
2000/03/13	1.79	1.83	1.79	1.82	990000	11747201.00
2000/03/14	1.81	1.81	1.73	1.77	1503100	17498116.00
2000/03/15	1.79	1.88	1.76	1.87	2350900	28286284.00
2000/03/16	1.87	1.87	1.75	1.78	1433600	16912868.00
2000/03/17	1.75	1.82	1.74	1.79	2217400	25994540.00
2000/03/20	1.75	1.83	1.75	1.82	1014200	12068122.00
2000/03/21	1.83	1.99	1.82	1.95	5899600	73416976.00
2000/03/22	1.95	1.96	1.87	1.93	2318600	28688670.00
2000/03/23	1.94	1.99	1.94	1.95	2522600	31583192.00
2000/03/24	1.95	1.97	1.87	1.87	1949000	24085212.00
2000/03/27	1.88	2.01	1.88	1.97	2380700	29760908.00
2000/03/28	1.97	2.06	1.94	2.02	3866700	49326544.00
2000/03/29	2.05	2.06	1.97	2.01	2171600	27685400.00
2000/03/30	2.01	2.03	1.99	2.01	1451700	18488160.00
2000/03/31	2.01	2.11	1.99	2.03	3026500	39269936.00
2000/04/03	2.03	2.07	1.99	1.99	1481700	18986412.00
2000/04/04	1.98	1.98	1.91	1.91	1586800	19635740.00
2000/04/05	1.93	1.97	1.91	1.93	963500	11949198.00
2000/04/06	1.95	1.99	1.93	1.99	1839500	23096268.00
2000/04/07	1.99	2.02	1.96	1.99	1394400	17601306.00
2000/04/10	1.99	1.99	1.93	1.94	1408100	17620884.00
2000/04/11	1.94	2.07	1.93	2.04	2211000	28087864.00
2000/04/12	2.01	2.05	1.91	2.04	1770900	22483872.00
2000/04/13	2.04	2.16	2.01	2.08	4253300	55734744.00
2000/04/14	2.08	2.09	2.00	2.04	1771100	22768200.00
2000/04/17	2.03	2.04	1.95	1.98	1540900	19451312.00
2000/04/18	1.97	2.02	1.95	1.99	885700	11199680.00
2000/04/19	2.02	2.04	1.98	2.00	942800	11998970.00
2000/04/20	2.00	2.02	1.97	1.99	1075600	13624158.00
2000/04/21	1.99	2.05	1.96	1.99	881100	11185083.00
2000/04/24	1.99	2.02	1.95	1.97	1191600	15002480.00
2000/04/25	1.97	1.99	1.91	1.94	1180600	14674781.00
2000/04/26	1.95	1.97	1.94	1.96	1023300	12814451.00
2000/04/27	1.96	1.97	1.92	1.95	1116100	13873024.00
2000/04/28	1.94	1.99	1.90	1.96	1229000	15274303.00
2000/05/08	1.96	1.96	1.91	1.92	571500	7066103.00
2000/05/09	1.92	1.94	1.84	1.89	1067900	13050554.00
2000/05/10	1.86	1.87	1.82	1.84	1071300	12884369.00
2000/05/11	1.82	1.85	1.79	1.80	807000	9573704.00
2000/05/12	1.80	1.81	1.74	1.75	857700	10077247.00
2000/05/15	1.75	1.78	1.70	1.77	622600	7130769.00
2000/05/16	1.77	1.80	1.75	1.79	499900	5871183.00
2000/05/17	1.79	1.80	1.76	1.78	305300	3572272.00
2000/05/18	1.78	1.83	1.73	1.82	450200	5276523.00
2000/05/19	1.82	1.86	1.79	1.84	822500	9827025.00
2000/05/22	1.84	1.90	1.82	1.86	992000	12005744.00
2000/05/23	1.88	1.89	1.83	1.84	803700	9695117.00
2000/05/24	1.84	1.97	1.84	1.95	1609000	19955192.00
2000/05/25	1.97	1.99	1.91	1.95	1472700	18469226.00
2000/05/29	1.96	2.05	1.96	1.99	1834200	23439608.00
2000/05/30	2.13	2.13	1.96	1.97	1928700	24772906.00
2000/05/31	1.96	2.03	1.93	1.98	1017000	12845109.00
2000/06/01	1.98	1.99	1.92	1.94	753600	9425869.00
2000/06/02	1.95	1.95	1.91	1.95	892000	11091621.00
2000/06/05	1.95	2.07	1.95	2.01	2481700	31655792.00
2000/06/06	1.99	2.06	1.99	2.06	2868000	37064040.00
2000/06/07	2.11	2.35	2.08	2.35	9896000	139695008.00
2000/06/08	2.49	2.49	2.26	2.28	13609000	194404624.00
2000/06/09	2.28	2.28	2.09	2.11	4973700	67683696.00
2000/06/12	2.11	2.26	2.08	2.20	3177000	43238644.00
2000/06/13	2.21	2.27	2.17	2.27	2454500	33750480.00
2000/06/14	2.28	2.30	2.21	2.23	2069400	28626096.00
2000/06/15	2.24	2.26	2.17	2.23	1129700	15460369.00
2000/06/16	2.26	2.33	2.21	2.21	2341200	32626488.00
2000/06/19	2.23	2.33	2.22	2.25	1843500	25682168.00
2000/06/20	2.28	2.28	2.15	2.17	1038100	14116617.00
2000/06/21	2.17	2.20	2.14	2.19	1143700	15446351.00
2000/06/22	2.19	2.26	2.19	2.23	1278700	17640532.00
2000/06/23	2.23	2.32	2.22	2.26	4448600	62299240.00
2000/06/26	2.29	2.37	2.27	2.28	2665800	37832224.00
2000/06/27	2.28	2.33	2.26	2.29	1232200	17258514.00
2000/06/28	2.29	2.34	2.28	2.30	1006600	14179813.00
2000/06/29	2.31	2.31	2.21	2.22	1464100	20183508.00
2000/06/30	2.24	2.26	2.17	2.20	1241900	16943740.00
2000/07/03	2.17	2.25	2.13	2.23	1351000	18478640.00
2000/07/04	2.21	2.29	2.21	2.28	1525600	21241512.00
2000/07/05	2.28	2.31	2.27	2.28	1169700	16383047.00
2000/07/06	2.30	2.34	2.26	2.30	1254500	17678216.00
2000/07/07	2.30	2.37	2.30	2.31	1471700	20928676.00
2000/07/10	2.33	2.43	2.32	2.40	2236000	32216760.00
2000/07/11	2.39	2.43	2.33	2.35	1625100	23477968.00
2000/07/12	2.37	2.43	2.35	2.37	1210100	17508476.00
2000/07/13	2.39	2.41	2.30	2.32	1635800	23210024.00
2000/07/14	2.32	2.38	2.30	2.35	1879800	26824774.00
2000/07/17	2.38	2.39	2.33	2.33	1359100	19505178.00
2000/07/18	2.33	2.36	2.31	2.31	987000	14015972.00
2000/07/19	2.33	2.43	2.32	2.43	3471800	50358720.00
2000/07/20	2.43	2.44	2.35	2.39	1519000	22011160.00
2000/07/21	2.39	2.55	2.39	2.49	5277100	78400912.00
2000/07/24	2.51	2.58	2.51	2.53	3902600	59135132.00
2000/07/25	2.48	2.50	2.36	2.42	2408000	35305008.00
2000/07/26	2.42	2.48	2.40	2.44	2379200	35094876.00
2000/07/27	2.46	2.47	2.36	2.38	2054600	29842138.00
2000/07/28	2.37	2.42	2.29	2.40	2034000	29076094.00
2000/07/31	2.42	2.43	2.32	2.34	1500400	21447820.00
2000/08/01	2.36	2.39	2.34	2.36	1051800	15096598.00
2000/08/02	2.37	2.39	2.33	2.38	1512800	21673972.00
2000/08/03	2.39	2.45	2.37	2.44	2329000	33905260.00
2000/08/04	2.44	2.45	2.33	2.35	1801100	25973064.00
2000/08/07	2.35	2.45	2.30	2.41	2440300	35204484.00
2000/08/08	2.41	2.47	2.37	2.45	2923500	42988256.00
2000/08/09	2.46	2.48	2.42	2.46	1975400	29174100.00
2000/08/10	2.46	2.48	2.42	2.44	1751700	25762928.00
2000/08/11	2.46	2.59	2.44	2.55	6967000	105777192.00
2000/08/14	2.59	2.73	2.57	2.62	7416100	115900544.00
2000/08/15	2.63	2.68	2.55	2.58	2839100	43516888.00
2000/08/16	2.57	2.61	2.54	2.61	3014800	46144040.00
2000/08/17	2.62	2.68	2.55	2.57	2090800	32177360.00
2000/08/18	2.57	2.59	2.53	2.55	1801900	27387468.00
2000/08/21	2.55	2.59	2.51	2.58	3542700	53721424.00
2000/08/22	2.59	2.61	2.51	2.52	2309300	35287736.00
2000/08/23	2.51	2.57	2.33	2.45	3858500	56724312.00
2000/08/24	2.57	2.58	2.42	2.53	3017500	45356904.00
2000/08/25	2.59	2.86	2.59	2.73	12763900	204989168.00
2000/08/28	2.75	2.79	2.66	2.70	5090800	80979344.00
2000/08/29	2.72	2.79	2.70	2.71	3786700	60756296.00
2000/08/30	2.74	2.81	2.67	2.74	4716300	76011824.00
