600062 华润双鹤 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	1.09	1.17	1.05	1.14	307300	2981104.00
2000/01/05	1.17	1.17	1.09	1.13	463000	4582385.00
2000/01/06	1.10	1.21	1.10	1.20	537500	5342577.00
2000/01/07	1.23	1.31	1.21	1.28	1363900	14218271.00
2000/01/10	1.30	1.37	1.25	1.35	1876800	20117228.00
2000/01/11	1.37	1.37	1.20	1.23	1059300	11165071.00
2000/01/12	1.21	1.26	1.15	1.16	930400	9356558.00
2000/01/13	1.16	1.17	1.12	1.12	421100	4157215.00
2000/01/14	1.13	1.15	1.11	1.12	387500	3774227.00
2000/01/17	1.12	1.15	1.10	1.14	318900	3103868.00
2000/01/18	1.14	1.17	1.13	1.15	278100	2751647.00
2000/01/19	1.14	1.22	1.14	1.21	530500	5367455.00
2000/01/20	1.22	1.25	1.21	1.24	529100	5442614.00
2000/01/21	1.24	1.25	1.18	1.20	870000	8810567.00
2000/01/24	1.20	1.27	1.12	1.24	1234700	12324290.00
2000/01/25	1.26	1.27	1.18	1.21	800900	8195201.00
2000/01/26	1.19	1.23	1.18	1.20	442600	4505950.00
2000/01/27	1.20	1.23	1.20	1.23	969500	9909767.00
2000/01/28	1.24	1.25	1.19	1.22	1138200	11606692.00
2000/02/14	1.28	1.43	1.28	1.43	2565500	28243922.00
2000/02/15	1.47	1.48	1.29	1.33	3218700	36038172.00
2000/02/16	1.32	1.32	1.25	1.29	2592200	27203800.00
2000/02/17	1.31	1.43	1.27	1.41	4070200	44463744.00
2000/02/18	1.39	1.39	1.30	1.36	1536400	16630043.00
2000/02/21	1.39	1.52	1.35	1.47	4305800	49032796.00
2000/02/22	1.47	1.55	1.36	1.37	3585800	41171540.00
2000/02/23	1.35	1.38	1.28	1.32	1731000	18564116.00
2000/02/24	1.31	1.45	1.31	1.43	3125400	34969920.00
2000/02/25	1.45	1.53	1.43	1.47	4600800	53210360.00
2000/02/28	1.52	1.61	1.51	1.61	7369000	88392688.00
2000/02/29	1.65	1.65	1.49	1.53	4330800	51414376.00
2000/03/01	1.54	1.54	1.46	1.47	2306600	26678212.00
2000/03/02	1.47	1.51	1.44	1.47	1968100	22616218.00
2000/03/03	1.48	1.52	1.42	1.44	2388000	27267760.00
2000/03/06	1.44	1.47	1.32	1.33	2099800	23361812.00
2000/03/07	1.29	1.49	1.29	1.49	3326700	37626168.00
2000/03/08	1.50	1.50	1.43	1.49	1358700	15617050.00
2000/03/09	1.48	1.53	1.47	1.50	1976100	23012784.00
2000/03/10	1.51	1.51	1.43	1.47	1277900	14575800.00
2000/03/13	1.53	1.63	1.53	1.55	4571000	54901544.00
2000/03/14	1.53	1.58	1.44	1.58	2824100	32890032.00
2000/03/15	1.57	1.66	1.55	1.58	4478900	54791336.00
2000/03/16	1.58	1.60	1.44	1.45	2557100	30027540.00
2000/03/17	1.45	1.58	1.45	1.57	3664200	43479008.00
2000/03/20	1.55	1.64	1.52	1.63	4157500	50613772.00
2000/03/21	1.61	1.63	1.57	1.61	1701600	20599138.00
2000/03/22	1.61	1.70	1.57	1.64	2907600	36104740.00
2000/03/23	1.67	1.75	1.62	1.73	4786700	60318640.00
2000/03/24	1.75	1.81	1.68	1.71	5283600	68045624.00
2000/03/27	1.80	1.96	1.80	1.96	3003400	41668052.00
2000/03/28	2.24	2.24	1.94	1.99	13357200	193647024.00
2000/03/29	1.97	1.99	1.83	1.92	5090600	69227552.00
2000/03/30	1.92	1.95	1.85	1.94	2478100	33714604.00
2000/03/31	1.93	1.93	1.84	1.84	2518700	33979304.00
2000/04/03	1.81	1.84	1.78	1.78	2583400	34031092.00
2000/04/04	1.77	1.86	1.71	1.81	2645500	34476288.00
2000/04/05	1.81	1.85	1.73	1.76	1989100	25846500.00
2000/04/06	1.78	1.84	1.75	1.84	2231200	29224202.00
2000/04/07	1.85	1.93	1.81	1.91	2064200	27746812.00
2000/04/10	1.91	1.93	1.84	1.87	1926600	25967270.00
2000/04/11	1.87	1.97	1.87	1.91	2790600	38519016.00
2000/04/13	1.97	1.97	1.87	1.90	1073700	14700268.00
2000/04/14	1.90	1.91	1.77	1.82	2150200	28574312.00
2000/04/17	1.77	1.79	1.67	1.72	2706400	34513832.00
2000/04/18	1.72	1.76	1.71	1.76	1034600	13328953.00
2000/04/19	1.77	1.85	1.77	1.78	1331100	17521862.00
2000/04/20	1.79	1.87	1.74	1.86	1452000	18992392.00
2000/04/21	1.87	1.95	1.83	1.86	1740300	23570464.00
2000/04/24	1.87	1.90	1.84	1.85	1253600	16855334.00
2000/04/25	1.85	1.86	1.82	1.84	991100	13194629.00
2000/04/26	1.87	1.89	1.81	1.83	2079300	27875522.00
2000/04/27	1.83	1.84	1.74	1.75	1477100	14789429.00
2000/04/28	1.75	1.79	1.71	1.78	1305900	12812713.00
2000/05/08	1.79	1.82	1.78	1.79	1134700	11348269.00
2000/05/09	1.79	1.89	1.79	1.83	2547200	26000116.00
2000/05/10	1.82	1.84	1.68	1.71	1668200	16471754.00
2000/05/11	1.71	1.76	1.68	1.71	1208500	11732096.00
2000/05/12	1.71	1.77	1.66	1.69	855600	8285664.00
2000/05/15	1.70	1.70	1.61	1.62	738800	6955426.00
2000/05/16	1.62	1.67	1.61	1.62	865400	8109297.00
2000/05/17	1.64	1.67	1.62	1.64	421800	3968286.00
2000/05/18	1.64	1.69	1.63	1.69	670200	6370072.00
2000/05/19	1.70	1.85	1.69	1.82	2232600	22203516.00
2000/05/22	1.83	1.86	1.79	1.82	2134300	21660828.00
2000/05/23	1.83	1.89	1.81	1.83	2092200	21314724.00
2000/05/24	1.87	2.05	1.87	1.99	9040800	97399232.00
2000/05/25	2.02	2.07	1.99	2.01	5033600	54878784.00
2000/05/26	2.03	2.04	1.92	1.96	3264700	34865884.00
2000/05/29	1.97	2.04	1.96	2.03	3656500	39513528.00
2000/05/30	2.08	2.15	2.00	2.01	4924900	54498008.00
2000/05/31	2.00	2.10	1.96	2.07	3505900	38211248.00
2000/06/01	2.08	2.10	2.03	2.05	2629400	28968966.00
2000/06/02	2.05	2.07	2.02	2.05	2742000	30073850.00
2000/06/05	2.05	2.20	2.04	2.10	7731600	87032808.00
2000/06/06	2.10	2.19	2.09	2.18	5593000	63890936.00
2000/06/07	2.20	2.23	2.15	2.19	3436800	39648872.00
2000/06/08	2.25	2.25	2.14	2.18	2454900	28282828.00
2000/06/09	2.18	2.19	2.10	2.11	3968500	45027088.00
2000/06/12	2.05	2.13	2.05	2.10	2228400	24783094.00
2000/06/13	2.14	2.16	2.10	2.16	2000300	22600752.00
2000/06/14	2.17	2.21	2.15	2.18	2955300	33947976.00
2000/06/15	2.18	2.23	2.18	2.21	2251100	26082492.00
2000/06/16	2.23	2.36	2.22	2.28	4954200	59110068.00
2000/06/19	2.28	2.33	2.23	2.26	1907100	22620092.00
2000/06/20	2.26	2.27	2.15	2.16	1743300	20164028.00
2000/06/21	2.15	2.22	2.13	2.20	1357500	15636734.00
2000/06/22	2.20	2.28	2.20	2.25	1379700	16217188.00
2000/06/23	2.31	2.32	2.21	2.29	1818400	21631948.00
2000/06/26	2.31	2.43	2.28	2.39	4431800	54220644.00
2000/06/27	2.39	2.44	2.36	2.40	1471500	18091632.00
2000/06/28	2.40	2.41	2.35	2.39	1489800	18289684.00
2000/06/29	2.34	2.39	2.31	2.34	1514400	18388820.00
2000/06/30	2.36	2.46	2.33	2.36	2355300	29014296.00
2000/07/03	2.34	2.40	2.29	2.32	1587000	19243520.00
2000/07/04	2.29	2.36	2.29	2.36	1192700	14434337.00
2000/07/05	2.36	2.44	2.36	2.38	1174000	14470340.00
2000/07/06	2.38	2.46	2.35	2.44	2684000	33508052.00
2000/07/07	2.44	2.53	2.43	2.52	2255900	28602810.00
2000/07/10	2.54	2.57	2.51	2.54	1741700	22425200.00
2000/07/11	2.54	2.64	2.52	2.61	2227100	29005180.00
2000/07/12	2.62	2.70	2.61	2.65	3449400	46197680.00
2000/07/13	2.65	2.66	2.52	2.52	2855300	37085272.00
2000/07/14	2.52	2.53	2.47	2.53	1943000	24720152.00
2000/07/17	2.53	2.54	2.47	2.48	1248800	15846123.00
2000/07/18	2.47	2.49	2.43	2.44	1484200	18580840.00
2000/07/19	2.44	2.52	2.44	2.49	1501600	19007176.00
2000/07/20	2.50	2.52	2.47	2.49	1942800	24789938.00
2000/07/21	2.49	2.49	2.43	2.44	1078600	13575770.00
2000/07/24	2.44	2.44	2.34	2.35	1965900	24119356.00
2000/07/25	2.34	2.65	2.31	2.59	4235500	54429824.00
2000/07/26	2.62	2.74	2.60	2.64	5878800	79112488.00
2000/07/27	2.63	2.70	2.55	2.64	3379900	44562120.00
2000/07/28	2.64	2.74	2.64	2.69	2850000	38381524.00
2000/07/31	2.86	2.86	2.60	2.63	3230200	43760824.00
2000/08/01	2.63	2.70	2.62	2.65	1196900	15978206.00
2000/08/02	2.64	2.73	2.61	2.64	1867900	24980342.00
2000/08/03	2.66	2.75	2.65	2.70	1570100	21203828.00
2000/08/04	2.73	2.86	2.70	2.80	3451200	47969072.00
2000/08/07	2.80	2.86	2.78	2.83	1638000	22956496.00
2000/08/08	2.83	2.86	2.78	2.82	980600	13679950.00
2000/08/09	2.83	2.93	2.82	2.87	2030700	28905272.00
2000/08/10	2.88	2.88	2.78	2.78	1679800	23367224.00
2000/08/11	2.78	2.82	2.74	2.75	1129700	15505325.00
2000/08/14	2.78	2.82	2.75	2.77	1427700	19719972.00
2000/08/15	2.78	2.82	2.75	2.77	992700	13698623.00
2000/08/16	2.78	2.99	2.77	2.88	4907400	70324656.00
2000/08/17	3.04	3.04	2.85	2.87	1485400	21349936.00
2000/08/18	2.86	2.88	2.82	2.84	909600	12758796.00
2000/08/21	2.84	2.86	2.82	2.84	1162800	16298211.00
2000/08/22	2.84	2.86	2.77	2.78	1449300	20099320.00
2000/08/23	2.75	2.77	2.61	2.74	3203200	43100108.00
2000/08/24	2.73	2.80	2.71	2.78	1306400	17913104.00
2000/08/25	2.75	2.80	2.74	2.77	668400	9191024.00
2000/08/28	2.79	2.82	2.77	2.79	773100	10694542.00
2000/08/29	2.80	2.83	2.75	2.78	1597200	22100300.00
2000/08/30	2.78	2.80	2.74	2.74	1047400	14383021.00
2000/08/31	2.72	2.72	2.61	2.62	2502600	33289862.00
2000/09/01	2.61	2.75	2.60	2.62	1939600	26009632.00
2000/09/04	2.62	2.67	2.60	2.62	723800	9559205.00
2000/09/05	2.67	2.70	2.62	2.62	805900	10730033.00
2000/09/06	2.62	2.62	2.55	2.57	1168300	15202316.00
