600109 国金证券 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	0.53	0.56	0.53	0.55	313700	3159589.00
2000/01/05	0.55	0.57	0.54	0.55	246900	2517973.00
2000/01/06	0.55	0.64	0.54	0.63	509100	5304518.00
2000/01/07	0.63	0.70	0.60	0.67	1230300	13858254.00
2000/01/10	0.68	0.68	0.61	0.65	808900	9022705.00
2000/01/11	0.65	0.66	0.57	0.61	381100	4185868.00
2000/01/12	0.58	0.62	0.55	0.56	291200	3025018.00
2000/01/13	0.55	0.57	0.53	0.53	190300	1917964.00
2000/01/14	0.54	0.55	0.51	0.52	160900	1592916.00
2000/01/17	0.52	0.52	0.48	0.50	258100	2474751.00
2000/01/18	0.51	0.51	0.47	0.48	240700	2259006.00
2000/01/19	0.49	0.57	0.49	0.57	285300	2884630.00
2000/01/20	0.59	0.66	0.59	0.61	1116500	12220161.00
2000/01/21	0.61	0.62	0.57	0.57	582900	6141004.00
2000/01/24	0.56	0.56	0.51	0.51	653300	6420055.00
2000/01/25	0.52	0.59	0.51	0.56	435700	4410211.00
2000/01/26	0.56	0.59	0.54	0.55	323500	3324320.00
2000/01/27	0.55	0.59	0.54	0.55	421000	4298904.00
2000/01/28	0.57	0.58	0.55	0.55	577100	5928185.00
2000/02/14	0.59	0.64	0.58	0.64	750000	8309780.00
2000/02/15	0.74	0.74	0.70	0.74	1171900	14286579.00
2000/02/16	0.79	0.86	0.76	0.86	1249000	16782580.00
2000/02/17	0.81	0.97	0.73	0.85	2140800	29177718.00
2000/02/18	0.82	0.90	0.74	0.89	1067500	13880459.00
2000/02/21	0.92	0.92	0.80	0.88	1286000	17501416.00
2000/02/22	0.86	0.90	0.76	0.77	1120500	14564349.00
2000/02/23	0.76	0.76	0.66	0.67	1286300	14922655.00
2000/02/24	0.65	0.70	0.64	0.69	516500	6023938.00
2000/02/25	0.72	0.72	0.65	0.66	525700	6088743.00
2000/02/28	0.66	0.77	0.66	0.77	1053700	12805972.00
2000/02/29	0.79	0.80	0.70	0.72	567300	6932374.00
2000/03/01	0.72	0.74	0.70	0.71	444100	5341057.00
2000/03/02	0.70	0.79	0.70	0.77	1438000	17703052.00
2000/03/03	0.80	0.81	0.76	0.78	748700	9556361.00
2000/03/06	0.79	0.83	0.76	0.76	955300	12280779.00
2000/03/07	0.74	0.80	0.74	0.77	525700	6629032.00
2000/03/08	0.81	0.81	0.72	0.73	1446800	17721972.00
2000/03/09	0.75	0.75	0.72	0.74	545200	6646917.00
2000/03/10	0.74	0.75	0.70	0.71	360000	4332654.00
2000/03/13	0.71	0.74	0.71	0.72	432600	5225674.00
2000/03/14	0.72	0.72	0.67	0.70	504600	5916226.00
2000/03/15	0.67	0.73	0.67	0.71	369600	4426744.00
2000/03/16	0.71	0.71	0.64	0.64	389200	4465879.00
2000/03/17	0.66	0.69	0.64	0.68	249400	2862048.00
2000/03/20	0.68	0.72	0.67	0.72	434200	5137805.00
2000/03/21	0.72	0.74	0.69	0.74	368500	4459438.00
2000/03/22	0.74	0.76	0.73	0.76	618500	7626298.00
2000/03/23	0.76	0.81	0.76	0.80	1035800	13314355.00
2000/03/24	0.82	0.82	0.76	0.76	671900	8612467.00
2000/03/27	0.76	0.81	0.76	0.79	473500	6072821.00
2000/03/28	0.79	0.82	0.76	0.81	1026600	13118956.00
2000/03/29	0.81	0.81	0.77	0.79	493100	6288677.00
2000/03/30	0.79	0.89	0.77	0.83	1010100	13400653.00
2000/03/31	0.83	0.92	0.83	0.90	2025300	28042758.00
2000/04/03	0.90	0.92	0.86	0.87	867500	12005854.00
2000/04/04	0.87	0.87	0.81	0.81	723000	9538562.00
2000/04/05	0.80	0.83	0.80	0.83	482600	6310741.00
2000/04/06	0.84	0.88	0.84	0.86	515900	6999699.00
2000/04/07	0.88	0.88	0.84	0.86	414500	5624987.00
2000/04/10	0.85	0.86	0.83	0.86	475400	6406322.00
2000/04/11	0.86	0.91	0.81	0.88	949300	13194081.00
2000/04/12	0.89	0.93	0.87	0.87	911100	12756480.00
2000/04/13	0.87	0.89	0.86	0.89	370500	5097328.00
2000/04/14	0.89	0.89	0.83	0.84	579800	7797243.00
2000/04/17	0.83	0.83	0.79	0.81	621600	8073102.00
2000/04/18	0.81	0.84	0.80	0.82	260200	3415861.00
2000/04/19	0.88	0.88	0.82	0.83	347100	4609853.00
2000/04/20	0.83	0.83	0.81	0.82	478500	6289614.00
2000/04/21	0.82	0.88	0.82	0.88	829200	11240805.00
2000/04/24	0.89	0.98	0.89	0.97	2625400	38151316.00
2000/04/25	0.97	0.99	0.94	0.95	971300	14319413.00
2000/04/26	0.95	1.02	0.95	0.98	1330000	20014462.00
2000/04/27	0.97	1.00	0.94	0.94	1430700	20933862.00
2000/04/28	0.95	0.97	0.93	0.96	600000	8718193.00
2000/05/08	0.97	1.00	0.97	1.00	652100	9779853.00
2000/05/09	1.03	1.04	0.98	0.99	818000	12432749.00
2000/05/10	0.98	0.98	0.91	0.91	588900	8599497.00
2000/05/11	0.90	0.95	0.89	0.95	946800	13553710.00
2000/05/12	0.94	0.98	0.93	0.95	405700	5935266.00
2000/05/15	0.95	0.98	0.94	0.98	360300	5279418.00
2000/05/16	0.99	0.99	0.96	0.97	298100	4419723.00
2000/05/17	0.98	1.04	0.98	1.03	1211000	18626782.00
2000/05/18	1.03	1.06	1.01	1.03	773000	11980045.00
2000/05/19	1.04	1.09	1.02	1.08	869700	13641094.00
2000/05/22	1.09	1.14	1.08	1.13	1530200	25103304.00
2000/05/23	1.14	1.26	1.13	1.26	1513100	26145416.00
2000/05/24	1.26	1.34	1.21	1.22	1807400	32374236.00
2000/05/25	1.22	1.28	1.18	1.24	1774600	31153852.00
2000/05/26	1.24	1.28	1.15	1.22	1116500	19475136.00
2000/05/29	1.21	1.32	1.20	1.32	1279200	23247240.00
2000/05/30	1.33	1.40	1.27	1.35	1092000	20742286.00
2000/05/31	1.34	1.39	1.30	1.31	598600	11241964.00
2000/06/01	1.32	1.35	1.29	1.32	447300	8306971.00
2000/06/02	1.33	1.35	1.23	1.24	638400	11558423.00
2000/06/05	1.22	1.27	1.16	1.19	807600	13988625.00
2000/06/06	1.17	1.28	1.17	1.28	578300	10277426.00
2000/06/07	1.28	1.32	1.26	1.27	489600	8996192.00
2000/06/08	1.26	1.26	1.22	1.22	317400	5634436.00
2000/06/09	1.22	1.26	1.18	1.19	311400	5424022.00
2000/06/12	1.18	1.22	1.16	1.17	500200	8554286.00
2000/06/13	1.17	1.26	1.17	1.21	265700	4640916.00
2000/06/14	1.21	1.22	1.19	1.20	230300	3997962.00
2000/06/15	1.20	1.23	1.20	1.20	226000	3952980.00
2000/06/16	1.20	1.23	1.20	1.21	309300	5402442.00
2000/06/19	1.24	1.30	1.21	1.26	500900	8947201.00
2000/06/20	1.24	1.30	1.23	1.26	296500	5321968.00
2000/06/21	1.26	1.28	1.23	1.27	142400	2556954.00
2000/06/22	1.27	1.27	1.20	1.21	365200	6438845.00
2000/06/23	1.20	1.23	1.17	1.17	996400	17118708.00
