600128 弘业股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	4.10	4.31	4.10	4.29	155000	1958646.00
2000/01/05	4.30	4.38	4.26	4.27	197800	2537669.00
2000/01/06	4.21	4.47	4.21	4.45	315200	4093121.00
2000/01/07	4.49	4.61	4.43	4.60	1058400	14191715.00
2000/01/10	4.61	5.10	4.53	5.10	4238800	61751688.00
2000/01/11	5.10	5.19	4.84	4.93	3259900	48102304.00
2000/01/12	4.89	4.97	4.71	4.73	2036600	28828912.00
2000/01/13	4.71	4.86	4.69	4.74	851700	11942150.00
2000/01/14	4.74	4.80	4.62	4.64	769700	10673483.00
2000/01/17	4.65	4.93	4.61	4.91	724800	10268772.00
2000/01/18	4.91	4.91	4.76	4.79	322500	4561796.00
2000/01/19	4.78	4.91	4.77	4.85	263800	3755652.00
2000/01/20	4.85	5.28	4.85	5.27	2420300	36213312.00
2000/01/21	5.24	5.24	5.09	5.09	1234900	18622380.00
2000/01/24	5.09	5.26	5.06	5.24	1355800	20463120.00
2000/01/25	5.24	5.34	5.10	5.11	797900	12088329.00
2000/01/26	5.08	5.13	5.00	5.11	362600	5372881.00
2000/01/27	5.13	5.34	5.10	5.24	1150000	17542212.00
2000/01/28	5.21	5.61	5.11	5.45	2121900	33456192.00
2000/02/14	5.73	6.04	5.73	6.04	805400	13826701.00
2000/02/15	6.68	6.68	6.50	6.68	888000	17029716.00
2000/02/16	7.39	7.39	7.17	7.39	7068600	148472688.00
2000/02/17	8.17	8.17	6.98	7.53	4930300	109107296.00
2000/02/18	7.28	8.33	7.11	8.33	2660100	59155884.00
2000/02/21	8.49	9.20	8.43	9.20	3899600	99158600.00
2000/02/22	8.83	9.94	8.69	9.01	1129000	29499096.00
2000/02/23	8.65	8.91	8.07	8.35	3517300	83231952.00
2000/02/24	8.10	8.61	8.10	8.28	1133100	26905212.00
2000/02/25	7.43	8.30	7.43	7.91	1279200	28624156.00
2000/02/28	7.72	8.74	7.72	8.74	916300	22371562.00
2000/02/29	9.42	9.66	9.32	9.66	732700	19943480.00
2000/03/01	10.67	10.67	10.67	10.67	665400	19931396.00
2000/03/02	11.78	11.78	10.01	10.31	2030900	61215736.00
2000/03/03	10.31	11.00	10.31	10.86	979100	29507360.00
2000/03/06	10.50	11.99	9.95	10.68	887700	26821900.00
2000/03/07	10.50	11.42	10.20	11.01	204500	6245820.00
2000/03/08	10.94	10.94	10.50	10.80	541900	16382444.00
2000/03/09	10.68	11.05	10.13	10.87	440800	13017823.00
2000/03/10	11.06	11.46	10.27	10.39	663800	20634020.00
2000/03/13	10.68	10.68	10.17	10.31	132200	3818465.00
2000/03/14	9.57	10.31	9.57	9.93	173900	4901188.00
2000/03/15	9.76	9.94	9.20	9.20	227000	6111344.00
2000/03/16	8.98	9.20	8.46	8.65	202500	4986402.00
2000/03/17	8.69	9.56	8.65	9.56	133900	3500826.00
2000/03/20	10.50	10.56	9.94	10.56	661500	19513560.00
2000/03/21	11.04	11.04	10.31	10.68	748900	22587356.00
2000/03/22	10.61	10.93	10.15	10.50	1110600	33250084.00
2000/03/23	10.31	10.87	10.13	10.68	425000	12608227.00
2000/03/24	10.87	11.79	10.68	11.79	2300300	75761528.00
2000/03/28	11.83	12.16	11.06	11.38	185900	6077904.00
2000/03/29	11.71	11.71	10.68	11.38	115100	3531554.00
2000/03/30	11.06	11.09	10.68	10.72	270500	8175906.00
2000/03/31	10.76	10.87	10.31	10.54	124800	3691638.00
2000/04/03	10.19	10.50	10.19	10.38	66000	1924178.00
2000/04/04	10.38	11.04	10.20	10.72	95700	2864272.00
2000/04/05	10.72	10.72	10.51	10.61	48300	1433797.00
2000/04/06	10.68	10.76	10.31	10.68	118300	3451745.00
2000/04/07	10.67	10.67	10.32	10.60	60200	1764109.00
2000/04/10	10.50	10.50	10.22	10.29	143700	4158308.00
2000/04/11	10.19	10.19	9.76	9.91	123100	3435153.00
2000/04/12	9.76	10.31	9.76	10.23	68800	1952223.00
2000/04/13	10.23	10.30	9.93	10.13	81000	2285429.00
2000/04/14	10.06	11.06	10.06	10.31	366800	11082565.00
2000/04/17	10.13	10.13	9.76	9.83	56800	1584446.00
2000/04/18	9.83	9.86	9.57	9.67	73000	1990364.00
2000/04/19	9.76	10.09	9.57	9.67	99900	2721757.00
2000/04/20	9.67	10.11	9.67	9.80	43400	1207139.00
2000/04/21	9.94	10.00	9.54	9.59	188400	5165163.00
2000/04/24	9.57	9.57	8.83	9.54	165100	4442297.00
2000/04/25	10.53	10.53	9.42	9.57	68000	1875372.00
2000/04/26	9.57	9.85	9.38	9.41	47800	1277988.00
2000/04/27	9.49	9.49	9.12	9.23	61900	1608298.00
2000/04/28	9.30	10.04	9.08	10.04	81500	2150562.00
2000/05/08	10.04	10.04	9.49	9.58	37900	1018417.00
2000/05/09	9.65	9.65	9.33	9.45	27300	721305.00
2000/05/10	9.31	9.74	9.30	9.74	387000	10391464.00
2000/05/11	9.60	10.04	9.55	9.93	280500	7758881.00
2000/05/12	10.04	10.22	9.89	10.08	330300	9292942.00
2000/05/15	9.42	10.23	9.42	9.99	216400	6023674.00
2000/05/16	9.86	10.30	9.73	10.30	458300	12984941.00
2000/05/17	10.26	10.73	10.26	10.58	343300	10096197.00
2000/05/18	10.63	10.74	10.27	10.45	246500	7195288.00
2000/05/19	10.49	10.67	10.27	10.41	415000	12132423.00
2000/05/22	10.37	10.60	10.19	10.23	230800	6677238.00
2000/05/23	10.23	10.56	10.18	10.49	347100	9989323.00
2000/05/24	10.58	11.00	10.23	10.74	491100	14488982.00
2000/05/25	10.43	10.82	10.37	10.70	229700	6799406.00
2000/05/26	10.71	10.86	10.60	10.78	437400	13082233.00
2000/05/29	10.71	10.95	10.71	10.77	194800	5854835.00
2000/05/30	10.89	10.89	10.54	10.57	127200	3780662.00
2000/05/31	10.57	10.78	10.54	10.66	236700	7032851.00
2000/06/01	10.66	10.74	10.37	10.60	112700	3309307.00
2000/06/02	10.56	10.66	10.22	10.37	250700	7199818.00
2000/06/05	10.30	10.60	10.24	10.41	244500	7053114.00
2000/06/06	10.37	10.50	10.25	10.46	117500	3404052.00
2000/06/07	10.41	10.52	10.23	10.41	315300	9157467.00
2000/06/08	10.41	10.47	10.18	10.37	79500	2284266.00
2000/06/09	10.37	10.39	9.97	10.04	54400	1543236.00
2000/06/12	9.96	10.04	9.52	9.66	120700	3267215.00
2000/06/13	9.71	9.78	9.56	9.67	232100	6297825.00
2000/06/14	9.74	9.97	9.64	9.67	106800	2912185.00
2000/06/15	9.67	9.91	9.67	9.84	32800	889667.00
2000/06/16	9.74	9.74	9.63	9.74	24600	665149.00
2000/06/19	9.67	10.00	9.67	9.96	125800	3479102.00
2000/06/20	9.93	9.97	9.71	9.93	58300	1605413.00
2000/06/21	9.93	9.93	9.54	9.67	44500	1216729.00
2000/06/22	9.69	10.40	9.68	10.16	1248700	34860152.00
2000/06/23	10.41	10.63	10.04	10.44	873600	25345136.00
2000/06/26	10.47	10.48	9.86	10.04	1079800	31086906.00
2000/06/27	9.89	10.00	9.86	9.97	22500	623978.00
2000/06/28	9.86	9.89	9.63	9.74	150300	4074065.00
2000/06/29	9.85	9.85	9.54	9.55	107100	2881754.00
