600133 东湖高新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	4.86	5.02	4.83	4.94	889500	10697049.00
2000/01/05	4.95	5.04	4.89	4.93	832900	10078656.00
2000/01/06	4.89	5.09	4.89	5.06	907100	11015872.00
2000/01/07	5.09	5.21	5.05	5.16	2219900	27765460.00
2000/01/10	5.18	5.23	5.09	5.19	1915700	24171596.00
2000/01/11	5.19	5.22	4.94	4.96	1245300	15273020.00
2000/01/12	4.95	5.03	4.88	4.89	700900	8362715.00
2000/01/13	4.92	4.93	4.83	4.84	203000	2383843.00
2000/01/14	4.83	4.88	4.78	4.78	312000	3613516.00
2000/01/17	4.79	4.85	4.75	4.82	288400	3307903.00
2000/01/18	4.80	4.84	4.75	4.76	335700	3852796.00
2000/01/19	4.76	4.86	4.75	4.79	241600	2786471.00
2000/01/20	4.82	4.87	4.80	4.87	380200	4438640.00
2000/01/21	4.88	5.05	4.87	4.91	965100	11608662.00
2000/01/24	4.93	5.21	4.88	5.11	2165300	26569988.00
2000/01/25	5.14	5.19	4.95	4.97	930400	11391202.00
2000/01/26	4.97	4.98	4.87	4.89	505600	6040958.00
2000/01/27	5.02	5.21	4.99	5.09	2362600	29476200.00
2000/01/28	5.14	5.29	5.09	5.15	3096500	39437000.00
2000/02/14	5.30	5.58	5.26	5.58	3906900	53008392.00
2000/02/15	5.64	5.97	5.43	5.50	6510800	92275768.00
2000/02/16	5.50	5.57	5.33	5.47	3813600	51278028.00
2000/02/17	5.50	5.71	5.07	5.10	3538900	46696936.00
2000/02/18	5.02	5.23	4.97	5.23	1444200	17844536.00
2000/02/21	5.23	5.23	5.03	5.11	1479100	18480776.00
2000/02/22	5.09	5.26	5.07	5.08	1245300	15706421.00
2000/02/23	5.05	5.12	4.97	4.97	822000	10067578.00
2000/02/24	4.99	5.19	4.99	5.15	741400	9224492.00
2000/02/25	5.23	5.45	5.17	5.26	3235900	42227504.00
2000/02/28	5.30	5.57	5.30	5.57	5512100	74590704.00
2000/02/29	5.67	5.71	5.40	5.50	5640900	77927080.00
2000/03/01	5.52	5.53	5.36	5.38	1912600	25615808.00
2000/03/02	5.36	5.50	5.32	5.43	1441300	19167004.00
2000/03/03	5.44	5.52	5.37	5.40	1706600	22822268.00
2000/03/06	5.47	5.49	5.19	5.19	1877900	24597308.00
2000/03/07	5.12	5.26	5.09	5.21	913300	11534110.00
2000/03/08	5.22	5.29	5.16	5.28	668200	8572074.00
2000/03/09	5.30	5.35	5.20	5.23	894800	11531929.00
2000/03/10	5.23	5.39	5.23	5.29	1304100	16953154.00
2000/03/13	5.32	5.60	5.32	5.58	4070200	55470440.00
2000/03/14	5.47	5.52	5.30	5.47	2822100	37759932.00
2000/03/15	5.50	5.84	5.43	5.65	7328900	103677192.00
2000/03/16	5.60	5.60	5.30	5.36	3199700	43090824.00
2000/03/17	5.36	5.81	5.36	5.81	10224300	144948080.00
2000/03/20	5.84	6.30	5.79	6.30	20210700	310910880.00
2000/03/21	6.29	6.30	6.03	6.21	8195900	127520624.00
2000/03/22	6.23	6.69	6.08	6.49	9306000	149837088.00
2000/03/23	6.47	6.59	6.32	6.44	6544700	107124008.00
2000/03/24	6.53	6.66	6.11	6.13	7189900	117417776.00
2000/03/27	6.16	6.44	6.15	6.38	4727600	75452432.00
2000/03/28	6.42	6.58	6.19	6.28	3752200	60892080.00
2000/03/29	6.29	6.37	6.12	6.19	2911800	45627912.00
2000/03/30	6.19	6.22	6.04	6.22	3156600	48407896.00
2000/03/31	6.19	6.20	6.06	6.13	1862800	28650008.00
2000/04/03	6.12	6.23	6.08	6.13	1389100	21592000.00
2000/04/04	6.10	6.39	6.09	6.24	3264800	51627440.00
2000/04/05	6.22	6.27	6.12	6.21	1389400	21593678.00
2000/04/06	6.22	6.43	6.22	6.39	2976100	47878888.00
2000/04/07	6.43	6.48	6.29	6.32	1505500	24167584.00
2000/04/10	6.32	6.36	6.17	6.19	1562000	24454120.00
2000/04/12	5.98	6.18	5.98	6.13	1112000	17125390.00
2000/04/13	6.13	6.22	6.02	6.12	1354900	20897300.00
2000/04/14	6.14	6.18	6.00	6.09	1598600	24363196.00
2000/04/17	6.09	6.09	5.78	5.80	1957400	28621424.00
2000/04/18	5.81	5.91	5.76	5.86	1051800	15342360.00
2000/04/19	5.89	6.07	5.84	5.99	939300	14113796.00
2000/04/20	6.04	6.08	5.95	6.00	768300	11608119.00
2000/04/21	6.08	6.08	5.90	5.92	857600	12894608.00
2000/04/24	5.90	5.90	5.78	5.80	1133000	16444112.00
2000/04/25	5.91	5.94	5.81	5.85	417100	6099552.00
2000/04/26	5.88	5.92	5.78	5.80	619100	9003092.00
2000/04/27	5.84	5.90	5.77	5.81	539200	7833838.00
2000/04/28	5.79	5.98	5.78	5.97	859000	12684367.00
2000/05/08	5.98	6.01	5.84	5.88	424400	6256939.00
2000/05/09	5.88	5.94	5.71	5.75	587700	8461465.00
2000/05/10	5.72	5.72	5.57	5.58	727500	10159017.00
2000/05/11	5.57	5.62	5.48	5.49	494900	6775672.00
2000/05/12	5.50	5.58	5.47	5.52	473000	6463287.00
2000/05/15	5.52	5.57	5.50	5.50	373400	5110205.00
2000/05/16	5.54	5.62	5.50	5.58	478100	6593867.00
2000/05/17	5.60	5.61	5.55	5.57	345500	4767309.00
2000/05/18	5.55	5.67	5.54	5.67	595700	8289285.00
2000/05/19	5.67	5.72	5.64	5.70	665900	9394825.00
2000/05/22	5.71	5.88	5.67	5.84	826400	11911183.00
2000/05/23	5.88	5.88	5.69	5.75	773300	11060888.00
2000/05/24	5.76	6.04	5.72	5.97	1825600	27154536.00
2000/05/25	6.05	6.08	5.96	6.00	1454900	21930276.00
2000/05/26	6.03	6.03	5.91	5.95	1038200	15543892.00
2000/05/29	5.92	6.08	5.92	6.01	1101000	16681421.00
2000/05/30	6.05	6.07	5.91	5.91	737800	11050594.00
2000/05/31	5.90	5.96	5.86	5.95	481300	7032947.00
2000/06/01	5.99	6.04	5.86	5.96	920700	13586896.00
2000/06/02	5.99	6.10	5.99	6.02	784700	11791775.00
2000/06/05	6.06	6.10	5.98	6.02	1076100	16164175.00
2000/06/06	6.03	6.33	6.03	6.27	2577700	40090088.00
2000/06/07	6.33	6.34	6.18	6.21	1100300	17139810.00
2000/06/08	6.22	6.24	6.07	6.09	761200	11601355.00
2000/06/09	6.09	6.10	5.96	5.97	756700	11316240.00
2000/06/12	5.95	6.02	5.91	6.00	376300	5583266.00
2000/06/13	6.00	6.03	5.93	6.01	485200	7203125.00
2000/06/14	5.99	6.03	5.96	5.96	558700	8287528.00
2000/06/15	5.95	6.07	5.95	6.03	414900	6201913.00
2000/06/16	6.05	6.07	5.96	5.97	438700	6554272.00
2000/06/19	5.96	5.98	5.89	5.93	512200	7527087.00
2000/06/20	5.98	6.02	5.90	5.93	428100	6329850.00
2000/06/21	5.93	6.08	5.89	6.02	411000	6158787.00
2000/06/22	6.07	6.08	5.96	6.00	326300	4891984.00
2000/06/23	6.00	6.13	5.95	6.13	771800	11662680.00
2000/06/26	6.15	6.30	6.10	6.22	2154600	33543918.00
2000/06/27	6.22	6.26	6.12	6.25	1091100	16895976.00
2000/06/28	6.30	6.34	6.03	6.13	499700	7706807.00
2000/06/29	6.13	6.19	6.03	6.17	1272100	19206790.00
2000/06/30	6.20	6.23	6.14	6.14	590500	9098872.00
2000/07/03	6.11	6.11	5.99	5.99	551700	8259693.00
2000/07/04	6.00	6.05	5.96	6.00	364100	5419371.00
2000/07/05	6.01	6.03	5.96	5.99	333200	4956325.00
2000/07/06	5.99	5.99	5.92	5.95	574000	8466561.00
2000/07/07	5.96	6.05	5.95	6.02	329900	4910512.00
2000/07/10	6.01	6.06	5.97	6.00	582900	8683021.00
2000/07/11	5.99	6.13	5.98	6.13	899200	13583817.00
2000/07/12	6.16	6.19	6.09	6.12	633900	9669384.00
2000/07/13	6.12	6.32	6.10	6.25	2104200	32770430.00
2000/07/14	6.29	6.29	6.10	6.19	792500	12238938.00
2000/07/17	6.20	6.30	6.19	6.23	1092100	17082040.00
2000/07/18	6.23	6.50	6.22	6.44	4009400	64196932.00
2000/07/19	6.48	6.49	6.33	6.37	1304500	20900804.00
2000/07/20	6.37	6.46	6.24	6.27	981200	15501610.00
2000/07/21	6.29	6.31	6.07	6.17	1099300	17060424.00
2000/07/24	6.16	6.25	6.15	6.24	548000	8477320.00
2000/07/25	6.27	6.27	6.19	6.20	340200	5275823.00
2000/07/26	6.22	6.34	6.20	6.23	360800	5646301.00
2000/07/27	6.23	6.33	6.23	6.27	637600	10033688.00
2000/07/28	6.27	6.44	6.24	6.41	1465200	23172368.00
2000/07/31	6.49	6.49	6.36	6.45	2287400	36916460.00
2000/08/01	6.48	6.48	6.37	6.38	905700	14577812.00
2000/08/02	6.37	6.38	6.25	6.29	982500	15463610.00
2000/08/03	6.27	6.36	6.25	6.28	1122400	17754074.00
2000/08/04	6.28	6.33	6.17	6.20	1209800	18886436.00
2000/08/07	6.17	6.28	6.15	6.23	1067700	16644817.00
2000/08/08	6.23	6.37	6.23	6.35	1133600	17967008.00
2000/08/09	6.36	6.36	6.29	6.32	833200	13215198.00
2000/08/10	6.32	6.44	6.32	6.40	1859900	29907244.00
2000/08/11	6.41	6.44	6.31	6.44	1270300	20356770.00
2000/08/14	6.49	6.49	6.35	6.37	2259200	36587912.00
2000/08/15	6.37	6.38	6.29	6.33	1347200	21326496.00
2000/08/16	6.32	6.37	6.27	6.34	2894400	45836092.00
2000/08/17	6.54	6.68	6.47	6.52	2566300	39934816.00
2000/08/18	6.38	6.56	6.34	6.52	697300	10697265.00
2000/08/21	6.56	6.58	6.43	6.53	985700	15194223.00
2000/08/22	6.53	6.64	6.43	6.44	1563000	23941288.00
2000/08/23	6.38	6.47	6.12	6.32	1159100	17294732.00
2000/08/24	6.32	6.47	6.29	6.38	742500	11214880.00
2000/08/25	6.43	6.45	6.34	6.43	471300	7128839.00
2000/08/28	6.47	6.49	6.34	6.42	709100	10709299.00
2000/08/29	6.42	6.45	6.37	6.42	559800	8489816.00
2000/08/30	6.43	6.55	6.36	6.41	1183200	18100016.00
2000/08/31	6.38	6.49	6.21	6.25	1353300	20417592.00
2000/09/01	6.21	6.29	6.08	6.15	862600	12688383.00
2000/09/04	6.21	6.24	6.11	6.20	413700	6047834.00
2000/09/05	6.25	6.25	5.92	5.94	397600	5754381.00
2000/09/06	5.92	6.00	5.84	5.89	353200	4967757.00
2000/09/07	5.89	6.01	5.85	5.92	358400	5036018.00
2000/09/08	5.92	6.05	5.92	5.96	257200	3646470.00
2000/09/11	5.98	6.05	5.96	6.03	189600	2707638.00
2000/09/12	6.03	6.09	6.03	6.05	184700	2654007.00
2000/09/13	6.05	6.12	5.97	6.10	212100	3044104.00
2000/09/14	6.10	6.17	5.99	6.13	281600	4074211.00
2000/09/15	6.12	6.12	5.98	6.07	195100	2790193.00
2000/09/18	6.12	6.56	6.12	6.17	1105800	16567604.00
2000/09/19	6.17	6.36	6.17	6.35	1767900	26403090.00
2000/09/20	6.41	6.47	6.29	6.45	1691100	25661526.00
2000/09/21	6.48	6.72	6.43	6.44	4415400	68894040.00
2000/09/22	6.34	6.47	6.25	6.29	1395800	20962158.00
2000/09/25	6.29	6.54	6.29	6.42	963500	14634209.00
2000/09/26	6.49	6.54	6.37	6.43	469700	7129688.00
2000/09/27	6.45	6.46	6.32	6.41	713100	10782236.00
2000/09/28	6.45	6.45	6.23	6.25	618900	9223607.00
2000/09/29	6.21	6.42	6.20	6.38	488400	7359226.00
2000/10/09	6.41	6.56	6.34	6.56	895700	13759512.00
2000/10/10	6.61	6.61	6.48	6.56	786900	12160062.00
2000/10/11	6.56	6.56	6.34	6.43	729400	11136555.00
2000/10/12	6.43	6.69	6.38	6.60	1511300	23481812.00
2000/10/13	6.56	6.89	6.52	6.65	5399000	85830864.00
2000/10/16	6.68	6.85	6.52	6.56	2293000	36344800.00
2000/10/17	6.56	6.76	6.45	6.71	1473500	22928376.00
2000/10/18	6.76	7.00	6.65	6.88	3981300	64419968.00
2000/10/19	6.94	7.00	6.79	6.82	2197300	35668124.00
2000/10/20	6.82	7.53	6.82	7.53	13651500	236599552.00
2000/10/23	7.75	7.93	7.57	7.67	19424900	352902368.00
2000/10/24	7.68	8.21	7.46	8.20	9875900	178831936.00
2000/10/25	8.13	8.41	7.89	7.97	13405200	255612784.00
2000/10/26	7.89	8.06	7.67	7.73	6684600	122902928.00
2000/10/27	7.72	8.03	7.56	7.89	6156100	112625824.00
2000/10/30	7.81	7.88	7.58	7.61	3529700	63725660.00
