600151 航天机电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.71	3.79	3.68	3.77	430200	5541684.00
2000/01/05	3.77	3.84	3.72	3.76	791900	10385555.00
2000/01/06	3.72	3.85	3.72	3.84	706800	9282454.00
2000/01/07	3.86	3.95	3.86	3.93	1583300	21793974.00
2000/01/10	3.95	4.00	3.89	3.97	1542300	21602134.00
2000/01/11	3.97	3.97	3.81	3.82	956100	12990468.00
2000/01/12	3.79	3.84	3.70	3.73	767800	9948632.00
2000/01/13	3.73	3.75	3.70	3.71	414200	5246690.00
2000/01/14	3.74	3.75	3.70	3.73	301700	3820178.00
2000/01/17	3.77	3.90	3.77	3.85	636000	8533815.00
2000/01/18	3.86	3.88	3.78	3.80	409300	5465863.00
2000/01/19	3.81	3.95	3.80	3.94	1125800	15336011.00
2000/01/20	3.95	3.98	3.91	3.97	1180300	16503140.00
2000/01/21	3.97	3.98	3.91	3.91	1155400	16139107.00
2000/01/24	3.88	3.90	3.81	3.85	1292300	17286780.00
2000/01/25	3.86	3.97	3.86	3.89	1119500	15445083.00
2000/01/26	3.91	3.95	3.87	3.95	891800	12346990.00
2000/01/27	4.04	4.12	4.02	4.05	2216400	32595456.00
2000/01/28	4.08	4.21	4.08	4.13	2958700	44849660.00
2000/02/14	4.23	4.39	4.22	4.38	2864700	46058332.00
2000/02/15	4.44	4.58	4.26	4.29	4360900	72348032.00
2000/02/16	4.28	4.36	4.24	4.30	2892200	45907476.00
2000/02/17	4.33	4.46	4.02	4.05	3431700	53007260.00
2000/02/18	4.02	4.13	4.00	4.13	1581400	23316964.00
2000/02/21	4.14	4.28	4.09	4.23	2578000	39740948.00
2000/02/22	4.25	4.26	4.05	4.06	1993900	30520708.00
2000/02/23	4.07	4.14	4.06	4.11	1686200	25124408.00
2000/02/24	4.16	4.18	4.12	4.17	909600	13723094.00
2000/02/25	4.19	4.37	4.19	4.26	3354500	53241816.00
2000/02/28	4.30	4.34	4.28	4.32	3187300	51338392.00
2000/02/29	4.37	4.37	4.23	4.27	2413400	38475328.00
2000/03/01	4.28	4.30	4.18	4.19	1643400	25631380.00
2000/03/02	4.19	4.30	4.19	4.21	1491000	23250952.00
2000/03/03	4.23	4.30	4.18	4.18	2366200	36753676.00
2000/03/06	4.21	4.23	4.06	4.07	2136200	32153506.00
2000/03/07	4.06	4.11	4.02	4.11	843400	12345139.00
2000/03/08	4.12	4.14	4.09	4.12	689400	10275295.00
2000/03/09	4.12	4.21	4.12	4.15	866000	13202926.00
2000/03/10	4.15	4.16	4.05	4.06	784900	11621113.00
2000/03/13	4.06	4.11	4.06	4.08	545900	8034172.00
2000/03/14	4.08	4.21	4.05	4.19	1616400	24411212.00
2000/03/15	4.21	4.35	4.19	4.29	4377100	70006120.00
2000/03/16	4.32	4.33	4.09	4.12	2477200	38387436.00
2000/03/17	4.12	4.24	4.12	4.22	1420000	21930656.00
2000/03/20	4.24	4.40	4.23	4.36	4409700	71666528.00
2000/03/21	4.36	4.36	4.29	4.34	1894400	30551366.00
2000/03/22	4.34	4.35	4.27	4.30	1990500	32048888.00
2000/03/23	4.30	4.34	4.26	4.33	1574000	25249524.00
2000/03/24	4.35	4.46	4.31	4.32	3943600	65286652.00
2000/03/27	4.40	4.53	4.39	4.48	3860100	65526384.00
2000/03/28	4.53	4.54	4.38	4.42	2332900	38990464.00
2000/03/29	4.42	4.45	4.32	4.37	1832000	30021128.00
2000/03/30	4.37	4.45	4.35	4.42	1453100	23933696.00
2000/03/31	4.40	4.41	4.30	4.32	2100600	34136620.00
2000/04/03	4.32	4.35	4.30	4.30	1524500	24539932.00
2000/04/04	4.30	4.30	4.24	4.24	1299300	20471294.00
2000/04/05	4.24	4.29	4.23	4.27	791800	12482209.00
2000/04/06	4.28	4.35	4.26	4.33	870100	13956264.00
2000/04/07	4.35	4.35	4.28	4.29	899200	14402269.00
2000/04/10	4.30	4.32	4.28	4.30	835100	13356692.00
2000/04/11	4.30	4.38	4.30	4.37	1035900	16858668.00
2000/04/12	4.39	4.39	4.28	4.29	772800	12434468.00
2000/04/13	4.30	4.33	4.29	4.31	612600	9845298.00
2000/04/14	4.31	4.34	4.27	4.27	820000	13100091.00
2000/04/17	4.27	4.27	4.19	4.21	1332800	20659050.00
2000/04/18	4.23	4.29	4.22	4.28	651800	10266088.00
2000/04/19	4.29	4.40	4.28	4.39	2349300	38395664.00
2000/04/20	4.39	4.49	4.35	4.44	4851900	81701208.00
2000/04/21	4.45	4.49	4.40	4.45	2745300	46248564.00
2000/04/24	4.47	4.54	4.44	4.44	2222900	37926560.00
2000/04/25	4.46	4.46	4.39	4.41	1263100	21057868.00
2000/04/26	4.41	4.48	4.40	4.43	1085000	18256184.00
2000/04/27	4.43	4.51	4.42	4.43	2350100	39920016.00
2000/04/28	4.44	4.51	4.42	4.49	1601200	27140202.00
2000/05/08	4.53	4.67	4.49	4.60	3852900	68090688.00
2000/05/09	4.60	4.61	4.47	4.47	1845200	31861112.00
2000/05/11	4.38	4.42	4.33	4.34	1634800	26852076.00
2000/05/12	4.34	4.44	4.34	4.36	1276200	21050256.00
2000/05/15	4.37	4.42	4.34	4.39	655500	10799591.00
2000/05/16	4.40	4.47	4.40	4.45	822600	13828268.00
2000/05/17	4.45	4.54	4.45	4.46	1502100	25741094.00
2000/05/18	4.47	4.61	4.47	4.57	2542200	44463160.00
2000/05/19	4.59	4.68	4.57	4.59	3165000	56636952.00
2000/05/22	4.67	4.90	4.62	4.85	5736000	107384112.00
2000/05/23	4.85	4.91	4.76	4.85	3823900	72763816.00
2000/05/24	4.91	4.91	4.74	4.75	3824800	72204760.00
2000/05/25	4.77	4.88	4.76	4.82	2030100	38331808.00
2000/05/26	4.82	4.82	4.68	4.68	2255400	41710060.00
2000/05/29	4.71	4.82	4.71	4.73	1446300	26835786.00
2000/05/30	4.74	4.91	4.73	4.85	2858300	54286048.00
2000/05/31	4.84	4.93	4.79	4.81	2807300	53726308.00
2000/06/01	4.84	5.09	4.84	5.01	5819100	115972568.00
2000/06/02	5.03	5.06	4.97	5.02	2376000	47693640.00
2000/06/05	5.07	5.11	4.94	4.94	2793800	55863180.00
2000/06/06	4.94	5.10	4.93	5.06	3151700	63121484.00
2000/06/07	5.09	5.14	5.04	5.05	1929600	39420588.00
2000/06/08	5.05	5.08	4.94	4.95	2257200	44837268.00
2000/06/09	4.95	5.02	4.90	4.90	1837000	35984716.00
2000/06/12	4.87	4.94	4.83	4.90	1027200	19895544.00
2000/06/13	4.90	4.94	4.88	4.93	853400	16648006.00
2000/06/14	4.94	5.00	4.94	4.97	900300	17866612.00
2000/06/15	4.97	4.98	4.86	4.87	1248800	24360796.00
2000/06/16	4.89	4.90	4.83	4.83	1460600	28026036.00
2000/06/19	4.84	4.84	4.78	4.80	1306300	24659788.00
2000/06/20	4.80	4.89	4.77	4.80	946800	18060304.00
2000/06/21	4.81	4.88	4.81	4.88	642200	12313150.00
2000/06/22	4.91	4.91	4.84	4.84	434000	8349089.00
2000/06/23	4.86	4.90	4.82	4.90	599600	11549790.00
2000/06/26	4.95	5.00	4.93	4.99	790300	15461260.00
2000/06/27	5.00	5.03	4.95	4.95	619100	12119841.00
2000/06/28	4.95	4.95	4.89	4.90	679600	13037862.00
2000/06/29	4.91	4.91	4.86	4.88	599100	11395801.00
2000/06/30	4.88	4.94	4.85	4.85	1134900	21594822.00
2000/07/03	4.85	4.85	4.70	4.80	782700	14519426.00
2000/07/04	4.78	4.87	4.77	4.81	569700	10649723.00
2000/07/05	4.82	4.87	4.81	4.82	321500	6043712.00
2000/07/06	4.83	4.87	4.83	4.85	469700	8849891.00
2000/07/07	4.88	4.97	4.88	4.96	947400	18290304.00
2000/07/10	4.98	5.00	4.91	4.95	587900	11464209.00
2000/07/11	4.96	4.97	4.90	4.90	666100	12889195.00
2000/07/12	4.91	4.97	4.91	4.96	563300	10922523.00
2000/07/13	4.95	4.97	4.91	4.95	738600	14338493.00
2000/07/14	4.95	5.02	4.92	4.98	795500	15611827.00
2000/07/17	4.98	5.02	4.95	4.98	512600	10075084.00
2000/07/18	4.98	5.05	4.96	5.01	747100	14768370.00
2000/07/19	5.03	5.03	4.98	5.00	757200	14946454.00
2000/07/20	5.00	5.02	4.91	4.91	1031700	20110844.00
2000/07/21	4.92	4.95	4.88	4.89	780400	14933570.00
2000/07/24	4.88	4.89	4.84	4.86	499100	9436376.00
2000/07/25	4.88	4.93	4.86	4.90	785500	14981498.00
2000/07/26	4.89	4.93	4.89	4.90	391600	7511478.00
2000/07/27	4.90	4.94	4.89	4.89	670100	12850052.00
2000/07/28	4.89	4.91	4.86	4.86	590200	11213381.00
2000/08/01	4.88	4.89	4.82	4.83	719400	13495734.00
2000/08/02	4.84	4.89	4.84	4.89	382500	7265534.00
2000/08/03	4.89	4.89	4.82	4.83	955000	17946968.00
2000/08/04	4.85	4.87	4.80	4.82	431600	8068436.00
2000/08/07	4.84	4.93	4.81	4.89	544600	10285460.00
2000/08/08	4.90	4.96	4.89	4.91	676800	13067009.00
2000/08/09	4.92	4.95	4.87	4.88	586200	11184148.00
2000/08/10	4.89	4.91	4.85	4.86	633800	12018738.00
2000/08/11	4.87	4.92	4.87	4.89	690100	13169548.00
2000/08/14	4.89	5.03	4.87	5.03	1726200	33842660.00
