600171 上海贝岭 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	8.88	9.76	8.81	9.70	5043300	105875888.00
2000/01/05	9.69	10.01	9.39	9.43	5148000	110409528.00
2000/01/06	9.42	10.31	9.23	10.04	4847100	103985904.00
2000/01/07	10.09	10.61	10.00	10.24	8593600	195333856.00
2000/01/10	10.34	10.44	10.00	10.30	4901700	111358352.00
2000/01/11	10.30	10.31	9.60	9.65	6210700	135120592.00
2000/01/12	9.54	9.74	9.07	9.07	2838200	58605880.00
2000/01/13	9.07	9.21	8.94	9.03	1160200	23145004.00
2000/01/14	9.07	9.17	8.86	8.89	884600	17409126.00
2000/01/17	8.86	9.07	8.69	9.00	967300	18780604.00
2000/01/18	9.04	9.08	8.78	8.82	799600	15604933.00
2000/01/19	8.82	9.04	8.80	8.89	946200	18529636.00
2000/01/20	8.91	9.19	8.87	9.18	1805000	36087940.00
2000/01/21	9.21	9.59	9.20	9.20	3337700	69253632.00
2000/01/24	9.15	9.51	9.00	9.21	3231500	65430016.00
2000/01/25	9.26	9.51	9.17	9.25	2078800	42770448.00
2000/01/26	9.17	9.25	8.90	9.00	1729100	34412656.00
2000/01/27	9.24	9.86	9.04	9.86	6996100	149970672.00
2000/01/28	10.31	10.70	9.91	10.18	10265600	236783680.00
2000/02/14	10.83	11.16	10.48	11.16	6171500	150775824.00
2000/02/15	11.71	12.25	11.27	11.54	11265400	300881568.00
2000/02/16	11.48	12.12	11.05	11.51	9671300	245471056.00
2000/02/17	11.75	12.30	10.39	10.39	12898600	318348640.00
2000/02/18	10.18	10.65	9.60	10.65	4744600	105122360.00
2000/02/21	10.66	10.68	9.99	10.12	4016700	90768800.00
2000/02/22	10.04	10.47	9.77	9.96	2748100	61764124.00
2000/02/23	9.87	10.04	9.74	9.83	1838400	40040240.00
2000/02/24	9.80	10.09	9.78	10.09	1688600	37073352.00
2000/02/25	10.18	10.28	9.91	9.99	2945100	65610888.00
2000/02/28	10.04	10.96	10.04	10.96	3918500	93676200.00
2000/02/29	12.02	12.02	11.40	12.02	29897700	789861568.00
2000/03/01	12.21	12.21	11.18	11.22	11336800	290308960.00
2000/03/02	11.20	11.91	11.05	11.47	6250400	158450688.00
2000/03/03	11.73	11.88	11.18	11.36	6086800	155436304.00
2000/03/06	11.40	11.57	10.39	10.44	7287600	174401888.00
2000/03/07	10.31	10.72	10.22	10.65	2753400	64054976.00
2000/03/08	10.65	11.09	10.39	10.96	2821500	67688048.00
2000/03/09	10.96	11.02	10.72	10.74	2071300	49588580.00
2000/03/10	10.69	11.09	10.61	10.70	1886600	44975312.00
2000/03/13	10.69	11.01	10.65	10.84	1950000	47051288.00
2000/03/14	10.66	10.73	10.26	10.61	3430400	79638872.00
2000/03/15	10.60	11.49	10.50	10.84	3860500	95318592.00
2000/03/16	10.70	10.87	10.33	10.44	2938000	68718824.00
2000/03/17	10.44	11.04	10.44	10.81	3126200	74794080.00
2000/03/20	10.69	11.17	10.61	11.05	3282200	79795744.00
2000/03/21	11.12	11.18	10.84	10.98	1976200	48192400.00
2000/03/22	11.01	11.71	10.96	11.29	6087600	153587600.00
2000/03/23	11.36	11.44	11.09	11.36	2699900	67608424.00
2000/03/24	11.49	11.62	10.96	11.01	3479700	87561720.00
2000/03/27	11.05	11.52	10.92	11.29	2639500	65870024.00
2000/03/28	11.40	11.84	11.20	11.68	6368100	163615584.00
2000/03/29	11.78	12.05	11.47	11.57	4766600	124550208.00
2000/03/30	11.49	11.66	11.25	11.38	2746500	69125160.00
2000/03/31	11.31	11.33	11.09	11.20	2102400	52278648.00
2000/04/03	11.09	11.29	10.97	11.07	1487000	36704808.00
2000/04/04	10.83	10.96	10.63	10.78	3034700	72570256.00
2000/04/05	10.70	10.91	10.65	10.68	1388800	33005910.00
2000/04/06	10.70	10.91	10.70	10.88	1304100	31171348.00
2000/04/07	10.88	10.92	10.74	10.80	994500	23774008.00
2000/04/10	10.83	11.14	10.83	10.86	1131000	27485588.00
2000/04/11	10.87	11.26	10.66	11.10	2789000	68054672.00
2000/04/12	11.10	11.11	10.70	10.74	1638700	39169156.00
2000/04/13	10.75	10.99	10.72	10.79	2065900	49626388.00
2000/04/14	10.79	10.83	10.60	10.65	2087900	49334592.00
2000/04/17	10.57	10.60	10.22	10.28	3021200	68835024.00
2000/04/18	10.33	10.46	10.22	10.38	1123700	25724052.00
2000/04/19	10.44	10.66	10.39	10.60	2515300	58678620.00
2000/04/20	10.61	10.65	10.40	10.46	1343800	31160504.00
2000/04/21	10.46	10.83	10.44	10.52	1261400	29786614.00
2000/04/24	10.61	10.64	10.31	10.35	920400	21163104.00
2000/04/25	10.37	10.44	10.31	10.36	561600	12874855.00
2000/04/26	10.37	10.56	10.35	10.39	538400	12371049.00
2000/04/27	10.40	10.57	10.33	10.40	672100	15514629.00
2000/04/28	10.40	10.78	10.40	10.67	1619700	38201064.00
