600172 黄河旋风 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	2.02	2.06	1.99	2.05	311300	2836695.00
2000/01/05	2.05	2.14	2.02	2.09	680300	6432851.00
2000/01/06	2.02	2.14	2.02	2.14	529700	4997051.00
2000/01/07	2.16	2.31	2.16	2.31	4300700	45076852.00
2000/01/10	2.41	2.43	2.31	2.41	5922400	64740228.00
2000/01/11	2.41	2.41	2.23	2.27	2573100	27671296.00
2000/01/12	2.27	2.31	2.18	2.20	1464000	14849138.00
2000/01/13	2.18	2.23	2.16	2.20	718600	7189372.00
2000/01/14	2.23	2.23	2.16	2.17	485100	4815344.00
2000/01/17	2.15	2.17	2.11	2.15	686400	6600387.00
2000/01/18	2.16	2.16	2.11	2.12	527400	5097956.00
2000/01/19	2.12	2.16	2.11	2.14	719300	6930036.00
2000/01/20	2.14	2.22	2.12	2.21	1022300	10046080.00
2000/01/21	2.23	2.25	2.18	2.22	1344400	13628366.00
2000/01/24	2.20	2.21	2.15	2.17	1011300	9933188.00
2000/01/25	2.16	2.23	2.15	2.21	1193400	11862786.00
2000/01/26	2.21	2.21	2.17	2.20	790700	7850126.00
2000/01/27	2.22	2.26	2.17	2.23	2345000	23628230.00
2000/01/28	2.24	2.24	2.20	2.22	2532800	25574380.00
2000/02/14	2.26	2.40	2.24	2.40	5178600	56222316.00
2000/02/15	2.60	2.60	2.51	2.59	7852000	94888000.00
2000/02/16	2.81	2.81	2.81	2.81	995000	13353732.00
2000/02/17	3.05	3.05	3.05	3.05	4260800	62890500.00
2000/02/18	3.31	3.32	2.83	3.32	27852900	430930528.00
2000/02/21	3.45	3.60	3.28	3.42	16533500	279708320.00
2000/02/22	3.29	3.42	3.13	3.14	7775700	124188576.00
2000/02/23	3.03	3.10	2.87	2.87	7511300	106160688.00
2000/02/24	2.83	3.08	2.81	3.07	4484200	62939248.00
2000/02/25	3.07	3.09	2.92	2.95	3997700	57627208.00
2000/02/28	2.95	3.21	2.88	3.21	6403500	94862776.00
2000/02/29	3.24	3.28	3.01	3.11	6631800	101360072.00
2000/03/01	3.08	3.10	2.97	2.99	2784400	40565508.00
2000/03/02	2.97	3.10	2.95	3.04	1906000	27636028.00
2000/03/03	3.09	3.10	3.00	3.03	2287800	33553036.00
2000/03/06	3.03	3.06	2.86	2.86	3255100	46028236.00
2000/03/07	2.82	2.85	2.79	2.81	2194200	29408126.00
2000/03/08	2.81	2.95	2.81	2.92	1544200	21450138.00
2000/03/09	2.92	2.97	2.88	2.91	1210200	16944952.00
2000/03/10	2.90	3.00	2.86	2.88	1522400	21302204.00
2000/03/13	2.86	2.87	2.82	2.84	1119900	15169082.00
2000/03/14	2.83	2.83	2.72	2.80	1569100	20645766.00
2000/03/15	2.80	2.80	2.76	2.76	982700	12996247.00
2000/03/16	2.76	2.76	2.56	2.58	2190700	27207040.00
2000/03/17	2.56	2.66	2.56	2.64	1763500	21780576.00
2000/03/20	2.63	2.68	2.58	2.68	2287400	28434504.00
2000/03/21	2.68	2.68	2.61	2.65	2309000	28549780.00
2000/03/22	2.67	2.77	2.65	2.74	2251200	29203296.00
2000/03/23	2.75	2.77	2.68	2.75	1617900	20858592.00
2000/03/24	2.79	2.85	2.75	2.75	2887000	38635436.00
2000/03/27	2.75	2.77	2.72	2.77	1685100	21974090.00
2000/03/28	2.78	2.82	2.76	2.79	1551200	20562584.00
2000/03/29	2.81	2.89	2.79	2.84	1895900	25662356.00
2000/03/30	2.86	2.86	2.79	2.81	1138100	15217157.00
2000/03/31	2.81	2.82	2.74	2.76	1300900	17039492.00
2000/04/03	2.72	2.77	2.67	2.77	1680000	21527984.00
2000/04/04	2.76	2.76	2.68	2.71	633200	8154008.00
2000/04/05	2.70	2.73	2.68	2.70	652700	8344768.00
2000/04/06	2.70	2.75	2.70	2.74	916300	11891742.00
2000/04/07	2.76	2.79	2.74	2.75	953300	12512422.00
2000/04/10	2.75	2.76	2.70	2.75	996300	12923230.00
2000/04/11	2.78	2.97	2.76	2.95	2515100	34419524.00
2000/04/12	2.95	2.95	2.83	2.87	2220500	30688112.00
2000/04/13	2.87	2.92	2.83	2.86	1403000	19321552.00
2000/04/14	2.85	2.86	2.79	2.81	947700	12751727.00
2000/04/17	2.77	2.78	2.74	2.76	913400	11973948.00
2000/04/18	2.75	2.78	2.75	2.77	625900	8252944.00
2000/04/19	2.79	2.88	2.76	2.82	1134700	15221130.00
2000/04/20	2.86	2.88	2.82	2.83	923400	12519663.00
2000/04/21	2.85	2.88	2.79	2.79	718400	9707974.00
2000/04/24	2.79	2.79	2.74	2.75	878800	11505254.00
2000/04/25	2.75	2.78	2.74	2.76	754000	9868495.00
2000/04/26	2.77	2.80	2.74	2.75	786200	10279415.00
2000/04/27	2.75	2.78	2.71	2.72	964600	12503107.00
2000/04/28	2.72	2.77	2.70	2.76	565000	7336701.00
2000/05/08	2.76	2.77	2.72	2.73	383800	5000935.00
2000/05/09	2.73	2.74	2.68	2.72	470400	6004583.00
2000/05/10	2.70	2.70	2.67	2.67	362100	4576913.00
2000/05/11	2.67	2.67	2.60	2.61	518100	6410112.00
2000/05/15	2.61	2.61	2.51	2.54	477400	5690462.00
2000/05/16	2.54	2.62	2.54	2.61	335100	4058211.00
2000/05/17	2.59	2.65	2.56	2.58	193900	2380485.00
2000/05/18	2.56	2.60	2.56	2.60	302400	3671313.00
2000/05/19	2.62	2.68	2.60	2.68	396700	4897573.00
2000/05/22	2.68	2.72	2.64	2.70	599400	7630384.00
2000/05/23	2.71	2.73	2.65	2.69	1140400	14327792.00
2000/05/24	2.69	2.81	2.67	2.76	1687100	21883596.00
2000/05/25	2.79	2.79	2.73	2.75	1033800	13511586.00
2000/05/26	2.77	2.77	2.70	2.72	898200	11666245.00
2000/05/29	2.72	2.75	2.65	2.70	711300	9178515.00
2000/05/30	2.70	2.76	2.70	2.70	865900	11200332.00
2000/05/31	2.70	2.72	2.68	2.70	469000	6001240.00
2000/06/01	2.70	2.74	2.68	2.72	433300	5553189.00
2000/06/02	2.72	2.77	2.71	2.75	961000	12566636.00
2000/06/05	2.76	2.83	2.75	2.80	1631700	21706196.00
2000/06/06	2.80	2.86	2.80	2.82	1303900	17543352.00
2000/06/07	2.83	2.88	2.82	2.82	1303700	17717116.00
2000/06/08	2.82	2.82	2.74	2.76	715000	9386018.00
2000/06/09	2.76	2.77	2.71	2.72	665800	8623864.00
2000/06/12	2.70	2.70	2.65	2.68	525600	6650329.00
2000/06/13	2.68	2.76	2.68	2.72	358100	4615954.00
2000/06/14	2.72	2.73	2.70	2.73	534700	6869239.00
2000/06/15	2.73	2.74	2.70	2.74	413300	5310697.00
2000/06/16	2.74	2.80	2.73	2.76	831900	10991367.00
2000/06/19	2.75	2.75	2.71	2.72	404000	5237210.00
2000/06/20	2.73	2.77	2.72	2.72	295800	3839692.00
2000/06/21	2.73	2.77	2.72	2.73	406000	5286311.00
2000/06/22	2.74	2.76	2.73	2.73	273700	3567004.00
2000/06/23	2.74	2.76	2.71	2.75	491300	6372374.00
2000/06/26	2.77	2.82	2.77	2.81	1141000	15160203.00
2000/06/27	2.83	2.83	2.77	2.78	696200	9251624.00
2000/06/28	2.77	2.79	2.75	2.76	563000	7413681.00
2000/06/29	2.77	2.78	2.74	2.76	452500	5932972.00
2000/06/30	2.75	2.76	2.71	2.71	549000	7096616.00
2000/07/03	2.70	2.70	2.68	2.69	459300	5839805.00
2000/07/04	2.69	2.75	2.69	2.74	279200	3607388.00
2000/07/05	2.74	2.75	2.71	2.72	245100	3160266.00
2000/07/06	2.72	2.72	2.67	2.68	464600	5899596.00
2000/07/07	2.68	2.72	2.68	2.72	186100	2388237.00
2000/07/10	2.73	2.74	2.68	2.69	476600	6065312.00
2000/07/11	2.69	2.75	2.67	2.73	571200	7321756.00
2000/07/12	2.75	2.76	2.72	2.74	490100	6376629.00
