600177 雅戈尔 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	-2.70	-2.67	-2.73	-2.68	248900	4594751.00
2000/01/05	-2.68	-2.64	-2.69	-2.67	573400	10736421.00
2000/01/06	-2.69	-2.63	-2.69	-2.64	762800	14437518.00
2000/01/07	-2.62	-2.50	-2.63	-2.56	3156700	62422396.00
2000/01/10	-2.55	-2.53	-2.59	-2.55	2682200	53670944.00
2000/01/11	-2.56	-2.56	-2.64	-2.64	1711600	33276884.00
2000/01/12	-2.65	-2.62	-2.71	-2.69	959400	17869166.00
2000/01/13	-2.69	-2.68	-2.70	-2.70	353100	6498347.00
2000/01/14	-2.70	-2.68	-2.71	-2.69	265700	4882347.00
2000/01/17	-2.70	-2.66	-2.73	-2.68	371300	6789588.00
2000/01/18	-2.67	-2.63	-2.68	-2.66	467700	8784205.00
2000/01/19	-2.66	-2.61	-2.66	-2.63	742400	14231415.00
2000/01/20	-2.63	-2.60	-2.65	-2.62	581500	11162834.00
2000/01/21	-2.61	-2.61	-2.67	-2.64	887000	16782058.00
2000/01/24	-2.65	-2.60	-2.66	-2.60	868900	16676972.00
2000/01/25	-2.57	-2.57	-2.64	-2.63	612300	11853469.00
2000/01/26	-2.62	-2.54	-2.64	-2.58	2898900	57365616.00
2000/01/27	-2.58	-2.55	-2.61	-2.60	1264500	24883028.00
2000/01/28	-2.60	-2.56	-2.63	-2.59	1276600	24773808.00
2000/02/14	-2.43	-2.42	-2.55	-2.46	6169700	130518568.00
2000/02/15	-2.47	-2.36	-2.54	-2.50	6092900	128872688.00
2000/02/16	-2.49	-2.39	-2.58	-2.55	2127200	42967800.00
2000/02/17	-2.54	-2.48	-2.64	-2.62	2820000	55891196.00
2000/02/18	-2.62	-2.54	-2.63	-2.56	2006700	39897660.00
2000/02/21	-2.49	-2.43	-2.59	-2.48	3765000	78383272.00
2000/02/22	-2.47	-2.45	-2.58	-2.57	1551400	31207270.00
2000/02/23	-2.60	-2.58	-2.62	-2.59	858300	16719464.00
2000/02/24	-2.59	-2.57	-2.60	-2.57	564700	11100697.00
2000/02/25	-2.57	-2.57	-2.64	-2.62	1379600	26489692.00
2000/02/28	-2.63	-2.57	-2.67	-2.61	1388100	26564780.00
2000/02/29	-2.60	-2.53	-2.63	-2.57	1825300	35884824.00
2000/03/01	-2.57	-2.56	-2.62	-2.61	764900	14931429.00
2000/03/02	-2.61	-2.60	-2.65	-2.63	1062000	20285188.00
2000/03/03	-2.63	-2.54	-2.63	-2.62	1256100	24577904.00
2000/03/06	-2.61	-2.57	-2.65	-2.64	1194700	23192860.00
2000/03/07	-2.64	-2.62	-2.68	-2.63	963500	18198620.00
2000/03/08	-2.62	-2.61	-2.65	-2.64	512200	9740806.00
2000/03/09	-2.63	-2.62	-2.68	-2.65	834700	15747439.00
2000/03/10	-2.65	-2.65	-2.68	-2.68	800400	14897075.00
2000/03/13	-2.68	-2.66	-2.70	-2.67	645700	11959244.00
2000/03/14	-2.68	-2.68	-2.74	-2.71	742100	13538469.00
2000/03/15	-2.71	-2.67	-2.72	-2.68	435200	8038885.00
2000/03/16	-2.68	-2.68	-2.73	-2.73	520500	9440154.00
2000/03/17	-2.73	-2.70	-2.74	-2.71	372400	6746637.00
2000/03/20	-2.73	-2.63	-2.74	-2.65	728900	13649852.00
2000/03/21	-2.65	-2.63	-2.68	-2.66	572500	10703153.00
2000/03/22	-2.66	-2.59	-2.67	-2.61	1937000	37341100.00
2000/03/24	-2.55	-2.55	-2.66	-2.65	692100	13358230.00
2000/03/27	-2.65	-2.57	-2.65	-2.60	1187400	23185648.00
2000/03/28	-2.58	-2.58	-2.63	-2.61	580900	11204697.00
2000/03/29	-2.57	-2.57	-2.62	-2.60	646400	12619313.00
2000/03/30	-2.60	-2.58	-2.61	-2.60	717900	14023948.00
2000/03/31	-2.61	-2.60	-2.63	-2.62	776500	15007409.00
2000/04/03	-2.62	-2.60	-2.63	-2.62	519700	10046795.00
2000/04/04	-2.62	-2.62	-2.68	-2.67	553200	10395882.00
2000/04/05	-2.67	-2.66	-2.68	-2.66	288900	5396252.00
2000/04/06	-2.66	-2.63	-2.66	-2.64	312000	5918978.00
2000/04/07	-2.63	-2.62	-2.64	-2.62	559400	10699239.00
2000/04/10	-2.62	-2.61	-2.64	-2.62	477100	9123191.00
2000/04/11	-2.63	-2.58	-2.63	-2.62	1040100	20160216.00
2000/04/12	-2.63	-2.62	-2.64	-2.64	454200	8683360.00
2000/04/13	-2.64	-2.61	-2.64	-2.61	847000	16305100.00
2000/04/14	-2.61	-2.57	-2.63	-2.57	1962200	38443120.00
2000/04/17	-2.56	-2.51	-2.58	-2.53	4164700	83948240.00
2000/04/18	-2.54	-2.54	-2.57	-2.56	1140300	22854278.00
2000/04/19	-2.56	-2.53	-2.56	-2.53	949700	18802800.00
2000/04/20	-2.53	-2.53	-2.58	-2.56	939700	18441712.00
2000/04/21	-2.56	-2.55	-2.58	-2.56	858200	16750286.00
2000/04/24	-2.56	-2.42	-2.56	-2.50	2806000	57324928.00
2000/04/25	-2.49	-2.48	-2.53	-2.52	768500	15561680.00
2000/04/26	-2.51	-2.45	-2.51	-2.47	2220800	46172048.00
2000/04/27	-2.47	-2.45	-2.48	-2.47	1572200	32598780.00
