600179 安通控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	2.90	3.01	2.89	2.98	1464000	10029035.00
2000/01/05	2.99	3.05	2.93	2.94	2085200	14364298.00
2000/01/06	2.93	3.09	2.90	3.08	2969600	20705566.00
2000/01/07	3.12	3.15	3.04	3.11	3879000	27595788.00
2000/01/10	3.15	3.24	3.06	3.20	4312500	31223490.00
2000/01/11	3.20	3.20	2.94	3.02	2882900	20408370.00
2000/01/12	3.00	3.02	2.86	2.89	2044100	13794592.00
2000/01/13	2.89	3.01	2.87	2.92	1908500	13006044.00
2000/01/14	2.93	2.97	2.79	2.83	1106100	7319339.00
2000/01/17	2.80	2.86	2.76	2.84	955700	6214624.00
2000/01/18	2.84	2.92	2.82	2.86	675300	4465221.00
2000/01/19	2.88	2.91	2.83	2.84	520100	3443793.00
2000/01/20	2.84	2.87	2.78	2.86	1355900	8825243.00
2000/01/21	2.86	2.90	2.79	2.83	1191000	7731596.00
2000/01/24	2.82	2.82	2.73	2.75	1315300	8330700.00
2000/01/25	2.74	2.80	2.70	2.78	1523900	9627947.00
2000/01/26	2.78	2.82	2.73	2.79	562500	3599944.00
2000/01/27	2.77	2.79	2.72	2.75	1437100	9087723.00
2000/01/28	2.73	2.81	2.68	2.81	2366300	14857338.00
2000/02/14	2.86	3.04	2.82	3.03	2523900	17069292.00
2000/02/15	3.03	3.06	2.86	2.86	3421600	23112410.00
2000/02/16	2.86	2.86	2.73	2.79	3088800	19777312.00
2000/02/17	2.79	2.88	2.73	2.84	3602400	23242514.00
2000/02/18	2.84	2.85	2.75	2.75	1482500	9479963.00
2000/02/21	2.75	2.83	2.70	2.82	2090000	13322795.00
2000/02/22	2.83	2.86	2.75	2.75	1656400	10663448.00
2000/02/23	2.75	2.78	2.73	2.75	992700	6303810.00
2000/02/24	2.76	2.76	2.71	2.76	1445300	9099741.00
2000/02/25	2.76	2.76	2.71	2.72	1247500	7834955.00
2000/02/28	2.71	2.79	2.71	2.76	1855100	11755309.00
2000/02/29	2.76	2.88	2.76	2.83	3342300	21793892.00
2000/03/01	2.84	2.91	2.81	2.87	2184500	14396549.00
2000/03/02	2.88	2.90	2.77	2.80	1600700	10387652.00
2000/03/03	2.81	2.87	2.81	2.84	2033100	13295364.00
2000/03/06	2.85	2.95	2.82	2.83	3222100	21497788.00
2000/03/07	2.82	2.83	2.75	2.79	1061600	6819860.00
2000/03/08	2.82	2.82	2.77	2.81	939600	6055152.00
2000/03/09	2.82	2.83	2.77	2.79	1095400	7037498.00
2000/03/10	2.79	2.79	2.73	2.74	1201800	7646593.00
2000/03/13	2.74	2.88	2.72	2.87	1272100	8129668.00
2000/03/14	2.83	2.83	2.73	2.81	1244100	8004240.00
2000/03/15	2.82	3.02	2.82	2.92	4452000	30121824.00
2000/03/16	2.91	2.92	2.76	2.79	1771500	11591993.00
2000/03/17	2.77	2.88	2.77	2.85	1775000	11598058.00
2000/03/20	2.86	2.98	2.85	2.95	3602400	24424436.00
2000/03/21	2.96	3.04	2.92	2.99	5063500	34944416.00
2000/03/22	3.04	3.21	3.03	3.07	8232700	58794372.00
2000/03/23	3.17	3.17	2.98	3.04	4794700	33293052.00
2000/03/24	3.04	3.07	2.95	2.96	4804100	33095958.00
2000/03/27	2.95	3.11	2.95	3.09	5100500	35824336.00
2000/03/28	3.11	3.15	3.06	3.08	3985200	28379360.00
2000/03/29	3.08	3.11	2.99	3.04	2708000	18863460.00
2000/03/30	3.04	3.06	3.00	3.03	2529500	17602056.00
2000/03/31	3.04	3.17	3.04	3.13	5515800	39532592.00
2000/04/03	3.13	3.16	3.08	3.10	3708000	26641060.00
2000/04/04	3.08	3.08	2.96	2.96	2177300	14994126.00
2000/04/05	2.96	3.00	2.94	2.99	1488500	10172064.00
2000/04/06	2.99	3.15	2.99	3.13	3271400	23130014.00
2000/04/07	3.13	3.44	3.09	3.34	18027600	137540448.00
2000/04/10	3.38	3.44	3.22	3.43	16244400	124207512.00
2000/04/11	3.43	3.44	3.29	3.29	6106700	47172116.00
2000/04/12	3.29	3.40	3.25	3.33	4497900	34296668.00
2000/04/13	3.33	3.38	3.27	3.34	3355800	25655456.00
2000/04/14	3.38	3.38	3.28	3.33	2738700	20854232.00
2000/04/17	3.33	3.58	3.30	3.54	9895300	78450664.00
2000/04/18	3.52	3.53	3.40	3.49	4592100	36672056.00
2000/04/19	3.49	3.52	3.42	3.45	2771200	21937708.00
2000/04/20	3.46	3.55	3.44	3.45	3449600	27561412.00
2000/04/21	3.47	3.51	3.32	3.35	4338500	33619264.00
2000/04/24	3.35	3.40	3.29	3.35	2407500	18441466.00
2000/04/25	3.37	3.38	3.29	3.31	1843100	14036082.00
2000/04/27	3.31	3.31	3.14	3.17	2025200	14931765.00
2000/04/28	3.15	3.18	3.11	3.17	2247700	16264859.00
2000/05/08	3.17	3.19	3.11	3.13	1179200	8518301.00
2000/05/09	3.14	3.24	3.12	3.16	1307900	9533459.00
2000/05/10	3.14	3.15	3.00	3.00	1435600	10095752.00
2000/05/11	3.00	3.04	2.91	2.93	1107700	7514386.00
2000/05/12	2.94	2.97	2.87	2.90	1029000	6923247.00
2000/05/15	2.95	2.95	2.90	2.91	689600	4635897.00
2000/05/16	2.92	2.95	2.92	2.95	577200	3900291.00
2000/05/17	2.95	2.97	2.91	2.92	519800	3516846.00
2000/05/18	2.91	2.97	2.88	2.97	695500	4697306.00
2000/05/19	2.97	3.01	2.94	3.00	1021900	7023233.00
2000/05/22	3.02	3.09	2.98	3.08	1749800	12264630.00
2000/05/23	3.09	3.11	3.04	3.05	1338300	9412224.00
2000/05/24	3.06	3.10	3.05	3.09	1595600	11308685.00
2000/05/25	3.10	3.19	3.10	3.17	1917500	13901397.00
2000/05/26	3.20	3.26	3.14	3.14	1876400	13737011.00
2000/05/29	3.13	3.18	3.13	3.16	1637200	11889805.00
2000/05/30	3.17	3.18	3.06	3.08	1624500	11622743.00
2000/05/31	3.06	3.17	3.06	3.17	1804800	12890965.00
2000/06/01	3.19	3.20	3.11	3.14	1281900	9300245.00
2000/06/02	3.17	3.45	3.14	3.43	9477700	73143800.00
2000/06/05	3.71	3.78	3.67	3.78	8761900	75567584.00
2000/06/06	3.92	3.92	3.58	3.84	27620000	237590608.00
2000/06/07	3.83	3.92	3.70	3.81	9862100	85865664.00
2000/06/08	3.79	4.20	3.72	4.07	21224900	198258496.00
2000/06/09	4.00	4.04	3.71	3.71	12283800	108773696.00
2000/06/12	3.65	3.83	3.61	3.75	4843100	41352040.00
2000/06/13	3.76	3.81	3.71	3.80	3020800	26062652.00
2000/06/14	3.79	4.04	3.79	3.88	5442300	48914992.00
2000/06/15	3.87	3.96	3.80	3.84	3087500	27314500.00
2000/06/16	3.84	3.89	3.75	3.76	2971500	25782192.00
2000/06/19	3.73	3.83	3.67	3.74	2031700	17413248.00
2000/06/20	3.74	3.78	3.67	3.78	2069500	17528368.00
2000/06/21	3.78	3.84	3.71	3.83	1634400	14139979.00
2000/06/22	3.84	3.92	3.79	3.88	2998200	26588240.00
2000/06/23	3.89	4.01	3.88	3.90	4321900	39050800.00
2000/06/26	3.91	4.02	3.89	3.90	2882700	26103516.00
2000/06/27	3.90	4.08	3.89	4.00	4276100	39164804.00
2000/06/28	4.02	4.04	3.85	3.89	3002500	27050510.00
2000/06/29	3.89	3.92	3.79	3.81	2552000	22282816.00
2000/06/30	3.81	3.83	3.73	3.75	2161600	18633164.00
2000/07/03	3.73	3.84	3.64	3.71	1910600	16306158.00
2000/07/04	3.71	3.81	3.71	3.80	1160000	9984562.00
2000/07/05	3.80	3.82	3.75	3.76	893100	7723902.00
2000/07/06	3.76	3.77	3.70	3.71	1089400	9277397.00
2000/07/07	3.71	3.86	3.71	3.84	1403400	12241345.00
2000/07/10	3.85	3.98	3.78	3.93	2676900	23848072.00
2000/07/11	3.94	4.02	3.90	3.97	3392900	30774364.00
2000/07/12	3.97	3.99	3.92	3.97	2603000	23588776.00
2000/07/13	3.97	4.04	3.80	3.81	3410400	30665796.00
2000/07/14	3.82	4.02	3.82	3.96	3682300	33243208.00
2000/07/17	3.98	4.31	3.96	4.16	10380500	98664040.00
2000/07/18	4.16	4.28	4.08	4.18	4799900	46026520.00
2000/07/19	4.25	4.27	4.07	4.13	3363000	31936192.00
2000/07/20	4.14	4.29	4.13	4.29	6137900	59375092.00
2000/07/21	4.29	4.64	4.23	4.44	13053800	132257488.00
2000/07/24	4.47	4.54	4.38	4.46	5553000	56639772.00
2000/07/25	4.29	4.42	4.16	4.23	6473800	62963224.00
2000/07/26	4.23	4.31	4.16	4.31	4550700	43878940.00
2000/07/27	4.33	4.35	4.16	4.18	3799900	36689524.00
2000/07/28	4.16	4.25	4.16	4.19	2490800	23832264.00
2000/07/31	4.16	4.18	4.07	4.11	3267900	30659052.00
2000/08/01	4.13	4.29	4.10	4.25	2241200	21608400.00
2000/08/02	4.27	4.31	4.19	4.21	1434100	13885502.00
2000/08/03	4.24	4.24	4.15	4.18	1653700	15792955.00
2000/08/04	4.18	4.24	4.07	4.10	1765500	16702643.00
2000/08/07	4.09	4.19	4.04	4.17	1407100	13241706.00
2000/08/08	4.16	4.29	4.16	4.25	2117600	20458728.00
2000/08/09	4.25	4.27	4.12	4.17	1572000	15050262.00
2000/08/10	4.16	4.21	4.10	4.12	1606600	15171941.00
2000/08/11	4.13	4.15	4.08	4.10	1218700	11423670.00
2000/08/14	4.08	4.15	4.08	4.13	1320200	12407013.00
2000/08/15	4.13	4.15	4.06	4.08	1423200	13348545.00
2000/08/16	4.08	4.11	4.04	4.09	1738300	16193263.00
2000/08/17	4.14	4.29	4.08	4.24	2253500	21810888.00
2000/08/18	4.25	4.28	4.19	4.21	1668700	16100102.00
2000/08/21	4.24	4.47	4.22	4.47	6508800	65344288.00
2000/08/22	4.48	4.51	4.24	4.25	3760700	37874592.00
2000/08/23	4.20	4.29	3.94	4.19	4601100	43510992.00
2000/08/24	4.19	4.21	4.05	4.14	2061300	19486516.00
2000/08/25	4.16	4.17	4.09	4.15	1431700	13512477.00
2000/08/28	4.16	4.28	4.16	4.22	1348100	12987077.00
2000/08/29	4.20	4.42	4.20	4.36	3577100	35576356.00
2000/08/30	4.38	4.42	4.22	4.25	2233200	21988568.00
2000/08/31	4.21	4.22	4.07	4.08	2124300	20090596.00
2000/09/01	4.04	4.11	4.02	4.02	1735400	16100129.00
2000/09/04	4.00	4.04	3.89	3.98	1640000	14810878.00
