600182 S佳通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	2.03	2.16	1.97	2.12	349000	1683467.00
2000/01/05	2.13	2.25	2.10	2.13	562600	2769622.00
2000/01/06	2.13	2.30	2.08	2.28	791600	3915611.00
2000/01/07	2.32	2.49	2.30	2.47	1724900	8857357.00
2000/01/10	2.49	2.51	2.35	2.47	1457900	7560717.00
2000/01/11	2.46	2.47	2.18	2.21	1074700	5471465.00
2000/01/12	2.21	2.23	2.03	2.07	822100	3980646.00
2000/01/13	2.07	2.10	2.03	2.06	622000	2987098.00
2000/01/14	2.07	2.07	1.95	1.97	482500	2294698.00
2000/01/17	1.95	2.04	1.91	2.01	472500	2218334.00
2000/01/18	2.03	2.11	2.00	2.01	450500	2165780.00
2000/01/19	2.01	2.08	1.97	2.05	408300	1948224.00
2000/01/20	2.05	2.07	2.01	2.05	457000	2185302.00
2000/01/21	2.06	2.09	1.91	1.95	1054500	4973184.00
2000/01/24	1.93	1.93	1.75	1.82	1203000	5497856.00
2000/01/25	1.82	1.95	1.75	1.93	1643300	7527423.00
2000/01/26	1.91	2.08	1.90	1.98	849200	4027324.00
2000/01/27	1.98	2.03	1.82	1.88	1160600	5366234.00
2000/01/28	1.88	2.05	1.75	1.99	2780400	12728903.00
2000/02/14	2.08	2.41	2.08	2.39	2922500	14628398.00
2000/02/15	2.45	2.50	2.15	2.17	3139900	15806930.00
2000/02/16	2.15	2.15	1.90	2.14	2893600	13783458.00
2000/02/17	2.17	2.32	1.93	2.25	4425500	21655044.00
2000/02/18	2.25	2.30	2.05	2.09	1457400	7076970.00
2000/02/21	2.10	2.25	1.95	2.22	2734500	13140036.00
2000/02/22	2.25	2.30	2.09	2.09	2199600	10908480.00
2000/02/23	2.05	2.14	2.00	2.07	1101500	5312849.00
2000/02/24	2.10	2.15	2.05	2.08	1020600	4926040.00
2000/02/25	2.08	2.10	1.98	2.03	1126100	5373922.00
2000/02/28	2.03	2.20	1.98	2.18	1881500	9138430.00
2000/02/29	2.19	2.40	2.12	2.34	4842600	24442610.00
2000/03/01	2.44	2.85	2.44	2.85	8108600	45022272.00
2000/03/02	2.86	2.90	2.44	2.69	10520000	56947564.00
2000/03/03	2.70	2.77	2.55	2.68	3176100	17126948.00
2000/03/06	2.70	2.71	2.42	2.42	3009900	16145127.00
2000/03/07	2.25	2.41	2.25	2.40	1970700	10026704.00
2000/03/08	2.42	2.54	2.40	2.46	1438400	7493044.00
2000/03/09	2.45	2.46	2.30	2.37	1112700	5692800.00
2000/03/10	2.40	2.46	2.29	2.30	1260100	6427804.00
2000/03/13	2.40	2.80	2.40	2.72	4666800	25177388.00
2000/03/14	2.72	3.02	2.48	2.95	11611800	64976304.00
2000/03/15	3.01	3.13	2.77	2.88	6912800	39425256.00
2000/03/16	2.83	2.83	2.40	2.51	3135100	16845830.00
2000/03/17	2.51	2.73	2.50	2.67	2164600	11611143.00
2000/03/20	2.68	2.95	2.68	2.91	4323800	24304644.00
2000/03/21	2.96	3.00	2.78	2.85	2704000	15132303.00
2000/03/22	2.85	3.05	2.83	2.89	3495000	19862082.00
2000/03/23	2.93	3.04	2.85	3.00	3285500	18733320.00
2000/03/24	3.00	3.05	2.69	2.75	3217700	18212716.00
2000/03/27	2.75	3.02	2.75	3.01	3739000	21288378.00
2000/03/28	3.10	3.43	2.97	3.17	7768300	46428252.00
2000/03/29	3.21	3.24	2.97	3.09	2721800	15814405.00
2000/03/30	3.10	3.14	2.98	3.08	2083800	12071389.00
2000/03/31	3.06	3.12	2.98	3.10	2561100	14845561.00
2000/04/03	3.10	3.24	2.99	2.99	2313800	13587813.00
2000/04/04	2.98	2.98	2.75	2.77	2206600	12329906.00
2000/04/05	2.77	2.91	2.76	2.82	1317100	7337036.00
2000/04/06	2.85	2.95	2.80	2.94	1251700	7058771.00
2000/04/07	2.95	3.10	2.95	3.04	2515700	14532930.00
2000/04/10	3.05	3.20	3.05	3.16	3126300	18349030.00
2000/04/11	3.16	3.20	2.99	2.99	2047000	11895917.00
2000/04/12	3.01	3.05	2.79	2.92	1746400	9872368.00
2000/04/13	2.95	3.14	2.95	3.05	2062100	11926068.00
2000/04/14	3.10	3.25	2.97	3.25	4629300	27192500.00
2000/04/17	3.33	3.35	3.02	3.21	4374400	25940500.00
2000/04/18	3.24	3.30	3.05	3.26	4077100	24390760.00
2000/04/19	3.27	3.43	3.26	3.38	5616000	34323412.00
2000/04/20	3.40	3.53	3.38	3.44	6739800	41835756.00
2000/04/21	3.45	3.48	3.23	3.29	4207100	25604608.00
2000/04/24	3.28	3.48	3.16	3.40	3697600	22543404.00
