600188 兖州煤业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	-0.21	-0.08	-0.30	-0.12	409500	2932836.00
2000/01/05	-0.12	-0.03	-0.15	-0.06	790400	5813055.00
2000/01/06	-0.08	0.08	-0.10	0.08	861600	6504443.00
2000/01/07	0.11	0.21	0.09	0.20	1962600	15411003.00
2000/01/10	0.26	0.59	0.26	0.53	5949800	49771740.00
2000/01/11	0.52	0.52	0.13	0.22	2212400	18154500.00
2000/01/12	0.17	0.27	0.06	0.08	1201400	9350748.00
2000/01/13	0.08	0.17	0.06	0.07	549300	4250903.00
2000/01/14	0.05	0.13	-0.07	-0.03	433400	3269340.00
2000/01/17	-0.03	0.02	-0.11	0.02	571900	4236249.00
2000/01/18	0.04	0.06	-0.02	0.01	530300	4007103.00
2000/01/19	0.00	0.13	-0.01	0.04	680300	5203091.00
2000/01/20	0.11	0.11	0.00	0.06	559300	4270906.00
2000/01/21	0.07	0.08	-0.06	-0.03	1046300	7844314.00
2000/01/24	-0.04	0.04	-0.26	-0.01	1633100	11853832.00
2000/01/25	0.03	0.04	-0.11	-0.04	777600	5776462.00
2000/01/26	-0.02	-0.01	-0.08	-0.05	469300	3486063.00
2000/01/27	-0.03	-0.03	-0.12	-0.08	1413300	10373065.00
2000/01/28	-0.06	0.13	-0.11	0.06	1537500	11539200.00
2000/02/14	0.13	0.39	0.13	0.37	2115600	17082618.00
2000/02/15	0.38	0.41	0.13	0.14	3167300	25468432.00
2000/02/16	0.13	0.13	-0.05	0.06	2268500	17094066.00
2000/02/17	0.12	0.23	-0.03	0.08	2922700	22415730.00
2000/02/18	0.08	0.08	-0.03	-0.01	1467800	11028456.00
2000/02/21	-0.01	0.11	-0.06	0.10	2163500	16400171.00
2000/02/22	0.13	0.21	-0.01	-0.01	1372500	10530335.00
2000/02/23	-0.02	-0.02	-0.08	-0.07	1130700	8368607.00
2000/02/24	-0.03	0.02	-0.07	-0.05	908600	6722969.00
2000/02/25	-0.06	-0.05	-0.12	-0.11	1339000	9800882.00
2000/02/28	-0.11	-0.02	-0.16	-0.04	1629400	11954787.00
2000/02/29	-0.01	0.13	-0.06	0.04	2136500	16270054.00
2000/03/01	0.06	0.14	0.03	0.08	2119500	16366494.00
2000/03/02	0.11	0.18	0.01	0.18	2076000	15924213.00
2000/03/03	0.17	0.33	0.13	0.33	5344900	42918992.00
2000/03/06	0.42	0.73	0.33	0.35	13773400	119161000.00
2000/03/07	0.32	0.39	0.23	0.38	3527100	28639522.00
2000/03/08	0.40	0.42	0.31	0.35	1856100	15259561.00
2000/03/09	0.36	0.37	0.23	0.28	2198600	17829898.00
2000/03/10	0.28	0.28	0.17	0.22	1862800	14855072.00
2000/03/13	0.21	0.25	0.14	0.21	1371400	10900400.00
2000/03/14	0.18	0.21	0.01	0.13	1354400	10450282.00
2000/03/15	0.13	0.34	0.08	0.28	1541800	12338121.00
2000/03/16	0.27	0.27	0.07	0.08	1269900	9884962.00
2000/03/17	0.03	0.16	0.01	0.13	819000	6327051.00
2000/03/20	0.13	0.27	0.08	0.26	1477100	11755847.00
2000/03/21	0.26	0.47	0.26	0.32	1995400	16483501.00
2000/03/22	0.33	0.48	0.32	0.43	4089500	34210080.00
2000/03/23	0.47	0.49	0.33	0.41	1524700	12695274.00
2000/03/24	0.43	0.46	0.28	0.29	1792700	14805691.00
2000/03/27	0.33	0.57	0.32	0.54	3752100	31934394.00
2000/03/28	0.63	0.64	0.46	0.48	2018800	17252164.00
2000/03/29	0.51	0.91	0.48	0.91	14945000	135420032.00
