600189 吉林森工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.15	3.29	3.03	3.28	450100	3921938.00
2000/01/05	3.66	3.66	3.34	3.38	4885900	46542096.00
2000/01/06	3.33	3.45	3.29	3.44	1238800	11326035.00
2000/01/07	3.46	3.52	3.37	3.49	2035500	18955356.00
2000/01/10	3.50	3.52	3.38	3.52	1631900	15218543.00
2000/01/11	3.50	3.50	3.29	3.32	1127900	10331818.00
2000/01/12	3.29	3.36	3.18	3.23	615500	5403340.00
2000/01/13	3.25	3.25	3.14	3.19	402600	3476020.00
2000/01/14	3.20	3.20	3.07	3.16	415400	3531710.00
2000/01/17	3.07	3.23	3.06	3.23	359300	3067124.00
2000/01/18	3.21	3.21	3.11	3.13	302500	2589436.00
2000/01/19	3.14	3.16	3.10	3.15	379000	3232216.00
2000/01/20	3.14	3.22	3.11	3.21	546600	4723509.00
2000/01/21	3.21	3.24	3.07	3.11	854900	7266289.00
2000/01/24	3.07	3.14	2.98	3.11	1564200	12908781.00
2000/01/25	3.09	3.10	2.99	3.02	947600	7842549.00
2000/01/26	3.02	3.25	3.01	3.12	1082500	9240662.00
2000/01/27	3.13	3.18	3.04	3.17	1981300	16788864.00
2000/01/28	3.20	3.21	3.07	3.11	1469300	12514051.00
2000/02/14	3.19	3.40	3.14	3.40	3085300	27538202.00
2000/02/15	3.48	3.48	3.23	3.25	2852200	25667888.00
2000/02/16	3.20	3.21	3.05	3.21	2876300	24366572.00
2000/02/17	3.17	3.33	2.99	3.09	3945400	34192120.00
2000/02/18	3.09	3.11	3.02	3.05	1655800	13820580.00
2000/02/21	3.03	3.25	2.98	3.20	2705200	23133460.00
2000/02/22	3.25	3.27	3.03	3.16	1683700	14426956.00
2000/02/23	3.16	3.16	3.04	3.11	768300	6460452.00
2000/02/24	3.09	3.17	3.05	3.13	732200	6185737.00
2000/02/25	3.09	3.10	3.04	3.04	1273400	10643464.00
2000/02/28	3.04	3.16	3.01	3.15	2375900	19862652.00
2000/02/29	3.14	3.15	3.03	3.09	1875700	15743662.00
2000/03/01	3.11	3.33	3.06	3.22	3951900	34331012.00
2000/03/02	3.22	3.22	3.11	3.14	1427200	12240153.00
2000/03/03	3.14	3.31	3.14	3.24	2925200	25647598.00
2000/03/06	3.31	3.46	3.21	3.21	4550600	41155796.00
2000/03/07	3.16	3.30	3.16	3.29	1596500	14009108.00
2000/03/08	3.33	3.35	3.24	3.31	1481100	13243658.00
2000/03/09	3.33	3.35	3.22	3.26	1543300	13637670.00
2000/03/10	3.28	3.32	3.19	3.32	1585700	14002297.00
2000/03/13	3.33	3.46	3.29	3.42	3461900	31878540.00
2000/03/14	3.37	3.41	3.20	3.36	2564000	22991028.00
2000/03/15	3.37	3.54	3.37	3.43	2844500	26551084.00
2000/03/16	3.42	3.43	3.18	3.24	1729500	15405265.00
2000/03/17	3.24	3.44	3.23	3.38	2043300	18392884.00
2000/03/20	3.39	3.60	3.33	3.55	4392700	41599000.00
2000/03/21	3.59	3.75	3.58	3.59	5125200	50063896.00
2000/03/22	3.74	3.74	3.49	3.67	3262600	31419664.00
2000/03/23	3.67	3.71	3.56	3.67	3361500	32824946.00
2000/03/24	3.72	3.75	3.59	3.66	2974600	29078628.00
2000/03/27	3.70	4.01	3.70	3.97	5373800	55622904.00
2000/03/28	4.01	4.04	3.80	3.91	3182700	32963296.00
2000/03/29	3.92	3.94	3.74	3.82	2851100	28805362.00
2000/03/30	3.82	3.92	3.77	3.87	2253200	22990940.00
2000/03/31	3.87	3.97	3.76	3.84	3277500	33435052.00
2000/04/03	3.84	3.92	3.78	3.85	2016500	20635852.00
2000/04/04	3.82	3.97	3.68	3.91	4888800	50247864.00
2000/04/05	3.91	4.13	3.86	4.05	5045400	53542276.00
2000/04/06	4.06	4.19	4.05	4.14	5003000	54304312.00
2000/04/07	4.16	4.18	4.02	4.06	2960500	32081354.00
2000/04/10	4.01	4.12	3.96	4.08	1881100	20088588.00
2000/04/11	4.10	4.12	3.97	4.08	2547800	27197936.00
2000/04/12	4.06	4.08	3.89	4.05	2219400	23243264.00
2000/04/13	4.04	4.04	3.91	3.93	2382100	24900712.00
2000/04/14	3.92	3.97	3.79	3.93	3262800	33559972.00
2000/04/17	3.83	3.93	3.76	3.80	1556900	15762732.00
2000/04/18	3.77	3.84	3.74	3.83	1294800	13036963.00
2000/04/19	3.80	3.89	3.77	3.84	857900	8722992.00
2000/04/20	3.84	3.95	3.83	3.86	852800	8764807.00
2000/04/21	3.86	3.89	3.78	3.86	1406700	14273927.00
2000/04/24	3.88	4.08	3.84	4.06	3317100	35074536.00
2000/04/25	4.01	4.05	3.89	3.94	1392100	14580418.00
2000/04/26	3.93	4.04	3.88	3.96	1217900	12774636.00
2000/04/27	3.97	3.99	3.80	3.84	1160200	11879284.00
2000/04/28	3.84	3.92	3.77	3.88	1525400	15505464.00
2000/05/08	3.89	3.91	3.78	3.83	719100	7297696.00
2000/05/09	3.83	3.90	3.75	3.80	1004200	10110190.00
2000/05/10	3.76	3.77	3.55	3.55	1171300	11417973.00
2000/05/11	3.56	3.62	3.44	3.44	688300	6455924.00
2000/05/12	3.46	3.54	3.41	3.42	570100	5295954.00
2000/05/15	3.44	3.50	3.35	3.36	475200	4324834.00
2000/05/16	3.45	3.45	3.36	3.41	388300	3556758.00
2000/05/17	3.41	3.46	3.38	3.45	394100	3632180.00
2000/05/18	3.44	3.54	3.40	3.54	1260000	11857037.00
2000/05/19	3.55	3.59	3.50	3.59	939800	8911529.00
2000/05/22	3.60	3.74	3.56	3.71	1607800	15731626.00
2000/05/23	3.65	3.76	3.62	3.74	1056900	10393064.00
2000/05/24	3.74	3.79	3.71	3.75	1326500	13245815.00
2000/05/25	3.76	3.84	3.74	3.84	1308800	13183638.00
2000/05/26	3.84	3.84	3.71	3.78	841300	8448960.00
2000/05/29	3.77	3.80	3.72	3.80	1308600	13116456.00
2000/05/30	3.82	3.91	3.75	3.79	1654400	16895540.00
2000/05/31	3.80	3.96	3.80	3.92	2628700	27123874.00
2000/06/01	4.05	4.05	3.86	3.92	1581200	16479266.00
2000/06/02	3.93	3.95	3.86	3.89	1559700	16113462.00
2000/06/05	3.89	3.93	3.81	3.83	1642600	16859194.00
2000/06/06	3.80	3.89	3.78	3.86	1706200	17430826.00
2000/06/07	3.87	3.96	3.87	3.91	2253100	23407696.00
2000/06/09	3.83	3.89	3.79	3.81	734500	7478482.00
2000/06/12	3.79	3.87	3.76	3.86	2012700	20412728.00
