600201 生物股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	0.11	0.13	0.10	0.12	527700	7683590.00
2000/01/05	0.12	0.14	0.10	0.12	613600	9064790.00
2000/01/06	0.16	0.16	0.12	0.16	999800	15154288.00
2000/01/07	0.16	0.18	0.15	0.16	1229600	18934900.00
2000/01/10	0.17	0.21	0.16	0.20	1520700	24048544.00
2000/01/11	0.20	0.20	0.14	0.14	842900	12992533.00
2000/01/12	0.14	0.15	0.12	0.12	542500	8040971.00
2000/01/13	0.12	0.13	0.10	0.10	368000	5390278.00
2000/01/14	0.11	0.11	0.08	0.09	572100	8134463.00
2000/01/17	0.09	0.11	0.07	0.10	280100	3993392.00
2000/01/18	0.10	0.12	0.09	0.10	246100	3562925.00
2000/01/19	0.11	0.12	0.10	0.12	338400	4931108.00
2000/01/20	0.12	0.13	0.11	0.13	544000	8012000.00
2000/01/21	0.13	0.13	0.11	0.12	722400	10643573.00
2000/01/24	0.11	0.11	0.09	0.10	807800	11640809.00
2000/01/25	0.11	0.14	0.10	0.13	754000	11143746.00
2000/01/26	0.13	0.17	0.13	0.17	1034600	15730705.00
2000/01/27	0.18	0.26	0.17	0.19	1776000	28239488.00
2000/01/28	0.19	0.19	0.15	0.16	1190100	18383852.00
2000/02/14	0.20	0.26	0.17	0.26	2344100	38229936.00
2000/02/15	0.27	0.35	0.23	0.26	3225000	55746608.00
2000/02/16	0.25	0.34	0.25	0.33	3415300	60248416.00
2000/02/17	0.36	0.43	0.22	0.22	2851800	50318952.00
2000/02/18	0.20	0.24	0.19	0.23	1255400	20404800.00
2000/02/21	0.24	0.30	0.23	0.25	1695600	28508938.00
2000/02/22	0.26	0.29	0.21	0.22	1223000	20528668.00
2000/02/23	0.20	0.21	0.17	0.17	1123700	17615110.00
2000/02/24	0.17	0.22	0.17	0.21	768500	12211174.00
2000/02/25	0.21	0.27	0.21	0.23	1521900	25266996.00
2000/02/28	0.23	0.28	0.23	0.28	2047900	34749804.00
2000/02/29	0.30	0.31	0.24	0.26	1321500	22360128.00
2000/03/01	0.26	0.27	0.24	0.26	1046300	17455116.00
2000/03/02	0.26	0.26	0.22	0.23	936400	15436618.00
2000/03/03	0.24	0.26	0.22	0.23	803700	13311016.00
2000/03/06	0.24	0.26	0.18	0.19	851800	13852047.00
2000/03/07	0.18	0.20	0.18	0.20	568700	8977294.00
2000/03/08	0.20	0.22	0.19	0.21	373200	5967909.00
2000/03/09	0.20	0.22	0.19	0.19	617700	9809955.00
2000/03/10	0.19	0.22	0.19	0.20	552400	8803247.00
2000/03/13	0.20	0.20	0.18	0.20	521100	8182028.00
2000/03/14	0.18	0.20	0.15	0.20	674500	10448711.00
2000/03/15	0.19	0.22	0.18	0.20	411300	6584630.00
2000/03/16	0.20	0.20	0.15	0.17	483300	7508737.00
2000/03/17	0.17	0.20	0.17	0.19	374900	5875321.00
2000/03/20	0.15	0.24	0.15	0.23	741000	12029147.00
2000/03/21	0.23	0.26	0.20	0.26	986000	16347121.00
2000/03/22	0.26	0.26	0.23	0.26	652200	10842793.00
2000/03/23	0.26	0.27	0.23	0.25	663200	11081398.00
2000/03/24	0.25	0.28	0.24	0.26	1178600	19937400.00
2000/03/27	0.27	0.33	0.27	0.33	1732200	30396912.00
2000/03/28	0.33	0.34	0.30	0.30	1177800	20774346.00
2000/03/29	0.30	0.33	0.29	0.31	1216200	21522290.00
2000/03/30	0.29	0.32	0.29	0.30	764600	13425669.00
2000/03/31	0.30	0.31	0.25	0.26	992800	16930676.00
2000/04/03	0.26	0.28	0.25	0.25	535800	9030450.00
2000/04/04	0.24	0.27	0.24	0.25	504500	8473439.00
2000/04/05	0.25	0.27	0.25	0.27	359500	6051026.00
2000/04/06	0.27	0.30	0.27	0.29	512500	8868999.00
2000/04/07	0.29	0.29	0.27	0.28	390500	6707736.00
2000/04/10	0.28	0.34	0.26	0.32	1528500	27061032.00
2000/04/11	0.32	0.36	0.31	0.33	1538600	27771782.00
2000/04/12	0.34	0.37	0.33	0.35	1296400	23588114.00
2000/04/13	0.35	0.39	0.35	0.38	1630900	30317064.00
2000/04/14	0.38	0.43	0.35	0.36	2086200	39755948.00
2000/04/17	0.35	0.35	0.31	0.33	1363700	24458324.00
2000/04/18	0.33	0.35	0.32	0.35	566600	10240386.00
2000/04/19	0.34	0.36	0.32	0.32	356300	6412877.00
2000/04/20	0.32	0.36	0.32	0.35	632000	11418644.00
2000/04/21	0.35	0.35	0.31	0.33	411500	7393021.00
2000/04/24	0.32	0.33	0.29	0.30	391500	6911262.00
2000/04/25	0.30	0.32	0.30	0.31	262700	4606753.00
2000/04/26	0.31	0.35	0.31	0.32	257800	4600649.00
2000/04/27	0.31	0.33	0.31	0.32	370700	6622814.00
2000/04/28	0.32	0.35	0.32	0.34	480000	8708935.00
2000/05/08	0.35	0.37	0.33	0.36	336900	6177180.00
2000/05/09	0.37	0.37	0.32	0.33	268400	4866006.00
2000/05/10	0.33	0.33	0.27	0.27	407600	7017357.00
2000/05/11	0.27	0.27	0.25	0.25	247500	4161390.00
2000/05/12	0.26	0.26	0.23	0.25	261100	4346407.00
2000/05/15	0.25	0.27	0.23	0.25	202300	3387301.00
2000/05/16	0.25	0.29	0.25	0.27	146400	2487337.00
2000/05/17	0.27	0.29	0.26	0.26	120300	2043442.00
2000/05/18	0.27	0.29	0.26	0.28	273000	4676638.00
2000/05/19	0.30	0.30	0.28	0.29	315900	5494176.00
2000/05/22	0.30	0.36	0.29	0.36	748000	13478774.00
2000/05/23	0.36	0.37	0.32	0.35	575100	10473060.00
2000/05/24	0.36	0.40	0.35	0.36	773600	14361789.00
2000/05/25	0.37	0.38	0.35	0.36	513700	9438710.00
2000/05/26	0.37	0.38	0.35	0.36	632300	11615680.00
2000/05/29	0.37	0.40	0.37	0.40	1141300	21439244.00
2000/05/30	0.41	0.43	0.38	0.39	1297900	24790780.00
2000/05/31	0.39	0.39	0.36	0.39	508100	9444669.00
2000/06/01	0.39	0.40	0.37	0.40	441800	8277401.00
2000/06/02	0.40	0.41	0.38	0.40	400000	7561673.00
2000/06/05	0.41	0.43	0.37	0.37	740900	14131020.00
2000/06/06	0.39	0.39	0.35	0.37	595100	11027064.00
2000/06/07	0.37	0.40	0.37	0.40	367600	6906921.00
2000/06/08	0.40	0.41	0.38	0.41	769100	14628138.00
2000/06/09	0.41	0.50	0.41	0.47	3729100	74891440.00
2000/06/12	0.46	0.48	0.44	0.46	670300	13364332.00
2000/06/14	0.46	0.48	0.44	0.46	494100	9784196.00
2000/06/15	0.46	0.50	0.45	0.49	927400	18760208.00
2000/06/16	0.49	0.50	0.45	0.46	524700	10488228.00
2000/06/19	0.46	0.46	0.44	0.44	352200	6949974.00
2000/06/20	0.44	0.44	0.41	0.42	426300	8243715.00
2000/06/21	0.41	0.43	0.41	0.42	230800	4455469.00
2000/06/22	0.42	0.44	0.42	0.42	443500	8646954.00
2000/06/23	0.43	0.44	0.41	0.43	305500	5935418.00
2000/06/26	0.43	0.48	0.43	0.46	661000	13124793.00
2000/06/27	0.46	0.47	0.42	0.43	480300	9438629.00
2000/06/28	0.43	0.51	0.42	0.44	1482200	29923344.00
2000/06/29	0.46	0.46	0.43	0.44	300000	5905508.00
2000/06/30	0.45	0.48	0.45	0.46	471200	9428338.00
2000/07/03	0.46	0.46	0.43	0.44	267800	5294285.00
2000/07/04	0.42	0.44	0.41	0.44	195500	3818189.00
2000/07/05	0.44	0.45	0.42	0.43	154300	3026770.00
2000/07/06	0.43	0.44	0.41	0.41	214900	4165545.00
2000/07/07	0.41	0.43	0.40	0.42	321300	6182381.00
2000/07/10	0.42	0.43	0.38	0.39	626800	11885143.00
2000/07/11	0.39	0.40	0.38	0.38	465300	8734976.00
2000/07/12	0.38	0.40	0.38	0.39	310600	5851813.00
2000/07/13	0.39	0.42	0.39	0.40	284300	5416006.00
2000/07/14	0.41	0.42	0.39	0.39	391100	7424351.00
2000/07/17	0.40	0.40	0.37	0.38	244400	4577046.00
2000/07/18	0.39	0.40	0.37	0.39	142100	2679039.00
2000/07/19	0.39	0.40	0.37	0.38	286700	5359354.00
2000/07/20	0.38	0.40	0.38	0.39	363300	6872569.00
