600247 *ST成城 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/11/23	5.05	5.58	4.90	5.21	28415100	685937600.00
2000/11/24	5.05	5.35	4.99	5.16	10110700	243863504.00
2000/11/27	5.16	5.42	5.13	5.26	5224100	128925448.00
2000/11/28	5.27	5.30	4.94	4.98	5921500	140113456.00
2000/11/29	4.96	5.08	4.84	4.87	4229600	97499904.00
2000/11/30	4.85	4.86	4.65	4.70	3850400	84978136.00
2000/12/01	4.70	4.82	4.68	4.79	1455200	32162380.00
2000/12/04	4.79	4.81	4.68	4.76	1339500	29421060.00
2000/12/05	4.76	4.91	4.76	4.85	1202800	27202812.00
2000/12/06	4.89	4.89	4.70	4.72	912800	20245860.00
2000/12/07	4.69	4.76	4.66	4.72	1026100	22490616.00
2000/12/08	4.68	4.77	4.68	4.69	665200	14562163.00
2000/12/11	4.66	4.67	4.42	4.46	1586200	33374832.00
2000/12/12	4.44	4.53	4.38	4.49	1016100	21068900.00
2000/12/13	4.51	4.55	4.44	4.52	521800	10957903.00
2000/12/14	4.53	4.54	4.42	4.44	419300	8716816.00
2000/12/15	4.45	4.51	4.41	4.47	355400	7383388.00
2000/12/18	4.46	4.57	4.44	4.53	479400	10088884.00
2000/12/19	4.57	4.57	4.52	4.53	324500	6857367.00
2000/12/20	4.51	4.64	4.51	4.61	534700	11447616.00
2000/12/21	4.64	4.69	4.60	4.60	629100	13595624.00
2000/12/22	4.59	4.62	4.50	4.52	590700	12484839.00
2000/12/25	4.51	4.61	4.44	4.56	589400	12369687.00
2000/12/26	4.58	4.66	4.55	4.66	481300	10331607.00
2000/12/27	4.64	4.68	4.56	4.57	372700	7998935.00
2000/12/28	4.57	4.59	4.50	4.53	547500	11558397.00
2000/12/29	4.53	4.58	4.50	4.58	449400	9523939.00
2001/01/02	4.62	4.68	4.53	4.65	918100	19691600.00
2001/01/03	4.64	4.72	4.63	4.70	861300	18805926.00
2001/01/04	4.73	4.78	4.68	4.74	804300	17742980.00
2001/01/05	4.92	4.92	4.75	4.78	731000	16309076.00
2001/01/08	4.78	4.80	4.65	4.70	638500	13978827.00
2001/01/09	4.66	4.79	4.53	4.76	465100	10236745.00
2001/01/10	4.92	4.92	4.75	4.79	452100	10105847.00
2001/01/11	4.64	4.84	4.64	4.73	592100	13049842.00
2001/01/12	4.73	4.73	4.67	4.67	310000	6772486.00
2001/01/15	4.66	4.66	4.49	4.49	607300	12903791.00
2001/01/16	4.48	4.55	4.44	4.48	604600	12583947.00
2001/01/17	4.48	4.53	4.46	4.46	296100	6183121.00
2001/01/18	4.46	4.50	4.45	4.48	298700	6231017.00
2001/01/19	4.51	4.56	4.51	4.55	254300	5387812.00
2001/02/05	4.60	4.61	4.38	4.38	346100	7180190.00
2001/02/06	4.36	4.36	4.14	4.26	490400	9652419.00
2001/02/07	4.24	4.26	4.16	4.17	290200	5660348.00
2001/02/08	4.15	4.22	3.99	4.02	422500	8103551.00
2001/02/09	4.03	4.18	4.03	4.13	326200	6232110.00
2001/02/12	4.13	4.14	4.01	4.07	240700	4544130.00
2001/02/13	4.07	4.13	4.07	4.10	184400	3531649.00
2001/02/14	4.10	4.12	4.08	4.12	100500	1923563.00
2001/02/15	4.12	4.12	4.01	4.01	226400	4278646.00
2001/02/16	4.01	4.01	3.83	3.92	511800	9310653.00
2001/02/19	3.93	4.03	3.89	4.02	190400	3535793.00
2001/02/20	4.03	4.05	3.93	3.93	258000	4793025.00
2001/02/21	3.92	3.92	3.75	3.79	438000	7792416.00
2001/02/22	3.70	3.96	3.70	3.82	192000	3450797.00
2001/02/23	3.85	3.89	3.81	3.89	143700	2577145.00
2001/02/26	3.89	3.93	3.83	3.93	246500	4489505.00
2001/02/27	3.94	3.97	3.92	3.96	235700	4347066.00
2001/02/28	3.96	3.98	3.92	3.94	191400	3530777.00
2001/03/01	3.94	3.98	3.94	3.97	171800	3174934.00
2001/03/02	3.99	4.05	3.97	4.05	316900	5956133.00
2001/03/05	4.07	4.08	4.03	4.04	244400	4617025.00
2001/03/06	4.01	4.02	3.95	3.98	258000	4795585.00
2001/03/07	3.98	4.01	3.92	3.99	219400	4071272.00
2001/03/08	3.98	4.03	3.97	3.99	189100	3520640.00
2001/03/09	4.05	4.12	3.97	4.12	386800	7290046.00
2001/03/12	4.12	4.29	4.08	4.27	1041900	20532888.00
2001/03/13	4.29	4.34	4.21	4.33	919400	18386120.00
2001/03/14	4.31	4.40	4.25	4.38	656000	13270541.00
2001/03/15	4.38	4.44	4.34	4.39	661500	13529172.00
2001/03/16	4.37	4.38	4.26	4.27	666100	13362548.00
2001/03/19	4.26	4.31	4.21	4.27	299600	5939385.00
2001/03/20	4.28	4.35	4.24	4.34	267400	5352004.00
2001/03/21	4.29	4.37	4.29	4.35	217900	4388400.00
2001/03/22	4.37	4.43	4.30	4.36	409400	8330095.00
2001/03/23	4.37	4.57	4.33	4.51	1209000	25037614.00
2001/03/27	4.62	4.62	4.51	4.58	677600	14424008.00
2001/03/28	4.55	4.58	4.51	4.52	413000	8703244.00
2001/03/29	4.52	4.57	4.50	4.51	476300	10011664.00
2001/03/30	4.48	4.58	4.48	4.57	524200	11070999.00
2001/04/02	4.57	4.62	4.55	4.56	305000	6511186.00
2001/04/03	4.57	4.57	4.49	4.53	347900	7319024.00
2001/04/04	4.54	4.55	4.33	4.40	406100	8432218.00
2001/04/05	4.36	4.51	4.33	4.50	324400	6662975.00
2001/04/06	4.51	4.51	4.44	4.47	281400	5863188.00
2001/04/09	4.40	4.51	4.40	4.47	183200	3774203.00
2001/04/10	4.48	4.50	4.42	4.49	179200	3714098.00
2001/04/11	4.49	4.49	4.42	4.46	324700	6710506.00
2001/04/12	4.48	4.57	4.46	4.55	371900	7845789.00
2001/04/13	4.54	4.60	4.51	4.57	298100	6322329.00
2001/04/16	4.61	4.63	4.52	4.62	631100	13484967.00
2001/04/17	4.68	5.03	4.67	4.94	3087100	70500032.00
