600300 维维股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/06/30	2.81	2.81	2.34	2.37	24054400	431861824.00
2000/07/03	2.29	2.29	2.19	2.20	3568600	59235272.00
2000/07/04	2.20	2.29	2.19	2.24	1287800	21466510.00
2000/07/05	2.24	2.24	2.19	2.20	942400	15562638.00
2000/07/06	2.18	2.20	2.11	2.18	1331500	21638536.00
2000/07/07	2.18	2.20	2.13	2.16	969500	15795572.00
2000/07/10	2.16	2.19	2.15	2.17	951500	15506399.00
2000/07/11	2.17	2.22	2.16	2.18	720800	11805326.00
2000/07/12	2.18	2.29	2.17	2.25	1419800	23585472.00
2000/07/13	2.25	2.29	2.22	2.28	1406000	23653944.00
2000/07/14	2.28	2.34	2.26	2.28	1353900	23093624.00
2000/07/17	2.32	2.32	2.20	2.22	702200	11764752.00
2000/07/18	2.20	2.30	2.20	2.29	723800	12147526.00
2000/07/19	2.29	2.29	2.24	2.26	435400	7347989.00
2000/07/20	2.25	2.25	2.22	2.24	500700	8346412.00
2000/07/21	2.23	2.24	2.22	2.23	389100	6476927.00
2000/07/24	2.27	2.27	2.22	2.24	378800	6331859.00
2000/07/25	2.23	2.24	2.20	2.22	460400	7633276.00
2000/07/26	2.12	2.24	2.12	2.20	292800	4846868.00
2000/07/27	2.20	2.25	2.18	2.24	708000	11721712.00
2000/07/28	2.29	2.29	2.23	2.26	617900	10415846.00
2000/07/31	2.26	2.26	2.20	2.23	498600	8309353.00
2000/08/01	2.25	2.25	2.22	2.22	396100	6601395.00
2000/08/02	2.24	2.24	2.20	2.22	306600	5087897.00
2000/08/03	2.22	2.24	2.20	2.21	593400	9844663.00
2000/08/04	2.21	2.23	2.20	2.21	672600	11128588.00
2000/08/07	2.20	2.26	2.19	2.25	466300	7787079.00
2000/08/08	2.26	2.30	2.23	2.27	813700	13732295.00
2000/08/09	2.28	2.31	2.25	2.29	1120800	19031488.00
2000/08/10	2.29	2.30	2.25	2.27	924000	15652013.00
2000/08/11	2.27	2.33	2.25	2.30	1211300	20596712.00
2000/08/14	2.30	2.36	2.29	2.31	904400	15570594.00
2000/08/15	2.32	2.33	2.26	2.28	767700	13062380.00
2000/08/16	2.30	2.30	2.28	2.29	448600	7623385.00
2000/08/17	2.29	2.30	2.26	2.27	488600	8285397.00
2000/08/18	2.26	2.30	2.26	2.28	473300	8026516.00
2000/08/21	2.28	2.32	2.27	2.29	543700	9264716.00
2000/08/22	2.29	2.34	2.29	2.30	958200	16415455.00
2000/08/23	2.29	2.32	2.22	2.29	1337800	22563244.00
2000/08/24	2.29	2.38	2.26	2.37	1564100	27064892.00
2000/08/25	2.39	2.40	2.35	2.38	913400	15976391.00
2000/08/28	2.38	2.45	2.38	2.42	1114900	19764100.00
2000/08/29	2.43	2.46	2.41	2.43	970600	17329106.00
2000/08/30	2.42	2.42	2.36	2.37	500000	8775113.00
2000/08/31	2.33	2.36	2.32	2.32	602000	10396386.00
2000/09/01	2.29	2.32	2.28	2.29	746200	12737925.00
2000/09/04	2.29	2.39	2.28	2.37	637400	10966069.00
2000/09/05	2.37	2.39	2.31	2.32	770200	13450924.00
2000/09/06	2.31	2.34	2.29	2.29	490600	8402158.00
2000/09/07	2.29	2.34	2.26	2.29	297600	5070672.00
2000/09/08	2.29	2.32	2.29	2.30	238100	4064406.00
2000/09/11	2.31	2.33	2.30	2.32	185500	3178146.00
2000/09/12	2.34	2.39	2.31	2.38	517600	8993695.00
2000/09/13	2.38	2.39	2.36	2.38	555400	9729425.00
2000/09/14	2.34	2.38	2.34	2.38	383500	6702774.00
2000/09/15	2.38	2.38	2.32	2.36	197300	3415941.00
2000/09/18	2.36	2.36	2.29	2.30	240400	4132169.00
2000/09/19	2.28	2.29	2.22	2.24	317200	5315480.00
2000/09/20	2.22	2.27	2.22	2.26	250300	4194778.00
