600325 华发股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2004/02/25	2.46	2.55	2.21	2.22	34481101	516257984.00
2004/02/26	2.17	2.19	2.05	2.06	12828329	167341120.00
2004/02/27	2.06	2.09	2.02	2.08	6906138	86876992.00
2004/03/01	2.06	2.06	2.02	2.03	4082494	50846880.00
2004/03/02	2.05	2.08	2.02	2.05	4385516	55484636.00
2004/03/03	2.04	2.13	2.03	2.11	9261236	120057888.00
2004/03/04	2.12	2.13	2.08	2.11	5039609	65715752.00
2004/03/05	2.11	2.12	2.04	2.05	3813488	48909324.00
2004/03/08	2.05	2.07	2.02	2.06	2745213	34394120.00
2004/03/09	2.06	2.08	2.02	2.03	2159587	27037788.00
2004/03/10	2.02	2.06	2.01	2.06	2283510	28452080.00
2004/03/11	2.06	2.10	2.04	2.07	3269288	41751872.00
2004/03/12	2.06	2.06	2.03	2.04	2241702	28066116.00
2004/03/15	2.03	2.06	2.03	2.06	2129320	26763476.00
2004/03/16	2.08	2.09	2.06	2.07	3006800	38454888.00
2004/03/17	2.07	2.11	2.06	2.09	2936612	37888784.00
2004/03/18	2.09	2.09	2.03	2.04	1947650	24585536.00
2004/03/19	2.04	2.06	2.02	2.06	1420683	17770368.00
2004/03/22	2.06	2.10	2.05	2.07	1688513	21520532.00
2004/03/23	2.07	2.08	2.03	2.05	1580350	19819936.00
2004/03/24	2.04	2.06	2.03	2.04	1326939	16588196.00
2004/03/25	2.03	2.05	2.03	2.04	1064424	13267169.00
2004/03/26	2.03	2.06	2.03	2.05	860980	10783725.00
2004/03/29	2.05	2.06	2.02	2.03	1135934	14146750.00
2004/03/30	2.02	2.05	2.02	2.04	1021562	12712240.00
2004/03/31	2.04	2.05	2.03	2.04	996536	12436674.00
2004/04/01	2.04	2.18	2.04	2.12	8598655	112962512.00
2004/04/02	2.12	2.13	2.10	2.11	3182548	41647080.00
2004/04/05	2.11	2.16	2.09	2.15	3775713	49972140.00
