600332 白云山 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/02/06	7.77	9.15	7.69	9.08	53616900	740736064.00
2001/02/07	8.60	8.89	8.42	8.59	14596900	206500128.00
2001/02/08	8.54	8.78	8.46	8.65	6790800	95937536.00
2001/02/09	8.79	9.00	8.67	8.78	7447700	106954504.00
2001/02/12	8.81	8.90	8.52	8.72	4260100	60340560.00
2001/02/13	8.76	8.83	8.55	8.65	3121800	44290516.00
2001/02/14	8.62	8.75	8.54	8.63	1982400	27967412.00
2001/02/15	8.62	8.75	8.31	8.39	3979600	55410092.00
2001/02/16	8.35	8.49	8.09	8.45	3840600	52349872.00
2001/02/19	8.44	8.56	8.31	8.45	1651200	22966956.00
2001/02/20	8.48	8.62	8.27	8.31	2281200	31592404.00
2001/02/21	8.29	8.29	8.06	8.07	2935300	39579332.00
2001/02/22	7.91	8.26	7.91	8.02	1743500	23369556.00
2001/02/23	8.08	8.39	8.08	8.31	1404300	19179336.00
2001/02/26	8.38	8.50	8.27	8.38	1400800	19328918.00
2001/02/27	8.41	8.49	8.35	8.45	1397800	19388494.00
2001/02/28	8.45	8.46	8.27	8.31	1042300	14327080.00
2001/03/01	8.31	8.49	8.27	8.45	953000	13138063.00
2001/03/02	8.50	8.55	8.45	8.49	1457000	20299736.00
2001/03/05	8.52	8.54	8.37	8.39	1189700	16473718.00
2001/03/06	8.37	8.43	8.24	8.39	1118300	15335917.00
2001/03/07	8.41	8.60	8.40	8.54	1873400	26210932.00
2001/03/08	8.54	8.65	8.49	8.52	1384600	19429932.00
2001/03/09	8.53	8.56	8.41	8.52	1406900	19540344.00
2001/03/12	8.54	8.65	8.46	8.65	1132200	15880410.00
2001/03/13	8.65	8.65	8.46	8.47	999600	13987461.00
2001/03/14	8.47	8.77	8.46	8.74	1794300	25288266.00
2001/03/15	8.73	8.79	8.62	8.67	1851400	26313036.00
2001/03/16	8.68	8.84	8.68	8.71	2017800	28784644.00
2001/03/19	8.72	8.85	8.72	8.75	1374100	19658908.00
2001/03/20	8.77	8.81	8.63	8.71	1429800	20305352.00
2001/03/21	8.69	8.69	8.62	8.68	1730300	24475720.00
2001/03/22	8.73	8.77	8.65	8.72	1499200	21310214.00
2001/03/23	8.76	8.77	8.52	8.54	2374600	33489072.00
2001/03/26	8.49	8.66	8.47	8.65	1856200	25980284.00
2001/03/27	8.65	8.70	8.55	8.59	1491300	20979088.00
2001/03/28	8.60	8.75	8.58	8.69	1278100	18130438.00
2001/03/29	8.70	8.85	8.65	8.78	2148100	30647746.00
2001/03/30	8.81	8.92	8.79	8.92	2481100	35839600.00
2001/04/02	8.94	9.11	8.93	9.02	3263100	47762056.00
2001/04/03	9.04	9.05	8.73	8.95	2092600	30389776.00
2001/04/04	8.92	9.00	8.71	8.73	2064700	29793604.00
2001/04/05	8.73	8.95	8.69	8.95	1415400	20348812.00
2001/04/06	8.99	9.06	8.89	8.95	1458100	21225038.00
2001/04/09	8.92	9.03	8.86	9.03	1392400	20202256.00
2001/04/10	9.02	9.39	9.00	9.27	4414200	65988248.00
2001/04/11	9.31	9.37	9.23	9.32	2165900	32454520.00
2001/04/12	9.32	9.35	9.14	9.23	2264900	33853556.00
2001/04/13	9.25	9.60	9.23	9.49	3542900	53934056.00
2001/04/16	9.55	9.78	9.55	9.69	4951000	76800520.00
2001/04/17	9.75	9.80	9.54	9.76	3555700	54961048.00
2001/04/18	9.75	9.89	9.62	9.77	2856100	44458744.00
2001/04/19	9.77	9.88	9.62	9.85	2993400	46666952.00
2001/04/20	9.85	10.26	9.69	9.74	5980700	95630584.00
2001/04/23	9.65	9.68	9.15	9.52	3090300	47140832.00
2001/04/24	9.52	10.08	9.48	9.93	3991600	62816036.00
2001/04/25	9.94	10.02	9.42	9.50	3291000	50912328.00
2001/04/26	9.49	9.64	9.32	9.35	2214100	33535010.00
2001/04/27	9.35	9.46	9.32	9.38	1570400	23712996.00
2001/04/30	9.43	9.44	9.18	9.24	1575800	23542026.00
2001/05/08	9.23	9.37	9.16	9.34	760500	11406999.00
2001/05/09	9.34	9.60	9.33	9.41	1009700	15342854.00
2001/05/10	9.41	9.53	9.37	9.45	582700	8836638.00
2001/05/11	9.46	9.66	9.46	9.66	946900	14568669.00
2001/05/14	9.72	9.89	9.62	9.81	1431500	22383656.00
2001/05/15	9.87	9.91	9.63	9.77	1255900	19553876.00
2001/05/16	9.77	9.83	9.62	9.65	1146400	17710244.00
2001/05/17	9.65	9.77	9.54	9.69	1239000	19110088.00
2001/05/18	9.70	9.78	9.55	9.64	1056200	16318810.00
2001/05/21	9.64	9.85	9.54	9.84	1999200	31145290.00
2001/05/22	9.84	9.89	9.69	9.75	1108500	17290008.00
2001/05/23	9.75	9.89	9.52	9.59	1482600	22964320.00
2001/05/24	9.57	9.69	9.55	9.57	1010900	15533209.00
2001/05/25	9.59	9.73	9.39	9.43	1129500	17271518.00
2001/05/28	9.42	9.45	9.23	9.30	1091000	16363837.00
2001/05/29	9.31	9.45	9.27	9.35	789400	11865473.00
2001/05/30	9.37	9.58	9.29	9.57	683500	10353516.00
2001/05/31	9.60	9.60	9.42	9.46	717500	10929893.00
2001/06/01	9.46	9.92	9.43	9.68	1887700	29380596.00
2001/06/04	9.82	10.25	9.73	10.22	5660200	90223392.00
2001/06/05	10.23	10.27	10.08	10.15	3924800	63189936.00
2001/06/06	10.15	10.22	9.91	10.08	2383600	37938456.00
2001/06/07	10.08	10.15	9.89	9.97	1619400	25831254.00
2001/06/08	9.99	10.13	9.89	9.98	1376300	21863640.00
2001/06/11	9.98	10.19	9.94	10.07	1412700	22614692.00
2001/06/12	10.08	10.23	10.05	10.23	1633700	26337286.00
2001/06/13	10.27	10.42	10.25	10.37	2682000	43887500.00
2001/06/14	10.37	10.39	9.92	9.92	2481300	39920844.00
2001/06/18	10.15	10.50	9.94	10.06	4604600	74602232.00
2001/06/19	9.98	10.15	9.92	9.96	1061100	16874962.00
2001/06/20	9.94	10.15	9.93	9.95	922000	14687887.00
2001/06/21	9.95	10.31	9.93	10.24	1591400	25676022.00
2001/06/22	10.31	10.32	10.17	10.27	1747400	28369474.00
2001/06/25	10.33	10.48	10.32	10.41	1558500	25521848.00
2001/06/26	10.45	10.68	10.33	10.55	2465800	40792060.00
2001/06/27	9.95	10.70	9.95	10.49	1735600	28634012.00
2001/06/28	10.49	10.53	10.25	10.31	1101000	17997076.00
2001/06/29	10.34	10.36	10.25	10.31	749600	12190761.00
