600337 美克家居 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/11/27	2.46	2.48	2.04	2.11	25318000	803369792.00
2000/11/28	2.09	2.15	2.02	2.04	3997600	122756208.00
2000/11/29	2.02	2.03	1.96	2.00	2920900	87056512.00
2000/11/30	1.99	2.06	1.97	1.99	1385800	41522904.00
2000/12/01	2.02	2.06	1.99	2.02	1116700	33577660.00
2000/12/04	2.02	2.03	1.97	1.99	1056900	31350260.00
2000/12/05	2.02	2.04	1.99	2.02	571500	17095592.00
2000/12/06	2.02	2.03	1.93	1.95	1804000	53005712.00
2000/12/07	1.94	1.96	1.91	1.93	969200	28135506.00
2000/12/08	2.01	2.01	1.92	1.93	378100	11040461.00
2000/12/11	1.93	1.93	1.85	1.85	1005500	28551188.00
2000/12/12	1.85	1.94	1.85	1.93	589400	16978328.00
2000/12/13	1.94	1.96	1.91	1.94	418400	12179843.00
2000/12/14	1.95	1.96	1.93	1.93	364800	10657098.00
2000/12/15	1.93	1.94	1.90	1.92	521200	15027090.00
2000/12/18	1.93	1.94	1.88	1.91	668500	19142140.00
2000/12/19	1.91	1.97	1.90	1.95	544400	15936923.00
2000/12/20	1.94	2.01	1.94	2.00	533000	15721790.00
2000/12/21	2.00	2.01	1.98	1.99	505000	15012285.00
2000/12/22	1.99	2.02	1.98	2.01	557200	16633636.00
2000/12/25	2.01	2.01	1.96	1.96	430700	12684460.00
2000/12/26	1.96	1.96	1.95	1.95	522100	15297646.00
2000/12/27	1.95	2.00	1.95	1.96	366100	10802677.00
2000/12/28	1.95	1.97	1.93	1.96	332300	9761334.00
2000/12/29	1.96	2.02	1.96	2.01	350200	10429717.00
2001/01/02	2.01	2.04	1.99	2.03	453700	13601884.00
2001/01/03	2.03	2.07	2.02	2.07	860300	26118910.00
2001/01/04	2.07	2.07	2.03	2.03	435000	13170263.00
2001/01/05	2.03	2.06	2.01	2.03	488100	14705140.00
2001/01/08	2.03	2.07	2.01	2.07	746300	22580156.00
2001/01/09	2.06	2.08	2.05	2.07	670500	20482876.00
2001/01/10	2.08	2.09	2.06	2.08	325000	9944941.00
2001/01/11	2.08	2.09	2.06	2.07	473200	14517817.00
2001/01/12	2.07	2.07	1.99	1.99	1048400	31374890.00
2001/01/15	1.97	1.98	1.86	1.90	563700	16371975.00
2001/01/16	1.89	1.93	1.87	1.89	694300	19815992.00
2001/01/17	1.89	1.92	1.88	1.90	188900	5432060.00
2001/01/18	1.90	1.93	1.90	1.91	247800	7144125.00
2001/01/19	1.90	1.96	1.90	1.95	200300	5855120.00
2001/02/05	1.94	1.95	1.86	1.86	279200	7971613.00
2001/02/06	1.84	1.84	1.70	1.76	526900	14293604.00
2001/02/07	1.76	1.78	1.71	1.72	532300	14245590.00
2001/02/08	1.71	1.75	1.62	1.62	794000	20700884.00
2001/02/09	1.62	1.69	1.62	1.67	423800	10988802.00
2001/02/12	1.66	1.68	1.62	1.67	162700	4197530.00
2001/02/13	1.68	1.69	1.66	1.67	171100	4491242.00
2001/02/14	1.66	1.67	1.64	1.65	214600	5553457.00
2001/02/15	1.65	1.67	1.65	1.65	94400	2451441.00
2001/02/16	1.65	1.66	1.61	1.65	174100	4468376.00
2001/02/19	1.66	1.72	1.65	1.71	197200	5223927.00
2001/02/20	1.70	1.74	1.69	1.69	215300	5722272.00
2001/02/21	1.63	1.69	1.63	1.65	192700	5006412.00
2001/02/22	1.64	1.69	1.64	1.66	114100	2973812.00
2001/02/23	1.68	1.70	1.66	1.70	87400	2290590.00
2001/02/26	1.70	1.76	1.70	1.74	189300	5078512.00
