600352 浙江龙盛 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/08/01	-0.58	-0.55	-0.58	-0.57	28419324	318645248.00
2003/08/04	-0.57	-0.52	-0.58	-0.53	10918225	126536584.00
2003/08/05	-0.53	-0.53	-0.54	-0.53	4163915	48650072.00
2003/08/06	-0.53	-0.53	-0.55	-0.54	3170834	36896892.00
2003/08/07	-0.54	-0.54	-0.55	-0.55	2503446	28854156.00
2003/08/08	-0.56	-0.54	-0.56	-0.55	2387682	27302500.00
2003/08/11	-0.56	-0.54	-0.56	-0.55	1642802	18731790.00
2003/08/12	-0.55	-0.54	-0.56	-0.55	1379285	15884129.00
2003/08/13	-0.55	-0.55	-0.56	-0.56	1836962	20865380.00
2003/08/14	-0.56	-0.55	-0.56	-0.56	1432644	16290277.00
2003/08/15	-0.56	-0.55	-0.56	-0.56	775891	8787485.00
2003/08/18	-0.56	-0.55	-0.56	-0.55	635473	7234944.00
2003/08/19	-0.55	-0.54	-0.55	-0.54	1883788	21698156.00
2003/08/20	-0.55	-0.54	-0.55	-0.54	1872349	21615204.00
2003/08/21	-0.55	-0.53	-0.55	-0.53	1651136	19212824.00
2003/08/22	-0.53	-0.53	-0.54	-0.53	1821516	21328564.00
2003/08/25	-0.54	-0.54	-0.55	-0.54	1671537	19320992.00
2003/08/26	-0.55	-0.52	-0.55	-0.53	1141111	13351381.00
2003/08/27	-0.53	-0.53	-0.54	-0.53	368715	4301956.00
2003/08/28	-0.53	-0.53	-0.54	-0.54	885634	10324106.00
2003/08/29	-0.55	-0.50	-0.55	-0.51	2424297	28889784.00
2003/09/01	-0.51	-0.48	-0.52	-0.50	3500755	42913036.00
2003/09/02	-0.50	-0.49	-0.51	-0.50	2827656	34494768.00
2003/09/03	-0.51	-0.50	-0.51	-0.51	1512494	18251092.00
2003/09/04	-0.51	-0.49	-0.51	-0.50	1766577	21564576.00
2003/09/05	-0.51	-0.50	-0.52	-0.51	2654626	32008216.00
2003/09/08	-0.51	-0.50	-0.52	-0.50	912313	10985308.00
2003/09/09	-0.51	-0.49	-0.52	-0.51	1854737	22293904.00
2003/09/10	-0.52	-0.51	-0.52	-0.51	508947	6111601.00
2003/09/11	-0.51	-0.51	-0.52	-0.51	307517	3690332.00
2003/09/12	-0.51	-0.50	-0.52	-0.51	612190	7360047.00
2003/09/15	-0.51	-0.49	-0.51	-0.49	1735154	21142024.00
2003/09/16	-0.49	-0.49	-0.50	-0.49	1961224	24137632.00
2003/09/17	-0.49	-0.49	-0.52	-0.51	1597808	19347566.00
2003/09/18	-0.51	-0.51	-0.52	-0.51	1096230	13139386.00
2003/09/19	-0.51	-0.51	-0.54	-0.53	2718578	32042908.00
2003/09/22	-0.53	-0.52	-0.54	-0.53	427622	5023232.00
2003/09/23	-0.54	-0.52	-0.54	-0.52	524483	6207269.00
2003/09/24	-0.52	-0.51	-0.52	-0.52	204400	2430864.00
2003/09/25	-0.52	-0.52	-0.53	-0.53	651039	7657364.00
2003/09/26	-0.53	-0.51	-0.54	-0.52	378339	4491086.00
2003/09/29	-0.52	-0.52	-0.54	-0.53	650689	7655545.00
2003/09/30	-0.53	-0.52	-0.54	-0.53	386195	4537475.00
2003/10/08	-0.53	-0.51	-0.53	-0.51	290278	3475703.00
2003/10/09	-0.51	-0.51	-0.52	-0.51	231388	2778766.00
2003/10/10	-0.51	-0.47	-0.52	-0.49	1411288	17369656.00
2003/10/13	-0.48	-0.45	-0.49	-0.48	1798162	22673576.00
2003/10/14	-0.48	-0.47	-0.49	-0.49	782902	9726842.00
2003/10/15	-0.49	-0.48	-0.50	-0.50	555000	6886418.00
2003/10/17	-0.51	-0.50	-0.52	-0.51	644209	7752131.00
2003/10/20	-0.51	-0.49	-0.52	-0.51	191199	2300316.00
2003/10/21	-0.51	-0.50	-0.52	-0.50	277350	3346698.00
2003/10/22	-0.50	-0.47	-0.50	-0.48	1781658	22309656.00
2003/10/23	-0.48	-0.46	-0.48	-0.47	960521	12129956.00
2003/10/24	-0.47	-0.46	-0.48	-0.48	607010	7621861.00
2003/10/27	-0.48	-0.48	-0.50	-0.50	600845	7394644.00
2003/10/28	-0.50	-0.48	-0.50	-0.48	313354	3867306.00
2003/10/29	-0.48	-0.47	-0.51	-0.49	512176	6282799.00
2003/10/30	-0.50	-0.48	-0.50	-0.49	332002	4073636.00
2003/10/31	-0.50	-0.46	-0.50	-0.48	512179	6372635.00
2003/11/03	-0.48	-0.47	-0.49	-0.47	551026	6942299.00
2003/11/04	-0.46	-0.45	-0.47	-0.47	1766623	22676540.00
2003/11/05	-0.47	-0.47	-0.49	-0.48	701656	8789218.00
2003/11/06	-0.48	-0.46	-0.49	-0.47	1033400	13037380.00
2003/11/07	-0.47	-0.46	-0.50	-0.49	1299236	16069179.00
2003/11/10	-0.50	-0.48	-0.50	-0.49	523527	6427931.00
2003/11/11	-0.49	-0.48	-0.51	-0.51	733743	8918921.00
2003/11/12	-0.51	-0.51	-0.53	-0.53	1014659	12012055.00
2003/11/13	-0.53	-0.51	-0.54	-0.51	717962	8593909.00
2003/11/14	-0.51	-0.50	-0.52	-0.51	264856	3184851.00
2003/11/17	-0.52	-0.51	-0.52	-0.51	211987	2545926.00
2003/11/18	-0.52	-0.51	-0.53	-0.51	305889	3658466.00
2003/11/19	-0.51	-0.50	-0.51	-0.51	204738	2474934.00
2003/11/20	-0.49	-0.48	-0.51	-0.50	567847	6977020.00
2003/11/21	-0.49	-0.48	-0.52	-0.52	340049	4125334.00
2003/11/24	-0.53	-0.50	-0.53	-0.51	1374383	16377616.00
2003/11/25	-0.51	-0.51	-0.53	-0.52	688726	8207953.00
2003/11/26	-0.52	-0.51	-0.53	-0.52	436077	5182445.00
2003/11/27	-0.52	-0.52	-0.53	-0.53	358970	4245660.00
2003/11/28	-0.53	-0.52	-0.53	-0.52	260404	3094959.00
2003/12/01	-0.52	-0.50	-0.53	-0.51	525875	6324089.00
2003/12/02	-0.51	-0.50	-0.52	-0.51	663100	7959877.00
2003/12/03	-0.52	-0.51	-0.53	-0.52	953328	11426197.00
2003/12/04	-0.52	-0.50	-0.52	-0.51	625156	7530887.00
2003/12/05	-0.51	-0.50	-0.51	-0.50	536857	6513169.00
2003/12/08	-0.50	-0.50	-0.51	-0.51	402591	4854992.00
2003/12/09	-0.52	-0.50	-0.52	-0.51	177025	2118654.00
2003/12/10	-0.51	-0.51	-0.53	-0.52	634576	7557587.00
2003/12/11	-0.51	-0.51	-0.55	-0.55	2280103	26432624.00
2003/12/12	-0.55	-0.54	-0.56	-0.54	1397642	15928217.00
2003/12/15	-0.54	-0.54	-0.56	-0.56	1330394	15191570.00
2003/12/16	-0.56	-0.54	-0.57	-0.54	852045	9760401.00
2003/12/17	-0.53	-0.53	-0.56	-0.56	495280	5706868.00
2003/12/18	-0.56	-0.55	-0.56	-0.56	462422	5258623.00
2003/12/19	-0.56	-0.55	-0.60	-0.59	1177093	13010175.00
2003/12/23	-0.57	-0.54	-0.58	-0.55	2993956	33845880.00
2003/12/24	-0.56	-0.55	-0.57	-0.55	693991	7871468.00
2003/12/25	-0.55	-0.54	-0.55	-0.54	805717	9315863.00
2003/12/26	-0.53	-0.52	-0.54	-0.52	1123919	13233492.00
2003/12/29	-0.52	-0.52	-0.54	-0.53	884815	10404710.00
2003/12/30	-0.53	-0.51	-0.53	-0.52	741796	8773866.00
2003/12/31	-0.52	-0.52	-0.54	-0.54	1106056	13045552.00
2004/01/02	-0.53	-0.52	-0.53	-0.52	1232463	14574892.00
2004/01/05	-0.52	-0.49	-0.52	-0.50	2467516	29829676.00
2004/01/06	-0.50	-0.45	-0.50	-0.47	2867170	35723672.00
2004/01/07	-0.46	-0.46	-0.49	-0.48	2870613	35895600.00
2004/01/08	-0.48	-0.43	-0.48	-0.44	4448800	57708248.00
2004/01/09	-0.44	-0.43	-0.47	-0.47	2119900	27334598.00
2004/01/12	-0.47	-0.46	-0.48	-0.47	1970593	24840652.00
2004/01/13	-0.46	-0.42	-0.46	-0.42	3383674	44173812.00
2004/01/14	-0.42	-0.40	-0.44	-0.42	2299633	30664100.00
2004/01/15	-0.42	-0.40	-0.43	-0.43	2007991	26978648.00
2004/01/16	-0.43	-0.42	-0.43	-0.43	1517663	20052316.00
2004/01/29	-0.41	-0.41	-0.44	-0.42	1270854	16859816.00
2004/01/30	-0.42	-0.41	-0.46	-0.46	1580604	20504846.00
2004/02/02	-0.41	-0.41	-0.46	-0.44	3200980	41673080.00
2004/02/03	-0.44	-0.42	-0.45	-0.44	1284071	16804560.00
2004/02/04	-0.44	-0.39	-0.44	-0.40	2736630	36994800.00
2004/02/05	-0.40	-0.37	-0.42	-0.39	2384707	32852316.00
2004/02/06	-0.40	-0.38	-0.41	-0.41	2107097	28919170.00
2004/02/09	-0.41	-0.36	-0.41	-0.36	2649728	36892820.00
2004/02/10	-0.36	-0.36	-0.38	-0.38	1768800	24970664.00
2004/02/11	-0.37	-0.37	-0.39	-0.38	1142759	15905372.00
2004/02/12	-0.38	-0.36	-0.39	-0.36	1230205	17356696.00
2004/02/13	-0.36	-0.35	-0.38	-0.37	1077249	15180722.00
2004/02/16	-0.36	-0.34	-0.37	-0.34	2444917	35188792.00
2004/02/17	-0.34	-0.31	-0.34	-0.32	3913754	58021296.00
2004/02/18	-0.32	-0.22	-0.32	-0.27	3991690	62005660.00
2004/02/19	-0.27	-0.25	-0.28	-0.26	1358494	21274788.00
2004/02/20	-0.26	-0.23	-0.26	-0.24	1629894	25909160.00
2004/02/23	-0.24	-0.23	-0.26	-0.26	2871790	45580020.00
2004/02/24	-0.27	-0.26	-0.30	-0.27	1678653	25954812.00
2004/02/25	-0.26	-0.24	-0.29	-0.28	1014675	15852821.00
2004/02/26	-0.28	-0.27	-0.29	-0.27	900114	13872201.00
2004/02/27	-0.27	-0.20	-0.27	-0.22	2694367	43487680.00
2004/03/01	-0.18	-0.17	-0.22	-0.21	5968290	99347520.00
2004/03/02	-0.19	-0.19	-0.25	-0.25	3686493	59135772.00
2004/03/03	-0.26	-0.24	-0.29	-0.27	1807149	28124362.00
2004/03/04	-0.27	-0.24	-0.27	-0.26	1382082	21804444.00
2004/03/05	-0.26	-0.25	-0.28	-0.27	673434	10493758.00
2004/03/08	-0.28	-0.26	-0.29	-0.28	798577	12418077.00
2004/03/09	-0.27	-0.25	-0.29	-0.29	993721	15462092.00
2004/03/10	-0.29	-0.26	-0.29	-0.26	872955	13538873.00
2004/03/11	-0.26	-0.25	-0.27	-0.26	677692	10683475.00
2004/03/12	-0.25	-0.25	-0.27	-0.27	417524	6520834.00
2004/03/15	-0.27	-0.24	-0.27	-0.25	2148446	33913488.00
2004/03/16	-0.24	-0.22	-0.25	-0.22	2083025	33610188.00
2004/03/17	-0.20	-0.20	-0.24	-0.22	1485448	24194136.00
2004/03/18	-0.22	-0.22	-0.27	-0.26	1440411	22870728.00
2004/03/19	-0.26	-0.24	-0.26	-0.24	638151	10111059.00
2004/03/22	-0.24	-0.24	-0.25	-0.25	414471	6582366.00
2004/03/23	-0.25	-0.25	-0.27	-0.26	885032	13823779.00
2004/03/24	-0.26	-0.25	-0.27	-0.27	1255592	19522254.00
2004/03/25	-0.27	-0.24	-0.27	-0.24	973087	15418173.00
2004/03/26	-0.24	-0.21	-0.24	-0.22	1936738	31432016.00
2004/03/29	-0.21	-0.20	-0.24	-0.24	1260334	20593434.00
2004/03/30	-0.24	-0.21	-0.24	-0.21	1019964	16594527.00
2004/03/31	-0.20	-0.20	-0.22	-0.21	823411	13539082.00
2004/04/01	-0.20	-0.19	-0.21	-0.21	1336510	22109488.00
2004/04/02	-0.21	-0.14	-0.21	-0.15	4770287	81849656.00
2004/04/06	-0.10	-0.09	-0.16	-0.16	5744241	101292976.00
2004/04/07	-0.16	-0.14	-0.16	-0.15	1660002	28789458.00
2004/04/08	-0.15	-0.09	-0.16	-0.11	3544461	62838056.00
2004/04/09	-0.11	-0.10	-0.16	-0.15	3149484	55293576.00
2004/04/12	-0.17	-0.15	-0.17	-0.16	1275237	21873282.00
2004/04/13	-0.16	-0.15	-0.20	-0.19	1380899	23513648.00
2004/04/14	-0.20	-0.18	-0.23	-0.21	1409777	23158856.00
2004/04/15	-0.21	-0.19	-0.22	-0.22	583461	9584348.00
2004/04/16	-0.21	-0.20	-0.24	-0.21	669610	10939980.00
2004/04/19	-0.21	-0.18	-0.24	-0.18	1229307	20168120.00
2004/04/20	-0.23	-0.18	-0.23	-0.19	825900	13586198.00
2004/04/21	-0.20	-0.20	-0.22	-0.22	401840	6581997.00
2004/04/22	-0.23	-0.20	-0.24	-0.21	724840	11711486.00
2004/04/23	-0.23	-0.22	-0.24	-0.23	344288	5548327.00
2004/04/26	-0.22	-0.22	-0.26	-0.24	613032	9804231.00
2004/04/27	-0.24	-0.23	-0.27	-0.27	831554	13106152.00
2004/04/28	-0.27	-0.25	-0.28	-0.27	856720	13334284.00
2004/04/29	-0.27	-0.26	-0.32	-0.31	907227	13809146.00
2004/04/30	-0.31	-0.25	-0.31	-0.26	1080087	16652258.00
2004/05/10	-0.26	-0.25	-0.31	-0.31	666740	10142889.00
2004/05/11	-0.31	-0.31	-0.35	-0.33	378099	2741557.00
2004/05/12	-0.33	-0.31	-0.36	-0.31	1167497	8463767.00
2004/05/13	-0.33	-0.32	-0.33	-0.33	427374	3090486.00
2004/05/14	-0.34	-0.34	-0.36	-0.34	719199	5089714.00
2004/05/17	-0.34	-0.34	-0.37	-0.36	512852	3604038.00
2004/05/18	-0.37	-0.34	-0.39	-0.34	1013083	7021266.00
2004/05/19	-0.36	-0.33	-0.36	-0.34	546547	3906135.00
2004/05/20	-0.35	-0.34	-0.36	-0.36	320700	2268142.00
2004/05/21	-0.36	-0.34	-0.36	-0.34	653230	4647413.00
2004/05/24	-0.34	-0.32	-0.35	-0.35	264100	1877501.00
2004/05/25	-0.35	-0.35	-0.38	-0.37	479742	3332036.00
2004/05/26	-0.38	-0.36	-0.39	-0.37	283240	1952341.00
2004/05/27	-0.37	-0.34	-0.38	-0.35	663033	4673697.00
2004/05/28	-0.34	-0.34	-0.36	-0.35	354550	2506985.00
2004/05/31	-0.35	-0.33	-0.36	-0.34	449920	3214131.00
2004/06/01	-0.34	-0.28	-0.35	-0.29	2233054	16602534.00
2004/06/02	-0.29	-0.28	-0.31	-0.31	1261445	9464346.00
2004/06/03	-0.31	-0.31	-0.34	-0.32	975422	7084748.00
2004/06/04	-0.33	-0.31	-0.33	-0.31	762796	5589882.00
2004/06/07	-0.33	-0.31	-0.33	-0.32	839588	6139115.00
2004/06/08	-0.31	-0.31	-0.33	-0.32	742100	5426292.00
