600353 旭光股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/11/20	2.21	2.32	2.18	2.27	17023364	287079488.00
2002/11/21	2.26	2.35	2.26	2.29	7028755	120494608.00
2002/11/22	2.31	2.33	2.19	2.23	5611473	93901568.00
2002/11/25	2.21	2.25	2.20	2.23	1758799	29237304.00
2002/11/26	2.23	2.25	1.97	1.97	6056953	94534456.00
2002/11/27	1.93	1.93	1.84	1.90	4219767	60741132.00
2002/11/28	1.88	2.01	1.85	2.00	3326720	48776864.00
2002/11/29	1.99	2.09	1.95	2.01	4902975	74837288.00
2002/12/02	1.98	1.99	1.86	1.89	2100770	30975598.00
2002/12/03	1.87	1.94	1.86	1.93	1333258	19388632.00
2002/12/04	1.93	2.01	1.90	1.93	2113956	31434622.00
2002/12/05	1.92	1.94	1.88	1.93	1205698	17524852.00
2002/12/06	1.92	1.95	1.91	1.91	710725	10421852.00
2002/12/09	1.90	1.93	1.87	1.89	837969	12068243.00
2002/12/10	1.88	1.91	1.86	1.86	781498	11177892.00
2002/12/11	1.86	1.89	1.84	1.88	735312	10457800.00
2002/12/12	1.88	1.92	1.87	1.87	793722	11447465.00
2002/12/13	1.85	1.89	1.82	1.88	1480130	20875864.00
2002/12/16	1.88	1.90	1.85	1.88	879114	12574120.00
2002/12/17	1.88	1.90	1.86	1.89	640825	9197507.00
2002/12/18	1.90	1.93	1.89	1.89	1619169	23566944.00
2002/12/19	1.89	1.91	1.86	1.88	553171	7939060.00
2002/12/20	1.89	1.91	1.86	1.90	666880	9611273.00
2002/12/23	1.91	1.93	1.89	1.90	755495	10994276.00
2002/12/24	1.90	1.93	1.89	1.93	561535	8174328.00
2002/12/25	1.92	1.93	1.89	1.90	428225	6240307.00
2002/12/26	1.88	1.90	1.79	1.79	1217766	17097504.00
2002/12/27	1.78	1.80	1.74	1.76	789818	10746155.00
2002/12/30	1.75	1.76	1.67	1.68	1163811	15362192.00
2002/12/31	1.69	1.71	1.62	1.63	1125951	14479537.00
2003/01/02	1.61	1.66	1.60	1.64	648294	8222606.00
2003/01/03	1.63	1.66	1.61	1.63	723530	9211888.00
2003/01/06	1.62	1.69	1.61	1.67	809773	10431127.00
2003/01/07	1.68	1.73	1.66	1.67	1287086	16895558.00
2003/01/08	1.66	1.77	1.66	1.75	1145043	15177422.00
2003/01/09	1.75	1.79	1.73	1.77	2002748	27162318.00
2003/01/10	1.78	1.78	1.72	1.72	1220296	16490127.00
2003/01/13	1.72	1.74	1.71	1.72	504975	6730803.00
2003/01/14	1.71	1.88	1.71	1.83	2820617	39334876.00
2003/01/15	1.82	1.89	1.80	1.80	2067463	29145400.00
2003/01/16	1.81	1.93	1.80	1.89	2298429	32862836.00
2003/01/17	1.91	1.91	1.85	1.85	1249765	17827688.00
2003/01/20	1.85	1.87	1.83	1.86	681003	9641140.00
2003/01/21	1.86	1.90	1.81	1.81	937085	13203122.00
2003/01/22	1.81	1.82	1.79	1.81	570298	7899097.00
2003/01/23	1.81	1.82	1.77	1.77	585171	8044618.00
2003/01/24	1.74	1.76	1.70	1.75	1716619	22970386.00
2003/01/27	1.75	1.78	1.75	1.77	1015105	13823034.00
2003/01/28	1.78	1.85	1.77	1.83	1253226	17480888.00
