600358 国旅联合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/09/22	4.53	4.93	4.41	4.79	34892200	580075328.00
2000/09/25	4.76	4.99	4.65	4.70	16706500	284928576.00
2000/09/26	4.68	4.73	4.35	4.41	9353200	148544896.00
2000/09/27	4.44	4.77	4.43	4.67	7143500	116223416.00
2000/09/28	4.68	4.69	4.51	4.53	3517400	56641624.00
2000/09/29	4.54	4.71	4.54	4.58	2487200	40589156.00
2000/10/09	4.59	4.61	4.36	4.48	2605200	40722324.00
2000/10/10	4.48	4.54	4.40	4.49	1672700	26356764.00
2000/10/11	4.49	4.62	4.42	4.52	2200900	35244300.00
2000/10/12	4.53	4.64	4.52	4.54	1764600	28420884.00
2000/10/13	4.54	4.63	4.48	4.52	1547300	24787776.00
2000/10/16	4.47	4.51	4.40	4.41	1405200	21955332.00
2000/10/17	4.39	4.46	4.36	4.45	700700	10934243.00
2000/10/18	4.46	4.49	4.41	4.49	985400	15427140.00
2000/10/19	4.47	4.48	4.44	4.44	817300	12826268.00
2000/10/20	4.44	4.58	4.42	4.54	1376000	21876380.00
2000/10/23	4.55	4.62	4.49	4.57	1569400	25308020.00
2000/10/24	4.57	4.64	4.54	4.62	1147800	18597676.00
2000/10/25	4.64	4.85	4.59	4.76	5077800	85274256.00
2000/10/26	4.76	4.81	4.69	4.73	2065700	34553576.00
2000/10/27	4.73	4.78	4.68	4.77	1564600	26057572.00
2000/10/30	4.74	4.90	4.73	4.83	2761100	47055868.00
2000/10/31	4.82	4.83	4.66	4.71	1599800	26736448.00
2000/11/01	4.69	4.75	4.65	4.72	908400	15082226.00
2000/11/02	4.73	4.81	4.68	4.70	1205200	20250986.00
2000/11/03	4.70	4.74	4.63	4.68	1097700	18119904.00
2000/11/06	4.69	4.83	4.68	4.77	1130200	19076144.00
2000/11/07	4.77	4.86	4.76	4.85	1334500	22671288.00
2000/11/08	4.88	4.93	4.82	4.85	1949500	33522308.00
2000/11/09	4.85	4.87	4.76	4.81	1933500	32760324.00
2000/11/10	4.82	4.89	4.78	4.88	1560700	26503000.00
2000/11/13	4.90	4.91	4.79	4.82	1449100	24725384.00
2000/11/14	4.82	4.86	4.78	4.83	1112700	18874654.00
2000/11/15	4.82	4.86	4.79	4.82	1332400	22651454.00
2000/11/16	4.82	4.95	4.81	4.92	1914900	32946916.00
2000/11/17	4.91	4.92	4.82	4.82	1154500	19724510.00
2000/11/20	4.81	4.82	4.75	4.76	1253100	21100024.00
2000/11/21	4.76	4.85	4.76	4.78	956100	16209599.00
2000/11/22	4.78	5.01	4.78	4.88	3132000	54640848.00
2000/11/23	4.99	5.06	4.91	4.93	1969700	34551192.00
2000/11/24	4.94	5.00	4.79	4.81	1867500	32208904.00
2000/11/27	4.79	4.91	4.79	4.86	1049200	17967914.00
2000/11/28	4.88	4.99	4.86	4.95	1024900	17797792.00
2000/11/29	4.99	5.05	4.92	5.00	1343800	23617484.00
2000/11/30	5.07	5.07	4.98	5.03	1287200	22804928.00
2000/12/01	5.03	5.18	5.03	5.05	2432000	43749224.00
2000/12/04	5.16	5.27	5.08	5.22	3012100	55216384.00
2000/12/05	5.20	5.24	5.13	5.18	1231700	22509042.00
2000/12/06	5.18	5.22	5.15	5.15	1422300	25909706.00
2000/12/07	5.15	5.18	5.02	5.02	1777000	31858032.00
2000/12/08	5.02	5.16	5.01	5.10	1070300	19214180.00
2000/12/11	5.10	5.22	5.00	5.02	1649000	29653150.00
2000/12/12	5.00	5.08	4.96	5.04	963600	17138228.00
2000/12/13	5.05	5.17	5.05	5.13	690700	12483226.00
2000/12/14	5.14	5.17	5.06	5.10	453600	8167032.00
2000/12/15	5.06	5.12	5.03	5.04	513700	9151268.00
2000/12/18	5.05	5.13	4.98	5.13	553500	9877665.00
2000/12/19	5.15	5.16	5.11	5.11	376000	6807524.00
2000/12/20	5.11	5.33	5.10	5.26	990800	18198872.00
2000/12/21	5.29	5.30	5.16	5.17	701300	12915884.00
2000/12/22	5.19	5.27	5.16	5.23	567700	10449775.00
2000/12/25	5.28	5.41	5.24	5.36	1251800	23603048.00
2000/12/26	5.38	5.54	5.35	5.35	1337700	25595554.00
2000/12/27	5.36	5.43	5.31	5.32	880200	16657641.00
2000/12/28	5.32	5.42	5.30	5.37	690200	13077968.00
2000/12/29	5.39	5.45	5.36	5.44	636900	12129154.00
2001/01/02	5.48	5.53	5.44	5.50	883600	17106144.00
2001/01/03	5.49	5.52	5.39	5.49	1058300	20321610.00
2001/01/04	5.49	5.50	5.35	5.36	1291900	24606468.00
2001/01/05	5.36	5.50	5.35	5.46	917300	17508564.00
2001/01/08	5.48	5.48	5.25	5.28	1698700	31905192.00
2001/01/09	5.29	5.38	5.26	5.35	639600	11992987.00
2001/01/10	5.36	5.39	5.30	5.39	673400	12710054.00
2001/01/11	5.39	5.39	5.25	5.28	1194700	22317142.00
2001/01/12	5.27	5.32	5.26	5.28	609900	11368128.00
2001/01/15	5.28	5.30	5.02	5.03	1355200	24357056.00
2001/01/16	5.02	5.03	4.91	5.02	873100	15330173.00
2001/01/17	5.02	5.02	4.95	4.96	500700	8787190.00
2001/01/18	4.95	5.02	4.93	4.94	462700	8095471.00
2001/01/19	4.96	5.02	4.96	5.00	474000	8357832.00
2001/02/05	5.01	5.02	4.77	4.82	559700	9666562.00
2001/02/06	4.82	4.85	4.74	4.82	390500	6588023.00
2001/02/07	4.85	4.85	4.77	4.78	183000	3095504.00
2001/02/08	4.79	4.82	4.58	4.59	329500	5461023.00
2001/02/09	4.62	4.73	4.59	4.69	544200	8938463.00
2001/02/12	4.69	4.78	4.65	4.77	230600	3836707.00
2001/02/13	4.75	4.81	4.75	4.79	293900	4951305.00
2001/02/14	4.76	4.82	4.73	4.80	252100	4252552.00
2001/02/15	4.80	4.82	4.68	4.70	169800	2846852.00
2001/02/16	4.66	4.73	4.61	4.68	291000	4757966.00
2001/02/19	4.69	4.82	4.68	4.82	247700	4159966.00
2001/02/20	4.85	4.85	4.72	4.73	333000	5615262.00
2001/02/21	4.49	4.65	4.44	4.51	623900	10034946.00
2001/02/22	4.50	4.57	4.44	4.52	514000	8158845.00
2001/02/23	4.53	4.76	4.52	4.72	558900	9118369.00
2001/02/26	4.72	4.77	4.68	4.77	431000	7202610.00
2001/02/27	4.76	4.77	4.71	4.76	204300	3418425.00
2001/02/28	4.76	4.76	4.69	4.70	229300	3820787.00
2001/03/01	4.64	4.71	4.62	4.67	216600	3564466.00
2001/03/02	4.76	4.76	4.69	4.75	330200	5523306.00
2001/03/05	4.76	4.81	4.72	4.72	215100	3601914.00
2001/03/06	4.72	4.82	4.71	4.80	198100	3315243.00
2001/03/07	4.81	4.82	4.76	4.80	161400	2731921.00
2001/03/08	4.79	4.81	4.68	4.81	309200	5149696.00
2001/03/09	4.79	4.82	4.74	4.81	202300	3417653.00
2001/03/12	4.81	4.81	4.75	4.76	222900	3746053.00
2001/03/13	4.76	4.76	4.69	4.70	216700	3603766.00
2001/03/14	4.69	4.81	4.69	4.76	142100	2375771.00
2001/03/15	4.76	4.78	4.69	4.71	209000	3490794.00
2001/03/16	4.71	4.78	4.69	4.78	194600	3242558.00
2001/03/19	4.74	4.88	4.74	4.85	449000	7650946.00
2001/03/20	4.85	4.90	4.82	4.85	500300	8560520.00
2001/03/21	4.88	4.91	4.85	4.90	402500	6928827.00
2001/03/22	4.89	4.93	4.87	4.91	414000	7151434.00
2001/03/23	4.91	4.91	4.79	4.80	620800	10610874.00
2001/03/26	4.79	4.87	4.77	4.86	381600	6495450.00
2001/03/27	4.87	4.89	4.82	4.86	633300	10806792.00
2001/03/28	4.86	5.01	4.85	4.99	588800	10270893.00
2001/03/29	4.99	5.02	4.93	4.97	617600	10820682.00
2001/03/30	4.97	5.09	4.97	5.06	744800	13264961.00
2001/04/02	5.07	5.14	5.06	5.10	744000	13394012.00
2001/04/03	5.11	5.11	5.04	5.07	420000	7503603.00
2001/04/04	5.07	5.07	4.91	4.93	599400	10549454.00
2001/04/05	4.91	4.99	4.88	4.97	544500	9502576.00
2001/04/06	4.99	5.11	4.98	4.99	365700	6481217.00
2001/04/09	4.97	5.03	4.97	5.00	259000	4569757.00
2001/04/10	5.00	5.10	4.98	5.10	554300	9906760.00
2001/04/11	5.08	5.10	5.03	5.07	166300	2972331.00
2001/04/12	5.07	5.16	5.04	5.07	668600	12053479.00
2001/04/13	5.11	5.13	5.06	5.09	356700	6411379.00
2001/04/16	5.11	5.22	5.10	5.19	775800	14137414.00
2001/04/17	5.22	5.22	5.16	5.18	581300	10623985.00
2001/04/19	5.05	5.15	5.02	5.10	517100	9281826.00
2001/04/20	5.12	5.24	5.08	5.12	1017000	18562268.00
2001/04/23	5.13	5.23	5.07	5.09	509700	9210980.00
2001/04/24	5.09	5.13	5.05	5.08	503100	9015554.00
2001/04/25	5.08	5.12	4.90	4.97	602800	10700716.00
2001/04/26	4.96	5.06	4.93	4.96	442000	7776743.00
2001/04/27	4.96	4.99	4.93	4.94	477500	8354543.00
2001/04/30	4.93	4.96	4.89	4.92	308100	5347320.00
2001/05/08	4.91	5.07	4.91	5.05	234300	4128946.00
2001/05/09	5.05	5.05	4.99	5.03	127900	2261675.00
2001/05/10	4.96	5.10	4.95	5.06	251800	4479265.00
2001/05/11	5.07	5.09	5.00	5.02	296100	5251154.00
2001/05/14	5.02	5.07	4.96	5.07	509300	8979907.00
2001/05/15	5.04	5.17	5.02	5.12	866100	15633213.00
2001/05/16	5.12	5.22	5.12	5.18	682800	12455466.00
2001/05/17	5.18	5.19	5.11	5.12	503200	9120313.00
2001/05/18	5.15	5.25	5.15	5.22	1171200	21566572.00
2001/05/21	5.25	5.38	5.25	5.33	1166700	21898892.00
2001/05/22	5.33	5.36	5.23	5.25	562500	10466223.00
2001/05/23	5.25	5.29	5.11	5.19	522100	9567583.00
2001/05/24	5.19	5.22	5.16	5.18	396900	7254877.00
2001/05/25	5.18	5.21	5.11	5.14	377000	6847216.00
2001/05/28	5.14	5.19	5.11	5.14	421200	7665046.00
2001/05/29	5.13	5.17	5.12	5.16	346200	6282126.00
2001/05/30	5.16	5.25	5.16	5.19	379500	6962633.00
2001/05/31	5.25	5.25	5.15	5.22	466300	8535565.00
2001/06/01	5.23	5.24	5.16	5.19	397900	7274429.00
2001/06/04	5.19	5.31	5.17	5.25	623100	11535783.00
2001/06/05	5.25	5.32	5.24	5.29	552200	10282319.00
2001/06/06	5.33	5.33	5.19	5.30	572500	10649492.00
2001/06/07	5.30	5.37	5.26	5.36	754500	14125575.00
2001/06/08	5.35	5.38	5.24	5.27	605000	11306598.00
2001/06/11	5.28	5.36	5.28	5.30	575200	10795801.00
2001/06/12	5.33	5.43	5.32	5.41	848100	16088824.00
