600363 联创光电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/03/29	7.16	7.65	7.16	7.49	40931800	974121920.00
2001/03/30	7.58	8.06	7.58	7.90	16494600	412867744.00
2001/04/02	7.95	8.10	7.88	7.96	10052000	256191840.00
2001/04/03	7.99	8.22	7.84	8.21	4741300	121188784.00
2001/04/04	8.21	8.29	7.90	8.03	5269300	136660976.00
2001/04/05	8.02	8.33	7.98	8.33	4641900	121472216.00
2001/04/06	8.36	8.38	8.19	8.25	3184600	83839640.00
2001/04/09	8.25	8.30	8.07	8.16	2409300	62597376.00
2001/04/10	8.18	8.26	8.10	8.23	1671100	43619536.00
2001/04/11	8.23	8.25	8.06	8.10	2080100	53876944.00
2001/04/12	8.10	8.23	8.00	8.06	2325000	60105824.00
2001/04/13	8.10	8.23	8.02	8.20	2250800	58220176.00
2001/04/16	8.23	8.46	8.19	8.40	3737100	98995296.00
2001/04/17	8.50	8.55	8.33	8.45	2685000	72038888.00
2001/04/18	8.44	8.48	8.29	8.33	2275700	60484744.00
2001/04/19	8.33	8.79	8.30	8.68	4047400	110686392.00
2001/04/20	8.69	8.90	8.43	8.46	4047700	111878512.00
2001/04/23	8.46	8.66	8.36	8.55	2521000	67909944.00
2001/04/24	8.50	8.60	8.42	8.46	1578800	42581312.00
2001/04/25	8.23	8.33	7.89	7.98	2324000	60058688.00
2001/04/26	7.96	8.06	7.75	7.86	1724100	43467716.00
2001/04/27	7.87	7.99	7.84	7.95	1036300	26156252.00
2001/04/30	7.95	8.00	7.83	7.86	796500	20050812.00
2001/05/08	7.88	8.05	7.88	7.96	492300	12512207.00
2001/05/09	7.96	8.03	7.76	7.81	1151500	28858524.00
2001/05/10	7.83	7.86	7.74	7.77	1148400	28525540.00
2001/05/11	7.78	7.99	7.78	7.95	563000	14182224.00
2001/05/14	7.95	8.20	7.95	8.17	1148000	29644252.00
2001/05/15	8.21	8.25	8.02	8.10	892200	23089956.00
2001/05/16	8.12	8.19	8.06	8.13	662800	17136428.00
2001/05/17	8.13	8.15	7.99	8.00	848700	21738834.00
2001/05/18	8.00	8.10	7.89	8.08	1083400	27552048.00
2001/05/21	8.16	8.20	8.05	8.11	837900	21657288.00
2001/05/22	8.11	8.14	7.93	7.99	568300	14527034.00
2001/05/23	7.96	8.01	7.83	7.89	732300	18478588.00
2001/05/24	7.85	8.00	7.83	7.86	801700	20140704.00
2001/05/25	7.90	7.93	7.67	7.77	898500	22352718.00
2001/05/29	7.80	7.92	7.72	7.74	390600	9707500.00
2001/05/30	7.73	7.90	7.72	7.88	441200	11001309.00
2001/05/31	7.90	7.92	7.76	7.79	685600	17086504.00
2001/06/01	7.80	7.81	7.73	7.75	614900	15236941.00
2001/06/04	7.78	7.88	7.69	7.85	649900	16113325.00
2001/06/05	7.88	8.00	7.88	7.88	527000	13338517.00
2001/06/06	7.90	7.91	7.82	7.84	501800	12583477.00
2001/06/07	7.83	7.91	7.77	7.90	501400	12507756.00
2001/06/08	7.90	7.91	7.79	7.84	262700	6569506.00
2001/06/11	7.83	7.83	7.74	7.77	434600	10789176.00
2001/06/12	7.77	7.99	7.76	7.99	346200	8707779.00
2001/06/13	8.03	8.14	8.01	8.10	1511700	38961976.00
2001/06/14	8.10	8.14	7.89	7.90	936800	24039198.00
2001/06/15	7.86	8.03	7.83	8.03	694700	17646032.00
2001/06/18	8.04	8.18	8.02	8.12	1479800	38225736.00
2001/06/19	8.12	8.15	8.00	8.13	482200	12397105.00
2001/06/20	8.13	8.19	8.00	8.01	352000	9077259.00
2001/06/21	8.06	8.20	8.02	8.17	905700	23478780.00
2001/06/22	8.20	8.32	8.17	8.20	1355900	35631504.00
2001/06/25	8.28	8.31	8.21	8.26	787600	20698924.00
2001/06/26	8.27	8.62	8.22	8.41	3899000	104646440.00
2001/06/27	8.50	8.50	8.33	8.35	958800	25486276.00
2001/06/28	8.35	8.42	8.16	8.19	1116700	29313728.00
2001/06/29	8.17	8.28	8.17	8.19	558600	14625560.00
2001/07/02	8.26	8.26	8.05	8.05	532000	13711444.00
2001/07/03	8.05	8.16	7.96	8.12	444300	11384284.00
2001/07/04	8.14	8.14	7.99	8.01	225000	5761588.00
2001/07/05	7.99	7.99	7.88	7.91	520900	13159151.00
2001/07/06	7.94	7.99	7.85	7.90	320900	8093369.00
2001/07/09	7.87	8.01	7.87	7.96	214900	5415479.00
2001/07/10	7.96	8.01	7.94	8.00	181500	4615460.00
2001/07/11	7.98	8.04	7.90	7.90	188700	4795231.00
2001/07/12	7.84	7.91	7.84	7.88	242700	6086265.00
2001/07/13	7.89	8.04	7.88	7.89	162100	4095572.00
2001/07/16	8.04	8.04	7.75	7.79	516400	12868081.00
2001/07/17	7.76	7.77	7.47	7.64	906300	22007474.00
2001/07/18	7.57	7.67	7.51	7.56	387100	9354475.00
2001/07/19	7.56	7.70	7.56	7.69	148400	3613847.00
2001/07/20	7.70	7.83	7.68	7.83	311700	7701246.00
2001/07/23	7.83	7.83	7.64	7.66	333100	8172500.00
2001/07/24	7.66	7.66	7.53	7.57	341400	8254892.00
2001/07/25	7.54	7.59	7.49	7.50	351400	8458387.00
2001/07/26	7.47	7.47	7.20	7.21	760000	17741488.00
2001/07/27	7.17	7.29	7.11	7.12	510100	11714401.00
2001/07/30	7.07	7.07	6.38	6.40	820100	17392042.00
2001/07/31	6.34	6.62	6.18	6.25	554000	11417457.00
2001/08/01	6.34	6.66	6.34	6.66	759600	15968251.00
2001/08/02	6.66	6.70	6.21	6.64	940800	19629504.00
2001/08/03	6.64	6.65	6.46	6.58	362200	7660670.00
2001/08/06	6.55	6.55	6.25	6.36	641100	13122897.00
2001/08/07	6.32	6.61	6.27	6.50	306800	6348683.00
2001/08/08	6.50	6.55	6.30	6.43	144100	3006572.00
2001/08/09	6.44	6.56	6.43	6.55	307200	6464265.00
2001/08/10	6.61	6.72	6.56	6.66	411600	8833837.00
2001/08/13	6.66	6.69	6.56	6.66	305100	6531679.00
2001/08/14	6.71	6.73	6.48	6.51	407300	8626964.00
2001/08/15	6.51	6.57	6.47	6.51	165600	3472048.00
2001/08/16	6.61	6.61	6.40	6.40	230200	4801000.00
2001/08/17	6.34	6.41	6.32	6.38	159000	3273031.00
2001/08/20	6.33	6.44	6.32	6.42	192700	3987199.00
2001/08/21	6.44	6.53	6.42	6.47	127200	2663559.00
2001/08/22	6.51	6.51	6.29	6.30	313600	6419217.00
2001/08/23	6.29	6.54	6.05	6.44	1276600	25801620.00
