600370 三房巷 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/03/06	1.83	1.84	1.72	1.75	21871408	248057072.00
2003/03/07	1.74	1.77	1.72	1.73	5757410	65170332.00
2003/03/10	1.72	1.73	1.67	1.69	3848740	42401360.00
2003/03/11	1.68	1.72	1.68	1.70	2205532	24353196.00
2003/03/12	1.70	1.70	1.65	1.69	2013571	21995132.00
2003/03/13	1.69	1.69	1.65	1.66	1296400	14112593.00
2003/03/14	1.66	1.70	1.65	1.69	1545991	16907476.00
2003/03/17	1.67	1.71	1.66	1.71	1624138	17816608.00
2003/03/18	1.71	1.72	1.67	1.67	1351999	14901142.00
2003/03/19	1.66	1.71	1.66	1.69	1472661	16095990.00
2003/03/20	1.69	1.70	1.66	1.69	959493	10484830.00
2003/03/21	1.69	1.71	1.67	1.70	1299359	14371041.00
2003/03/24	1.70	1.71	1.68	1.69	644123	7081919.00
2003/03/25	1.69	1.69	1.66	1.66	1061722	11543527.00
2003/03/26	1.65	1.67	1.63	1.63	1407785	15123336.00
2003/03/27	1.63	1.78	1.60	1.73	5383233	59914620.00
2003/03/28	1.73	1.74	1.68	1.70	3351491	37304264.00
2003/03/31	1.69	1.72	1.69	1.70	1029915	11392231.00
2003/04/01	1.70	1.74	1.69	1.71	2354758	26230244.00
2003/04/02	1.71	1.72	1.70	1.70	1206124	13389706.00
2003/04/03	1.70	1.71	1.67	1.68	1283105	14078202.00
2003/04/04	1.68	1.70	1.67	1.69	703410	7710228.00
2003/04/07	1.69	1.70	1.66	1.66	1253460	13658214.00
2003/04/08	1.66	1.69	1.65	1.66	1067785	11578652.00
2003/04/09	1.65	1.67	1.62	1.66	1398400	15039548.00
2003/04/10	1.65	1.69	1.64	1.67	1492319	16208154.00
2003/04/11	1.67	1.70	1.65	1.69	1735473	18893722.00
2003/04/14	1.69	1.75	1.68	1.72	3052117	34133904.00
2003/04/15	1.73	1.73	1.70	1.73	2474251	27603558.00
2003/04/16	1.73	1.81	1.70	1.77	6279504	71172368.00
2003/04/17	1.78	1.80	1.74	1.76	2867522	32688896.00
2003/04/18	1.75	1.77	1.73	1.74	1635614	18457424.00
2003/04/21	1.74	1.78	1.72	1.74	3516588	39774384.00
2003/04/22	1.70	1.74	1.70	1.70	908559	10089918.00
2003/04/23	1.70	1.70	1.64	1.65	1857619	20163006.00
2003/04/24	1.63	1.66	1.61	1.61	1493508	15938082.00
2003/04/25	1.62	1.64	1.59	1.60	1068777	11324918.00
2003/04/28	1.58	1.60	1.52	1.59	1528294	15702380.00
2003/04/29	1.60	1.60	1.53	1.53	975793	9965419.00
2003/04/30	1.53	1.56	1.50	1.51	1482300	14966277.00
2003/05/12	1.48	1.50	1.45	1.48	752700	7398043.00
2003/05/13	1.48	1.48	1.34	1.35	1236010	11569675.00
2003/05/14	1.35	1.41	1.34	1.41	743272	6971295.00
2003/05/15	1.41	1.46	1.38	1.45	1054727	10109527.00
2003/05/16	1.45	1.47	1.43	1.44	626831	6060896.00
2003/05/19	1.44	1.48	1.43	1.45	640300	6237846.00
2003/05/20	1.46	1.46	1.41	1.42	525686	5040880.00
2003/05/21	1.42	1.48	1.40	1.45	679819	6562603.00
2003/05/22	1.44	1.45	1.42	1.44	331400	3188128.00
2003/05/23	1.45	1.49	1.43	1.45	722535	7037953.00
2003/05/26	1.45	1.47	1.44	1.46	448100	4376827.00
2003/05/27	1.47	1.52	1.43	1.46	530352	5208313.00
2003/05/28	1.46	1.48	1.43	1.43	731401	7084551.00
2003/05/29	1.43	1.45	1.41	1.45	679636	6523323.00
2003/05/30	1.47	1.48	1.44	1.48	845912	8275754.00
2003/06/02	1.49	1.53	1.44	1.53	1327914	13272895.00
2003/06/03	1.54	1.54	1.48	1.48	879449	8792740.00
2003/06/04	1.48	1.49	1.46	1.48	511013	5033956.00
2003/06/05	1.48	1.49	1.46	1.46	419401	4127529.00
2003/06/06	1.46	1.46	1.43	1.44	556865	5377976.00
2003/06/09	1.44	1.44	1.41	1.41	443185	4216810.00
2003/06/10	1.41	1.43	1.40	1.41	263961	2506793.00
2003/06/11	1.42	1.45	1.41	1.45	287605	2762045.00
2003/06/12	1.45	1.45	1.42	1.45	258220	2481390.00
2003/06/13	1.44	1.48	1.44	1.47	527819	5161601.00
2003/06/16	1.47	1.49	1.47	1.48	683310	6758347.00
2003/06/17	1.48	1.49	1.46	1.48	271874	2676259.00
2003/06/18	1.49	1.49	1.47	1.48	356859	3520479.00
2003/06/19	1.49	1.49	1.44	1.46	327150	3181015.00
2003/06/20	1.48	1.48	1.44	1.45	228500	2218374.00
2003/06/23	1.46	1.46	1.42	1.43	282600	2714584.00
2003/06/24	1.44	1.46	1.42	1.45	245650	2366108.00
2003/06/25	1.45	1.47	1.43	1.45	661033	6444424.00
2003/06/26	1.47	1.53	1.47	1.52	4047907	40650816.00
2003/06/27	1.51	1.52	1.47	1.47	1217989	12054313.00
2003/07/01	1.46	1.46	1.43	1.43	723310	6985676.00
2003/07/02	1.43	1.47	1.42	1.45	416310	4030864.00
2003/07/03	1.43	1.46	1.43	1.44	371850	3585836.00
2003/07/04	1.44	1.45	1.42	1.44	236909	2280008.00
2003/07/07	1.43	1.44	1.42	1.43	250205	2395983.00
2003/07/08	1.43	1.45	1.43	1.44	247450	2378572.00
2003/07/09	1.44	1.45	1.43	1.44	212030	2044925.00
