600379 宝光股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/01/16	3.65	4.13	3.65	4.09	44218000	464021664.00
2002/01/17	3.95	3.96	3.67	3.67	22755000	236435824.00
2002/01/18	3.57	3.74	3.33	3.60	13722000	133641832.00
2002/01/21	3.50	3.63	3.43	3.60	5799200	56533936.00
2002/01/22	3.59	3.75	3.55	3.63	6343200	63519820.00
2002/01/23	3.64	3.90	3.54	3.90	10432500	107034312.00
2002/01/24	3.83	4.13	3.74	3.98	16545500	178552560.00
2002/01/25	3.91	4.00	3.87	3.89	6870200	73770048.00
2002/01/28	3.87	3.93	3.52	3.57	9925600	101581192.00
2002/01/29	3.52	3.80	3.50	3.76	6782700	68674336.00
2002/01/30	3.72	3.79	3.64	3.72	3388900	34631832.00
2002/01/31	3.76	4.10	3.76	4.10	12663500	138712912.00
2002/02/01	4.21	4.48	4.12	4.15	21004400	244090992.00
2002/02/04	4.17	4.32	4.11	4.29	8888600	102640672.00
2002/02/05	4.27	4.28	4.15	4.22	4711100	54282612.00
2002/02/06	4.18	4.32	4.18	4.20	4844900	56111260.00
2002/02/07	4.18	4.40	4.18	4.32	4263700	50085112.00
2002/02/08	4.33	4.37	4.18	4.19	3937900	45849820.00
2002/02/25	4.36	4.36	4.23	4.25	3326700	38885352.00
2002/02/26	4.23	4.27	4.13	4.25	3321000	38029980.00
2002/02/27	4.25	4.35	4.23	4.27	2634700	30869886.00
2002/02/28	4.27	4.33	4.17	4.20	2319500	26897532.00
2002/03/01	4.16	4.24	4.15	4.18	1674300	19116060.00
2002/03/04	4.14	4.27	4.13	4.27	1509800	17307404.00
2002/03/05	4.27	4.38	4.25	4.33	4807200	56817848.00
2002/03/06	4.35	4.45	4.29	4.30	4847400	57736932.00
2002/03/07	4.31	4.74	4.30	4.65	9820500	122550616.00
2002/03/08	4.70	4.76	4.55	4.75	8509900	107589680.00
2002/03/11	4.77	4.84	4.70	4.79	6726300	87306952.00
2002/03/12	4.78	5.00	4.65	4.85	7704200	101149536.00
2002/03/13	4.84	5.01	4.79	4.92	5253700	69900312.00
2002/03/14	4.92	5.01	4.84	5.01	4085400	54625020.00
2002/03/15	5.01	5.15	4.78	4.82	5411800	73928856.00
2002/03/18	4.92	5.03	4.80	4.91	4161300	55427704.00
2002/03/19	4.95	5.42	4.88	5.42	9448800	133891904.00
2002/03/20	5.48	5.94	5.39	5.71	15340500	232833904.00
2002/03/21	5.67	5.68	5.54	5.64	5002600	76083704.00
2002/03/22	5.63	5.84	5.56	5.80	5945600	92069456.00
2002/03/25	5.80	6.20	5.73	5.98	6495400	105896136.00
2002/03/26	5.96	6.09	5.81	6.02	5454700	87701240.00
2002/03/27	5.98	6.06	5.73	5.91	5465800	86835152.00
2002/03/28	5.88	6.00	5.75	5.89	3150700	50215360.00
2002/03/29	5.31	5.52	5.29	5.29	8744800	126470408.00
2002/04/01	5.09	5.24	4.98	5.14	9394800	129712248.00
2002/04/02	5.12	5.16	4.79	4.89	8153500	109025968.00
2002/04/03	4.89	5.08	4.89	5.00	6336100	85967560.00
2002/04/04	4.97	5.13	4.79	5.06	6211100	84027976.00
2002/04/05	5.07	5.10	4.91	4.94	3877700	52599408.00
2002/04/08	4.92	5.20	4.92	5.10	4671700	64884236.00
2002/04/09	5.12	5.23	5.07	5.20	3882400	54439620.00
2002/04/10	5.20	5.28	5.18	5.25	2923900	41383672.00
2002/04/11	5.25	5.29	5.05	5.06	2585000	35961876.00
2002/04/12	5.01	5.12	4.98	5.03	2133500	29221912.00
2002/04/15	5.03	5.06	4.84	4.91	2541900	33855448.00
2002/04/16	4.97	5.08	4.93	5.06	1674800	22843388.00
2002/04/17	5.09	5.13	5.05	5.10	1742300	24105780.00
2002/04/18	5.11	5.12	4.90	4.93	1626000	21951120.00
2002/04/19	4.90	4.94	4.76	4.92	2672800	34997384.00
2002/04/22	4.88	4.88	4.76	4.77	1508900	19681170.00
2002/04/23	4.77	4.77	4.54	4.55	3257148	40885208.00
2002/04/24	4.52	4.68	4.50	4.59	1684194	20965288.00
2002/04/25	4.63	4.67	4.53	4.64	953675	11946756.00
2002/04/26	4.67	4.77	4.67	4.73	1436229	18456992.00
2002/04/29	4.71	4.80	4.63	4.79	2030947	26132970.00
2002/04/30	4.81	5.15	4.73	4.96	4674959	63147272.00
2002/05/08	4.96	4.98	4.82	4.83	1380100	18273340.00
2002/05/09	4.82	4.89	4.78	4.80	963080	12645515.00
2002/05/10	4.80	4.84	4.71	4.72	1100730	14231142.00
2002/05/13	4.71	4.71	4.60	4.65	882373	11134492.00
2002/05/14	4.65	4.73	4.62	4.66	529060	6729709.00
2002/05/15	4.52	4.59	4.26	4.32	3489102	42255672.00
2002/05/16	4.25	4.32	4.18	4.21	2376397	27463296.00
2002/05/17	4.21	4.30	3.88	4.02	4212753	46387232.00
2002/05/20	3.97	4.02	3.87	4.02	2007075	21678592.00
2002/05/21	4.13	4.29	4.07	4.17	3233982	36865992.00
2002/05/22	4.16	4.16	4.04	4.15	2008139	22412560.00
2002/05/23	4.18	4.37	4.18	4.28	3501841	41073628.00
2002/05/24	4.27	4.27	4.16	4.18	1378978	15769238.00
2002/05/27	4.22	4.27	4.12	4.18	645643	7364148.00
2002/05/28	4.18	4.28	4.18	4.21	802600	9287845.00
2002/05/29	4.21	4.21	4.01	4.04	1441800	16009617.00
2002/05/30	4.02	4.09	3.91	4.04	982993	10730591.00
2002/05/31	4.02	4.07	3.94	3.96	629710	6890378.00
2002/06/03	3.92	3.92	3.76	3.79	1153545	12060541.00
2002/06/04	3.79	3.87	3.75	3.83	902100	9435661.00
2002/06/05	3.83	3.83	3.72	3.80	817843	8464274.00
2002/06/06	3.78	4.12	3.76	4.03	2609269	28386836.00
2002/06/07	4.03	4.14	3.98	4.10	2447821	27326326.00
2002/06/10	4.07	4.08	3.97	4.02	993418	10936865.00
2002/06/11	4.02	4.24	3.99	4.17	2071281	23448964.00
2002/06/12	4.15	4.18	4.07	4.13	1069690	12025358.00
2002/06/13	4.13	4.17	4.03	4.03	896925	10007637.00
2002/06/14	4.00	4.02	3.88	3.89	1159000	12549154.00
2002/06/17	3.87	3.94	3.83	3.93	475400	5061910.00
2002/06/18	3.97	4.17	3.95	4.13	2460500	27640906.00
2002/06/19	4.11	4.18	4.07	4.16	1704100	19245304.00
2002/06/20	4.16	4.28	4.12	4.15	2148800	24654592.00
2002/06/21	4.14	4.37	4.14	4.35	3685700	43221596.00
2002/06/24	4.80	4.80	4.60	4.80	7327100	94641024.00
2002/06/25	4.80	4.96	4.63	4.69	5282600	69138528.00
2002/06/26	4.67	4.76	4.57	4.67	2433800	30813838.00
2002/06/27	4.69	4.74	4.60	4.66	1779900	22562072.00
2002/07/01	4.66	4.66	4.46	4.48	1956200	24036864.00
2002/07/02	4.46	4.57	4.45	4.57	917900	11305698.00
2002/07/03	4.60	4.63	4.52	4.58	841000	10485656.00
2002/07/04	4.58	4.61	4.48	4.49	992300	12223969.00
2002/07/05	4.50	4.60	4.50	4.57	800500	9928102.00
2002/07/08	4.59	4.63	4.56	4.63	1383200	17276824.00
2002/07/09	4.64	4.67	4.56	4.57	628600	7868067.00
2002/07/10	4.57	4.57	4.46	4.46	866600	10611805.00
2002/07/11	4.46	4.50	4.42	4.44	787800	9574855.00
2002/07/12	4.45	4.49	4.40	4.42	505500	6109796.00
2002/07/15	4.42	4.48	4.34	4.34	674200	8064956.00
2002/07/16	4.35	4.42	4.34	4.36	547300	6515624.00
2002/07/17	4.40	4.40	4.28	4.35	958400	11303818.00
2002/07/18	4.37	4.40	4.33	4.35	646300	7677311.00
2002/07/19	4.35	4.37	4.27	4.33	957800	11245292.00
2002/07/22	4.33	4.33	4.24	4.25	651900	7580207.00
2002/07/23	4.25	4.29	4.23	4.25	345700	4015685.00
2002/07/24	4.25	4.34	4.25	4.33	439200	5160345.00
2002/07/25	4.38	4.38	4.27	4.27	304000	3578392.00
2002/07/26	4.29	4.36	4.29	4.32	411900	4859821.00
2002/07/29	4.33	4.57	4.33	4.56	3238839	39524104.00
2002/07/30	4.56	4.58	4.49	4.54	2115962	26136888.00
2002/07/31	4.52	4.57	4.44	4.45	1053697	12914404.00
2002/08/01	4.41	4.49	4.37	4.46	857928	10326634.00
2002/08/02	4.48	4.48	4.38	4.43	589173	7102299.00
2002/08/05	4.43	4.46	4.32	4.34	849640	10081587.00
2002/08/06	4.32	4.45	4.32	4.38	569312	6818837.00
2002/08/07	4.38	4.38	4.33	4.35	362154	4295736.00
2002/08/08	4.35	4.43	4.34	4.35	317655	3792365.00
2002/08/09	4.35	4.38	4.26	4.27	793567	9298425.00
2002/08/12	4.25	4.25	4.17	4.17	628940	7199250.00
2002/08/13	4.18	4.24	4.18	4.21	240496	2761249.00
2002/08/14	4.21	4.27	4.21	4.27	214130	2480795.00
2002/08/15	4.25	4.25	4.18	4.19	279988	3209857.00
2002/08/16	4.20	4.31	4.17	4.26	425137	4925390.00
2002/08/19	4.25	4.27	4.23	4.24	131637	1524802.00
2002/08/20	4.24	4.30	4.21	4.29	397617	4636486.00
2002/08/21	4.30	4.33	4.28	4.32	382450	4491637.00
2002/08/22	4.33	4.42	4.31	4.38	797030	9523761.00
2002/08/23	4.35	4.40	4.31	4.31	292449	3457628.00
2002/08/26	4.31	4.31	4.25	4.26	362756	4231184.00
2002/08/27	4.26	4.38	4.26	4.34	424024	5011013.00
2002/08/28	4.36	4.40	4.33	4.34	456586	5439247.00
2002/08/29	4.30	4.37	4.26	4.26	362234	4233828.00
2002/08/30	4.23	4.30	4.23	4.26	217794	2526808.00
2002/09/02	4.26	4.30	4.26	4.27	143451	1672528.00
2002/09/03	4.29	4.31	4.27	4.28	184367	2157122.00
2002/09/04	4.30	4.30	4.23	4.25	242600	2818945.00
2002/09/05	4.24	4.25	4.18	4.19	496036	5687590.00
2002/09/06	4.18	4.23	4.17	4.18	303536	3467445.00
2002/09/09	4.17	4.21	4.15	4.18	263003	2997408.00
2002/09/10	4.17	4.19	4.17	4.18	142156	1621800.00
2002/09/11	4.19	4.19	4.07	4.11	524706	5880845.00
2002/09/12	4.11	4.15	4.07	4.12	197461	2217898.00
2002/09/13	4.11	4.12	4.08	4.10	167736	1877610.00
2002/09/16	4.13	4.13	4.04	4.05	253321	2812749.00
2002/09/17	4.06	4.11	4.06	4.07	216195	2407769.00
2002/09/18	4.08	4.14	4.07	4.13	199908	2241490.00
2002/09/19	4.15	4.24	4.10	4.22	864160	9862651.00
2002/09/20	4.21	4.21	4.15	4.15	240454	2743677.00
2002/09/23	4.15	4.16	4.08	4.15	322922	3628066.00
2002/09/24	4.15	4.15	4.09	4.10	222499	2499385.00
2002/09/25	4.10	4.17	4.10	4.13	261840	2955223.00
2002/09/26	4.13	4.13	4.02	4.04	1018117	11251179.00
2002/09/27	3.99	4.04	3.97	3.98	389221	4247589.00
2002/10/08	3.95	3.98	3.91	3.93	293140	3151971.00
2002/10/09	3.91	3.98	3.89	3.91	325016	3488629.00
2002/10/10	3.90	3.93	3.88	3.88	130501	1394105.00
2002/10/11	3.88	3.93	3.80	3.83	245784	2608389.00
2002/10/14	3.81	3.87	3.76	3.87	272328	2840615.00
2002/10/15	3.85	3.87	3.76	3.80	250449	2623645.00
2002/10/16	3.80	3.93	3.80	3.85	327250	3463541.00
2002/10/17	3.83	3.85	3.78	3.79	176288	1838364.00
2002/10/18	3.77	3.83	3.75	3.82	240850	2495712.00
