600406 国电南瑞 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/10/16	-0.80	-0.80	-0.85	-0.82	24163670	373143040.00
2003/10/17	-0.82	-0.79	-0.82	-0.79	6702358	106758896.00
2003/10/20	-0.79	-0.79	-0.81	-0.80	3495327	55980144.00
2003/10/21	-0.81	-0.80	-0.82	-0.82	3713044	58037696.00
2003/10/22	-0.81	-0.77	-0.82	-0.80	4159321	66868104.00
2003/10/23	-0.80	-0.79	-0.81	-0.79	2059167	32870988.00
2003/10/24	-0.79	-0.79	-0.80	-0.79	1658229	26671996.00
2003/10/27	-0.79	-0.79	-0.83	-0.82	2369679	37096464.00
2003/10/28	-0.83	-0.81	-0.84	-0.83	1962885	30003370.00
2003/10/29	-0.83	-0.82	-0.84	-0.83	1372194	20766626.00
2003/10/30	-0.84	-0.83	-0.84	-0.83	440175	6695485.00
2003/10/31	-0.83	-0.81	-0.83	-0.83	480976	7427670.00
2003/11/03	-0.83	-0.82	-0.83	-0.82	612516	9431753.00
2003/11/04	-0.83	-0.81	-0.84	-0.82	2103927	32598196.00
2003/11/05	-0.82	-0.82	-0.83	-0.83	861247	13256140.00
2003/11/06	-0.83	-0.83	-0.86	-0.85	2353332	35314172.00
2003/11/07	-0.85	-0.85	-0.91	-0.88	3324689	46486904.00
2003/11/10	-0.89	-0.89	-0.91	-0.89	746572	10220732.00
2003/11/11	-0.89	-0.88	-0.90	-0.88	477091	6604916.00
2003/11/12	-0.88	-0.87	-0.90	-0.89	431979	6045301.00
2003/11/13	-0.89	-0.88	-0.90	-0.89	239719	3328639.00
2003/11/14	-0.89	-0.89	-0.90	-0.89	137202	1898387.00
2003/11/17	-0.90	-0.89	-0.90	-0.90	118502	1619827.00
2003/11/18	-0.90	-0.90	-0.93	-0.92	347504	4611820.00
2003/11/19	-0.93	-0.91	-0.93	-0.91	203591	2702900.00
2003/11/20	-0.91	-0.87	-0.91	-0.88	609108	8502256.00
2003/11/21	-0.88	-0.87	-0.90	-0.90	400000	5533200.00
2003/11/24	-0.90	-0.87	-0.90	-0.88	816328	11303808.00
2003/11/25	-0.87	-0.87	-0.89	-0.89	537462	7517946.00
2003/11/26	-0.89	-0.88	-0.89	-0.89	280400	3898890.00
2003/11/27	-0.89	-0.89	-0.89	-0.89	337546	4698549.00
2003/11/28	-0.89	-0.89	-0.89	-0.89	224786	3116361.00
2003/12/01	-0.89	-0.86	-0.89	-0.87	510362	7262290.00
2003/12/02	-0.88	-0.86	-0.88	-0.86	580827	8400708.00
2003/12/03	-0.87	-0.82	-0.87	-0.84	1124850	16954152.00
2003/12/04	-0.84	-0.84	-0.85	-0.84	368987	5516632.00
2003/12/05	-0.85	-0.82	-0.85	-0.83	705515	10736375.00
2003/12/08	-0.83	-0.82	-0.84	-0.83	564290	8720562.00
2003/12/09	-0.83	-0.82	-0.83	-0.83	272281	4171674.00
2003/12/10	-0.83	-0.83	-0.84	-0.83	506908	7668615.00
2003/12/11	-0.83	-0.83	-0.85	-0.84	499394	7490725.00
2003/12/12	-0.84	-0.84	-0.85	-0.85	533026	7968446.00
2003/12/15	-0.85	-0.83	-0.85	-0.83	217103	3266988.00
2003/12/16	-0.84	-0.83	-0.84	-0.83	242639	3664348.00
2003/12/17	-0.84	-0.83	-0.84	-0.83	216551	3290336.00
2003/12/18	-0.84	-0.83	-0.85	-0.85	645000	9679635.00
2003/12/19	-0.85	-0.84	-0.85	-0.84	600595	8986662.00
2003/12/22	-0.84	-0.83	-0.85	-0.83	1276163	19193584.00
2003/12/23	-0.84	-0.82	-0.84	-0.83	435891	6720009.00
2003/12/24	-0.82	-0.81	-0.83	-0.82	429199	6674466.00
2003/12/25	-0.81	-0.80	-0.82	-0.82	646431	10145445.00
2003/12/26	-0.82	-0.80	-0.83	-0.81	1226222	19193264.00
2003/12/29	-0.81	-0.80	-0.82	-0.81	706096	11111858.00
2003/12/30	-0.81	-0.78	-0.81	-0.79	2655465	43117400.00
2003/12/31	-0.79	-0.76	-0.79	-0.77	1702611	28274356.00
2004/01/02	-0.77	-0.75	-0.77	-0.76	1311922	22209332.00
2004/01/05	-0.76	-0.75	-0.77	-0.75	1563135	26513640.00
2004/01/06	-0.76	-0.74	-0.76	-0.74	1385899	23871282.00
2004/01/07	-0.73	-0.70	-0.74	-0.71	2184300	39072016.00
2004/01/08	-0.71	-0.70	-0.72	-0.70	1265100	22927576.00
2004/01/09	-0.71	-0.71	-0.72	-0.72	1573700	28251692.00
2004/01/12	-0.73	-0.67	-0.73	-0.68	1972234	36186340.00
2004/01/13	-0.67	-0.64	-0.68	-0.64	1850552	35802104.00
2004/01/14	-0.64	-0.64	-0.68	-0.66	1084875	20871820.00
2004/01/15	-0.67	-0.66	-0.68	-0.66	689829	13178918.00
2004/01/16	-0.66	-0.65	-0.67	-0.66	728905	14058678.00
2004/01/29	-0.66	-0.64	-0.66	-0.65	703121	13663286.00
2004/01/30	-0.65	-0.65	-0.68	-0.67	818321	15583987.00
2004/02/02	-0.66	-0.63	-0.69	-0.68	1211133	22866044.00
2004/02/03	-0.67	-0.66	-0.68	-0.66	612615	11639225.00
2004/02/04	-0.66	-0.62	-0.66	-0.62	2258902	45066480.00
2004/02/05	-0.62	-0.62	-0.63	-0.63	1583650	31744300.00
2004/02/06	-0.63	-0.56	-0.63	-0.58	1716989	35722864.00
2004/02/09	-0.57	-0.51	-0.57	-0.54	2389980	52913132.00
2004/02/10	-0.55	-0.54	-0.56	-0.55	1326390	28773664.00
2004/02/11	-0.54	-0.52	-0.56	-0.53	1623388	36248312.00
2004/02/12	-0.53	-0.52	-0.56	-0.55	957850	20838872.00
2004/02/13	-0.56	-0.54	-0.58	-0.56	706698	15306761.00
2004/02/16	-0.56	-0.53	-0.56	-0.55	982477	21524870.00
2004/02/17	-0.52	-0.52	-0.57	-0.57	1552424	33691960.00
2004/02/18	-0.57	-0.54	-0.57	-0.55	1073983	23439580.00
2004/02/19	-0.55	-0.55	-0.58	-0.57	988520	21068408.00
2004/02/20	-0.57	-0.57	-0.59	-0.58	792833	16700092.00
2004/02/23	-0.58	-0.56	-0.58	-0.57	742547	15807179.00
2004/02/24	-0.57	-0.55	-0.59	-0.55	1353771	29043056.00
2004/02/25	-0.55	-0.54	-0.58	-0.57	816873	17770304.00
2004/02/26	-0.58	-0.55	-0.58	-0.56	738369	15913430.00
2004/02/27	-0.55	-0.53	-0.56	-0.54	1669519	36771220.00
2004/03/01	-0.54	-0.52	-0.55	-0.53	1738819	38603588.00
2004/03/02	-0.53	-0.52	-0.55	-0.54	605719	13324900.00
2004/03/03	-0.56	-0.54	-0.58	-0.57	977807	20995076.00
2004/03/04	-0.57	-0.57	-0.59	-0.57	1111883	23459208.00
2004/03/05	-0.57	-0.56	-0.58	-0.57	188750	4010567.00
2004/03/08	-0.57	-0.56	-0.58	-0.56	429538	9203858.00
2004/03/09	-0.56	-0.55	-0.57	-0.56	377604	8155625.00
2004/03/10	-0.56	-0.55	-0.57	-0.56	262230	5644444.00
2004/03/11	-0.56	-0.53	-0.56	-0.54	512991	11248585.00
2004/03/12	-0.54	-0.54	-0.56	-0.55	243302	5294086.00
2004/03/15	-0.55	-0.52	-0.56	-0.52	1275630	28384340.00
2004/03/16	-0.52	-0.46	-0.52	-0.48	1318239	30638964.00
2004/03/17	-0.48	-0.45	-0.49	-0.47	746058	17630948.00
2004/03/18	-0.46	-0.46	-0.50	-0.50	613130	14235606.00
2004/03/19	-0.50	-0.49	-0.50	-0.49	714336	16446404.00
2004/03/23	-0.49	-0.49	-0.52	-0.51	482806	10978240.00
2004/03/24	-0.51	-0.49	-0.51	-0.51	212352	4846763.00
2004/03/25	-0.51	-0.48	-0.52	-0.49	434873	10025651.00
2004/03/26	-0.48	-0.46	-0.50	-0.46	777254	18433190.00
2004/03/29	-0.45	-0.44	-0.47	-0.47	597625	14354205.00
2004/03/30	-0.48	-0.46	-0.48	-0.47	233090	5521409.00
2004/03/31	-0.44	-0.43	-0.47	-0.43	926227	22549132.00
2004/04/01	-0.41	-0.37	-0.42	-0.40	1671380	42211104.00
2004/04/02	-0.40	-0.30	-0.40	-0.31	3629374	64577200.00
2004/04/05	-0.32	-0.26	-0.34	-0.28	2991743	54216320.00
2004/04/06	-0.28	-0.27	-0.30	-0.30	1611454	29694148.00
2004/04/07	-0.30	-0.30	-0.35	-0.33	2044017	36491144.00
2004/04/08	-0.35	-0.22	-0.37	-0.25	4341902	81104568.00
2004/04/09	-0.25	-0.19	-0.27	-0.25	3781884	73212800.00
2004/04/12	-0.26	-0.23	-0.31	-0.27	1420906	26585008.00
2004/04/13	-0.27	-0.22	-0.28	-0.25	1204018	22957952.00
2004/04/14	-0.26	-0.25	-0.30	-0.28	1246869	23096110.00
2004/04/15	-0.27	-0.26	-0.31	-0.31	765956	14036019.00
2004/04/16	-0.32	-0.30	-0.39	-0.35	2185622	38181272.00
2004/04/19	-0.36	-0.34	-0.39	-0.38	1399576	23993532.00
2004/04/20	-0.38	-0.36	-0.39	-0.37	857002	14657549.00
2004/04/21	-0.37	-0.34	-0.37	-0.36	486866	8474805.00
2004/04/22	-0.36	-0.36	-0.40	-0.37	622997	10565048.00
2004/04/23	-0.38	-0.35	-0.39	-0.37	238269	4059857.00
2004/04/26	-0.37	-0.35	-0.38	-0.35	559955	9760027.00
2004/04/27	-0.35	-0.33	-0.36	-0.35	414777	7272331.00
2004/04/28	-0.35	-0.35	-0.39	-0.38	672215	11431887.00
2004/04/29	-0.38	-0.35	-0.46	-0.45	1170959	19091588.00
2004/04/30	-0.46	-0.41	-0.46	-0.43	884357	14375251.00
2004/05/10	-0.43	-0.42	-0.45	-0.44	209670	3373024.00
2004/05/11	-0.44	-0.42	-0.44	-0.44	276100	4478084.00
2004/05/12	-0.44	-0.40	-0.44	-0.40	494622	8159689.00
2004/05/13	-0.39	-0.37	-0.41	-0.38	342724	5795573.00
2004/05/14	-0.38	-0.37	-0.42	-0.41	390844	6514077.00
2004/05/17	-0.42	-0.41	-0.43	-0.42	296404	4855362.00
2004/05/18	-0.40	-0.40	-0.45	-0.43	643809	10434016.00
2004/05/19	-0.42	-0.42	-0.44	-0.43	228929	3732958.00
2004/05/20	-0.43	-0.42	-0.47	-0.47	885093	14032826.00
2004/05/21	-0.47	-0.45	-0.48	-0.46	508492	7987252.00
2004/05/24	-0.47	-0.46	-0.49	-0.48	512923	7949240.00
2004/05/25	-0.51	-0.48	-0.52	-0.51	836880	12596574.00
