600435 北方导航 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/07/04	0.76	0.79	0.75	0.77	16625984	217504112.00
2003/07/07	0.76	0.76	0.72	0.74	5050204	64051828.00
2003/07/08	0.73	0.74	0.73	0.74	2634133	33418488.00
2003/07/09	0.74	0.74	0.71	0.71	3090588	38560436.00
2003/07/10	0.71	0.73	0.71	0.73	2463500	30768920.00
2003/07/11	0.72	0.72	0.71	0.71	1656926	20601816.00
2003/07/14	0.71	0.71	0.70	0.71	1648573	20265240.00
2003/07/15	0.71	0.72	0.70	0.72	1658020	20586584.00
2003/07/16	0.72	0.72	0.70	0.71	794319	9784552.00
2003/07/17	0.71	0.71	0.70	0.70	1321200	16240456.00
2003/07/18	0.70	0.72	0.68	0.68	1715900	21018264.00
2003/07/21	0.68	0.68	0.65	0.65	2151113	25210016.00
2003/07/22	0.66	0.67	0.65	0.66	889624	10379518.00
2003/07/23	0.66	0.67	0.65	0.66	515306	6010265.00
2003/07/24	0.66	0.66	0.63	0.63	1191730	13677440.00
2003/07/25	0.63	0.64	0.61	0.61	1296044	14604526.00
2003/07/28	0.61	0.63	0.61	0.62	605146	6761057.00
2003/07/29	0.62	0.63	0.61	0.63	745671	8370261.00
2003/07/30	0.63	0.63	0.61	0.62	449548	5025066.00
2003/07/31	0.61	0.62	0.61	0.61	342297	3831755.00
2003/08/01	0.61	0.62	0.60	0.60	921822	10137741.00
2003/08/04	0.60	0.62	0.60	0.62	696542	7726730.00
2003/08/05	0.62	0.62	0.61	0.62	378634	4223277.00
2003/08/06	0.62	0.62	0.61	0.61	335600	3733296.00
2003/08/07	0.62	0.63	0.61	0.62	567366	6380147.00
2003/08/08	0.62	0.62	0.60	0.61	527614	5842987.00
2003/08/11	0.60	0.61	0.60	0.61	331523	3643152.00
2003/08/12	0.61	0.62	0.61	0.62	493710	5529667.00
2003/08/13	0.62	0.62	0.60	0.61	533614	5938746.00
2003/08/14	0.61	0.63	0.61	0.61	634777	7097276.00
2003/08/15	0.60	0.62	0.60	0.61	380154	4213222.00
2003/08/18	0.61	0.61	0.60	0.60	267869	2966498.00
2003/08/19	0.60	0.63	0.60	0.62	467850	5227918.00
2003/08/20	0.62	0.64	0.61	0.63	1161207	13109510.00
2003/08/21	0.63	0.63	0.62	0.62	540247	6092370.00
2003/08/22	0.62	0.63	0.61	0.62	407920	4568695.00
2003/08/25	0.60	0.61	0.58	0.58	1092510	11945913.00
2003/08/26	0.58	0.59	0.57	0.58	551622	5907525.00
2003/08/27	0.58	0.59	0.58	0.59	347472	3738289.00
2003/08/28	0.59	0.60	0.58	0.58	552155	5992123.00
