600487 亨通光电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/08/22	0.95	0.98	0.92	0.92	14084995	187227392.00
2003/08/25	0.90	0.90	0.83	0.84	5195769	64723456.00
2003/08/26	0.84	0.87	0.83	0.85	2200776	27155466.00
2003/08/27	0.85	0.85	0.81	0.81	2199882	26688368.00
2003/08/28	0.81	0.82	0.79	0.80	1638855	19620044.00
2003/08/29	0.79	0.86	0.79	0.83	1560702	19017482.00
2003/09/01	0.83	0.91	0.82	0.88	3260563	40849972.00
2003/09/02	0.88	0.94	0.87	0.89	5041171	65038448.00
2003/09/03	0.88	0.90	0.86	0.87	1682783	21161920.00
2003/09/04	0.87	0.89	0.86	0.86	1086304	13646029.00
2003/09/05	0.86	0.86	0.82	0.83	1318696	16173927.00
2003/09/08	0.83	0.84	0.82	0.83	556736	6755621.00
2003/09/09	0.83	0.84	0.81	0.82	482169	5835641.00
2003/09/10	0.82	0.83	0.81	0.82	437121	5273503.00
2003/09/11	0.83	0.83	0.81	0.81	441749	5324241.00
2003/09/12	0.81	0.82	0.78	0.78	1199642	14171864.00
2003/09/15	0.78	0.79	0.77	0.78	591711	6923568.00
2003/09/16	0.78	0.81	0.78	0.80	528337	6250809.00
2003/09/17	0.79	0.80	0.77	0.77	368285	4339201.00
2003/09/18	0.77	0.79	0.77	0.78	418692	4905217.00
2003/09/19	0.77	0.79	0.77	0.78	390140	4575950.00
2003/09/22	0.79	0.80	0.78	0.79	281656	3332059.00
2003/09/23	0.79	0.80	0.77	0.80	227428	2682244.00
2003/09/24	0.80	0.80	0.78	0.79	223454	2643204.00
2003/09/25	0.79	0.79	0.76	0.76	332200	3873327.00
2003/09/26	0.75	0.78	0.75	0.77	396584	4579572.00
2003/09/29	0.76	0.76	0.74	0.74	321280	3679097.00
2003/09/30	0.74	0.76	0.72	0.74	428232	4864292.00
2003/10/08	0.74	0.74	0.72	0.73	245439	2766808.00
2003/10/09	0.73	0.75	0.73	0.73	198642	2256701.00
2003/10/10	0.74	0.77	0.73	0.76	572309	6579076.00
2003/10/13	0.77	0.82	0.75	0.77	906384	10715752.00
2003/10/14	0.77	0.77	0.75	0.75	335000	3864742.00
2003/10/15	0.76	0.77	0.74	0.75	278033	3210661.00
2003/10/16	0.74	0.75	0.73	0.73	228220	2591571.00
2003/10/17	0.73	0.75	0.73	0.73	178656	2023588.00
2003/10/20	0.73	0.74	0.72	0.73	222532	2506988.00
2003/10/21	0.73	0.74	0.72	0.74	342470	3866555.00
2003/10/22	0.73	0.78	0.73	0.76	720663	8372151.00
2003/10/23	0.77	0.78	0.75	0.76	513501	5960403.00
2003/10/24	0.80	0.80	0.76	0.76	478039	5563954.00
2003/10/27	0.76	0.77	0.72	0.73	818601	9228277.00
2003/10/28	0.72	0.74	0.68	0.69	729227	8080208.00
2003/10/29	0.69	0.70	0.61	0.64	1308048	13713807.00
2003/10/30	0.62	0.64	0.61	0.63	376909	3888945.00
2003/10/31	0.63	0.66	0.62	0.64	381614	3997196.00
2003/11/03	0.64	0.64	0.61	0.63	653317	6732170.00
2003/11/04	0.63	0.68	0.63	0.65	805478	8501349.00
2003/11/05	0.76	0.76	0.65	0.66	1303936	14189464.00
2003/11/06	0.67	0.67	0.62	0.62	692011	7238390.00
2003/11/07	0.62	0.63	0.59	0.61	614435	6257082.00
2003/11/10	0.59	0.60	0.58	0.58	488633	4856917.00
2003/11/11	0.60	0.60	0.58	0.59	228194	2272264.00
2003/11/12	0.59	0.59	0.52	0.52	800621	7628117.00
2003/11/13	0.51	0.54	0.51	0.52	399339	3740140.00
2003/11/14	0.52	0.54	0.51	0.53	207992	1953692.00
2003/11/17	0.53	0.54	0.52	0.53	111939	1054878.00
2003/11/18	0.53	0.53	0.50	0.50	206800	1918213.00
2003/11/19	0.49	0.54	0.49	0.53	385459	3622665.00
2003/11/20	0.53	0.61	0.53	0.60	1221817	12130751.00
2003/11/21	0.61	0.61	0.55	0.56	778428	7709393.00
2003/11/24	0.55	0.61	0.55	0.60	555190	5547603.00
2003/11/25	0.61	0.62	0.59	0.60	1009126	10216867.00
2003/11/26	0.60	0.61	0.59	0.61	489088	4933221.00
2003/11/27	0.60	0.61	0.58	0.58	471280	4726923.00
2003/11/28	0.58	0.60	0.58	0.59	311450	3120304.00
2003/12/01	0.59	0.62	0.59	0.61	539996	5499262.00
2003/12/02	0.61	0.62	0.60	0.60	468289	4766293.00
2003/12/03	0.61	0.62	0.59	0.61	710017	7252065.00
2003/12/04	0.61	0.64	0.61	0.64	606085	6262903.00
2003/12/05	0.64	0.64	0.61	0.62	362524	3722546.00
2003/12/08	0.62	0.62	0.59	0.59	525960	5296331.00
2003/12/09	0.59	0.61	0.59	0.60	229175	2294743.00
2003/12/10	0.61	0.61	0.59	0.61	293080	2962847.00
2003/12/11	0.61	0.62	0.59	0.61	405620	4107442.00
2003/12/12	0.61	0.61	0.59	0.60	266283	2679996.00
2003/12/15	0.59	0.61	0.59	0.60	174150	1762177.00
2003/12/16	0.60	0.60	0.57	0.58	497326	4917991.00
2003/12/17	0.57	0.59	0.56	0.56	468130	4606446.00
2003/12/18	0.56	0.56	0.53	0.53	496890	4744842.00
2003/12/19	0.53	0.55	0.49	0.50	639241	5915997.00
2003/12/22	0.50	0.54	0.49	0.54	479764	4475193.00
2003/12/23	0.54	0.56	0.54	0.54	459431	4396748.00
2003/12/24	0.55	0.56	0.54	0.56	403526	3887017.00
2003/12/25	0.56	0.57	0.55	0.56	374211	3628303.00
2003/12/26	0.56	0.62	0.56	0.60	1196623	12024493.00
2003/12/29	0.60	0.63	0.57	0.62	1257706	12895702.00
2003/12/30	0.62	0.63	0.59	0.61	666624	6770968.00
2003/12/31	0.61	0.65	0.60	0.64	1582946	16524218.00
2004/01/02	0.64	0.69	0.64	0.67	1438533	15451488.00
2004/01/05	0.68	0.71	0.67	0.69	1714644	18682546.00
2004/01/06	0.69	0.70	0.66	0.70	1234399	13296773.00
2004/01/07	0.69	0.74	0.68	0.72	1629594	18208732.00
2004/01/08	0.72	0.80	0.72	0.78	2664800	31070798.00
2004/01/09	0.79	0.82	0.74	0.74	2864000	33663944.00
