600501 航天晨光 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/06/15	6.55	6.57	5.74	5.97	26447800	763691904.00
2001/06/18	5.91	6.00	5.79	5.83	3710800	105271504.00
2001/06/19	5.83	5.99	5.83	5.90	1451800	41333392.00
2001/06/20	5.88	5.97	5.86	5.89	981500	27928276.00
2001/06/21	5.88	5.95	5.85	5.91	628100	17827180.00
2001/06/22	5.91	6.04	5.90	6.01	1109400	32001232.00
2001/06/25	6.02	6.04	5.95	6.00	754000	21690392.00
2001/06/26	6.00	6.02	5.93	5.97	793400	22732458.00
2001/06/27	5.93	5.98	5.87	5.88	1027900	29195308.00
2001/06/28	5.88	5.95	5.85	5.89	801600	22707944.00
2001/06/29	5.89	5.90	5.81	5.82	978700	27510764.00
2001/07/02	5.82	5.82	5.75	5.81	687500	19121812.00
2001/07/03	5.78	5.93	5.78	5.92	261700	7374474.00
2001/07/04	5.94	5.95	5.81	5.84	175900	4969190.00
2001/07/05	5.84	5.84	5.77	5.77	290800	8108291.00
2001/07/06	5.77	5.77	5.68	5.69	337600	9322823.00
2001/07/09	5.69	5.69	5.62	5.64	312800	8526341.00
2001/07/10	5.64	5.74	5.64	5.67	154400	4225766.00
2001/07/11	5.69	5.78	5.67	5.67	126400	3482798.00
2001/07/12	5.63	5.66	5.56	5.62	347900	9427981.00
2001/07/13	5.60	5.67	5.53	5.55	315100	8496686.00
2001/07/16	5.56	5.65	5.50	5.52	416500	11139994.00
2001/07/17	5.51	5.51	5.37	5.43	244900	6452185.00
2001/07/18	5.46	5.51	5.42	5.46	107500	2845246.00
2001/07/19	5.47	5.55	5.45	5.55	112500	2987891.00
2001/07/20	5.55	5.63	5.55	5.59	340400	9213020.00
2001/07/23	5.60	5.65	5.60	5.64	156200	4253539.00
2001/07/24	5.64	5.64	5.43	5.48	244100	6511047.00
2001/07/25	5.43	5.46	5.40	5.43	195800	5166237.00
2001/07/26	5.42	5.45	5.28	5.33	685500	17948618.00
2001/07/27	5.30	5.35	5.19	5.24	401700	10286572.00
2001/07/30	5.20	5.20	4.84	4.89	783700	18909404.00
2001/07/31	4.85	5.05	4.85	5.01	991800	24280418.00
2001/08/01	5.12	5.15	5.02	5.15	362200	9050223.00
2001/08/02	5.12	5.19	4.96	5.14	510300	12699055.00
2001/08/03	5.12	5.15	5.07	5.08	429200	10729241.00
