600510 黑牡丹 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/06/18	2.62	3.03	2.59	2.78	16702800	314305856.00
2002/06/19	2.76	2.92	2.72	2.82	5754200	107770224.00
2002/06/20	2.80	2.90	2.79	2.82	3155600	59443528.00
2002/06/21	2.84	2.99	2.80	2.94	5415500	103518672.00
2002/06/24	3.44	3.44	3.39	3.44	5478500	115942792.00
2002/06/25	3.62	3.73	3.37	3.51	8066200	175208288.00
2002/06/26	3.47	3.56	3.39	3.48	2322600	49303724.00
2002/06/27	3.48	3.51	3.34	3.40	1935500	40838736.00
2002/06/28	3.42	3.44	3.23	3.25	2509500	52018228.00
2002/07/01	3.26	3.32	3.23	3.25	853300	17500952.00
2002/07/02	3.24	3.32	3.18	3.32	748500	15329951.00
2002/07/03	3.33	3.35	3.27	3.29	497100	10279469.00
2002/07/04	3.29	3.42	3.29	3.36	1416900	29596072.00
2002/07/05	3.32	3.59	3.32	3.44	2079200	44399636.00
2002/07/08	3.47	3.54	3.42	3.45	586300	12470978.00
2002/07/09	3.46	3.51	3.37	3.38	554400	11726557.00
2002/07/10	3.37	3.43	3.29	3.32	741300	15425161.00
2002/07/11	3.30	3.34	3.26	3.30	507300	10483654.00
2002/07/12	3.30	3.35	3.28	3.32	309100	6387736.00
2002/07/15	3.31	3.31	3.20	3.20	457400	9351169.00
2002/07/16	3.20	3.24	3.13	3.18	646200	13020097.00
2002/07/17	3.19	3.19	3.06	3.14	718800	14280646.00
2002/07/18	3.15	3.18	3.09	3.14	287800	5757732.00
2002/07/19	3.15	3.21	3.14	3.19	289900	5841988.00
2002/07/22	3.20	3.20	3.06	3.08	359200	7187673.00
2002/07/23	3.06	3.11	3.06	3.08	294100	5817604.00
2002/07/24	3.11	3.16	3.07	3.11	188900	3767031.00
2002/07/25	3.09	3.16	3.06	3.10	164000	3261929.00
2002/07/26	3.11	3.28	3.11	3.22	1041000	21168124.00
2002/07/29	3.19	3.24	3.19	3.23	325246	6599494.00
2002/07/30	3.20	3.24	3.19	3.21	221702	4497767.00
2002/07/31	3.18	3.23	3.11	3.17	253284	5099113.00
2002/08/01	3.15	3.18	3.08	3.15	320161	6389758.00
2002/08/02	3.15	3.21	3.15	3.19	150300	3028826.00
2002/08/05	3.17	3.31	3.14	3.30	728424	14906880.00
2002/08/06	3.27	3.30	3.25	3.28	268157	5518483.00
2002/08/07	3.27	3.31	3.25	3.29	188475	3876259.00
2002/08/08	3.29	3.33	3.29	3.30	597980	12338865.00
2002/08/09	3.30	3.30	3.24	3.25	348113	7127091.00
2002/08/12	3.19	3.24	3.19	3.21	255051	5176302.00
2002/08/13	3.25	3.26	3.21	3.22	148900	3031765.00
2002/08/14	3.21	3.25	3.21	3.24	119542	2432180.00
2002/08/15	3.24	3.24	3.11	3.13	280670	5631282.00
2002/08/16	3.11	3.18	3.11	3.14	191786	3834292.00
2002/08/19	3.15	3.15	3.13	3.14	141650	2834700.00
2002/08/20	3.14	3.23	3.14	3.21	142090	2878972.00
2002/08/21	3.16	3.24	3.16	3.24	166814	3388877.00
2002/08/22	3.26	3.37	3.23	3.31	937606	19419280.00
2002/08/23	3.33	3.33	3.26	3.29	239118	4915943.00
2002/08/26	3.26	3.41	3.22	3.38	1019807	21317184.00
2002/08/27	3.35	3.43	3.35	3.39	1482920	31122546.00
2002/08/28	3.37	3.46	3.34	3.38	731096	15378713.00
2002/08/29	3.37	3.40	3.30	3.31	394955	8255832.00
2002/08/30	3.31	3.35	3.30	3.34	163260	3392152.00
2002/09/02	3.39	3.39	3.32	3.37	87408	1825511.00
2002/09/03	3.37	3.52	3.37	3.46	587199	12500020.00
2002/09/04	3.47	3.53	3.42	3.45	592550	12656854.00
2002/09/05	3.42	3.45	3.30	3.30	1083086	22592968.00
2002/09/06	3.29	3.34	3.28	3.30	526063	10854873.00
2002/09/09	3.26	3.32	3.26	3.32	447106	9198633.00
2002/09/10	3.29	3.33	3.29	3.32	143616	2970048.00
2002/09/11	3.31	3.34	3.29	3.34	338380	6995212.00
2002/09/12	3.34	3.39	3.32	3.36	139170	2904962.00
2002/09/13	3.35	3.39	3.34	3.37	183172	3825223.00
2002/09/16	3.36	3.36	3.27	3.28	546100	11259488.00
2002/09/17	3.26	3.32	3.26	3.29	205515	4230262.00
2002/09/18	3.26	3.31	3.25	3.29	161121	3315317.00
2002/09/19	3.26	3.33	3.20	3.29	410842	8451960.00
2002/09/20	3.26	3.30	3.21	3.23	458650	9389516.00
2002/09/23	3.16	3.26	3.16	3.21	111750	2273330.00
2002/09/24	3.20	3.21	3.16	3.19	223591	4517318.00
2002/09/25	3.17	3.23	3.17	3.21	119053	2411095.00
2002/09/26	3.21	3.22	3.16	3.17	266394	5369745.00
2002/09/27	3.18	3.20	3.05	3.10	389386	7735736.00
2002/10/08	3.09	3.13	2.97	2.99	429549	8421988.00
2002/10/09	2.99	3.06	2.98	3.00	320906	6250321.00
2002/10/10	2.98	3.02	2.98	2.98	159131	3092875.00
2002/10/11	2.98	3.00	2.80	2.84	267616	5092545.00
2002/10/14	2.80	2.88	2.80	2.88	163143	3079916.00
2002/10/15	2.81	2.89	2.80	2.82	141500	2660263.00
2002/10/16	2.81	2.92	2.81	2.85	101450	1925892.00
2002/10/17	2.87	2.87	2.82	2.84	141649	2667181.00
2002/10/18	2.83	2.86	2.80	2.83	129000	2423492.00
2002/10/21	2.82	2.90	2.78	2.89	172056	3231887.00
2002/10/22	2.89	3.00	2.87	2.99	221165	4255868.00
2002/10/23	2.93	3.00	2.93	3.00	80382	1556523.00
2002/10/24	3.13	3.16	3.06	3.07	766038	15206940.00
2002/10/25	3.07	3.12	3.05	3.06	320889	6355885.00
2002/10/28	3.01	3.06	3.00	3.01	183961	3599780.00
2002/10/29	3.01	3.08	2.94	3.07	145934	2843036.00
2002/10/30	3.06	3.13	3.03	3.11	157118	3115409.00
2002/10/31	3.11	3.13	3.07	3.07	163900	3255318.00
2002/11/01	3.08	3.11	3.05	3.10	84760	1672876.00
2002/11/04	3.11	3.14	3.07	3.13	207454	4123486.00
2002/11/05	3.13	3.29	3.12	3.21	703502	14292914.00
2002/11/06	3.21	3.21	3.14	3.15	247772	4986203.00
2002/11/07	3.14	3.18	3.11	3.13	296860	5943043.00
2002/11/08	3.18	3.18	2.98	3.00	358900	7062428.00
2002/11/11	2.99	3.04	2.93	2.94	150500	2925010.00
2002/11/12	2.94	3.02	2.89	2.91	489440	9368628.00
2002/11/13	2.91	2.97	2.88	2.95	215172	4124658.00
2002/11/14	2.95	3.03	2.92	2.96	294079	5703347.00
2002/11/15	2.98	3.03	2.92	2.95	180823	3502751.00
2002/11/18	2.96	2.97	2.90	2.94	215203	4133787.00
2002/11/19	2.93	2.97	2.91	2.96	144996	2791002.00
2002/11/20	2.96	2.96	2.88	2.93	244657	4690152.00
2002/11/21	2.93	2.93	2.88	2.88	318300	6070273.00
2002/11/22	2.87	2.94	2.83	2.87	198603	3762179.00
2002/11/26	2.92	2.92	2.82	2.82	387200	7316503.00
2002/11/27	2.81	2.84	2.79	2.84	212690	3984410.00
