600537 亿晶光电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/01/23	2.66	2.94	2.61	2.94	31817863	389296128.00
2003/01/24	2.86	3.01	2.85	2.94	12084047	156440592.00
2003/01/27	2.95	3.05	2.91	2.92	6368518	83314800.00
2003/01/28	2.91	2.97	2.89	2.93	3267482	42339744.00
2003/01/29	2.94	3.08	2.92	2.98	6105741	81053200.00
2003/02/10	2.99	3.01	2.87	2.88	3650247	47273144.00
2003/02/11	2.86	2.95	2.85	2.94	1975602	25285082.00
2003/02/12	2.90	2.96	2.90	2.95	1739393	22520852.00
2003/02/13	2.94	3.01	2.90	2.91	3333080	43327720.00
2003/02/14	2.91	2.93	2.88	2.89	1917600	24638374.00
2003/02/17	2.89	2.93	2.83	2.86	2177920	27715880.00
2003/02/18	2.86	2.90	2.83	2.88	1024880	13034824.00
2003/02/19	2.86	2.90	2.84	2.90	1396512	17763692.00
2003/02/20	2.90	2.93	2.88	2.88	1367750	17600684.00
2003/02/21	2.88	2.89	2.80	2.82	1973806	25000540.00
2003/02/24	2.81	2.91	2.81	2.85	1085970	13837790.00
2003/02/25	2.86	2.98	2.86	2.94	1907400	24758112.00
2003/02/26	2.94	2.95	2.90	2.92	933860	12066001.00
2003/02/27	2.92	2.98	2.91	2.93	1000741	12998505.00
2003/02/28	2.94	2.96	2.88	2.92	731613	9452996.00
2003/03/03	2.93	3.02	2.92	2.99	1887199	24832080.00
2003/03/04	2.99	3.02	2.95	2.97	1218793	16018657.00
2003/03/05	2.97	2.97	2.91	2.93	802885	10397694.00
2003/03/06	2.91	2.93	2.84	2.87	978705	12554610.00
2003/03/07	2.86	2.88	2.85	2.85	607407	7718079.00
2003/03/10	2.85	2.90	2.84	2.85	1272951	16170356.00
2003/03/11	2.87	2.88	2.83	2.84	478603	6061727.00
2003/03/12	2.83	2.85	2.74	2.85	1547055	19285474.00
2003/03/13	2.83	2.85	2.78	2.81	436900	5493424.00
2003/03/14	2.78	2.88	2.78	2.86	748095	9490473.00
2003/03/17	2.85	2.95	2.82	2.94	1772939	22879536.00
2003/03/18	2.94	2.94	2.87	2.88	676424	8708389.00
2003/03/19	2.87	2.89	2.82	2.85	603855	7659463.00
2003/03/20	2.82	2.88	2.69	2.88	453595	5739530.00
2003/03/21	2.85	2.89	2.85	2.89	273187	3488698.00
2003/03/24	2.89	2.90	2.84	2.85	186871	2381321.00
2003/03/25	2.86	2.87	2.82	2.84	572101	7229753.00
2003/03/26	2.80	2.85	2.80	2.84	324320	4086302.00
2003/03/27	2.82	3.12	2.82	3.05	5646480	75016968.00
2003/03/28	3.05	3.05	2.93	2.95	3812721	50212852.00
2003/03/31	2.97	2.98	2.93	2.97	1010421	13195999.00
2003/04/01	2.97	3.02	2.96	2.98	1755978	23146964.00
2003/04/02	2.98	2.99	2.93	2.94	1007030	13164967.00
2003/04/03	2.93	2.97	2.91	2.93	523761	6795898.00
2003/04/04	2.93	2.98	2.91	2.96	500545	6522638.00
2003/04/07	2.96	2.97	2.86	2.87	1264807	16225938.00
2003/04/08	2.87	2.90	2.85	2.85	784864	9989278.00
2003/04/09	2.83	2.90	2.83	2.90	1522200	19309472.00
2003/04/10	2.90	2.92	2.84	2.88	831054	10601179.00
2003/04/11	2.88	2.90	2.84	2.88	890854	11341191.00
2003/04/14	2.88	3.01	2.88	2.97	2439616	31779400.00
2003/04/15	2.99	3.01	2.93	2.96	1698662	22235744.00
2003/04/16	2.97	3.08	2.96	2.97	4461535	59266784.00
2003/04/17	2.99	3.15	2.99	3.10	6142888	83452632.00
2003/04/18	3.10	3.12	2.97	2.97	1941317	25858668.00
2003/04/22	2.88	2.94	2.84	2.87	1586841	20285224.00
2003/04/23	2.87	2.90	2.80	2.81	1678018	21111752.00
2003/04/24	2.80	2.82	2.64	2.67	1781952	21836224.00
2003/04/25	2.66	2.75	2.59	2.60	1305196	15634603.00
2003/04/28	2.61	2.62	2.38	2.56	1765483	20113464.00
2003/04/29	2.55	2.55	2.40	2.44	881640	9915242.00
2003/04/30	2.43	2.50	2.42	2.45	684000	7683664.00
2003/05/12	2.42	2.47	2.17	2.18	1681300	17508324.00
2003/05/13	2.16	2.18	2.07	2.17	1326698	13302305.00
2003/05/14	2.17	2.24	2.14	2.22	1135013	11714743.00
2003/05/15	2.23	2.30	2.15	2.28	1477991	15447710.00
2003/05/16	2.27	2.27	2.20	2.23	714532	7437143.00
2003/05/19	2.22	2.28	2.22	2.24	650589	6824700.00
2003/05/20	2.24	2.27	2.18	2.18	498000	5163135.00
2003/05/21	2.18	2.46	2.17	2.45	7072245	75842232.00
2003/05/22	2.39	2.43	2.34	2.40	2855367	31410420.00
2003/05/23	2.40	2.45	2.35	2.41	1934063	21295612.00
2003/05/26	2.41	2.47	2.39	2.44	1514077	16933618.00
2003/05/27	2.44	2.46	2.36	2.38	1160113	12761858.00
2003/05/28	2.43	2.44	2.32	2.36	803967	8581375.00
2003/05/29	2.35	2.46	2.31	2.46	2510958	26965458.00
2003/05/30	2.45	2.52	2.41	2.49	1277096	14147673.00
2003/06/02	2.47	2.54	2.42	2.51	1062389	11808171.00
2003/06/03	2.51	2.51	2.43	2.43	849120	9355309.00
2003/06/04	2.40	2.46	2.40	2.44	561501	6113299.00
2003/06/05	2.43	2.43	2.35	2.36	579825	6240449.00
2003/06/06	2.35	2.40	2.32	2.32	513450	5434069.00
2003/06/09	2.30	2.32	2.24	2.25	550291	5675201.00
2003/06/10	2.24	2.29	2.24	2.26	272527	2812528.00
2003/06/11	2.27	2.36	2.27	2.35	337300	3529621.00
2003/06/12	2.34	2.49	2.29	2.47	2434922	26388456.00
2003/06/13	2.46	2.49	2.43	2.47	1531116	16842772.00
2003/06/16	2.47	2.49	2.42	2.46	775199	8518151.00
2003/06/17	2.46	2.47	2.42	2.43	452080	4954257.00
2003/06/18	2.43	2.44	2.39	2.39	299177	3243086.00
2003/06/19	2.39	2.46	2.38	2.46	1079760	11732499.00
2003/06/20	2.47	2.47	2.39	2.42	323400	3540065.00
2003/06/23	2.40	2.40	2.30	2.31	510995	5387820.00
2003/06/24	2.31	2.35	2.29	2.32	291200	3062113.00
2003/06/25	2.32	2.35	2.29	2.29	262393	2743002.00
2003/06/26	2.28	2.35	2.27	2.34	711292	7453220.00
2003/06/27	2.33	2.40	2.32	2.32	1530965	16295990.00
2003/06/30	2.32	2.35	2.28	2.31	248000	2594335.00
2003/07/01	2.30	2.44	2.30	2.36	1435798	15417563.00
2003/07/02	2.36	2.42	2.34	2.41	581609	6259594.00
2003/07/03	2.42	2.42	2.38	2.40	359898	3871340.00
2003/07/04	2.35	2.40	2.35	2.38	238783	2547082.00
2003/07/07	2.35	2.37	2.32	2.36	346641	3666832.00
2003/07/08	2.36	2.43	2.36	2.43	524695	5672785.00
2003/07/09	2.44	2.44	2.39	2.40	352800	3814232.00
2003/07/10	2.40	2.47	2.39	2.45	936400	10249793.00
2003/07/11	2.45	2.46	2.43	2.45	547715	5999960.00
2003/07/14	2.46	2.47	2.39	2.39	305300	3310884.00
2003/07/15	2.38	2.41	2.32	2.36	501370	5339295.00
2003/07/16	2.36	2.36	2.33	2.35	206080	2180538.00
2003/07/17	2.35	2.38	2.33	2.35	420700	4465280.00
2003/07/18	2.35	2.44	2.32	2.33	527400	5626945.00
2003/07/21	2.32	2.39	2.26	2.29	487876	5083476.00
2003/07/22	2.33	2.37	2.28	2.35	730793	7703672.00
2003/07/23	2.35	2.37	2.33	2.34	222685	2363017.00
2003/07/24	2.35	2.35	2.30	2.31	272853	2865972.00
2003/07/25	2.30	2.33	2.20	2.22	797701	8148628.00
2003/07/28	2.21	2.22	2.16	2.17	547303	5484429.00
2003/07/29	2.17	2.19	2.16	2.18	212054	2115211.00
2003/07/30	2.18	2.20	2.16	2.18	175500	1752396.00
2003/07/31	2.18	2.24	2.16	2.22	184167	1857422.00
2003/08/01	2.22	2.23	2.02	2.08	706294	6872809.00
2003/08/04	2.06	2.24	1.88	2.21	2136867	20358372.00
2003/08/05	2.18	2.24	2.13	2.17	678310	6797744.00
2003/08/06	2.13	2.16	2.09	2.10	578279	5644891.00
2003/08/07	2.10	2.16	2.08	2.09	250455	2433816.00
2003/08/08	2.09	2.11	2.02	2.07	281692	2686677.00
2003/08/11	2.06	2.10	2.06	2.08	122349	1179559.00
2003/08/12	2.06	2.16	2.06	2.12	217320	2123511.00
2003/08/13	2.10	2.13	2.08	2.10	159000	1539148.00
2003/08/14	2.12	2.12	2.07	2.08	165980	1606732.00
2003/08/15	2.08	2.10	2.01	2.07	252630	2392282.00
