600560 金自天正 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/09/19	4.56	4.77	4.46	4.54	15808981	335058272.00
2002/09/20	4.49	5.04	4.47	4.85	10225155	224188432.00
2002/09/23	4.85	4.89	4.79	4.87	3394349	75126920.00
2002/09/24	4.86	4.88	4.70	4.73	3653227	79939440.00
2002/09/25	4.73	4.76	4.65	4.66	2990814	64369480.00
2002/09/26	4.65	4.71	4.60	4.61	2364422	50454244.00
2002/09/27	4.62	4.67	4.50	4.52	2318600	48675900.00
2002/10/08	4.49	4.49	4.28	4.30	1940493	39035852.00
2002/10/09	4.28	4.30	4.13	4.13	1938507	37803020.00
2002/10/10	4.11	4.22	4.11	4.13	949503	18417528.00
2002/10/11	4.15	4.18	3.85	3.89	2319982	43466296.00
2002/10/14	3.88	3.98	3.86	3.96	1146901	21213664.00
2002/10/15	3.95	3.95	3.87	3.91	789950	14548038.00
2002/10/16	3.91	4.06	3.90	3.96	1132091	21258074.00
2002/10/17	3.96	3.97	3.84	3.85	978506	18004308.00
2002/10/18	3.83	3.90	3.77	3.87	1063620	19312464.00
2002/10/21	3.87	3.95	3.82	3.94	482133	8846400.00
2002/10/22	3.90	4.06	3.90	4.01	1402508	26428520.00
2002/10/23	4.01	4.12	3.99	4.04	1123758	21394264.00
2002/10/24	4.05	4.07	3.97	3.98	697447	13123588.00
2002/10/25	3.98	4.03	3.83	3.84	820248	15113586.00
2002/10/28	3.81	3.84	3.70	3.71	902948	16036479.00
2002/10/29	3.71	3.82	3.70	3.80	674824	12021399.00
2002/10/30	3.80	3.82	3.73	3.75	354337	6320494.00
2002/10/31	3.75	3.80	3.71	3.71	407605	7261766.00
2002/11/01	3.71	3.75	3.63	3.69	526155	9221617.00
2002/11/04	3.72	3.80	3.69	3.80	377160	6713636.00
2002/11/05	3.80	4.08	3.77	3.94	2111980	39366692.00
2002/11/06	3.93	4.04	3.92	3.94	1044870	19563066.00
2002/11/07	3.94	4.01	3.88	3.97	971120	18090956.00
2002/11/08	4.03	4.05	3.69	3.78	1057593	19354918.00
2002/11/11	3.80	3.84	3.71	3.73	480222	8573091.00
2002/11/12	3.73	3.77	3.63	3.66	608413	10637391.00
2002/11/13	3.66	3.73	3.57	3.69	567503	9885349.00
2002/11/14	3.68	3.90	3.63	3.72	1737174	31121014.00
2002/11/15	3.67	3.88	3.67	3.78	1208769	21734544.00
2002/11/18	3.76	3.80	3.69	3.74	346217	6147187.00
2002/11/19	3.74	3.84	3.69	3.81	444973	7932365.00
2002/11/20	3.80	3.80	3.60	3.63	768873	13463313.00
2002/11/21	3.62	3.67	3.59	3.63	594162	10282540.00
2002/11/22	3.64	3.76	3.52	3.65	907437	15783594.00
2002/11/25	3.66	3.70	3.56	3.65	355204	6180095.00
2002/11/26	3.63	3.68	3.47	3.47	902644	15276722.00
2002/11/27	3.47	3.47	3.33	3.40	869168	14261223.00
2002/11/28	3.40	3.63	3.34	3.60	1039099	17447596.00
2002/11/29	3.58	3.90	3.53	3.76	3588173	63805548.00
2002/12/02	3.75	3.75	3.57	3.58	1015764	17630776.00
2002/12/03	3.56	3.73	3.55	3.68	632760	11038176.00
2002/12/04	3.70	3.93	3.67	3.76	1671446	30198146.00
2002/12/05	3.75	3.83	3.71	3.79	679760	12143559.00
2002/12/06	3.75	3.82	3.72	3.74	479222	8546130.00
2002/12/09	3.74	3.78	3.68	3.71	259480	4600199.00
2002/12/10	3.69	3.77	3.55	3.55	1009252	17391948.00
2002/12/11	3.55	3.57	3.48	3.54	487461	8212428.00
2002/12/12	3.52	3.62	3.52	3.55	419858	7172496.00
2002/12/13	3.45	3.61	3.45	3.61	466599	7885885.00
2002/12/16	3.61	3.66	3.55	3.61	347469	5986157.00
2002/12/17	3.61	3.63	3.56	3.60	293912	5047151.00
2002/12/18	3.60	3.73	3.59	3.65	865407	15137422.00
2002/12/19	3.63	3.68	3.59	3.63	248716	4306754.00
2002/12/20	3.63	3.70	3.63	3.68	318284	5558638.00
2002/12/23	3.69	3.70	3.59	3.60	556500	9664671.00
2002/12/24	3.60	3.65	3.54	3.57	883110	15057817.00
2002/12/25	3.57	3.60	3.52	3.52	384376	6520140.00
2002/12/26	3.50	3.55	3.42	3.43	484419	8077158.00
2002/12/27	3.41	3.47	3.40	3.40	293232	4842264.00
2002/12/30	3.37	3.39	3.27	3.28	519453	8335866.00
2002/12/31	3.27	3.35	3.23	3.23	204940	3264507.00
2003/01/02	3.22	3.27	3.06	3.07	509330	7856057.00
2003/01/03	3.06	3.11	3.05	3.08	226673	3435032.00
2003/01/06	3.07	3.12	3.03	3.12	235580	3576800.00
2003/01/07	3.13	3.24	3.11	3.14	363162	5626924.00
2003/01/08	3.11	3.23	3.11	3.23	301172	4690225.00
2003/01/09	3.23	3.34	3.23	3.32	891561	14226111.00
2003/01/10	3.31	3.32	3.24	3.25	564489	8988543.00
2003/01/13	3.23	3.26	3.18	3.21	193764	3030976.00
2003/01/14	3.20	3.46	3.20	3.42	1289032	21083512.00
2003/01/15	3.43	3.57	3.39	3.41	1347219	22516396.00
2003/01/16	3.41	3.57	3.40	3.53	1176761	19848820.00
2003/01/17	3.55	3.56	3.45	3.46	745346	12464844.00
2003/01/20	3.46	3.49	3.42	3.48	318272	5289151.00
2003/01/21	3.65	3.67	3.40	3.41	830289	14080718.00
2003/01/22	3.37	3.43	3.37	3.39	286389	4701333.00
2003/01/23	3.38	3.44	3.35	3.36	193586	3164062.00
2003/01/24	3.37	3.44	3.33	3.43	333660	5459802.00
2003/01/28	3.47	3.58	3.46	3.52	707593	11959443.00
2003/01/29	3.50	3.54	3.50	3.51	397587	6713569.00
2003/02/10	3.50	3.50	3.38	3.38	203463	3360317.00
2003/02/11	3.36	3.42	3.35	3.42	151117	2481476.00
2003/02/12	3.40	3.47	3.39	3.47	185523	3064704.00
2003/02/13	3.47	3.51	3.45	3.47	344413	5764439.00
2003/02/14	3.47	3.48	3.42	3.47	326700	5417961.00
2003/02/17	3.47	3.49	3.42	3.42	308477	5115106.00
2003/02/18	3.42	3.42	3.37	3.39	296600	4852978.00
2003/02/19	3.39	3.47	3.36	3.47	702120	11593506.00
2003/02/20	3.46	3.51	3.46	3.47	343350	5741826.00
2003/02/21	3.47	3.47	3.39	3.40	285450	4694731.00
2003/02/24	3.40	3.55	3.40	3.49	771666	12949303.00
2003/02/25	3.50	3.59	3.50	3.58	1106700	18860034.00
2003/02/26	3.57	3.59	3.53	3.58	423791	7223941.00
2003/02/27	3.60	3.65	3.56	3.63	1013420	17473588.00
2003/02/28	3.63	3.73	3.54	3.70	1961629	34127808.00
2003/03/03	3.63	3.70	3.59	3.67	2148310	37340748.00
2003/03/04	3.68	3.68	3.56	3.59	1167684	20053862.00
2003/03/05	3.62	3.62	3.51	3.54	565150	9595079.00
2003/03/06	3.54	3.54	3.44	3.45	671223	11232967.00
2003/03/07	3.45	3.49	3.43	3.45	458584	7640693.00
2003/03/10	3.45	3.47	3.37	3.38	441674	7279395.00
2003/03/11	3.37	3.42	3.36	3.39	296158	4850316.00
2003/03/12	3.39	3.42	3.34	3.42	265150	4325808.00
2003/03/13	3.40	3.42	3.34	3.35	409900	6696752.00
2003/03/14	3.35	3.38	3.35	3.35	198850	3229122.00
2003/03/17	3.36	3.37	3.29	3.35	275959	4443693.00
2003/03/18	3.35	3.42	3.30	3.30	179900	2922528.00
2003/03/19	3.27	3.38	3.27	3.35	229703	3710871.00
2003/03/20	3.31	3.37	3.31	3.31	138900	2241945.00
2003/03/21	3.32	3.38	3.30	3.37	188299	3061144.00
2003/03/24	3.35	3.41	3.35	3.38	129264	2106986.00
2003/03/25	3.36	3.37	3.30	3.31	159700	2576960.00
2003/03/26	3.30	3.32	3.27	3.27	266500	4253658.00
2003/03/27	3.27	3.39	3.25	3.35	444358	7137496.00
2003/03/28	3.37	3.40	3.35	3.39	488701	7991038.00
2003/03/31	3.39	3.43	3.38	3.42	350979	5753898.00
2003/04/01	3.42	3.44	3.40	3.43	371701	6129346.00
2003/04/02	3.41	3.44	3.37	3.37	253040	4146103.00
2003/04/04	3.40	3.40	3.35	3.37	357334	5809133.00
2003/04/07	3.37	3.41	3.29	3.29	233863	3779826.00
2003/04/08	3.27	3.31	3.27	3.30	372116	5945724.00
2003/04/09	3.30	3.30	3.20	3.25	633800	9997842.00
2003/04/10	3.26	3.29	3.17	3.27	1104399	17345940.00
2003/04/11	3.27	3.29	3.23	3.28	516671	8185027.00
2003/04/14	3.25	3.45	3.25	3.45	1019568	16676212.00
2003/04/15	3.45	3.51	3.41	3.51	781318	13008181.00
2003/04/16	3.51	3.52	3.42	3.43	1189074	19876670.00
2003/04/17	3.43	3.50	3.42	3.47	455502	7586360.00
2003/04/18	3.50	3.50	3.40	3.41	282140	4671866.00
2003/04/21	3.41	3.41	3.25	3.27	467106	7464896.00
2003/04/22	3.29	3.34	3.26	3.27	125230	1998556.00
2003/04/23	3.27	3.29	3.22	3.24	209600	3318107.00
