600563 法拉电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/12/10	-0.94	-0.68	-0.94	-0.74	25188774	339078048.00
2002/12/11	-0.78	-0.62	-0.85	-0.73	8469792	114904280.00
2002/12/12	-0.72	-0.63	-0.82	-0.80	4695960	63732332.00
2002/12/13	-0.91	-0.77	-1.15	-0.82	6443333	84596544.00
2002/12/16	-0.88	-0.76	-0.94	-0.81	2811213	37608364.00
2002/12/17	-0.80	-0.77	-0.89	-0.83	1965281	26243990.00
2002/12/18	-0.82	-0.45	-0.87	-0.62	6029296	82863952.00
2002/12/19	-0.66	-0.60	-0.75	-0.66	2450042	33469854.00
2002/12/20	-0.67	-0.61	-0.72	-0.63	2073587	28404488.00
2002/12/23	-0.61	-0.59	-0.82	-0.79	2370643	32268368.00
2002/12/24	-0.81	-0.74	-0.87	-0.74	1145914	15377397.00
2002/12/25	-0.76	-0.73	-0.87	-0.85	1410882	18910704.00
2002/12/26	-0.88	-0.83	-0.93	-0.91	2576774	34198252.00
2002/12/27	-0.97	-0.80	-0.99	-0.85	1827452	24318020.00
2002/12/30	-0.94	-0.83	-1.07	-0.85	1354227	17809682.00
2002/12/31	-0.89	-0.85	-1.13	-0.88	2693318	35238216.00
2003/01/02	-1.09	-0.99	-1.23	-1.19	966444	12402605.00
2003/01/03	-1.20	-1.20	-1.35	-1.30	855982	10732117.00
2003/01/06	-1.40	-1.23	-1.40	-1.27	990249	12362417.00
2003/01/07	-1.31	-1.15	-1.37	-1.31	979707	12297425.00
2003/01/08	-1.36	-1.04	-1.38	-1.05	1042936	13317151.00
2003/01/09	-1.06	-0.78	-1.13	-0.88	2940657	38682600.00
2003/01/10	-0.85	-0.78	-1.00	-0.95	1959688	26144308.00
2003/01/13	-0.98	-0.90	-1.00	-0.93	510265	6709373.00
2003/01/14	-0.94	-0.23	-0.98	-0.35	11799127	169372640.00
2003/01/15	-0.40	-0.24	-0.56	-0.51	5174434	73487400.00
2003/01/16	-0.48	0.00	-0.55	-0.22	5443908	79417384.00
2003/01/17	-0.23	-0.22	-0.43	-0.29	1938532	27720256.00
2003/01/20	-0.32	-0.14	-0.40	-0.23	1377324	19963288.00
2003/01/21	-0.24	-0.19	-0.50	-0.47	1692953	24056048.00
2003/01/22	-0.53	-0.45	-0.62	-0.52	919547	12829718.00
2003/01/23	-0.57	-0.42	-0.57	-0.52	785746	10980418.00
2003/01/24	-0.57	-0.33	-0.61	-0.38	1056680	14968236.00
2003/01/27	-0.37	-0.31	-0.40	-0.36	761386	10878770.00
2003/01/28	-0.32	-0.27	-0.39	-0.27	720182	10324463.00
2003/01/29	-0.25	-0.24	-0.40	-0.39	574055	8278729.00
2003/02/10	-0.40	-0.40	-0.59	-0.55	454467	6328401.00
2003/02/11	-0.56	-0.47	-0.61	-0.48	350030	4893192.00
2003/02/12	-0.50	-0.41	-0.55	-0.43	377282	5296622.00
2003/02/13	-0.40	-0.34	-0.47	-0.45	571157	8105684.00
2003/02/14	-0.48	-0.41	-0.54	-0.43	366500	5152143.00
2003/02/17	-0.44	-0.37	-0.57	-0.52	627627	8780318.00
2003/02/18	-0.51	-0.51	-0.61	-0.51	268350	3728872.00
2003/02/19	-0.56	-0.45	-0.60	-0.47	253580	3545796.00
2003/02/20	-0.46	-0.43	-0.55	-0.54	214389	3014105.00
2003/02/21	-0.53	-0.51	-0.68	-0.61	587322	8107706.00
2003/02/24	-0.64	-0.43	-0.64	-0.54	575068	8038069.00
2003/02/25	-0.52	-0.34	-0.53	-0.39	1326300	18818906.00
2003/02/26	-0.39	-0.35	-0.44	-0.41	384851	5464895.00
2003/02/27	-0.41	-0.24	-0.41	-0.37	698796	10013521.00
2003/02/28	-0.30	-0.30	-0.51	-0.34	623382	8838058.00
2003/03/03	-0.34	-0.10	-0.34	-0.17	2510894	36638072.00
2003/03/04	-0.13	-0.12	-0.26	-0.20	894342	13038669.00
2003/03/05	-0.16	-0.16	-0.33	-0.26	585767	8450051.00
2003/03/06	-0.29	-0.27	-0.45	-0.45	737553	10473179.00
2003/03/07	-0.45	-0.38	-0.56	-0.55	1151949	16095234.00
2003/03/10	-0.47	-0.46	-0.62	-0.53	621484	8605761.00
2003/03/11	-0.56	-0.46	-0.58	-0.50	443403	6205633.00
2003/03/12	-0.51	-0.41	-0.56	-0.42	486347	6817581.00
2003/03/13	-0.41	-0.41	-0.59	-0.53	449300	6309817.00
2003/03/14	-0.56	-0.48	-0.61	-0.58	278453	3863057.00
2003/03/17	-0.60	-0.53	-0.67	-0.57	384170	5281789.00
2003/03/18	-0.57	-0.51	-0.67	-0.66	211600	2930735.00
2003/03/19	-0.67	-0.63	-0.80	-0.75	628276	8531983.00
2003/03/20	-0.75	-0.61	-0.77	-0.65	921681	12530311.00
2003/03/21	-0.67	-0.61	-0.72	-0.63	229431	3152439.00
2003/03/24	-0.62	-0.62	-0.72	-0.68	126590	1730034.00
2003/03/25	-0.69	-0.69	-0.76	-0.73	266850	3625585.00
2003/03/26	-0.74	-0.51	-0.76	-0.68	553425	7523007.00
2003/03/27	-0.69	-0.30	-0.75	-0.46	793821	11094958.00
2003/03/28	-0.49	-0.48	-0.63	-0.61	347588	4830867.00
2003/03/31	-0.61	-0.52	-0.61	-0.57	256127	3554867.00
2003/04/01	-0.61	-0.48	-0.62	-0.51	428864	5957174.00
2003/04/02	-0.51	-0.51	-0.58	-0.57	217115	3018887.00
2003/04/03	-0.56	-0.56	-0.69	-0.67	377500	5196514.00
2003/04/04	-0.67	-0.62	-0.69	-0.63	338451	4642306.00
2003/04/08	-0.67	-0.67	-0.85	-0.82	774551	10446570.00
2003/04/09	-0.81	-0.81	-0.97	-0.86	1167600	15493817.00
2003/04/10	-0.89	-0.75	-0.91	-0.80	1022809	13720855.00
2003/04/11	-0.83	-0.63	-0.83	-0.69	1176466	15964344.00
2003/04/14	-0.71	-0.54	-0.71	-0.61	1709390	23636502.00
2003/04/15	-0.59	-0.45	-0.62	-0.50	1790251	25024496.00
2003/04/16	-0.45	-0.35	-0.69	-0.66	1494555	20968930.00
2003/04/17	-0.65	-0.30	-0.65	-0.37	2290475	32320462.00
2003/04/18	-0.36	-0.32	-0.51	-0.47	930901	13131169.00
2003/04/21	-0.47	-0.37	-0.75	-0.63	566639	7644270.00
2003/04/22	-0.64	-0.59	-0.74	-0.70	355324	4735021.00
2003/04/23	-0.75	-0.59	-0.85	-0.72	402710	5394185.00
2003/04/24	-0.73	-0.73	-1.01	-0.98	780891	10159069.00
2003/04/25	-0.99	-0.89	-1.11	-1.02	572471	7328541.00
2003/04/28	-1.10	-0.84	-1.19	-0.85	942017	11951774.00
2003/04/29	-0.84	-0.83	-1.07	-1.06	405792	5187549.00
2003/04/30	-1.06	-0.95	-1.07	-0.97	465600	5942507.00
2003/05/12	-0.89	-0.83	-0.99	-0.95	371600	4819779.00
2003/05/13	-0.94	-0.94	-1.44	-1.35	3281379	39760224.00
2003/05/14	-1.41	-1.26	-1.41	-1.31	1028816	12532449.00
2003/05/15	-1.27	-0.72	-1.35	-0.81	4924136	63212840.00
2003/05/16	-0.85	-0.83	-0.96	-0.90	1111696	14406005.00
2003/05/19	-0.88	-0.72	-0.93	-0.81	603589	7920578.00
2003/05/20	-0.88	-0.80	-0.94	-0.82	622390	8099240.00
2003/05/21	-0.78	-0.62	-0.86	-0.66	1319189	17589716.00
2003/05/22	-0.66	-0.66	-0.83	-0.72	709518	9444815.00
2003/05/23	-0.74	-0.57	-0.82	-0.67	1264755	16964484.00
2003/05/27	-0.64	-0.59	-0.78	-0.67	1513301	20267968.00
2003/05/28	-0.72	-0.67	-0.87	-0.83	706612	9325380.00
2003/05/29	-0.83	-0.35	-0.87	-0.45	3087579	42329776.00
2003/05/30	-0.44	-0.16	-0.51	-0.27	3560901	50263380.00
2003/06/02	-0.24	0.44	-0.34	0.16	4861401	71861392.00
2003/06/03	0.10	0.11	-0.14	-0.11	2787733	40707816.00
2003/06/04	-0.07	0.18	-0.09	0.01	4009234	59190908.00
2003/06/05	0.06	0.31	-0.10	-0.03	2501263	37284016.00
2003/06/06	-0.09	0.16	-0.18	-0.06	1754913	25727748.00
2003/06/09	-0.14	-0.05	-0.21	-0.18	875483	12604780.00
2003/06/10	-0.18	-0.10	-0.41	-0.34	1514885	21307596.00
2003/06/11	-0.36	-0.24	-0.39	-0.26	841676	11854190.00
2003/06/12	-0.21	-0.04	-0.28	-0.14	1083227	15620662.00
2003/06/13	-0.14	0.05	-0.18	-0.13	943695	13773576.00
2003/06/16	-0.14	-0.05	-0.28	-0.16	468995	6704159.00
2003/06/17	-0.15	0.01	-0.23	-0.07	517380	7507011.00
2003/06/18	-0.05	0.11	-0.05	0.01	1669396	24640264.00
2003/06/19	0.00	0.07	-0.25	-0.17	1069608	15375807.00
2003/06/20	-0.20	-0.08	-0.35	-0.34	732100	10465151.00
2003/06/23	-0.43	-0.35	-0.55	-0.51	1002200	13851562.00
2003/06/24	-0.46	-0.45	-0.56	-0.46	400563	5482966.00
2003/06/25	-0.52	-0.46	-0.65	-0.63	583184	7896114.00
2003/06/26	-0.67	-0.33	-0.74	-0.43	795122	10825187.00
2003/06/27	-0.45	-0.45	-0.68	-0.67	506033	6884917.00
2003/06/30	-0.68	-0.48	-0.69	-0.61	399139	5415315.00
2003/07/01	-0.63	-0.37	-0.63	-0.56	631042	8717323.00
2003/07/02	-0.54	-0.41	-0.61	-0.42	455704	6262542.00
