600602 云赛智联 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	5.29	5.64	5.10	5.50	3639800	38820432.00
2000/01/05	5.48	5.65	5.35	5.39	3913200	42143508.00
2000/01/06	5.39	5.63	5.32	5.61	3602200	38555696.00
2000/01/07	5.68	6.20	5.68	6.20	15436700	180041168.00
2000/01/10	6.47	6.53	6.15	6.39	13266300	163480048.00
2000/01/11	6.39	6.39	5.74	5.86	7049800	83253368.00
2000/01/12	5.73	5.96	5.48	5.49	4995400	54969616.00
2000/01/13	5.49	5.58	5.38	5.49	2571700	27430392.00
2000/01/14	5.49	5.54	5.27	5.29	1711900	17943038.00
2000/01/17	5.29	5.38	5.21	5.38	1535600	15913194.00
2000/01/18	5.51	5.72	5.44	5.54	3326900	36317420.00
2000/01/19	5.54	5.69	5.52	5.55	1323600	14407000.00
2000/01/20	5.55	5.71	5.53	5.65	2716800	29617344.00
2000/01/21	5.71	5.92	5.52	5.68	5440500	60556264.00
2000/01/24	5.68	5.76	5.54	5.60	3412600	37471340.00
2000/01/25	5.68	6.20	5.68	6.20	18662500	223056720.00
2000/01/26	6.20	6.20	5.90	5.99	8838700	103468456.00
2000/01/27	6.10	6.45	6.10	6.38	12916800	158302080.00
2000/01/28	6.53	6.89	6.49	6.73	17371200	225525168.00
2000/02/14	7.45	7.45	7.02	7.45	13964400	197228208.00
2000/02/15	7.85	8.23	7.68	7.74	25523000	394038464.00
2000/02/16	7.74	8.55	7.74	8.55	27866000	440039072.00
2000/02/17	8.94	9.44	7.65	7.73	30936600	505345312.00
2000/02/18	8.54	8.54	7.79	8.49	21528000	338794304.00
2000/02/21	8.66	9.22	8.28	8.43	30522300	505934240.00
2000/02/22	8.38	9.32	7.85	9.32	62485400	1082545280.00
2000/02/23	9.15	9.68	8.38	8.45	42697900	733693888.00
2000/02/24	8.38	8.87	8.27	8.85	19955700	326453888.00
2000/02/25	8.94	9.77	8.89	9.77	61928700	1132470272.00
2000/02/28	10.54	10.79	10.32	10.79	28852400	583529600.00
2000/02/29	11.91	11.91	11.58	11.91	56712000	1268552448.00
2000/03/01	11.91	13.12	10.70	10.87	42684700	917283712.00
2000/03/02	10.76	12.00	10.71	12.00	63789800	1415923072.00
2000/03/03	12.35	13.20	12.13	12.76	52040500	1237699456.00
2000/03/06	12.84	12.92	11.45	11.45	33483100	741969728.00
2000/03/07	10.87	11.35	10.43	10.76	24705700	503283232.00
2000/03/08	10.87	11.58	10.37	11.20	22200600	464324320.00
2000/03/09	11.21	11.66	10.76	10.95	15273500	320888704.00
2000/03/10	10.92	11.64	10.83	11.14	17356500	370069088.00
2000/03/13	11.14	11.36	10.93	11.11	6885300	144415408.00
2000/03/14	10.56	10.87	10.09	10.59	14723600	291746752.00
2000/03/15	10.59	10.86	10.32	10.37	6712200	133626248.00
2000/03/16	10.32	10.37	9.32	9.49	11943200	220940576.00
2000/03/17	9.38	10.26	9.38	10.17	12314000	232922768.00
2000/03/20	9.93	11.18	9.93	11.10	13312600	263805296.00
2000/03/21	11.03	11.09	10.51	10.59	7717200	155633424.00
2000/03/22	10.60	11.41	10.52	10.81	11578900	240628832.00
2000/03/23	10.71	11.04	10.53	10.87	7075100	144348624.00
2000/03/24	11.03	11.41	10.54	10.65	12302700	255910176.00
2000/03/27	10.76	11.30	10.76	11.10	9775400	204338592.00
2000/03/28	11.11	11.24	10.87	10.97	6550200	136136416.00
2000/03/29	11.17	11.21	10.81	11.04	4743200	98617056.00
2000/03/30	11.09	11.18	10.69	10.84	6577400	134733888.00
2000/03/31	10.90	10.96	10.54	10.70	7067000	142748112.00
2000/04/03	10.60	10.95	10.32	10.40	6413100	127669640.00
2000/04/04	10.37	10.40	10.04	10.18	4886300	93847296.00
2000/04/05	10.12	10.33	9.92	10.09	3585400	68446816.00
2000/04/06	10.10	10.36	9.99	10.31	2884600	55679572.00
2000/04/07	10.42	10.45	10.14	10.25	2786400	54014184.00
2000/04/10	10.25	10.31	9.96	10.01	3716200	70624856.00
2000/04/11	10.01	10.73	9.88	10.72	8040700	157395504.00
2000/04/12	10.81	10.85	10.20	10.23	5398400	106635824.00
2000/04/13	10.23	10.59	10.06	10.33	3167700	62080292.00
2000/04/14	10.33	10.52	10.24	10.26	2324100	45414272.00
2000/04/17	10.26	10.43	9.98	10.01	3077900	58518420.00
2000/04/18	9.99	10.31	9.93	10.04	3041500	57898448.00
2000/04/19	10.15	10.29	10.05	10.23	1968600	37810504.00
2000/04/20	10.21	10.26	10.01	10.14	2542600	48427560.00
2000/04/21	10.14	10.32	9.93	10.00	3181600	60677700.00
2000/04/24	9.99	10.04	9.60	9.66	4293600	78950896.00
2000/04/25	9.66	9.76	9.32	9.48	4780100	85679040.00
2000/04/26	9.32	9.60	9.32	9.37	2279800	40699652.00
2000/04/27	9.39	9.78	9.39	9.55	2658300	48435036.00
2000/05/08	9.82	10.08	9.63	9.66	2092400	38944440.00
2000/05/09	9.71	9.82	9.43	9.49	1388900	25008064.00
2000/05/10	9.42	9.49	9.05	9.11	1867200	32621616.00
2000/05/11	9.11	9.25	8.75	8.82	2153700	36525080.00
2000/05/12	8.83	9.00	8.56	8.58	2357200	38969060.00
2000/05/15	8.58	8.63	8.29	8.37	1318400	20984108.00
2000/05/16	8.40	8.56	8.38	8.42	1194800	19230146.00
2000/05/17	8.46	8.92	8.45	8.61	2025600	33629520.00
2000/05/18	8.61	8.72	8.45	8.72	1558800	25481076.00
2000/05/19	8.74	8.87	8.67	8.81	1971100	32932162.00
2000/05/22	9.00	9.72	8.83	9.52	5766100	102337120.00
2000/05/23	9.60	9.69	9.32	9.44	3120000	56259076.00
2000/05/24	9.49	10.20	9.44	9.89	6711600	125060064.00
2000/05/25	10.04	10.07	9.77	9.87	3456000	64709724.00
2000/05/26	9.99	9.99	9.55	9.65	2956500	54432192.00
2000/05/29	9.66	9.80	9.49	9.55	2443400	44422288.00
2000/05/30	9.56	9.60	9.26	9.30	2568400	45793272.00
2000/05/31	9.30	9.33	9.13	9.20	2719700	47595396.00
2000/06/01	9.22	9.49	9.21	9.27	1722100	30402184.00
2000/06/02	9.32	9.33	9.05	9.15	2373600	41230828.00
2000/06/05	9.16	9.46	9.04	9.26	3432300	60194740.00
2000/06/06	9.32	9.60	9.32	9.58	2777500	50251312.00
2000/06/07	9.65	9.71	9.35	9.39	2026700	36465352.00
2000/06/08	9.39	9.39	9.14	9.25	2026300	35455272.00
2000/06/09	9.25	9.33	9.10	9.16	1482100	25849954.00
2000/06/12	9.10	9.10	8.94	9.05	2284400	39065240.00
2000/06/13	9.06	9.25	9.00	9.11	1564400	26978568.00
2000/06/14	9.11	9.22	8.97	9.01	1983700	34014020.00
2000/06/15	9.01	9.11	8.94	9.02	1861000	31794520.00
2000/06/16	9.03	9.05	8.94	8.99	2603800	44353584.00
2000/06/19	8.99	9.03	8.78	8.81	2235100	37727152.00
2000/06/20	8.81	9.13	8.78	8.94	2284000	38964132.00
2000/06/21	9.01	9.30	9.01	9.17	2012100	35060160.00
2000/06/22	8.67	9.10	8.67	9.03	7650600	130452240.00
2000/06/23	9.08	9.20	9.00	9.15	4389700	68658608.00
2000/06/26	9.20	9.20	9.01	9.04	3069600	47790204.00
2000/06/27	9.06	9.08	8.79	8.82	2703700	41191504.00
2000/06/28	8.80	8.95	8.79	8.85	2656700	40393296.00
2000/06/29	8.85	8.91	8.72	8.75	2962200	44593624.00
2000/06/30	8.75	9.09	8.75	8.90	1908000	29322584.00
2000/07/03	8.85	8.85	8.66	8.71	2620300	39315312.00
2000/07/04	8.71	8.74	8.65	8.71	1220700	18216204.00
2000/07/05	8.72	8.83	8.68	8.71	1261400	18966728.00
2000/07/06	8.72	8.72	8.59	8.60	1409900	20895230.00
2000/07/07	8.66	9.00	8.59	8.83	4268200	64827968.00
2000/07/10	8.85	8.94	8.66	8.72	1891100	28432172.00
2000/07/11	8.73	9.03	8.60	8.98	2418700	36813228.00
2000/07/12	9.09	9.15	9.03	9.03	3329700	52014320.00
2000/07/13	9.06	9.45	9.03	9.40	6310600	100929600.00
2000/07/14	9.42	9.54	9.18	9.25	2753600	43996912.00
2000/07/17	9.27	9.27	9.09	9.10	1724300	26998996.00
2000/07/18	9.14	9.21	9.03	9.18	1172200	18307690.00
2000/07/19	9.26	9.32	9.10	9.15	1186800	18732402.00
2000/07/20	9.15	9.18	9.03	9.04	1063100	16550777.00
2000/07/21	9.04	9.04	8.88	8.92	1417700	21762230.00
2000/07/24	8.89	8.89	8.76	8.79	1875200	28313386.00
2000/07/25	8.79	8.89	8.74	8.82	1868400	28230052.00
2000/07/26	8.85	9.12	8.85	8.97	1280400	19760216.00
2000/07/27	9.09	9.11	8.82	8.85	1826900	27910412.00
2000/07/28	8.85	9.03	8.79	8.86	1700100	25945202.00
2000/07/31	8.85	8.88	8.72	8.86	2483800	37426896.00
2000/08/01	8.85	9.10	8.85	8.97	916400	14143908.00
2000/08/02	9.00	9.21	8.97	9.16	2219400	34565584.00
2000/08/03	9.16	9.18	9.08	9.13	1715700	26842072.00
2000/08/04	9.14	9.39	9.13	9.18	4938500	78512112.00
2000/08/07	9.20	9.53	9.20	9.50	7657600	123746104.00
2000/08/08	9.54	9.62	9.41	9.44	4598200	75034496.00
2000/08/09	9.45	9.57	9.43	9.52	3974600	64654308.00
2000/08/10	9.56	9.97	9.56	9.87	12661600	213057840.00
2000/08/11	9.87	9.99	9.73	9.78	9239300	156380784.00
2000/08/14	9.84	9.93	9.66	9.72	4109700	69042792.00
2000/08/15	9.72	9.78	9.44	9.55	3487200	57352960.00
2000/08/16	9.55	9.60	9.45	9.53	2474400	40374452.00
2000/08/17	9.54	9.74	9.54	9.56	1991000	32760690.00
2000/08/18	9.63	9.81	9.62	9.70	3256200	54203312.00
2000/08/21	9.76	9.86	9.60	9.62	2530900	42021716.00
2000/08/22	9.69	9.72	9.45	9.45	2330200	38157552.00
2000/08/23	9.42	9.54	8.97	9.33	4105000	65528144.00
2000/08/24	9.38	9.66	9.34	9.61	3034100	49358496.00
2000/08/25	9.63	9.78	9.52	9.63	3548600	58713524.00
2000/08/28	9.63	9.75	9.54	9.67	1710300	28250308.00
2000/08/29	9.69	9.72	9.54	9.56	1384300	22772980.00
2000/08/30	9.56	9.60	9.36	9.37	1821500	29440066.00
2000/08/31	9.33	9.35	9.06	9.09	2405900	37961832.00
2000/09/01	9.03	9.20	8.97	9.03	1666500	25938062.00
2000/09/04	9.03	9.08	8.85	8.99	1126900	17328416.00
2000/09/05	9.01	9.04	8.72	8.75	1590800	24210380.00
2000/09/06	8.72	8.82	8.59	8.61	1519800	22635954.00
2000/09/07	8.63	8.88	8.63	8.69	961100	14398732.00
2000/09/08	8.72	8.90	8.66	8.74	840900	12675541.00
2000/09/11	8.83	8.83	8.69	8.72	784700	11771424.00
2000/09/12	8.72	8.79	8.61	8.67	999300	14885038.00
2000/09/13	8.67	8.80	8.67	8.80	794300	11946291.00
2000/09/14	8.82	8.84	8.66	8.70	889500	13357672.00
2000/09/15	8.72	8.72	8.60	8.63	830200	12328507.00
2000/09/18	8.63	8.63	8.39	8.40	1204800	17610726.00
2000/09/19	8.27	8.33	7.98	8.07	1707100	23922164.00
2000/09/20	8.06	8.24	8.06	8.15	633900	8875204.00
2000/09/21	8.18	8.21	8.06	8.06	590800	8279462.00
2000/09/22	8.06	8.07	7.93	7.95	834700	11496206.00
2000/09/25	7.94	8.01	7.91	7.95	428800	5891122.00
2000/09/26	8.00	8.11	8.00	8.09	316000	4395894.00
2000/09/27	8.12	8.21	8.11	8.20	567000	7961588.00
2000/09/28	8.15	8.31	8.12	8.17	439900	6218938.00
2000/09/29	8.17	8.28	8.17	8.25	426000	6059342.00
2000/10/09	8.24	8.42	8.13	8.19	560700	7941240.00
2000/10/10	8.21	8.35	8.20	8.24	527000	7490982.00
2000/10/11	8.26	8.27	8.15	8.16	766600	10837475.00
2000/10/12	8.16	8.16	8.03	8.04	691100	9599048.00
2000/10/13	8.05	8.27	7.99	8.11	1047400	14609450.00
2000/10/16	8.12	8.14	7.88	7.93	907000	12524915.00
2000/10/17	7.94	8.00	7.81	7.92	753100	10254536.00
2000/10/18	7.92	8.11	7.92	8.00	515900	7136342.00
2000/10/19	8.06	8.15	7.99	7.99	536500	7469937.00
2000/10/20	8.00	8.39	8.00	8.39	2299500	32791990.00
2000/10/23	8.42	8.48	8.27	8.28	1283200	18448744.00
2000/10/24	8.30	8.33	8.15	8.18	639200	9038795.00
2000/10/25	8.18	8.30	8.12	8.18	1391800	19658024.00
2000/10/26	8.33	8.84	8.33	8.42	4632300	68596288.00
2000/10/27	8.42	8.56	8.40	8.42	1467500	21349390.00
2000/10/30	8.43	8.54	8.42	8.43	845000	12329261.00
2000/10/31	8.45	8.48	8.19	8.23	880300	12603950.00
2000/11/01	8.23	8.30	8.20	8.28	852800	12111358.00
2000/11/03	8.42	8.46	8.19	8.22	788300	11218737.00
2000/11/06	8.22	8.30	8.18	8.22	763600	10820685.00
2000/11/07	8.24	8.24	8.13	8.18	1082300	15264986.00
2000/11/08	8.18	8.30	8.16	8.30	1352500	19111662.00
2000/11/09	8.33	8.60	8.33	8.56	2285700	33349860.00
2000/11/10	8.59	9.09	8.47	8.82	8639200	131783448.00
2000/11/13	8.89	8.98	8.79	8.85	3405600	51795776.00
2000/11/14	8.85	8.89	8.66	8.80	1940800	29164862.00
2000/11/15	8.80	8.92	8.70	8.75	1877600	28340000.00
2000/11/16	8.72	8.83	8.71	8.78	1544700	23246722.00
2000/11/17	8.79	8.87	8.66	8.71	1699700	25528580.00
2000/11/20	8.72	8.75	8.55	8.62	1349000	19969804.00
2000/11/21	8.62	8.79	8.57	8.63	1206900	17972082.00
2000/11/22	8.60	8.65	8.45	8.60	1901600	27947628.00
2000/11/23	8.63	8.72	8.50	8.63	1767100	26150278.00
2000/11/24	8.72	8.72	8.42	8.43	1763300	25917854.00
2000/11/27	8.30	8.42	8.24	8.30	1446200	20731556.00
2000/11/28	8.42	8.45	8.30	8.36	688100	9907968.00
2000/11/29	8.40	8.68	8.36	8.47	1578000	23107652.00
2000/11/30	8.48	8.51	8.33	8.36	743800	10720092.00
2000/12/01	8.37	8.43	8.30	8.34	1002300	14384767.00
2000/12/04	8.36	8.36	8.24	8.26	1669400	23776284.00
2000/12/05	8.26	8.29	8.19	8.24	1523600	21613424.00
2000/12/06	8.24	8.36	8.24	8.26	1163100	16543830.00
2000/12/07	8.26	8.43	8.24	8.30	973400	13929001.00
2000/12/08	8.30	8.30	8.19	8.21	1493200	21147566.00
2000/12/11	8.20	8.20	8.03	8.06	1190000	16552017.00
2000/12/12	8.06	8.18	8.00	8.18	1003300	13929887.00
2000/12/13	8.23	8.23	8.10	8.10	625400	8758653.00
2000/12/14	8.05	8.09	8.03	8.04	684300	9493396.00
2000/12/15	8.06	8.10	8.00	8.03	1122000	15540250.00
2000/12/18	8.02	8.06	7.92	8.06	869800	11944223.00
2000/12/19	8.07	8.15	8.03	8.04	540800	7541950.00
2000/12/20	8.04	8.19	7.97	8.18	909900	12684900.00
2000/12/21	8.19	8.30	8.10	8.12	952100	13431471.00
2000/12/22	8.12	8.12	7.97	7.99	1601400	22127840.00
2000/12/25	7.98	8.00	7.91	7.95	1374800	18840820.00
2000/12/26	7.97	8.05	7.91	7.97	1452700	19935276.00
2000/12/27	7.97	8.00	7.93	7.95	1091700	14984143.00
2000/12/28	7.95	8.00	7.93	7.97	969700	13323593.00
2000/12/29	7.98	8.17	7.98	8.16	844000	11813437.00
2001/01/02	8.17	8.24	8.09	8.23	1221100	17162560.00
2001/01/03	8.27	8.41	8.18	8.36	1660800	23645472.00
2001/01/04	8.39	8.39	8.12	8.15	1224000	17425272.00
2001/01/05	8.15	8.15	8.05	8.08	1256600	17483066.00
2001/01/08	8.08	8.08	7.88	7.92	2041400	27951896.00
2001/01/09	7.92	8.03	7.91	7.95	956100	13132525.00
2001/01/10	7.97	8.08	7.91	7.99	1031300	14213239.00
2001/01/11	8.00	8.07	7.97	8.01	1073200	14852270.00
2001/01/12	8.01	8.03	7.93	7.95	1038700	14249328.00
2001/01/15	7.91	7.93	7.63	7.64	2029400	27344092.00
2001/01/16	7.57	7.75	7.52	7.67	1405700	18547060.00
2001/01/17	7.70	8.11	7.70	7.85	1205100	16468263.00
2001/01/18	7.85	7.95	7.82	7.87	559700	7596819.00
2001/01/19	7.88	7.95	7.88	7.95	674800	9225587.00
2001/02/05	7.95	7.95	7.73	7.76	531700	7187363.00
2001/02/06	7.76	7.76	7.52	7.67	528400	6974573.00
2001/02/07	7.70	7.82	7.58	7.60	445500	5870911.00
2001/02/08	7.61	7.64	7.28	7.32	1212700	15622215.00
2001/02/09	7.32	7.52	7.32	7.40	717800	9200692.00
2001/02/12	7.40	7.46	7.28	7.36	774800	9862498.00
2001/02/13	7.34	7.46	7.31	7.43	566300	7259074.00
2001/02/14	7.40	7.42	7.37	7.42	274100	3510007.00
2001/02/15	7.43	7.43	7.32	7.34	379300	4841834.00
2001/02/16	7.34	7.34	7.11	7.18	835600	10413874.00
2001/02/19	7.21	7.55	7.18	7.43	578500	7339151.00
2001/02/20	7.52	7.64	7.32	7.33	1256200	16330143.00
2001/02/21	7.21	7.28	6.91	6.99	2338300	28570224.00
2001/02/22	6.91	7.03	6.73	6.93	1103000	13190268.00
2001/02/23	6.93	7.18	6.93	7.15	735100	8927329.00
2001/02/26	7.16	7.18	7.03	7.12	699500	8576502.00
2001/02/27	7.12	7.33	7.12	7.32	1290700	16211873.00
2001/02/28	7.40	7.57	7.22	7.32	1337300	17153760.00
2001/03/01	7.34	7.52	7.34	7.52	1397100	18011994.00
2001/03/02	7.57	7.61	7.49	7.54	1008700	13119239.00
2001/03/05	7.54	7.60	7.46	7.51	936600	12162760.00
2001/03/06	7.46	7.46	7.34	7.40	752300	9630550.00
2001/03/07	7.40	7.41	7.33	7.34	591400	7536617.00
2001/03/08	7.34	7.43	7.32	7.33	602000	7666796.00
2001/03/09	7.34	7.76	7.34	7.55	2694500	35447372.00
2001/03/12	7.52	7.55	7.39	7.43	617100	7964447.00
2001/03/13	7.40	7.42	7.37	7.40	636600	8144101.00
2001/03/14	7.40	7.46	7.34	7.43	471000	6027175.00
2001/03/15	7.44	7.52	7.40	7.41	460700	5938081.00
2001/03/16	7.41	7.42	7.32	7.38	1249500	15919445.00
2001/03/19	7.37	7.37	7.28	7.34	888600	11248816.00
2001/03/20	7.34	7.49	7.34	7.41	572500	7346875.00
