600603 广汇物流 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	5.91	6.12	5.90	6.10	1400800	19873510.00
2000/01/05	6.10	6.71	6.00	6.42	7043100	107845504.00
2000/01/06	6.34	6.63	6.27	6.61	2145300	32499732.00
2000/01/07	6.61	6.93	6.51	6.71	7018700	110908752.00
2000/01/10	6.73	6.93	6.59	6.77	5804700	92433640.00
2000/01/11	6.67	7.20	6.67	6.77	8813200	144533360.00
2000/01/12	6.79	6.96	6.41	6.41	4458000	69638344.00
2000/01/13	6.44	6.71	6.37	6.40	2313000	35166980.00
2000/01/14	6.46	6.51	6.08	6.17	2016100	29624910.00
2000/01/17	6.12	6.71	6.12	6.35	1592300	23879340.00
2000/01/18	6.30	6.34	6.12	6.29	2086300	30543300.00
2000/01/19	6.29	6.29	6.16	6.22	977200	14310871.00
2000/01/20	6.21	6.34	6.16	6.28	2003400	29349476.00
2000/01/21	6.31	6.55	6.16	6.34	3979600	59203292.00
2000/01/24	6.27	6.63	6.22	6.58	4062400	61511372.00
2000/01/25	6.59	7.08	6.57	6.86	15357700	249588736.00
2000/01/26	6.80	6.92	6.63	6.75	5287700	84359272.00
2000/01/27	6.76	6.95	6.67	6.79	6247400	100343056.00
2000/01/28	6.84	7.22	6.72	7.08	11013200	182879152.00
2000/02/14	7.22	7.79	7.22	7.79	13094400	234114576.00
2000/02/15	7.90	8.50	7.49	7.57	14521200	275793600.00
2000/02/16	7.65	8.20	7.61	7.97	12555600	232973856.00
2000/02/17	8.12	8.56	7.18	7.18	19737800	368740768.00
2000/02/18	7.31	7.87	7.23	7.86	17752500	316383168.00
2000/02/21	8.06	8.65	8.06	8.65	26240100	528724832.00
2000/02/22	8.98	9.51	8.30	8.48	40083300	865131456.00
2000/02/23	8.46	8.69	7.64	7.64	17050300	320309248.00
2000/02/24	7.57	7.80	7.19	7.70	13308900	236538384.00
2000/02/25	7.74	7.76	7.43	7.63	8573300	152263520.00
2000/02/28	7.57	8.06	7.57	7.80	12033500	221981648.00
2000/02/29	7.87	8.58	7.87	8.58	22383100	440791168.00
2000/03/01	8.72	9.14	8.19	8.29	14029400	285999776.00
2000/03/02	8.29	8.72	7.99	8.23	9356900	182584288.00
2000/03/03	8.33	8.65	8.29	8.42	10070200	200022464.00
2000/03/06	8.59	8.74	7.78	7.82	11121000	216523296.00
2000/03/07	7.74	7.95	7.57	7.70	5255900	95585072.00
2000/03/08	7.77	7.98	7.62	7.86	4742700	87221256.00
2000/03/09	7.87	8.03	7.65	7.84	4034900	74224176.00
2000/03/10	7.85	7.91	7.49	7.57	6383500	115398960.00
2000/03/13	7.57	7.78	7.47	7.60	4719100	84494328.00
2000/03/14	7.44	7.90	7.33	7.74	7528100	134864256.00
2000/03/15	7.70	7.78	7.47	7.63	3883600	69304064.00
2000/03/16	7.65	7.65	7.06	7.30	3512500	60610964.00
2000/03/17	7.24	7.57	7.23	7.52	2600100	45274988.00
2000/03/20	7.44	8.03	7.23	7.91	7696000	141939376.00
2000/03/21	7.87	8.20	7.82	8.03	7863700	148414240.00
2000/03/22	8.03	8.14	7.83	7.91	4969100	92879048.00
2000/03/23	7.91	8.45	7.91	8.28	8401800	161864320.00
2000/03/24	8.37	8.78	8.16	8.37	12516700	250852912.00
2000/03/27	8.30	8.62	8.16	8.29	6420200	125796376.00
2000/03/28	8.33	8.57	7.95	8.00	7537600	147297520.00
2000/03/29	8.20	8.21	7.65	7.83	6286300	115553080.00
2000/03/30	7.91	8.03	7.66	7.90	4242700	78072648.00
2000/03/31	7.95	8.06	7.81	7.91	3923800	73365792.00
2000/04/03	7.78	8.01	7.77	7.80	3353300	62020592.00
2000/04/04	7.74	8.08	7.66	7.93	3522100	65694704.00
2000/04/05	7.91	8.00	7.78	7.89	2298000	42517208.00
2000/04/06	7.90	8.20	7.90	8.15	5977600	113694720.00
2000/04/07	8.28	8.28	7.95	8.03	3525400	66981016.00
2000/04/10	8.08	8.20	7.87	8.08	4151700	78880720.00
2000/04/11	8.09	8.10	7.63	7.66	5491200	100412432.00
2000/04/12	7.67	7.78	7.52	7.57	4830300	86545808.00
2000/04/13	7.59	7.70	7.48	7.55	4437000	79146208.00
2000/04/14	7.57	7.59	7.31	7.58	4797700	83919392.00
2000/04/17	7.44	7.48	7.24	7.33	1694300	29282928.00
2000/04/18	7.33	7.60	7.33	7.41	1714100	30041768.00
2000/04/19	7.44	7.57	7.38	7.43	1786600	31322564.00
2000/04/20	7.44	7.68	7.34	7.57	3790000	67275816.00
2000/04/21	7.65	7.84	7.46	7.57	3076600	55653932.00
2000/04/24	7.58	7.62	7.22	7.35	3368000	58328168.00
2000/04/25	7.36	7.43	7.19	7.21	2211800	37693800.00
2000/04/26	7.39	7.44	7.22	7.35	2005300	34420356.00
2000/04/27	7.36	7.41	7.20	7.22	1731200	29548124.00
2000/04/28	7.27	7.31	7.22	7.29	1334300	22773224.00
2000/05/08	7.31	7.43	7.23	7.39	1257800	21726922.00
2000/05/09	7.38	7.39	7.18	7.26	1376800	23449276.00
2000/05/10	7.23	7.38	7.02	7.19	1603000	27020592.00
2000/05/11	7.14	7.19	6.89	6.93	866700	14305754.00
2000/05/12	6.99	7.02	6.73	6.99	1230400	19889264.00
2000/05/15	6.89	6.98	6.80	6.85	599300	9679392.00
2000/05/16	6.85	6.97	6.82	6.95	581900	9476196.00
2000/05/17	6.95	6.95	6.85	6.87	509200	8249834.00
2000/05/18	6.89	7.07	6.84	7.01	980400	16037026.00
2000/05/19	7.02	7.30	6.97	7.21	1890600	31946148.00
2000/05/22	7.25	7.47	7.15	7.36	3767300	65495336.00
2000/05/23	7.36	7.36	7.19	7.24	1372500	23387320.00
2000/05/24	7.23	7.44	7.14	7.36	2099000	35923024.00
2000/05/25	7.43	7.44	7.29	7.36	1653700	28598264.00
2000/05/26	7.36	7.47	7.30	7.41	2781600	48243592.00
2000/05/29	7.42	7.61	7.33	7.40	2427200	42659204.00
2000/05/30	7.44	7.61	7.30	7.52	3835100	67321776.00
2000/05/31	7.51	7.73	7.45	7.62	4716200	84342368.00
2000/06/01	7.74	8.03	7.65	7.82	8460400	156831648.00
2000/06/02	7.78	7.89	7.61	7.65	3335100	60272280.00
2000/06/05	7.66	7.81	7.32	7.41	3179900	56656684.00
2000/06/06	7.41	7.57	7.36	7.47	1819700	31770400.00
2000/06/07	7.44	7.52	7.36	7.43	1683600	29340992.00
2000/06/08	7.40	7.42	7.27	7.31	1867900	32080636.00
2000/06/09	7.31	7.55	7.31	7.38	1400900	24375580.00
2000/06/12	7.32	7.36	7.20	7.23	1517000	25906446.00
2000/06/13	7.36	7.44	7.23	7.38	1382800	23799724.00
2000/06/14	7.38	7.48	7.33	7.37	1473800	25589956.00
2000/06/15	7.38	7.57	7.23	7.57	3940000	68195984.00
2000/06/16	7.61	7.74	7.40	7.52	3256900	58163444.00
2000/06/19	7.47	7.65	7.36	7.40	1610000	28492232.00
2000/06/20	7.40	7.42	7.27	7.31	1032700	17848940.00
2000/06/21	7.31	7.40	7.28	7.39	954700	16450743.00
2000/06/22	7.36	7.65	7.36	7.46	1008200	17704504.00
2000/06/23	7.47	7.52	7.33	7.38	1150900	19977648.00
2000/06/26	7.40	7.40	7.29	7.31	1771200	30553874.00
2000/06/27	7.31	7.36	7.23	7.26	1985200	33959588.00
2000/06/28	7.28	7.48	7.25	7.46	1927600	33492078.00
2000/06/29	7.48	7.98	7.48	7.56	6021700	108513024.00
2000/07/03	7.47	7.58	7.36	7.38	1170200	20515280.00
2000/07/04	7.36	7.46	7.31	7.42	616700	10702458.00
2000/07/05	7.44	7.60	7.43	7.54	1185900	20953196.00
2000/07/06	7.54	7.57	7.36	7.39	1123300	19688944.00
2000/07/07	7.39	7.45	7.24	7.36	2284200	32742698.00
2000/07/10	7.37	7.42	7.24	7.28	1958000	27933914.00
2000/07/11	7.29	7.65	7.28	7.64	7009500	101942568.00
2000/07/12	7.64	7.65	7.40	7.52	3084500	45654504.00
2000/07/13	7.52	7.58	7.40	7.42	2771100	40703392.00
2000/07/14	7.44	7.76	7.44	7.68	4120200	61620800.00
2000/07/17	7.88	7.91	7.69	7.76	4621400	70598144.00
2000/07/18	7.78	7.86	7.70	7.83	2362600	36095600.00
2000/07/19	7.91	7.96	7.80	7.82	5742900	88780360.00
2000/07/20	7.83	7.88	7.64	7.71	2521200	38076864.00
2000/07/21	7.78	7.93	7.73	7.76	1829600	28055192.00
2000/07/24	7.85	7.90	7.76	7.82	1537300	23525702.00
2000/07/25	7.83	7.94	7.81	7.85	2038700	31438288.00
2000/07/26	7.86	7.91	7.79	7.85	2306100	35446120.00
2000/07/27	7.86	7.90	7.64	7.69	2927800	44375908.00
2000/07/28	7.65	7.70	7.54	7.58	2698300	40149784.00
2000/07/31	7.60	7.63	7.44	7.50	2518800	36994348.00
2000/08/01	7.55	7.65	7.47	7.55	1294200	19169788.00
2000/08/02	7.50	7.60	7.50	7.58	1274700	18872488.00
2000/08/03	7.59	7.64	7.48	7.51	1583200	23373124.00
2000/08/04	7.50	7.55	7.40	7.46	1571200	22933056.00
2000/08/07	7.41	7.54	7.35	7.53	1094800	15965053.00
2000/08/08	7.55	7.63	7.53	7.53	1387000	20562608.00
2000/08/09	7.60	7.60	7.42	7.48	1901800	27870536.00
2000/08/10	7.50	7.69	7.44	7.68	3578000	52828016.00
2000/08/11	7.65	7.90	7.58	7.78	6045400	92160928.00
2000/08/14	7.80	7.81	7.65	7.67	2047900	30932988.00
2000/08/15	7.68	7.74	7.55	7.58	1506600	22610068.00
2000/08/16	7.58	7.65	7.53	7.57	1589400	23587668.00
2000/08/17	7.62	7.67	7.58	7.63	1381300	20627886.00
2000/08/18	7.63	7.73	7.59	7.62	1740700	26099940.00
2000/08/21	7.63	7.66	7.53	7.58	2191200	32504708.00
2000/08/22	7.63	8.01	7.56	7.76	10559400	162588000.00
2000/08/23	7.76	8.53	7.71	8.29	31137700	498330272.00
2000/08/24	8.30	8.44	8.16	8.36	13793400	225002720.00
2000/08/25	8.46	8.47	8.13	8.27	6791500	109756704.00
2000/08/28	8.28	8.56	8.21	8.47	6712600	110820960.00
2000/08/29	8.47	8.78	8.36	8.41	8548100	143884640.00
2000/08/30	8.41	8.46	8.15	8.16	6315500	102319344.00
2000/08/31	8.16	8.37	8.10	8.14	5789100	93658112.00
2000/09/01	8.11	8.24	7.83	7.98	5078100	80194696.00
2000/09/04	7.96	8.12	7.91	8.01	2158200	33900536.00
2000/09/05	8.02	8.29	7.91	8.03	3157800	50407580.00
2000/09/06	7.94	8.12	7.80	7.94	2152100	33653288.00
2000/09/07	7.96	8.11	7.88	7.97	1780000	27939530.00
2000/09/08	8.01	8.42	8.01	8.36	6550600	106147960.00
2000/09/11	8.45	8.57	8.24	8.39	4120100	68059200.00
2000/09/12	8.42	8.44	8.16	8.29	2597900	42180080.00
2000/09/13	8.32	8.76	8.29	8.56	10133400	170784192.00
2000/09/14	8.60	8.72	8.52	8.62	5617400	94982152.00
2000/09/15	8.65	8.67	8.42	8.47	3062200	51150432.00
2000/09/18	8.47	8.55	8.26	8.28	2654800	43729768.00
2000/09/19	8.21	8.26	7.91	8.11	3295500	52428716.00
2000/09/20	8.11	8.16	7.94	8.14	1661800	26241600.00
2000/09/21	8.07	8.14	7.76	7.78	2576300	39979152.00
2000/09/22	7.76	7.83	7.63	7.65	2699900	40788760.00
2000/09/25	7.63	7.75	7.55	7.57	1392200	20771160.00
2000/09/26	7.61	7.76	7.58	7.65	835200	12544820.00
2000/09/27	7.68	7.77	7.58	7.74	998200	14989748.00
2000/09/28	7.76	7.77	7.57	7.58	1279800	19087014.00
2000/09/29	7.60	7.79	7.60	7.79	834300	12602493.00
2000/10/09	7.76	7.76	7.61	7.70	810100	12190389.00
2000/10/10	7.70	7.87	7.68	7.83	983700	15026075.00
2000/10/11	7.83	7.93	7.76	7.77	1101300	16940622.00
2000/10/12	7.76	7.90	7.64	7.66	1493300	22590952.00
2000/10/13	7.65	7.88	7.62	7.69	1565600	23683416.00
2000/10/16	7.68	7.68	7.40	7.41	2000200	29487748.00
2000/10/17	7.42	7.59	7.40	7.48	1210400	17685356.00
2000/10/18	7.50	7.54	7.42	7.47	1053300	15460724.00
2000/10/19	7.55	7.57	7.47	7.47	668600	9828979.00
2000/10/20	7.44	7.63	7.40	7.58	1082800	15947939.00
2000/10/23	7.62	7.62	7.53	7.60	997800	14812208.00
2000/10/24	7.60	7.74	7.58	7.70	811800	12231630.00
2000/10/25	7.66	7.76	7.65	7.69	1307800	19720580.00
2000/10/26	7.70	7.75	7.53	7.57	1289200	19233166.00
2000/10/27	7.58	7.60	7.49	7.53	1733600	25547440.00
2000/10/30	7.54	7.65	7.45	7.60	1157900	17032992.00
2000/10/31	7.55	7.63	7.49	7.52	735100	10865397.00
2000/11/01	7.51	7.59	7.47	7.53	1021200	15038532.00
2000/11/02	7.60	7.69	7.50	7.59	1078700	16016691.00
2000/11/03	7.59	7.63	7.52	7.59	872400	12915566.00
2000/11/06	7.60	7.61	7.53	7.60	973600	14438025.00
2000/11/07	7.58	7.73	7.56	7.63	1122400	16793860.00
2000/11/08	7.65	7.78	7.60	7.73	1177500	17759292.00
2000/11/09	7.76	7.81	7.69	7.78	1517700	23103196.00
2000/11/10	7.78	8.06	7.78	7.96	3363000	52286276.00
2000/11/13	8.01	8.13	7.88	7.99	2913300	45622064.00
2000/11/14	8.04	8.04	7.84	7.91	2049400	31704192.00
2000/11/15	7.93	7.95	7.81	7.88	1814500	27973704.00
2000/11/16	7.88	8.01	7.81	7.93	2878800	44657328.00
2000/11/17	7.93	8.01	7.79	7.79	1790800	27554126.00
2000/11/20	7.76	7.83	7.66	7.77	1483700	22482284.00
2000/11/21	7.78	7.88	7.71	7.74	1187200	18129268.00
2000/11/22	7.74	7.91	7.74	7.86	1363000	20913664.00
2000/11/23	7.91	8.05	7.86	7.90	1941000	30274160.00
2000/11/24	7.90	7.96	7.65	7.71	2090000	32149612.00
2000/11/27	7.65	7.70	7.53	7.58	1590100	23666632.00
2000/11/28	7.58	7.68	7.56	7.66	852200	12755932.00
2000/11/29	7.66	7.68	7.55	7.59	1283700	19078596.00
2000/11/30	7.60	7.61	7.53	7.55	1169800	17333492.00
