600606 绿地控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	2.22	2.40	2.14	2.40	352000	7559226.00
2000/01/05	2.07	2.51	2.07	2.43	296300	6597730.00
2000/01/06	2.45	2.55	2.42	2.53	416100	9455826.00
2000/01/07	2.63	2.91	2.55	2.91	1081900	26660348.00
2000/01/10	3.03	3.33	2.91	3.20	1170500	31060514.00
2000/01/11	3.16	3.17	2.91	2.94	366700	9371036.00
2000/01/12	2.95	3.01	2.83	2.89	290600	7292443.00
2000/01/13	2.88	2.91	2.82	2.89	148200	3700583.00
2000/01/14	2.94	3.03	2.91	3.02	400200	10312639.00
2000/01/17	3.03	3.18	2.98	3.17	271300	7102693.00
2000/01/18	3.14	3.37	3.14	3.32	320600	8759339.00
2000/01/19	3.50	3.63	3.43	3.56	477800	13807060.00
2000/01/20	3.53	3.72	3.43	3.72	525700	15269186.00
2000/01/21	3.70	4.07	3.65	3.99	718800	22502304.00
2000/01/24	3.99	4.52	3.95	4.47	870800	29368204.00
2000/01/25	4.52	4.52	4.12	4.21	302800	10207583.00
2000/01/26	4.19	4.28	4.14	4.24	281300	9288355.00
2000/01/27	4.26	4.69	4.24	4.68	639000	22070744.00
2000/01/28	4.69	4.90	4.35	4.68	414400	14900628.00
2000/02/14	4.77	5.26	4.77	5.26	544100	20898044.00
2000/02/15	5.35	5.91	5.35	5.58	711900	30310252.00
2000/02/16	5.64	6.05	5.51	5.96	880500	37708692.00
2000/02/17	6.17	6.45	5.26	5.35	1072400	46185276.00
2000/02/18	5.51	6.00	5.31	6.00	1016400	43273520.00
2000/02/21	6.73	6.73	6.50	6.73	4650700	225037776.00
2000/02/22	7.07	7.52	6.35	7.52	5225500	272464544.00
2000/02/23	7.98	8.40	7.03	7.61	5002400	276875168.00
2000/02/24	7.39	7.73	6.73	7.70	3029700	153885456.00
2000/02/25	7.56	7.60	6.81	6.86	5345000	270424512.00
2000/02/28	6.79	7.42	6.67	7.32	3661200	186484896.00
2000/02/29	7.32	7.49	6.74	6.82	2857800	142558880.00
2000/03/01	6.84	6.93	6.25	6.42	2081900	97347832.00
2000/03/02	6.33	6.86	6.25	6.61	1116200	53053980.00
2000/03/03	6.78	6.99	6.59	6.86	1287200	62928920.00
2000/03/06	6.99	7.05	6.30	6.32	1234000	58792700.00
2000/03/07	6.25	7.07	6.17	6.92	1892800	92311400.00
2000/03/08	6.89	7.12	6.70	6.99	946600	47204824.00
2000/03/09	7.05	7.16	6.82	6.85	668800	33192484.00
2000/03/10	6.89	7.47	6.84	7.06	1561500	79422144.00
2000/03/13	7.12	7.89	7.11	7.80	2702000	146165280.00
2000/03/14	7.49	7.65	6.89	7.42	2811100	144765488.00
2000/03/15	7.39	7.39	7.07	7.14	996300	51128964.00
2000/03/16	7.07	7.07	6.38	6.60	1242200	60025596.00
2000/03/17	6.50	7.07	6.50	6.96	1026700	50496064.00
2000/03/20	6.83	7.12	6.70	7.06	699300	34753264.00
2000/03/21	7.06	7.48	6.91	7.29	927100	47628184.00
2000/03/22	7.34	7.65	7.23	7.38	899400	47313968.00
2000/03/23	7.38	7.58	7.35	7.57	866200	45832912.00
2000/03/27	7.47	7.47	6.99	7.07	1045600	53242076.00
2000/03/28	7.07	7.21	6.91	6.97	573700	28675324.00
2000/03/29	6.97	7.25	6.88	6.98	429700	21661520.00
2000/03/30	7.04	7.24	6.79	6.84	802800	39505176.00
2000/03/31	6.83	6.91	6.60	6.82	653700	31534488.00
2000/04/03	6.67	6.81	6.50	6.56	511100	24341676.00
2000/04/04	6.53	6.73	6.42	6.66	415800	19692244.00
2000/04/05	6.83	7.18	6.79	7.04	794300	39847456.00
2000/04/06	6.99	7.12	6.91	6.98	456300	22822916.00
2000/04/07	6.99	7.05	6.73	6.91	677800	33215244.00
2000/04/10	6.96	7.05	6.74	6.99	634000	31444736.00
2000/04/11	6.99	7.60	6.89	7.37	3038700	83618352.00
2000/04/12	7.41	7.45	6.92	6.99	1193500	31856104.00
2000/04/13	6.99	7.08	6.83	6.88	987500	25689016.00
2000/04/14	6.88	6.88	6.57	6.70	1307000	33005336.00
2000/04/17	6.51	6.51	6.27	6.30	1010600	24520336.00
