600612 老凤祥 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	-1.49	-1.38	-1.54	-1.40	85600	873256.00
2000/01/05	-1.42	-1.24	-1.49	-1.33	322400	3363787.00
2000/01/06	-1.33	-1.25	-1.43	-1.26	237400	2498261.00
2000/01/07	-1.21	-1.07	-1.26	-1.13	538600	5843723.00
2000/01/10	-1.11	-1.03	-1.28	-1.05	672100	7310755.00
2000/01/11	-1.04	-1.04	-1.28	-1.26	562400	6058729.00
2000/01/12	-1.28	-1.24	-1.41	-1.37	249300	2604588.00
2000/01/13	-1.42	-1.36	-1.47	-1.41	126400	1295220.00
2000/01/14	-1.39	-1.39	-1.54	-1.50	151600	1536209.00
2000/01/17	-1.50	-1.43	-1.53	-1.45	149900	1516634.00
2000/01/18	-1.45	-1.43	-1.50	-1.48	109200	1107262.00
2000/01/19	-1.50	-1.45	-1.52	-1.49	145200	1470361.00
2000/01/20	-1.49	-1.36	-1.49	-1.42	153400	1578909.00
2000/01/21	-1.42	-1.41	-1.71	-1.46	412700	4177861.00
2000/01/24	-1.46	-1.46	-1.60	-1.55	439200	4359505.00
2000/01/25	-1.54	-1.42	-1.55	-1.49	289700	2937426.00
2000/01/26	-1.47	-1.32	-1.47	-1.38	346700	3584514.00
2000/01/27	-1.36	-1.27	-1.42	-1.28	660400	6910477.00
2000/01/28	-1.25	-1.15	-1.30	-1.21	666400	7161694.00
2000/02/14	-1.19	-0.75	-1.19	-0.75	1780100	20644406.00
2000/02/15	-0.64	-0.47	-0.86	-0.82	1903300	22934294.00
2000/02/16	-0.83	-0.46	-0.85	-0.54	2047600	24612660.00
2000/02/17	-0.51	-0.42	-0.78	-0.77	1759100	21085908.00
2000/02/18	-0.85	-0.63	-0.89	-0.72	721800	8486622.00
2000/02/21	-0.72	-0.54	-0.76	-0.64	1043900	12535464.00
2000/02/22	-0.63	-0.59	-0.73	-0.72	702700	8424533.00
2000/02/23	-0.73	-0.61	-0.78	-0.64	1023800	12301705.00
2000/02/24	-0.59	-0.46	-0.67	-0.54	1979900	24370752.00
2000/02/25	-0.54	-0.16	-0.54	-0.33	3782000	48245232.00
2000/02/28	-0.26	-0.11	-0.42	-0.16	3347400	43667128.00
2000/02/29	-0.04	0.40	-0.24	-0.09	6737200	92737032.00
2000/03/01	-0.05	0.08	-0.42	-0.41	2767500	35626992.00
2000/03/02	-0.37	0.11	-0.38	0.04	3810800	51285240.00
2000/03/03	0.18	0.27	-0.12	0.03	2962400	40723440.00
2000/03/06	0.26	0.62	0.16	0.21	7458500	109792328.00
