600616 金枫酒业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	0.66	0.70	0.64	0.69	296300	2801987.00
2000/01/05	0.70	0.85	0.68	0.82	1129200	11397565.00
2000/01/06	0.79	0.99	0.77	0.99	5678300	62917752.00
2000/01/07	1.02	1.18	0.96	1.18	8863300	107167712.00
2000/01/10	1.38	1.38	1.38	1.38	1382300	18910904.00
2000/01/11	1.60	1.60	1.38	1.40	6092100	86641272.00
2000/01/12	1.38	1.39	1.17	1.17	7798100	98812456.00
2000/01/13	1.10	1.17	1.02	1.02	3102800	36796440.00
2000/01/14	1.03	1.15	1.02	1.05	1902700	22533468.00
2000/01/17	1.06	1.14	0.98	1.11	1870000	21871070.00
2000/01/18	1.10	1.12	0.98	0.98	1499100	17571356.00
2000/01/19	0.98	1.05	0.96	1.05	818200	9342153.00
2000/01/20	1.05	1.13	1.02	1.13	2539600	30084584.00
2000/01/21	1.12	1.29	1.09	1.19	3370100	42551416.00
2000/01/24	1.19	1.29	1.10	1.28	2815700	35453952.00
2000/01/25	1.28	1.36	1.18	1.29	3659500	48104988.00
2000/01/26	1.27	1.31	1.20	1.25	1135000	14651350.00
2000/01/27	1.25	1.35	1.22	1.29	1475000	19417308.00
2000/01/28	1.28	1.35	1.15	1.25	2160400	28191288.00
2000/02/14	1.33	1.46	1.33	1.46	293000	4133398.00
2000/02/15	1.70	1.70	1.70	1.70	1055400	16454590.00
2000/02/16	1.95	1.95	1.95	1.95	2046200	35092348.00
2000/02/17	2.24	2.24	1.76	2.24	5605700	104827816.00
2000/02/18	2.09	2.55	2.02	2.55	6055400	122807064.00
2000/02/21	2.78	2.88	2.20	2.20	4133100	84989584.00
2000/02/22	2.09	2.39	1.93	2.09	2118400	39206400.00
2000/02/23	1.92	2.09	1.80	1.80	1142800	19065420.00
2000/02/24	1.76	1.96	1.76	1.96	1848000	31000706.00
2000/02/25	1.96	1.96	1.77	1.89	1088500	18194802.00
2000/02/28	1.87	2.09	1.76	2.06	1841400	31703216.00
2000/02/29	2.06	2.06	1.86	1.94	1569200	26803104.00
2000/03/01	1.93	1.93	1.80	1.83	948700	15587748.00
2000/03/02	1.85	1.97	1.80	1.89	671700	11152374.00
2000/03/03	1.93	1.95	1.83	1.85	1006700	16793608.00
2000/03/06	1.86	1.91	1.57	1.57	1143300	17923828.00
2000/03/07	1.57	1.69	1.50	1.68	1198700	17980852.00
2000/03/08	1.68	1.68	1.57	1.60	1419300	21353176.00
2000/03/09	1.64	1.79	1.60	1.65	1282400	19778768.00
2000/03/10	1.67	1.80	1.58	1.62	1298900	20075528.00
2000/03/13	1.63	1.65	1.53	1.60	766100	11426412.00
2000/03/14	1.35	1.56	1.35	1.47	1839300	26268376.00
2000/03/15	1.49	1.53	1.47	1.48	550800	7905481.00
2000/03/16	1.49	1.51	1.33	1.35	630300	8701876.00
2000/03/17	1.35	1.45	1.32	1.43	621800	8674143.00
2000/03/20	1.40	1.43	1.35	1.43	775700	10745838.00
2000/03/21	1.48	1.48	1.40	1.46	762400	10711934.00
2000/03/22	1.46	1.60	1.42	1.60	1769600	25881768.00
2000/03/23	1.62	1.68	1.57	1.60	2047000	30975182.00
2000/03/24	1.61	1.66	1.54	1.55	1146900	17250152.00
2000/03/27	1.52	1.58	1.50	1.57	1435300	20830700.00
2000/03/28	1.60	1.66	1.57	1.61	871100	13129101.00
2000/03/29	1.62	1.68	1.61	1.63	1063100	16171987.00
2000/03/30	1.64	1.68	1.60	1.63	1481900	22512036.00
2000/03/31	1.65	1.67	1.43	1.55	719900	10732097.00
2000/04/03	1.54	1.59	1.50	1.55	585300	8572147.00
2000/04/04	1.53	1.56	1.48	1.50	530700	7711915.00
2000/04/05	1.50	1.64	1.50	1.60	1056400	15617715.00
2000/04/06	1.60	1.84	1.60	1.84	5078100	80915968.00
2000/04/07	1.91	1.94	1.79	1.87	3130100	51863440.00
2000/04/10	1.88	1.89	1.74	1.76	1605100	25961456.00
2000/04/11	1.76	1.78	1.69	1.73	1325400	20900688.00
2000/04/12	1.71	1.79	1.71	1.74	1353200	21472940.00
2000/04/13	1.73	1.75	1.68	1.71	896900	14073249.00
2000/04/14	1.71	1.73	1.65	1.66	820700	12739872.00
2000/04/17	1.66	1.66	1.52	1.58	1372100	20385960.00
2000/04/18	1.58	1.63	1.56	1.60	509200	7585074.00
2000/04/19	1.61	1.70	1.61	1.65	662300	10209789.00
2000/04/20	1.66	1.78	1.65	1.71	768600	12103556.00
2000/04/21	1.75	1.85	1.70	1.80	3028200	48903260.00
2000/04/24	1.90	1.97	1.74	1.75	2283300	37898784.00
2000/04/25	1.85	1.85	1.70	1.73	1168900	18722844.00
2000/04/26	1.72	1.78	1.67	1.71	801700	12579053.00
2000/04/27	1.68	1.74	1.67	1.67	526900	8231516.00
2000/04/28	1.67	1.72	1.65	1.71	527400	8165703.00
2000/05/08	1.71	1.74	1.65	1.65	448600	6918111.00
2000/05/09	1.64	1.69	1.60	1.62	551800	8379094.00
2000/05/10	1.62	1.62	1.55	1.57	543400	8059736.00
2000/05/11	1.57	1.60	1.47	1.47	596200	8667585.00
2000/05/12	1.51	1.52	1.40	1.48	919200	12939494.00
2000/05/15	1.44	1.52	1.44	1.50	355600	5070737.00
2000/05/16	1.53	1.61	1.50	1.59	621500	9251225.00
2000/05/17	1.59	1.60	1.55	1.55	394000	5852651.00
2000/05/18	1.55	1.61	1.52	1.60	250600	3710193.00
2000/05/19	1.60	1.66	1.58	1.64	451200	6840605.00
2000/05/22	1.65	1.77	1.63	1.70	1087700	17101168.00
2000/05/23	1.72	1.73	1.61	1.65	1042600	15959717.00
2000/05/24	1.68	1.79	1.66	1.71	1230200	19414864.00
2000/05/25	1.76	1.76	1.70	1.74	768900	12112067.00
2000/05/26	1.74	1.78	1.71	1.76	959000	15267605.00
2000/05/29	1.81	1.90	1.80	1.86	1611400	26640820.00
2000/05/30	1.87	1.89	1.74	1.74	1040800	16951210.00
2000/05/31	1.73	1.77	1.71	1.76	608600	9670438.00
2000/06/01	1.78	1.83	1.74	1.74	557100	8886757.00
2000/06/02	1.75	1.76	1.72	1.73	682700	10800112.00
2000/06/05	1.73	1.73	1.68	1.70	563200	8796349.00
2000/06/06	1.70	1.76	1.69	1.75	305800	4814470.00
2000/06/07	1.75	1.81	1.74	1.75	511800	8213097.00
2000/06/08	1.75	1.76	1.69	1.71	484900	7615913.00
2000/06/09	1.71	1.73	1.66	1.67	351700	5456935.00
2000/06/12	1.66	1.70	1.63	1.68	203700	3115637.00
2000/06/13	1.68	1.71	1.66	1.68	391900	6058032.00
2000/06/14	1.69	1.75	1.69	1.71	573400	9001479.00
2000/06/15	1.71	1.80	1.70	1.79	832100	13298201.00
2000/06/16	1.80	1.86	1.73	1.76	1479200	24170584.00
2000/06/19	1.80	1.81	1.76	1.77	637500	10259462.00
2000/06/21	1.78	1.82	1.76	1.77	338900	5482117.00
2000/06/22	1.78	1.79	1.72	1.72	361900	5738901.00
2000/06/23	1.74	1.76	1.72	1.75	392700	6227671.00
2000/06/26	1.76	1.81	1.75	1.76	519600	8381652.00
2000/06/27	1.77	1.84	1.75	1.81	625800	10150533.00
2000/06/28	1.81	1.84	1.77	1.77	467000	7566066.00
2000/06/29	1.77	1.77	1.69	1.71	696800	10993169.00
2000/06/30	1.70	1.74	1.69	1.70	417500	6544657.00
2000/07/03	1.69	1.74	1.66	1.73	309100	4845123.00
2000/07/04	1.73	1.78	1.69	1.71	405600	6395614.00
2000/07/05	1.72	1.74	1.66	1.66	309700	4794394.00
2000/07/06	1.65	1.67	1.64	1.65	240200	3664850.00
2000/07/07	1.68	1.69	1.66	1.68	330200	5079338.00
2000/07/10	1.71	1.77	1.69	1.73	803700	12596967.00
2000/07/11	1.76	1.78	1.73	1.78	1284800	20462260.00
2000/07/12	1.82	1.86	1.76	1.80	385500	5493538.00
2000/07/13	1.81	1.84	1.78	1.78	296300	4191310.00
2000/07/14	1.78	1.82	1.77	1.78	310900	4396983.00
2000/07/17	1.80	1.80	1.72	1.76	297700	4150689.00
2000/07/18	1.76	1.83	1.76	1.80	304900	4292125.00
2000/07/19	1.83	1.84	1.80	1.81	423100	6029930.00
2000/07/20	1.84	1.84	1.80	1.82	467000	6658964.00
2000/07/21	1.82	1.85	1.82	1.84	350300	5027836.00
2000/07/24	1.85	1.86	1.80	1.81	364400	5221343.00
2000/07/25	1.80	1.83	1.78	1.82	286000	4066695.00
2000/07/26	1.82	1.85	1.82	1.85	308600	4435860.00
2000/07/27	1.89	1.96	1.87	1.89	769200	11311108.00
2000/07/28	1.89	1.93	1.86	1.86	351500	5096990.00
2000/07/31	1.87	1.90	1.85	1.85	260100	3764870.00
2000/08/01	1.86	1.88	1.83	1.84	246500	3559190.00
2000/08/02	1.84	1.85	1.83	1.84	170800	2456574.00
2000/08/03	1.85	1.85	1.80	1.82	504700	7176505.00
2000/08/04	1.83	1.84	1.77	1.79	449000	6337736.00
2000/08/07	1.82	1.83	1.78	1.79	384400	5441644.00
2000/08/08	1.81	1.87	1.80	1.85	577100	8260329.00
2000/08/09	1.89	1.89	1.82	1.84	351900	5054592.00
2000/08/10	1.87	2.06	1.83	2.03	2811000	41934352.00
2000/08/11	2.00	2.05	1.96	2.02	1742700	26407202.00
2000/08/14	2.02	2.11	1.96	2.05	1320600	20303508.00
2000/08/15	2.04	2.06	1.99	2.02	445000	6742334.00
2000/08/16	2.01	2.08	1.99	2.00	578000	8812318.00
2000/08/17	2.01	2.13	2.01	2.08	1122900	17396482.00
2000/08/18	2.02	2.12	2.02	2.04	371200	5685400.00
2000/08/21	2.04	2.06	2.01	2.02	393300	5987142.00
2000/08/22	2.02	2.06	1.98	1.98	568400	8694949.00
2000/08/23	1.98	2.02	1.85	1.99	1156900	17125038.00
2000/08/24	1.99	2.04	1.95	2.03	706100	10655978.00
2000/08/25	2.04	2.04	1.96	2.03	491700	7423304.00
2000/08/28	2.03	2.04	1.98	2.00	365400	5550100.00
2000/08/29	2.02	2.11	2.02	2.08	930300	14348581.00
2000/08/30	2.08	2.10	2.02	2.03	438700	6740633.00
2000/08/31	2.03	2.03	1.94	1.94	617600	9227052.00
2000/09/01	1.89	1.97	1.89	1.94	427000	6325542.00
2000/09/04	1.93	2.03	1.93	2.02	608100	9125563.00
2000/09/05	2.02	2.06	1.94	1.98	220300	3310019.00
2000/09/06	1.93	1.98	1.91	1.92	140700	2079852.00
2000/09/07	1.92	1.96	1.92	1.93	206900	3063077.00
2000/09/08	1.93	2.00	1.93	1.98	259800	3891492.00
2000/09/11	1.99	2.05	1.98	2.00	295900	4492470.00
2000/09/12	2.00	2.06	2.00	2.04	873800	13337235.00
2000/09/13	2.15	2.15	2.06	2.08	1337400	20875952.00
2000/09/14	2.06	2.06	2.01	2.04	392200	5979042.00
