600618 氯碱化工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	5.96	5.96	5.84	5.92	104500	976601.00
2000/01/05	5.93	6.15	5.93	6.14	229600	2196083.00
2000/01/06	6.14	6.22	5.93	6.22	184500	1787813.00
2000/01/07	6.31	6.62	6.19	6.43	470700	4724783.00
2000/01/10	6.43	6.43	6.22	6.43	351800	3541310.00
2000/01/11	6.38	6.40	6.06	6.13	280300	2755444.00
2000/01/12	6.09	6.13	5.84	5.88	210500	1981091.00
2000/01/13	5.80	6.13	5.80	5.96	165300	1573718.00
2000/01/14	5.88	5.94	5.81	5.82	75400	699716.00
2000/01/17	5.80	5.82	5.71	5.77	208800	1896718.00
2000/01/18	5.77	5.87	5.71	5.73	109800	1002242.00
2000/01/19	5.73	5.81	5.72	5.74	91800	836749.00
2000/01/20	5.75	5.93	5.74	5.84	145100	1332534.00
2000/01/21	5.85	5.90	5.68	5.68	260500	2360341.00
2000/01/24	5.68	5.71	5.37	5.41	447000	3854881.00
2000/01/25	5.42	5.61	5.42	5.54	163000	1435083.00
2000/01/26	5.55	5.68	5.49	5.54	234300	2063852.00
2000/01/27	5.56	5.74	5.42	5.74	404000	3500312.00
2000/01/28	5.68	5.68	5.47	5.61	265100	2335518.00
2000/02/14	5.80	6.12	5.63	6.12	496500	4637173.00
2000/02/15	6.19	6.23	5.84	5.84	538700	5134920.00
2000/02/16	5.78	6.36	5.61	6.17	752700	7050824.00
2000/02/17	6.16	6.30	5.81	5.87	588300	5612692.00
2000/02/18	5.83	5.94	5.68	5.83	377100	3443255.00
2000/02/21	5.79	5.93	5.68	5.90	448900	4117731.00
2000/02/22	5.93	6.17	5.77	5.77	464600	4403281.00
2000/02/23	5.77	5.85	5.73	5.78	254500	2328987.00
2000/02/24	5.80	6.02	5.76	5.94	292100	2725260.00
2000/02/25	5.90	5.90	5.75	5.84	182800	1688217.00
2000/02/28	5.84	5.99	5.80	5.99	443700	4169617.00
2000/02/29	6.17	6.44	6.04	6.33	1715900	17030060.00
2000/03/01	6.41	6.47	6.13	6.22	665300	6578975.00
2000/03/02	6.41	6.43	6.13	6.24	466900	4621789.00
2000/03/03	6.30	6.38	6.12	6.26	687800	6771677.00
2000/03/06	6.31	6.55	6.22	6.26	1153600	11762148.00
2000/03/07	6.26	6.30	5.96	6.19	402700	3905324.00
2000/03/08	6.23	6.28	6.06	6.21	469100	4598180.00
2000/03/09	6.31	6.83	6.30	6.68	2402900	25342206.00
2000/03/10	6.62	6.62	6.32	6.34	818200	8344686.00
2000/03/13	6.38	6.55	6.38	6.44	528100	5395733.00
2000/03/14	6.44	6.44	6.06	6.23	541000	5306659.00
2000/03/15	6.25	6.33	6.08	6.24	334500	3304077.00
2000/03/16	6.13	6.23	5.96	5.98	306300	2963196.00
2000/03/17	5.87	6.05	5.87	6.05	294000	2782883.00
2000/03/20	5.98	6.19	5.93	6.16	247500	2399230.00
2000/03/21	6.19	6.30	6.12	6.20	276000	2719450.00
2000/03/22	6.21	6.24	6.06	6.15	300800	2917234.00
2000/03/23	6.13	6.56	6.13	6.36	559600	5619588.00
2000/03/24	6.82	6.82	6.39	6.46	1166500	12181041.00
2000/03/27	6.50	6.69	6.44	6.63	807200	8393001.00
2000/03/28	6.69	6.76	6.51	6.56	540000	5637914.00
2000/03/29	6.62	6.95	6.56	6.87	1577700	16924956.00
2000/03/30	6.94	7.07	6.81	6.88	1445400	15853873.00
2000/03/31	6.88	6.93	6.60	6.68	818500	8730792.00
2000/04/03	6.60	6.81	6.57	6.70	491400	5222738.00
2000/04/04	6.68	6.68	6.39	6.42	484000	4986684.00
2000/04/05	6.41	6.55	6.41	6.50	259200	2653356.00
2000/04/06	6.50	6.80	6.50	6.77	553200	5874793.00
2000/04/07	6.77	6.82	6.66	6.79	423700	4520588.00
2000/04/10	6.82	6.95	6.76	6.85	721900	7862695.00
2000/04/11	6.85	7.01	6.81	6.81	778600	8514746.00
2000/04/12	6.77	6.79	6.57	6.72	421600	4443635.00
2000/04/13	6.73	6.80	6.68	6.80	385000	4106642.00
2000/04/14	6.78	7.01	6.76	6.92	955700	10435634.00
2000/04/17	6.95	7.14	6.88	7.11	1496500	16666120.00
2000/04/18	7.19	7.20	6.83	7.15	853300	9550179.00
2000/04/19	7.30	7.58	7.14	7.20	1819700	21188216.00
2000/04/20	7.19	7.93	7.19	7.81	3834400	46431440.00
2000/04/21	7.81	8.08	7.58	7.68	2712600	33705336.00
2000/04/24	7.71	7.88	7.49	7.56	1229100	14856481.00
2000/04/25	7.53	7.56	7.27	7.35	859600	10014877.00
2000/04/26	7.35	7.57	7.34	7.42	625800	7355235.00
2000/04/27	7.38	7.43	7.08	7.09	832900	9466628.00
2000/04/28	7.07	7.46	7.00	7.13	594400	6671366.00
2000/05/08	7.27	7.39	7.14	7.33	424900	4888675.00
2000/05/09	7.39	7.55	7.14	7.17	525000	6125433.00
2000/05/10	7.06	7.17	6.88	6.92	384900	4269025.00
2000/05/11	6.92	7.03	6.64	6.66	300100	3215751.00
2000/05/12	6.58	6.76	6.58	6.63	260700	2754168.00
2000/05/15	6.63	6.73	6.45	6.60	148700	1541988.00
2000/05/16	6.69	6.80	6.63	6.73	185200	1971402.00
2000/05/17	6.74	6.79	6.57	6.71	171300	1813386.00
2000/05/18	6.73	6.92	6.64	6.91	299400	3232448.00
2000/05/22	7.60	7.60	7.55	7.60	712800	8575979.00
2000/05/23	8.12	8.14	7.65	7.76	3547100	43989432.00
2000/05/24	7.77	7.82	7.49	7.63	1237900	14930612.00
2000/05/25	7.63	7.87	7.63	7.71	849200	10375036.00
2000/05/26	7.77	7.81	7.51	7.56	614700	7385053.00
2000/05/29	7.54	7.70	7.32	7.58	634100	7528076.00
2000/05/30	7.60	7.65	7.43	7.43	412700	4915493.00
2000/05/31	7.41	7.57	7.34	7.46	403200	4757989.00
2000/06/01	7.46	7.69	7.46	7.55	403200	4827848.00
2000/06/02	7.55	7.62	7.43	7.57	416100	4936647.00
2000/06/05	7.65	7.70	7.49	7.52	510600	6113898.00
2000/06/06	7.51	7.64	7.36	7.58	504000	5993580.00
2000/06/07	7.58	8.35	7.58	8.35	3937700	50598512.00
2000/06/08	8.35	8.47	7.90	8.28	2757100	35980312.00
2000/06/09	8.22	8.34	8.00	8.20	1410300	18113096.00
2000/06/12	8.19	8.54	8.16	8.24	1224500	16231328.00
2000/06/13	8.33	8.41	8.19	8.31	661600	8662035.00
2000/06/14	8.39	8.41	8.17	8.19	622800	8120160.00
2000/06/15	8.19	8.52	8.19	8.40	1016500	13482768.00
2000/06/16	8.36	8.40	8.20	8.23	720400	9419222.00
2000/06/19	8.33	8.48	8.12	8.34	771200	9235055.00
2000/06/20	8.35	8.42	8.14	8.14	332100	3949885.00
2000/06/21	8.14	8.28	8.09	8.21	450700	5284250.00
2000/06/22	8.33	8.33	8.07	8.28	601000	7067664.00
2000/06/23	8.31	8.60	8.23	8.49	1448100	17625288.00
2000/06/26	8.56	8.73	8.42	8.65	3340800	41257504.00
2000/06/27	8.59	8.73	8.59	8.70	1657000	20646278.00
2000/06/28	8.63	8.82	8.63	8.76	998200	12517947.00
2000/06/29	8.97	8.97	8.75	8.87	1151900	14643506.00
2000/06/30	8.84	8.93	8.79	8.90	778900	9890406.00
2000/07/03	8.77	8.89	8.63	8.89	1216800	15315850.00
2000/07/04	8.89	8.89	8.73	8.86	496500	6304062.00
2000/07/05	8.91	8.93	8.80	8.82	1085300	13807521.00
2000/07/06	8.84	8.87	8.77	8.85	1282800	16276830.00
2000/07/07	8.84	8.94	8.77	8.84	589600	7474429.00
2000/07/10	9.02	9.03	8.89	8.96	1927700	24804200.00
2000/07/11	8.98	9.02	8.96	9.01	1329200	17157520.00
2000/07/12	9.03	9.05	8.84	9.01	1172200	15059540.00
2000/07/13	8.98	9.03	8.84	9.02	1179600	15154158.00
