600629 华建集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	2.61	2.68	2.56	2.66	168100	1245731.00
2000/01/05	2.65	2.74	2.63	2.70	396700	3012404.00
2000/01/06	2.70	2.79	2.65	2.76	400700	3056363.00
2000/01/07	2.77	3.01	2.77	2.96	952400	7645911.00
2000/01/10	3.03	3.19	2.96	3.02	774400	6551571.00
2000/01/11	3.04	3.04	2.77	2.83	734100	5979265.00
2000/01/12	2.85	2.88	2.70	2.73	384300	3004935.00
2000/01/13	2.72	2.99	2.72	2.78	753700	6038540.00
2000/01/14	2.78	2.83	2.74	2.75	190100	1483937.00
2000/01/17	2.70	2.77	2.70	2.73	191100	1473067.00
2000/01/18	2.76	2.88	2.76	2.85	381200	3027887.00
2000/01/19	2.86	2.94	2.77	2.85	386200	3097158.00
2000/01/21	2.66	2.71	2.55	2.56	1438300	10551504.00
2000/01/24	2.51	2.51	2.32	2.47	1440900	9787222.00
2000/01/25	2.43	2.49	2.36	2.46	669500	4600277.00
2000/01/26	2.45	2.46	2.38	2.42	472200	3218269.00
2000/01/27	2.32	2.42	2.32	2.35	549400	3692315.00
2000/01/28	2.34	2.36	2.24	2.36	1383900	8983453.00
2000/02/14	2.45	2.60	2.36	2.59	1417300	9975450.00
2000/02/15	2.60	2.62	2.47	2.49	1768100	12593634.00
2000/02/16	2.47	2.58	2.36	2.58	1410600	9674484.00
2000/02/17	2.56	2.58	2.38	2.43	1418000	10031108.00
2000/02/18	2.40	2.41	2.35	2.40	873100	5882518.00
2000/02/21	2.40	2.52	2.31	2.48	1638000	11120253.00
2000/02/22	2.48	2.56	2.40	2.46	1306400	9167914.00
2000/02/23	2.46	2.55	2.43	2.52	1092900	7718000.00
2000/02/24	2.55	2.55	2.45	2.47	1086500	7648383.00
2000/02/25	2.48	2.59	2.47	2.55	1421900	10188826.00
2000/02/28	2.58	2.76	2.57	2.70	2905500	22012156.00
2000/02/29	2.73	2.73	2.55	2.62	1433500	10577943.00
2000/03/01	2.62	2.71	2.59	2.64	1045100	7804470.00
2000/03/02	2.65	2.83	2.65	2.78	2037800	15662648.00
2000/03/03	2.81	2.84	2.73	2.76	1726100	13429692.00
2000/03/06	2.77	2.79	2.56	2.58	1553000	11764673.00
2000/03/07	2.58	2.66	2.55	2.65	871500	6414766.00
2000/03/08	2.68	2.68	2.61	2.65	743400	5521336.00
2000/03/09	2.67	2.74	2.64	2.70	1077500	8203683.00
2000/03/10	2.70	2.71	2.59	2.62	565500	4196808.00
2000/03/13	2.60	2.68	2.60	2.65	474900	3531058.00
2000/03/14	2.65	2.65	2.49	2.59	997800	7214301.00
2000/03/15	2.58	2.66	2.56	2.62	754100	5555774.00
2000/03/16	2.61	2.61	2.49	2.50	601800	4315414.00
2000/03/17	2.50	2.57	2.47	2.55	553300	3950053.00
2000/03/20	2.66	2.82	2.63	2.82	1713400	13439293.00
2000/03/21	2.86	3.11	2.79	2.80	4364600	36078940.00
2000/03/22	2.79	3.03	2.73	2.97	2523200	20490440.00
2000/03/23	2.99	3.03	2.88	3.00	1743700	14559161.00
2000/03/24	3.00	3.13	2.98	3.03	2399900	20580546.00
2000/03/27	3.03	3.22	3.03	3.13	1607300	14049562.00
2000/03/28	3.15	3.17	3.03	3.06	1195900	10329566.00
2000/03/29	3.06	3.09	2.89	3.02	1041000	8671602.00
2000/03/30	3.01	3.10	2.92	3.04	1059100	8996032.00
2000/03/31	3.07	3.36	3.02	3.22	3141500	28357868.00
2000/04/03	3.23	3.34	3.18	3.18	1431000	13035663.00
2000/04/04	3.15	3.29	3.08	3.20	1477500	13196905.00
2000/04/05	3.22	3.28	3.18	3.27	1032600	9292032.00
2000/04/06	3.30	3.46	3.28	3.40	2188200	20652388.00
2000/04/07	3.40	3.45	3.23	3.26	2297300	21440352.00
2000/04/11	3.04	3.14	2.97	3.04	3164400	26995324.00
2000/04/12	3.15	3.15	2.96	3.00	1624400	13782007.00
2000/04/13	3.00	3.03	2.92	2.99	1211400	10067304.00
2000/04/14	2.96	3.04	2.91	3.03	1356200	11236014.00
2000/04/17	3.00	3.00	2.92	2.95	900900	7429895.00
2000/04/18	2.93	3.05	2.93	3.01	862200	7277521.00
2000/04/19	3.04	3.06	2.95	2.96	1200500	10097125.00
2000/04/20	2.96	3.09	2.96	3.06	982500	8337265.00
2000/04/21	3.06	3.15	3.04	3.10	1613200	14013427.00
2000/04/24	3.11	3.14	3.04	3.04	993100	8576982.00
2000/04/25	3.03	3.03	2.92	2.96	812700	6746766.00
2000/04/26	2.96	3.00	2.93	2.94	637200	5279144.00
2000/04/28	2.79	2.79	2.79	2.79	360300	2824752.00
2000/05/08	2.66	2.71	2.64	2.67	1235500	9283855.00
2000/05/09	2.66	2.70	2.55	2.59	761000	5626950.00
2000/05/10	2.57	2.62	2.55	2.58	535500	3915147.00
2000/05/11	2.60	2.62	2.58	2.58	345500	2526586.00
2000/05/12	2.58	2.61	2.46	2.47	699700	4964282.00
2000/05/15	2.47	2.47	2.35	2.41	588700	4010495.00
2000/05/16	2.41	2.53	2.40	2.50	403800	2830496.00
2000/05/17	2.49	2.50	2.45	2.46	228700	1600722.00
2000/05/18	2.46	2.49	2.43	2.47	291000	2030720.00
2000/05/19	2.47	2.54	2.47	2.52	447800	3188554.00
2000/05/22	2.53	2.59	2.49	2.59	765900	5499079.00
2000/05/23	2.60	2.62	2.51	2.62	597000	4344746.00
2000/05/24	2.61	2.62	2.58	2.59	635300	4664614.00
2000/05/25	2.60	2.69	2.56	2.67	1355000	10031347.00
2000/05/26	2.67	2.67	2.60	2.61	737500	5478667.00
2000/05/29	2.61	2.64	2.56	2.60	653900	4806619.00
