600641 万业企业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	4.58	4.72	4.44	4.72	317300	6310442.00
2000/01/05	4.65	4.75	4.53	4.75	504500	10229146.00
2000/01/06	4.68	4.99	4.62	4.98	560400	11679663.00
2000/01/07	4.98	5.16	4.91	4.99	633700	13514444.00
2000/01/10	4.99	5.09	4.73	4.89	538800	11184083.00
2000/01/11	4.81	4.82	4.51	4.58	381900	7714731.00
2000/01/12	4.53	4.66	4.44	4.50	182700	3628522.00
2000/01/13	4.52	4.56	4.44	4.47	211600	4193348.00
2000/01/14	4.47	4.54	4.41	4.47	117800	2316199.00
2000/01/17	4.47	4.71	4.44	4.66	245200	4946956.00
2000/01/18	4.65	4.87	4.65	4.75	452300	9303341.00
2000/01/19	4.75	4.94	4.74	4.90	341100	7089524.00
2000/01/20	4.77	5.08	4.77	5.08	490200	10327704.00
2000/01/21	5.16	5.72	5.10	5.50	1366200	30782864.00
2000/01/24	5.59	5.61	5.34	5.53	627200	14152408.00
2000/01/25	5.54	5.61	5.33	5.44	306400	6884928.00
2000/01/26	5.37	6.02	5.37	5.96	886000	20877208.00
2000/01/27	5.96	6.10	5.84	5.92	628200	15089517.00
2000/01/28	5.92	6.22	5.82	6.00	1025300	24695044.00
2000/02/14	6.30	6.83	6.17	6.83	795300	20470790.00
2000/02/15	6.87	7.74	6.87	7.23	1738400	49324336.00
2000/02/16	7.30	7.82	7.29	7.75	1072500	30671952.00
2000/02/17	8.03	8.75	7.12	7.39	1577400	47437796.00
2000/02/18	7.34	8.37	7.34	8.37	1147000	33999788.00
2000/02/21	8.72	9.44	8.72	8.93	1224000	40334816.00
2000/02/22	9.06	9.06	7.80	7.99	900300	27498010.00
2000/02/23	7.86	7.86	7.44	7.59	1151600	33159060.00
2000/02/24	7.51	8.02	7.44	7.89	303200	8923143.00
2000/02/25	8.03	8.20	7.89	7.96	400100	11993073.00
2000/02/28	7.96	8.55	7.82	8.49	768300	23250638.00
2000/02/29	8.62	8.67	7.69	7.98	572400	17258470.00
2000/03/01	7.81	8.06	7.70	8.02	338800	9989063.00
2000/03/02	7.96	8.25	7.96	8.24	361400	10971714.00
2000/03/03	8.46	8.71	8.20	8.43	533500	16612584.00
2000/03/06	8.44	8.56	7.52	7.61	393600	11969872.00
2000/03/07	7.53	8.03	7.52	8.03	410700	11998635.00
2000/03/08	7.99	8.53	7.99	8.48	620900	19254664.00
