600642 申能股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	1.34	1.44	1.27	1.40	813000	9843456.00
2000/01/05	1.36	1.45	1.32	1.35	1323400	16010564.00
2000/01/06	1.35	1.49	1.30	1.49	1679300	20451606.00
2000/01/07	1.55	1.75	1.47	1.62	5125600	65213588.00
2000/01/10	1.65	1.68	1.52	1.64	2708000	34294088.00
2000/01/11	1.64	1.64	1.38	1.42	1526100	18959848.00
2000/01/12	1.42	1.42	1.30	1.35	1370600	16423088.00
2000/01/13	1.37	1.39	1.29	1.35	628300	7485608.00
2000/01/14	1.35	1.36	1.25	1.31	1200200	14203200.00
2000/01/17	1.29	1.32	1.24	1.32	585600	6879806.00
2000/01/18	1.32	1.42	1.29	1.38	856000	10250755.00
2000/01/19	1.39	1.39	1.29	1.38	681900	8167139.00
2000/01/20	1.35	1.35	1.29	1.34	980800	11654550.00
2000/01/21	1.32	1.40	1.26	1.28	1893700	22467660.00
2000/01/24	1.27	1.28	1.08	1.11	3706800	42067868.00
2000/01/25	1.13	1.28	1.12	1.16	1570400	18054520.00
2000/01/26	1.17	1.25	1.15	1.18	879300	10134247.00
2000/01/27	1.25	1.32	1.14	1.24	2116400	24468516.00
2000/01/28	1.23	1.29	1.16	1.29	2372800	27454042.00
2000/02/14	1.45	1.64	1.35	1.61	4997600	62643752.00
2000/02/15	1.68	1.72	1.41	1.45	6341800	79819752.00
2000/02/16	1.39	1.45	1.24	1.26	3595500	42658464.00
2000/02/17	1.29	1.55	1.22	1.29	6973100	83321112.00
2000/02/18	1.29	1.40	1.17	1.20	2573300	29979984.00
2000/02/21	1.20	1.31	1.12	1.24	2765400	31937980.00
2000/02/22	1.29	1.35	1.17	1.18	1803100	21037176.00
2000/02/23	1.18	1.32	1.10	1.12	2361200	27098356.00
2000/02/24	1.15	1.21	1.10	1.14	1198800	13582449.00
2000/02/25	1.14	1.18	1.08	1.11	1585700	17862330.00
2000/02/28	1.11	1.15	1.02	1.15	2522400	28341516.00
2000/02/29	1.19	1.22	1.08	1.21	3138400	35663548.00
2000/03/01	1.25	1.47	1.20	1.35	9688900	116221880.00
2000/03/02	1.32	1.32	1.16	1.18	3079900	35624160.00
2000/03/03	1.18	1.32	1.15	1.22	2164600	25169396.00
2000/03/06	1.27	1.31	1.17	1.17	2276900	26594208.00
2000/03/07	1.17	1.30	1.12	1.28	2404300	27948800.00
2000/03/08	1.32	1.40	1.25	1.30	2730900	32477238.00
2000/03/09	1.30	1.54	1.27	1.45	11054300	135433472.00
2000/03/10	1.48	1.55	1.35	1.37	5378100	65946324.00
2000/03/13	1.39	1.52	1.39	1.43	4001100	49358360.00
2000/03/14	1.02	1.25	1.02	1.12	10931900	122931680.00
2000/03/15	1.08	1.08	0.75	0.85	7340300	77395120.00
2000/03/16	0.81	0.81	0.68	0.69	3338500	33715352.00
2000/03/17	0.69	0.84	0.69	0.74	2263800	23067492.00
2000/03/20	0.64	0.78	0.63	0.70	3371200	33916240.00
2000/03/21	0.71	0.97	0.71	0.85	3517100	36976548.00
2000/03/22	0.85	0.88	0.75	0.78	1703700	17604524.00
2000/03/23	0.78	0.85	0.76	0.79	1592300	16418717.00
2000/03/24	0.83	0.84	0.76	0.77	2079900	21396296.00
2000/03/27	0.77	0.78	0.72	0.76	2069000	21120888.00
2000/03/28	0.78	0.86	0.78	0.85	3231700	33795748.00
2000/03/29	0.86	0.91	0.78	0.81	1469300	15308399.00
2000/03/30	0.82	1.16	0.81	1.16	10306800	113466584.00
2000/03/31	1.16	1.23	1.02	1.07	5218700	59066856.00
2000/04/03	1.08	1.18	1.07	1.09	2634000	29817916.00
2000/04/04	1.11	1.13	0.95	1.13	2213000	24368636.00
2000/04/05	1.11	1.12	0.99	1.12	1520500	16960316.00
2000/04/06	1.22	1.35	1.14	1.16	5234200	60385272.00
2000/04/07	1.19	1.22	1.07	1.10	3265500	36999112.00
2000/04/10	1.12	1.21	1.10	1.20	2639400	30090258.00
2000/04/11	1.20	1.20	1.08	1.10	1472700	16724748.00
2000/04/12	1.12	1.15	1.07	1.15	1737300	19533900.00
2000/04/13	1.15	1.18	1.12	1.17	1493300	17052076.00
2000/04/14	1.20	1.35	1.18	1.27	5096100	59917068.00
2000/04/17	1.27	1.29	1.10	1.14	2677600	30837848.00
2000/04/18	1.14	1.31	1.14	1.25	3279500	38243124.00
2000/04/19	1.29	1.33	1.22	1.25	2123900	24988350.00
2000/04/20	1.25	1.42	1.25	1.35	5120100	61492768.00
2000/04/21	1.37	1.52	1.34	1.38	4375300	53370388.00
2000/04/24	1.44	1.52	1.39	1.50	5360800	66271572.00
2000/04/25	1.54	1.79	1.50	1.65	18455900	237856928.00
2000/04/26	1.68	1.72	1.55	1.62	6865000	87790728.00
2000/04/27	1.64	1.72	1.40	1.45	6080000	76197816.00
2000/04/28	1.45	1.50	1.36	1.48	3156700	38647872.00
2000/05/08	1.50	1.54	1.39	1.41	1901600	23327046.00
2000/05/09	1.42	1.52	1.42	1.42	1958800	24069384.00
2000/05/10	1.42	1.44	1.21	1.24	2432900	28718252.00
2000/05/11	1.22	1.29	1.12	1.13	1889500	21631098.00
2000/05/12	1.12	1.18	1.09	1.10	1167600	13245264.00
2000/05/15	1.10	1.13	1.04	1.07	821500	9164439.00
2000/05/16	1.07	1.14	1.07	1.09	554900	6243843.00
2000/05/17	1.11	1.20	1.11	1.12	851200	9710904.00
2000/05/18	1.12	1.24	1.10	1.22	1229800	14133737.00
2000/05/19	1.24	1.30	1.21	1.27	1532300	17947864.00
2000/05/22	1.25	1.37	1.22	1.33	2528800	29952352.00
2000/05/23	1.35	1.51	1.28	1.51	3718700	45091072.00
2000/05/24	1.52	1.52	1.41	1.45	2653800	32788428.00
2000/05/25	1.48	1.61	1.45	1.48	3182600	39696824.00
2000/05/26	1.54	1.57	1.44	1.48	3974900	49545496.00
2000/05/29	1.49	1.59	1.46	1.53	3763800	47017384.00
2000/05/30	1.53	1.59	1.36	1.40	2694100	33298732.00
2000/05/31	1.40	1.54	1.37	1.49	2976100	36692648.00
2000/06/01	1.55	1.89	1.55	1.71	14658200	193477808.00
2000/06/02	1.71	1.82	1.65	1.74	6209300	81429280.00
2000/06/05	1.79	2.02	1.77	1.86	15543000	213236272.00
2000/06/06	1.87	2.12	1.86	1.97	11745600	163392112.00
2000/06/07	2.06	2.43	2.06	2.43	28523400	426312160.00
2000/06/08	2.62	2.83	2.46	2.70	26443100	418439360.00
2000/06/09	2.70	2.70	2.36	2.37	11441600	177375648.00
2000/06/12	2.43	2.88	2.43	2.88	10760000	173135968.00
2000/06/13	3.16	3.17	2.94	2.99	15576700	264821472.00
2000/06/14	3.04	3.37	2.88	3.00	12173700	208776832.00
2000/06/15	3.00	3.06	2.83	3.03	7799600	130039936.00
2000/06/16	3.12	3.31	2.97	3.12	10174200	175371552.00
2000/06/19	3.15	3.25	2.99	3.10	8634100	148888928.00
2000/06/20	3.04	3.05	2.64	2.76	7533900	124131512.00
2000/06/21	2.70	2.87	2.67	2.81	3962800	63929380.00
2000/06/22	2.84	2.93	2.72	2.90	4017600	66165472.00
2000/06/23	2.90	3.26	2.87	3.22	10415900	178797152.00
2000/06/27	3.21	3.43	3.11	3.24	6636500	117066288.00
2000/06/28	3.26	3.58	3.26	3.58	16453600	299686176.00
2000/06/29	3.59	3.61	3.30	3.32	8882700	160773296.00
2000/06/30	3.33	3.40	3.15	3.20	4239600	74894560.00
2000/07/03	3.16	3.20	3.04	3.13	3437100	59421540.00
2000/07/04	3.12	3.43	3.04	3.36	6865700	121409560.00
2000/07/05	3.39	3.60	3.32	3.50	10492900	192785056.00
2000/07/06	3.49	3.49	3.34	3.44	2857000	51792088.00
2000/07/07	3.44	3.73	3.44	3.70	11101700	208703536.00
