600675 中华企业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	0.78	0.84	0.78	0.83	264200	2199906.00
2000/01/05	0.83	0.85	0.78	0.81	393900	3283487.00
2000/01/06	0.80	0.86	0.79	0.86	417100	3497731.00
2000/01/07	0.86	0.90	0.86	0.89	954700	8320501.00
2000/01/10	0.90	0.95	0.90	0.94	1320200	11897102.00
2000/01/11	0.94	0.95	0.85	0.86	758800	6693755.00
2000/01/12	0.86	0.88	0.82	0.82	429400	3641003.00
2000/01/13	0.82	0.85	0.82	0.82	246300	2072259.00
2000/01/14	0.83	0.85	0.80	0.84	291700	2435764.00
2000/01/17	0.85	0.88	0.84	0.87	337400	2898380.00
2000/01/18	0.87	0.91	0.86	0.87	675300	5923190.00
2000/01/19	0.87	0.88	0.86	0.86	235400	2035724.00
2000/01/20	0.86	0.90	0.85	0.88	390300	3398688.00
2000/01/21	0.88	0.90	0.83	0.83	621100	5277055.00
2000/01/24	0.83	0.83	0.79	0.81	758200	6244071.00
2000/01/25	0.81	0.83	0.80	0.81	420700	3490501.00
2000/01/26	0.81	0.81	0.80	0.80	463300	3802850.00
2000/01/27	0.82	0.84	0.80	0.80	645400	5312187.00
2000/01/28	0.81	0.86	0.80	0.84	783200	6590381.00
2000/02/14	0.87	0.95	0.86	0.94	1880200	16825058.00
2000/02/15	0.95	1.02	0.89	0.91	2699200	24503996.00
2000/02/16	0.93	1.05	0.92	1.05	4930100	47494040.00
2000/02/17	1.21	1.21	1.09	1.21	14572100	155717056.00
2000/02/18	1.21	1.38	1.12	1.38	14750300	164805520.00
2000/02/21	1.57	1.57	1.41	1.44	11056200	139251104.00
2000/02/22	1.43	1.44	1.24	1.27	8286900	95990272.00
2000/02/23	1.24	1.29	1.20	1.21	4501300	49392168.00
2000/02/24	1.21	1.29	1.20	1.25	2274100	25002940.00
2000/02/25	1.26	1.28	1.20	1.23	2395800	26208464.00
2000/02/28	1.25	1.40	1.25	1.40	3435300	40959716.00
2000/02/29	1.56	1.58	1.37	1.39	9089200	112988696.00
2000/03/01	1.41	1.42	1.28	1.28	3791800	43925760.00
2000/03/02	1.33	1.42	1.30	1.37	4041100	47339056.00
2000/03/03	1.41	1.43	1.35	1.37	2609200	30898182.00
2000/03/06	1.39	1.43	1.23	1.23	2978200	34338756.00
2000/03/07	1.21	1.29	1.21	1.27	1565300	17300220.00
2000/03/08	1.29	1.37	1.26	1.32	2123100	24244284.00
2000/03/09	1.33	1.35	1.28	1.30	1287700	14623558.00
2000/03/10	1.29	1.39	1.29	1.30	2750700	31924360.00
2000/03/13	1.34	1.48	1.31	1.44	5619600	68306496.00
2000/03/14	1.31	1.37	1.24	1.24	7878900	88073576.00
2000/03/15	1.18	1.18	1.07	1.07	6521300	65488768.00
2000/03/16	1.03	1.03	0.93	0.96	3496100	32410160.00
2000/03/17	0.96	1.02	0.95	0.97	2286300	21327854.00
2000/03/20	0.97	0.97	0.88	0.92	3461100	30674388.00
2000/03/21	0.91	0.96	0.90	0.94	2513200	22715536.00
2000/03/22	0.96	0.97	0.91	0.91	1925400	17395688.00
2000/03/23	0.92	0.94	0.91	0.94	1616300	14528039.00
2000/03/24	0.93	0.95	0.91	0.91	2269400	20493052.00
2000/03/27	0.94	0.97	0.93	0.97	2381100	21715304.00
2000/03/28	0.97	1.02	0.97	1.01	3813300	36083792.00
2000/03/29	1.02	1.02	0.97	0.98	1980600	18599556.00
2000/03/30	0.99	1.03	0.99	1.02	1997600	19043136.00
2000/03/31	1.02	1.12	1.01	1.09	4523400	44437480.00
2000/04/03	1.09	1.20	1.06	1.17	5331500	55883632.00
2000/04/04	1.17	1.18	1.11	1.15	3623600	37628104.00
2000/04/05	1.17	1.22	1.15	1.19	2491200	26291322.00
2000/04/06	1.21	1.24	1.19	1.24	2764400	29805500.00
2000/04/07	1.28	1.29	1.21	1.25	4348700	48066856.00
2000/04/10	1.29	1.32	1.28	1.32	9455600	107341776.00
2000/04/11	1.32	1.37	1.31	1.32	4599900	53257800.00
2000/04/12	1.33	1.34	1.24	1.27	3872500	43576528.00
2000/04/13	1.27	1.32	1.27	1.30	2049900	23179894.00
2000/04/14	1.31	1.32	1.25	1.27	2950200	32825136.00
2000/04/17	1.28	1.32	1.26	1.29	2193400	24741128.00
2000/04/18	1.29	1.31	1.26	1.29	1128200	12693263.00
2000/04/19	1.29	1.34	1.29	1.33	2037400	23380680.00
2000/04/20	1.33	1.40	1.30	1.37	3849700	45044760.00
2000/04/21	1.38	1.45	1.38	1.39	5321300	64117884.00
2000/04/24	1.41	1.48	1.39	1.41	3232700	39243304.00
2000/04/25	1.41	1.44	1.35	1.37	1506300	17792036.00
2000/04/26	1.37	1.39	1.34	1.35	1294000	15112069.00
2000/04/27	1.35	1.36	1.32	1.32	1410400	16287260.00
2000/04/28	1.33	1.35	1.30	1.35	1015200	11676631.00
2000/05/08	1.35	1.37	1.29	1.33	721700	8335895.00
2000/05/09	1.33	1.33	1.27	1.28	1518800	17115702.00
2000/05/10	1.27	1.30	1.26	1.27	958200	10748209.00
2000/05/11	1.27	1.29	1.27	1.27	673800	7538788.00
2000/05/12	1.28	1.29	1.23	1.23	1065200	11751396.00
2000/05/15	1.23	1.23	1.18	1.20	607600	6501353.00
2000/05/16	1.20	1.23	1.20	1.22	369800	4005934.00
2000/05/17	1.23	1.24	1.22	1.23	398700	4348697.00
2000/05/18	1.23	1.28	1.20	1.28	605600	6658379.00
2000/05/19	1.28	1.30	1.26	1.29	1098800	12321295.00
2000/05/22	1.29	1.37	1.29	1.34	1484500	17022588.00
2000/05/23	1.36	1.36	1.22	1.32	1498800	16965440.00
2000/05/24	1.32	1.40	1.29	1.38	2345600	27479938.00
2000/05/25	1.39	1.40	1.36	1.38	1559000	18397612.00
2000/05/26	1.38	1.39	1.34	1.35	1517700	17753504.00
2000/05/29	1.35	1.37	1.33	1.36	1305300	15232906.00
2000/05/30	1.36	1.41	1.36	1.37	2451300	29207852.00
2000/05/31	1.37	1.42	1.37	1.40	1676400	19995772.00
2000/06/01	1.43	1.56	1.43	1.51	7393600	93763928.00
2000/06/02	1.51	1.53	1.46	1.50	2898100	36340248.00
2000/06/05	1.53	1.56	1.48	1.49	3194800	40651744.00
2000/06/06	1.49	1.54	1.48	1.53	2581900	32738724.00
2000/06/07	1.56	1.61	1.52	1.60	5234600	68518280.00
2000/06/08	1.60	1.61	1.53	1.55	3511000	45474168.00
2000/06/12	1.52	1.53	1.47	1.49	1891600	23717120.00
2000/06/13	1.50	1.53	1.49	1.53	1152500	14615386.00
2000/06/14	1.54	1.55	1.48	1.48	1530100	19265258.00
2000/06/15	1.48	1.51	1.44	1.50	1522000	18888570.00
2000/06/16	1.50	1.51	1.45	1.46	1145500	14238387.00
2000/06/19	1.45	1.46	1.43	1.44	1093800	13381262.00
2000/06/20	1.44	1.45	1.43	1.44	995300	12146568.00
2000/06/21	1.44	1.47	1.44	1.46	816200	10017883.00
2000/06/22	1.46	1.47	1.43	1.45	1074700	13162010.00
2000/06/23	1.48	1.58	1.48	1.54	4191500	53893276.00
2000/06/26	1.55	1.58	1.53	1.55	3566500	45857460.00
2000/06/27	1.56	1.56	1.53	1.53	1363400	17431948.00
2000/06/28	1.53	1.56	1.52	1.54	2132300	27418404.00
2000/06/29	1.55	1.60	1.53	1.54	3607500	46691204.00
2000/06/30	1.56	1.57	1.49	1.51	3766700	47942544.00
2000/07/03	1.45	1.50	1.42	1.43	2186200	17886558.00
2000/07/04	1.43	1.45	1.42	1.44	1350000	10947087.00
2000/07/05	1.44	1.47	1.43	1.45	1236300	10139333.00
2000/07/06	1.45	1.45	1.41	1.42	1217800	9828406.00
2000/07/07	1.43	1.44	1.43	1.43	1104300	8972851.00
2000/07/10	1.43	1.45	1.42	1.44	1698300	13782897.00
2000/07/11	1.44	1.54	1.44	1.52	3468100	29263168.00
2000/07/12	1.53	1.54	1.50	1.53	2380600	20226796.00
2000/07/13	1.53	1.54	1.50	1.51	2203500	18662348.00
2000/07/14	1.51	1.54	1.49	1.53	2001500	16906868.00
2000/07/17	1.54	1.60	1.53	1.57	4261700	37253620.00
2000/07/18	1.57	1.62	1.57	1.62	3037100	26680198.00
2000/07/19	1.63	1.64	1.59	1.60	3359200	29723992.00
2000/07/20	1.60	1.61	1.55	1.57	2585700	22542412.00
2000/07/21	1.57	1.64	1.57	1.62	4094000	36339176.00
2000/07/24	1.63	1.64	1.60	1.62	2229200	19814016.00
2000/07/25	1.62	1.67	1.62	1.66	3263400	29388178.00
2000/07/26	1.67	1.77	1.67	1.77	6143300	57192552.00
2000/07/27	1.77	1.87	1.77	1.79	13973700	135362832.00
2000/07/28	1.79	1.81	1.75	1.77	4798300	45595424.00
2000/07/31	1.77	1.77	1.71	1.74	2763100	25896792.00
2000/08/01	1.74	1.76	1.74	1.75	1848100	17416392.00
2000/08/02	1.75	1.76	1.71	1.72	2025900	18870088.00
2000/08/03	1.72	1.74	1.72	1.72	1785800	16649568.00
2000/08/04	1.72	1.73	1.65	1.66	3279700	29906852.00
2000/08/07	1.66	1.72	1.62	1.70	2073000	18929812.00
2000/08/08	1.70	1.72	1.68	1.69	1410400	13001566.00
2000/08/09	1.69	1.71	1.67	1.71	1590100	14579650.00
