600677 航天通信 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	5.21	5.62	5.20	5.49	2368700	22759000.00
2000/01/05	5.71	5.71	5.41	5.54	4433700	43289080.00
2000/01/06	5.60	5.82	5.46	5.74	2944400	29353136.00
2000/01/07	5.81	6.04	5.77	5.89	2719900	27998750.00
2000/01/10	5.88	6.13	5.77	5.95	3554600	36863328.00
2000/01/11	6.00	6.00	5.63	5.65	3784200	38122864.00
2000/01/12	5.71	5.77	5.52	5.53	3207000	31445536.00
2000/01/13	5.59	5.67	5.54	5.60	1277000	12563678.00
2000/01/14	5.62	5.91	5.62	5.66	2027600	20348056.00
2000/01/17	5.65	6.27	5.65	6.27	3006500	31683112.00
2000/01/18	6.42	6.54	6.20	6.39	3613600	39773508.00
2000/01/19	6.40	6.53	6.21	6.37	2822700	31306646.00
2000/01/20	6.31	6.87	6.31	6.78	4192700	48692416.00
2000/01/21	6.82	6.95	6.63	6.87	4009300	47198472.00
2000/01/24	6.87	7.00	6.69	6.98	3331800	39679856.00
2000/01/25	6.94	6.99	6.32	6.57	3167900	36495692.00
2000/01/26	6.61	6.69	6.32	6.40	5041800	56348904.00
2000/01/27	6.44	6.86	6.43	6.69	2469000	28447880.00
2000/01/28	6.75	7.11	6.66	7.03	2272200	27038742.00
2000/02/14	7.25	7.78	7.25	7.55	5278400	68605864.00
2000/02/15	7.68	7.74	7.22	7.25	4714700	60425200.00
2000/02/16	7.43	7.55	6.88	7.03	5246800	63854920.00
2000/02/17	7.12	7.33	6.28	6.28	7610100	86000016.00
2000/02/18	6.14	6.68	6.08	6.63	2553900	28834268.00
2000/02/21	6.75	7.02	6.60	6.64	6726600	78889824.00
2000/02/22	6.69	6.78	6.56	6.57	3655500	42005272.00
2000/02/23	6.35	6.69	6.35	6.51	3489600	39573232.00
2000/02/24	6.57	6.94	6.52	6.93	2694100	31897064.00
2000/02/25	6.99	7.00	6.83	6.89	2136100	25462296.00
2000/02/28	6.89	7.36	6.82	7.31	2340600	29056680.00
2000/02/29	7.49	7.49	7.09	7.23	1541400	19155710.00
2000/03/01	7.19	7.23	6.85	7.17	1602300	19595144.00
2000/03/02	7.17	7.29	7.09	7.12	1234600	15287737.00
2000/03/03	7.19	7.43	7.19	7.22	1167500	14706183.00
2000/03/06	7.25	7.36	6.93	6.94	1951500	23789768.00
2000/03/07	6.91	7.09	6.82	7.09	1118000	13383724.00
2000/03/08	7.15	7.25	6.95	7.25	1194600	14619446.00
2000/03/09	7.28	7.54	7.12	7.39	1647200	20833278.00
2000/03/10	7.39	7.68	7.28	7.31	1300300	16702252.00
2000/03/13	7.31	7.63	7.20	7.62	2263700	29314074.00
2000/03/14	7.55	7.55	6.88	7.25	2511900	31701548.00
2000/03/15	7.02	7.37	7.02	7.22	1216000	15137201.00
2000/03/16	7.19	7.25	7.01	7.08	1416200	17463764.00
2000/03/17	7.14	7.38	7.14	7.36	1512900	18971256.00
2000/03/20	7.49	7.62	7.15	7.19	1689600	21111132.00
2000/03/21	7.28	7.43	6.89	6.97	3098100	37818848.00
2000/03/22	7.00	7.17	6.94	7.16	1575700	19022618.00
2000/03/23	7.15	7.22	7.00	7.06	826300	10060870.00
2000/03/24	7.08	7.19	7.00	7.01	917900	11160510.00
2000/03/27	7.00	7.00	6.66	6.74	2229100	26142516.00
2000/03/28	6.75	6.88	6.74	6.82	1916800	22574060.00
2000/03/29	6.82	7.09	6.74	7.09	1938900	22967216.00
2000/03/30	7.19	7.48	7.14	7.44	1998000	25376748.00
2000/03/31	7.40	7.40	7.20	7.25	923600	11557686.00
2000/04/03	7.25	7.37	6.93	6.93	935400	11513423.00
2000/04/04	6.95	7.07	6.85	7.05	624300	7502549.00
2000/04/05	7.05	7.19	6.95	7.02	404400	4918832.00
2000/04/06	7.02	7.17	6.94	7.12	547600	6656765.00
2000/04/07	7.12	7.19	7.07	7.11	543600	6690830.00
2000/04/10	7.12	7.65	7.12	7.58	1874700	24080332.00
2000/04/11	7.59	7.60	7.34	7.38	642500	8248178.00
2000/04/12	7.41	7.41	7.15	7.17	613000	7647828.00
2000/04/13	7.17	7.30	7.09	7.25	514000	6365547.00
2000/04/14	7.25	7.31	7.09	7.15	539600	6640759.00
2000/04/17	7.15	7.25	6.94	6.99	541900	6620112.00
2000/04/18	6.98	7.31	6.94	7.30	851000	10421015.00
2000/04/19	7.25	7.59	7.25	7.45	1983400	25548164.00
2000/04/20	7.49	7.51	7.31	7.32	2170300	27621634.00
2000/04/21	7.36	8.10	7.36	8.10	1772300	24303780.00
2000/04/24	8.71	8.95	8.30	8.78	14887700	224313488.00
2000/04/25	8.65	9.40	8.48	9.22	10094900	152603072.00
2000/04/26	9.23	9.63	9.09	9.43	7569800	121632784.00
2000/04/27	9.52	10.18	9.52	10.03	5117300	85879192.00
2000/04/28	10.20	10.31	9.59	10.11	4456300	74957592.00
2000/05/08	10.20	10.52	10.13	10.45	2801300	48809856.00
2000/05/09	10.45	10.93	10.02	10.93	6453000	115224768.00
2000/05/10	10.88	11.22	10.70	10.88	2648100	49363644.00
2000/05/11	10.82	10.82	10.08	10.31	3055200	53809756.00
2000/05/12	10.15	10.85	10.13	10.85	2144000	38159856.00
2000/05/15	10.91	11.98	10.91	11.65	3020500	59412580.00
2000/05/16	11.74	12.20	11.46	11.71	4553800	91180440.00
2000/05/17	11.65	12.05	11.48	11.92	1145100	22854858.00
2000/05/18	12.05	13.16	12.05	13.16	2991500	64394160.00
2000/05/19	13.20	13.58	12.91	13.31	2041500	45391816.00
2000/05/22	13.39	13.67	12.85	13.38	1498000	33382810.00
2000/05/23	13.45	13.71	13.03	13.68	1292500	28839752.00
2000/05/24	13.71	13.77	13.40	13.43	894900	20372448.00
2000/05/25	13.28	13.39	12.60	13.08	1727100	37363960.00
2000/05/26	12.99	13.71	12.69	13.51	5938300	130854528.00
2000/05/29	13.45	13.83	13.25	13.51	813000	18419208.00
2000/05/30	13.51	14.10	13.33	13.80	1214500	28134042.00
2000/05/31	13.77	14.32	13.77	14.13	623300	14776713.00
2000/06/01	14.20	14.50	13.95	14.14	344900	8184071.00
2000/06/02	14.15	14.29	13.52	13.92	655500	15207632.00
2000/06/05	14.00	14.08	13.71	13.89	877600	20458776.00
2000/06/06	13.95	14.45	13.90	14.42	1044500	24905900.00
2000/06/07	14.42	14.73	14.34	14.50	675300	16404688.00
2000/06/08	14.56	14.78	14.56	14.62	778300	19150668.00
2000/06/09	14.65	14.80	14.48	14.63	890500	21808094.00
2000/06/13	14.93	14.94	14.39	14.51	1182700	29015264.00
2000/06/14	14.42	14.69	14.32	14.69	1432300	34810204.00
2000/06/15	14.75	14.79	14.50	14.63	779100	19002936.00
2000/06/16	14.63	14.69	14.54	14.67	1134100	27766812.00
2000/06/19	14.57	14.79	14.39	14.72	685100	16802598.00
2000/06/20	14.72	14.85	14.65	14.77	746200	18430892.00
2000/06/21	14.59	14.82	14.59	14.82	498300	12324421.00
2000/06/22	14.82	16.33	14.75	16.17	1245800	33167986.00
2000/06/23	16.36	17.40	16.11	16.43	3280100	90142000.00
2000/06/26	16.72	16.72	16.42	16.42	1907700	52707036.00
2000/06/27	16.42	16.55	16.20	16.51	3972300	109033000.00
2000/06/28	16.53	16.66	16.32	16.48	1940500	53290172.00
2000/06/29	16.42	16.79	16.42	16.59	934000	25913720.00
2000/06/30	16.46	16.79	16.17	16.69	417100	11513813.00
2000/07/03	16.66	16.66	16.35	16.44	135900	3731277.00
2000/07/04	16.17	16.61	16.17	16.48	200700	5539997.00
2000/07/05	16.47	17.15	16.47	16.90	344800	9670870.00
2000/07/06	16.90	16.91	16.74	16.79	169600	4754101.00
2000/07/07	16.79	17.09	16.74	16.95	1025800	28980598.00
2000/07/10	16.85	17.39	16.85	17.34	503000	14507525.00
2000/07/11	17.22	17.55	17.22	17.43	270300	7875347.00
2000/07/12	17.67	17.67	17.49	17.59	401900	11784114.00
2000/07/13	17.70	18.00	17.62	17.99	490900	14607487.00
2000/07/14	17.99	18.51	17.99	18.17	718000	21871882.00
2000/07/17	18.32	18.35	18.13	18.24	518800	15760890.00
