600742 一汽富维 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	1.11	1.15	1.07	1.14	328000	3318238.00
2000/01/05	1.14	1.22	1.03	1.18	661200	6820356.00
2000/01/06	1.16	1.29	1.13	1.29	817300	8567139.00
2000/01/07	1.30	1.56	1.30	1.56	3088400	36110816.00
2000/01/10	1.65	1.74	1.60	1.63	3061300	37553344.00
2000/01/11	1.63	1.63	1.42	1.46	1407200	16698179.00
2000/01/12	1.41	1.53	1.41	1.47	1608600	18455118.00
2000/01/13	1.45	1.61	1.45	1.52	1337200	15811597.00
2000/01/14	1.58	1.60	1.48	1.52	1086900	12782437.00
2000/01/17	1.53	1.62	1.48	1.61	1154500	13839857.00
2000/01/18	1.62	1.71	1.58	1.65	2246700	27512124.00
2000/01/19	1.70	1.81	1.69	1.72	4895300	62257812.00
2000/01/20	1.71	1.78	1.63	1.68	1768200	22004416.00
2000/01/21	1.66	1.82	1.63	1.66	2298700	28846684.00
2000/01/24	1.65	1.65	1.46	1.50	1341100	15800868.00
2000/01/25	1.48	1.50	1.40	1.45	893900	10259368.00
2000/01/26	1.46	1.53	1.45	1.53	369700	4294457.00
2000/01/27	1.79	1.79	1.56	1.56	1168000	14303688.00
2000/01/28	1.56	1.61	1.48	1.58	1532200	18096824.00
2000/02/14	1.61	1.80	1.58	1.78	2801500	34910924.00
2000/02/15	1.84	2.01	1.61	1.74	6033800	77660432.00
2000/02/16	1.71	1.73	1.53	1.58	2463800	29879554.00
2000/02/17	1.57	1.69	1.34	1.56	3723800	43629064.00
2000/02/18	1.57	1.86	1.57	1.86	13535000	174504320.00
2000/02/21	1.94	2.19	1.94	2.19	9083600	129417576.00
2000/02/22	2.30	2.40	1.83	1.94	15007600	212840272.00
2000/02/23	1.91	2.01	1.74	1.83	6078400	79985536.00
2000/02/24	1.86	2.03	1.86	2.01	4603500	62172512.00
2000/02/25	2.01	2.04	1.88	1.89	3174900	42675088.00
2000/02/28	1.94	2.06	1.89	2.05	6115600	82982168.00
2000/02/29	2.09	2.26	2.06	2.21	9456600	135706352.00
2000/03/01	2.24	2.45	2.14	2.41	16074600	238889008.00
2000/03/02	2.41	2.47	2.16	2.23	10752400	159838784.00
