600773 西藏城投 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.18	3.24	3.12	3.24	194200	2012320.00
2000/01/05	3.23	3.30	3.21	3.22	214500	2272483.00
2000/01/06	3.22	3.29	3.20	3.29	251300	2647583.00
2000/01/07	3.30	3.39	3.27	3.38	795300	8703919.00
2000/01/10	3.39	3.43	3.32	3.38	543600	5985729.00
2000/01/11	3.39	3.39	3.24	3.25	405300	4378661.00
2000/01/12	3.20	3.26	3.17	3.19	385900	4006188.00
2000/01/13	3.19	3.19	3.13	3.15	200700	2049614.00
2000/01/14	3.14	3.16	3.09	3.13	284300	2859260.00
2000/01/17	3.13	3.13	3.08	3.10	371500	3695255.00
2000/01/18	3.10	3.17	3.08	3.13	213000	2151510.00
2000/01/19	3.18	3.18	3.11	3.12	166100	1678076.00
2000/01/20	3.15	3.17	3.12	3.14	467700	4738892.00
2000/01/21	3.15	3.18	3.09	3.11	555600	5636282.00
2000/01/24	3.10	3.28	3.10	3.28	648200	6761048.00
2000/01/25	3.25	3.31	3.18	3.25	559400	5876679.00
2000/01/26	3.25	3.30	3.20	3.20	223400	2347583.00
2000/01/27	3.25	3.25	3.19	3.20	439100	4592781.00
2000/01/28	3.23	3.28	3.20	3.27	696900	7344450.00
2000/02/14	3.34	3.51	3.30	3.50	1115900	12628642.00
2000/02/15	3.55	3.57	3.38	3.40	1655500	19160974.00
2000/02/16	3.57	3.67	3.40	3.67	2078400	24791762.00
2000/02/17	3.84	3.96	3.55	3.56	3527100	45174884.00
2000/02/18	3.56	3.85	3.54	3.85	3228700	41010528.00
2000/02/21	4.01	4.17	3.90	4.15	5796200	80990048.00
2000/02/22	4.21	4.23	3.86	3.88	3186500	44066776.00
2000/02/23	3.83	3.83	3.64	3.64	2138300	26736856.00
2000/02/24	3.66	3.94	3.66	3.94	1543700	20364752.00
2000/02/25	4.15	4.22	3.94	4.03	4581800	64041024.00
2000/02/28	4.03	4.29	3.98	4.23	3641000	52262160.00
2000/02/29	4.26	4.27	4.03	4.11	2145800	30180088.00
2000/03/01	4.11	4.21	4.04	4.06	1606700	22820856.00
2000/03/02	4.08	4.12	3.89	4.00	1675700	22897314.00
2000/03/03	4.08	4.33	4.06	4.33	5110200	75073360.00
2000/03/06	4.47	4.52	4.11	4.13	3713500	55817192.00
2000/03/07	4.08	4.17	3.99	4.17	1629300	22708720.00
2000/03/08	4.15	4.17	4.05	4.14	958200	13527327.00
2000/03/09	4.14	4.18	4.06	4.07	1077900	15096723.00
2000/03/10	4.07	4.08	3.94	3.96	1272700	17316254.00
2000/03/13	3.93	4.03	3.85	3.96	702500	9443753.00
2000/03/14	3.85	3.96	3.80	3.95	1090800	14347726.00
2000/03/15	3.96	4.05	3.92	4.01	713300	9728801.00
2000/03/16	3.97	3.97	3.83	3.84	768100	10129113.00
2000/03/17	3.96	3.96	3.87	3.96	457400	6110808.00
2000/03/20	3.95	4.15	3.91	4.13	1438400	20166604.00
2000/03/21	4.14	4.20	4.05	4.11	978100	13867655.00
2000/03/22	4.08	4.15	4.04	4.10	697500	9774524.00
2000/03/23	4.11	4.13	4.04	4.12	791600	11100987.00
2000/03/24	4.13	4.18	4.05	4.05	1002800	14143219.00
2000/03/27	4.05	4.29	4.05	4.25	1541100	22156084.00
2000/03/28	4.28	4.30	4.17	4.19	921800	13355156.00
2000/03/29	4.21	4.26	4.09	4.12	821800	11706050.00
2000/03/30	4.10	4.18	4.10	4.14	668300	9501684.00
2000/03/31	4.16	4.27	4.08	4.23	1119600	16037794.00
2000/04/03	4.23	4.43	4.19	4.30	2224200	33563016.00
2000/04/04	4.27	4.46	4.16	4.34	2997800	45572728.00
2000/04/05	4.34	4.60	4.31	4.59	2783700	43227072.00
2000/04/06	4.59	4.64	4.49	4.55	2358800	37770272.00
2000/04/07	4.55	4.74	4.54	4.56	1869300	30258380.00
2000/04/10	4.57	4.62	4.40	4.43	1614000	25145436.00
2000/04/11	4.43	4.50	4.40	4.40	909800	14014739.00
2000/04/12	4.40	4.50	4.34	4.38	769100	11758881.00
2000/04/13	4.36	4.40	4.33	4.37	683200	10362902.00
2000/04/14	4.39	4.40	4.26	4.29	1239200	18493480.00
2000/04/17	4.26	4.26	4.14	4.18	910900	13149942.00
2000/04/18	4.20	4.32	4.20	4.30	517900	7646094.00
2000/04/19	4.30	4.39	4.23	4.33	517800	7699138.00
2000/04/21	4.40	4.69	4.31	4.48	2320000	37091280.00
2000/04/24	4.48	4.60	4.40	4.42	944900	14843728.00
2000/04/25	4.44	4.52	4.41	4.49	525600	8160140.00
2000/04/26	4.49	4.62	4.49	4.53	1022600	16326018.00
2000/04/27	4.55	4.58	4.39	4.39	688600	10713998.00
2000/04/28	4.40	4.43	4.30	4.39	998500	15087371.00
2000/05/08	4.40	4.41	4.32	4.33	538600	8126530.00
2000/05/09	4.33	4.40	4.33	4.37	317900	4810670.00
2000/05/10	4.37	4.37	4.15	4.15	895100	12930779.00
2000/05/11	4.16	4.20	4.06	4.07	434300	6122655.00
2000/05/12	4.09	4.12	4.05	4.05	285000	3980396.00
2000/05/15	4.06	4.08	3.99	4.00	243700	3343469.00
2000/05/16	4.07	4.12	4.05	4.08	206400	2882121.00
2000/05/17	4.10	4.13	4.08	4.08	216900	3057984.00
2000/05/18	4.08	4.17	4.08	4.16	264200	3749367.00
2000/05/19	4.18	4.28	4.14	4.26	643200	9356900.00
2000/05/22	4.27	4.40	4.27	4.35	789000	11846212.00
2000/05/23	4.38	4.39	4.26	4.32	531800	7929721.00
2000/05/24	4.33	4.41	4.32	4.37	738800	11219150.00
2000/05/25	4.40	4.49	4.37	4.45	964700	14859341.00
2000/05/26	4.45	4.53	4.38	4.43	790600	12209306.00
2000/05/29	4.47	4.50	4.44	4.45	739800	11500298.00
2000/05/30	4.50	4.50	4.33	4.34	700800	10725535.00
2000/05/31	4.33	4.40	4.33	4.36	540800	8191920.00
2000/06/01	4.37	4.50	4.34	4.47	788200	12150817.00
2000/06/02	4.48	4.50	4.40	4.41	494400	7615538.00
2000/06/05	4.42	4.42	4.33	4.34	640500	9687508.00
2000/06/06	4.34	4.41	4.34	4.40	341100	5194940.00
2000/06/07	4.41	4.54	4.40	4.47	1012400	15813777.00
2000/06/08	4.47	4.60	4.44	4.57	1842300	29343864.00
2000/06/09	4.58	4.74	4.47	4.48	1872200	30254556.00
2000/06/12	4.45	4.56	4.41	4.50	765500	12052264.00
2000/06/13	4.57	4.69	4.50	4.59	924800	14897668.00
2000/06/14	4.60	4.62	4.50	4.52	537100	8513890.00
2000/06/15	4.50	4.65	4.48	4.62	815200	13108632.00
2000/06/16	4.65	4.66	4.52	4.55	583000	9366286.00
2000/06/19	4.54	4.72	4.53	4.68	1191900	19465952.00
2000/06/20	4.99	4.99	4.56	4.63	1781200	29679328.00
2000/06/21	4.63	4.67	4.48	4.55	978500	15511296.00
2000/06/22	4.55	4.59	4.48	4.50	589800	9312038.00
2000/06/23	4.50	4.64	4.50	4.58	588800	9391242.00
2000/06/26	4.58	4.69	4.57	4.62	719200	11702325.00
2000/06/27	4.64	4.65	4.58	4.62	315800	5095573.00
2000/06/28	4.60	4.62	4.55	4.55	382000	6141376.00
2000/06/29	4.52	4.60	4.52	4.57	422100	6711739.00
2000/06/30	4.59	4.61	4.50	4.51	438800	6940012.00
2000/07/03	4.48	4.55	4.40	4.41	481100	7481985.00
2000/07/04	4.37	4.44	4.37	4.44	263400	4037855.00
2000/07/05	4.45	4.53	4.45	4.46	183800	2867316.00
2000/07/06	4.46	4.52	4.46	4.51	287600	4512276.00
2000/07/07	4.53	4.54	4.49	4.52	213000	3359067.00
2000/07/10	4.51	4.51	4.43	4.43	498100	7711203.00
2000/07/11	4.43	4.50	4.43	4.47	362800	5634952.00
2000/07/12	4.47	4.62	4.45	4.57	475500	7552064.00
2000/07/13	4.57	4.58	4.51	4.54	336600	5345201.00
2000/07/14	4.45	4.57	4.45	4.50	250100	3939072.00
2000/07/17	4.50	4.74	4.48	4.58	566900	9135285.00
2000/07/18	4.52	4.64	4.47	4.52	625200	9962622.00
2000/07/19	4.50	4.54	4.45	4.47	510500	7963437.00
2000/07/20	4.47	4.50	4.40	4.41	516700	7957574.00
2000/07/21	4.45	4.63	4.42	4.60	1361600	21840380.00
2000/07/24	4.60	4.65	4.55	4.62	561800	9058742.00
2000/07/25	4.62	4.64	4.56	4.59	390500	6289284.00
2000/07/26	4.60	4.79	4.57	4.76	1463000	24286628.00
2000/07/27	4.79	4.94	4.74	4.78	2217200	38031816.00
2000/07/28	4.81	4.82	4.67	4.69	835400	13862417.00
2000/07/31	4.69	4.74	4.65	4.70	503900	8301911.00
2000/08/01	4.70	4.75	4.66	4.71	403000	6676547.00
2000/08/02	4.71	4.74	4.64	4.67	325200	5327031.00
2000/08/03	4.67	4.68	4.59	4.61	458900	7430991.00
2000/08/04	4.60	4.64	4.58	4.64	359600	5811569.00
2000/08/07	4.62	4.64	4.55	4.60	447100	7173142.00
2000/08/08	4.60	4.64	4.60	4.60	356200	5761375.00
2000/08/09	4.66	4.68	4.62	4.68	324400	5289885.00
2000/08/10	4.68	4.78	4.68	4.72	538800	8976153.00
2000/08/11	4.71	4.85	4.68	4.71	572400	9563133.00
2000/08/14	4.70	4.75	4.67	4.72	340400	5634214.00
2000/08/15	4.73	4.82	4.71	4.82	758300	12758588.00
2000/08/16	4.86	4.87	4.77	4.79	514700	8729353.00
2000/08/17	4.78	4.79	4.70	4.74	521400	8709382.00
