600776 东方通信 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	6.69	7.40	6.54	7.18	1094300	23090552.00
2000/01/05	7.10	7.27	6.80	6.95	1077800	22870918.00
2000/01/06	6.72	7.26	6.69	7.21	969300	20459004.00
2000/01/07	7.32	7.66	7.19	7.29	2237100	49400592.00
2000/01/10	7.43	7.63	7.21	7.29	2451900	54199456.00
2000/01/11	7.29	7.30	6.54	6.79	1257000	26119292.00
2000/01/12	6.76	6.98	6.21	6.35	1269000	24664224.00
2000/01/13	6.35	6.44	6.20	6.35	382500	7324288.00
2000/01/14	6.40	6.42	6.01	6.08	536300	10095442.00
2000/01/17	6.05	6.12	5.86	6.10	473000	8711049.00
2000/01/18	6.11	6.16	6.03	6.04	359200	6674753.00
2000/01/19	6.04	6.18	5.96	6.12	658300	12239236.00
2000/01/20	6.21	6.79	6.12	6.65	1271300	24875320.00
2000/01/21	6.76	7.05	6.50	6.72	2166900	44671928.00
2000/01/24	6.72	6.86	6.54	6.81	1378600	27865160.00
2000/01/25	6.76	7.06	6.69	6.74	1207000	24928212.00
2000/01/26	6.65	6.72	6.42	6.47	750300	14897828.00
2000/01/27	6.61	7.18	6.43	7.02	2537100	53025888.00
2000/01/28	7.12	7.55	6.95	7.21	2675900	58193840.00
2000/02/14	7.54	8.02	7.54	8.02	2847800	67251504.00
2000/02/15	8.87	8.92	7.74	8.75	3957500	101492392.00
2000/02/16	8.72	9.72	8.53	9.72	6465700	178261712.00
2000/02/17	10.40	10.78	8.66	8.97	5916400	170272640.00
2000/02/18	8.57	9.43	8.38	9.39	2866300	73160688.00
2000/02/21	9.58	9.62	8.44	8.57	1581900	41281216.00
2000/02/22	8.49	8.83	8.27	8.30	978400	24383680.00
2000/02/23	8.11	8.30	7.48	7.70	978800	22812410.00
2000/02/24	7.74	8.40	7.74	8.24	932600	22293068.00
2000/02/25	8.26	8.39	8.04	8.08	576200	13945966.00
2000/02/28	8.12	8.98	7.93	8.98	2165100	55433532.00
2000/02/29	9.24	9.36	8.68	9.05	1883400	49672732.00
2000/03/01	8.90	8.90	8.31	8.37	517800	13133414.00
2000/03/02	8.23	8.72	8.15	8.39	613700	15211712.00
2000/03/03	8.34	8.68	8.32	8.37	817000	20340610.00
2000/03/06	8.36	8.45	7.59	8.37	1115400	26522132.00
2000/03/07	7.95	8.34	7.95	8.30	316500	7637762.00
2000/03/08	8.27	8.49	7.89	8.47	1268200	30486268.00
2000/03/09	8.45	8.57	8.18	8.42	729600	18029470.00
2000/03/10	8.19	8.68	8.15	8.28	638800	15736939.00
2000/03/13	8.22	8.47	8.12	8.34	397600	9734520.00
2000/03/14	8.95	8.95	7.59	8.15	1049300	25079568.00
2000/03/15	8.05	8.86	8.04	8.34	1843100	46375400.00
2000/03/16	8.30	8.30	7.69	7.89	746800	17681900.00
2000/03/17	7.81	8.25	7.81	8.13	672400	16096854.00
