600797 浙大网新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.00	3.19	2.96	3.18	1590700	21366726.00
2000/01/05	3.20	3.26	3.14	3.20	1229600	17205884.00
2000/01/06	3.21	3.48	3.18	3.48	3636400	53583472.00
2000/01/07	3.52	3.58	3.40	3.47	1942000	29783868.00
2000/01/10	3.47	3.55	3.42	3.55	2697500	41832360.00
2000/01/11	3.52	3.81	3.51	3.74	5286300	86879224.00
2000/01/12	3.75	3.77	3.57	3.70	3722000	60338384.00
2000/01/13	3.70	3.89	3.66	3.82	4176400	70800256.00
2000/01/14	3.83	3.86	3.76	3.82	2179700	37117168.00
2000/01/17	3.81	3.87	3.76	3.84	2523300	43141884.00
2000/01/18	4.16	4.16	3.76	3.85	3522600	61080984.00
2000/01/19	3.85	3.85	3.70	3.74	778900	13101866.00
2000/01/20	3.72	3.77	3.66	3.76	816500	13587551.00
2000/01/21	3.75	3.92	3.73	3.90	3577600	61722680.00
2000/01/24	3.89	3.96	3.81	3.85	2814200	49208228.00
2000/01/25	3.85	3.88	3.74	3.82	1344500	22803654.00
2000/01/26	3.80	3.97	3.78	3.93	4133500	72256976.00
2000/01/27	3.93	3.97	3.85	3.93	2181100	38493288.00
2000/01/28	3.92	4.11	3.90	4.11	5748100	104093856.00
2000/02/14	4.14	4.48	4.14	4.48	6911300	136177312.00
2000/02/15	4.52	4.60	4.28	4.35	5070500	103329352.00
2000/02/16	4.36	4.40	4.10	4.34	4426000	84879600.00
2000/02/17	4.30	4.39	3.94	3.94	2759800	52243440.00
2000/02/18	4.00	4.06	3.76	3.95	2049000	35528220.00
2000/02/21	3.96	4.31	3.96	4.31	1912800	36143032.00
2000/02/22	4.52	4.70	4.50	4.70	5366400	114031376.00
2000/02/23	4.79	4.79	4.50	4.63	2630300	55772584.00
2000/02/24	4.62	4.85	4.60	4.85	3117800	67988728.00
2000/02/25	4.89	4.90	4.70	4.78	2035100	44966400.00
2000/02/28	4.81	4.89	4.60	4.83	1751300	38188032.00
2000/02/29	4.82	4.85	4.63	4.70	1138400	24528648.00
2000/03/01	4.70	4.82	4.70	4.77	888700	19453670.00
2000/03/02	4.77	4.80	4.70	4.77	706100	15346083.00
2000/03/03	4.78	4.95	4.68	4.90	3266300	71744704.00
2000/03/06	4.90	5.35	4.90	5.35	14045600	337821696.00
2000/03/07	5.55	5.84	5.41	5.84	7905600	208906688.00
2000/03/08	5.99	6.39	5.83	6.39	11249300	335948864.00
2000/03/09	6.49	6.54	6.10	6.38	4182100	124822384.00
2000/03/10	6.21	6.39	6.11	6.29	1988000	58686400.00
2000/03/13	6.27	6.27	5.94	6.03	2263500	64089336.00
2000/03/14	5.99	6.01	5.80	5.92	2358400	65176568.00
2000/03/15	5.92	6.02	5.85	5.95	1727200	47872008.00
2000/03/16	5.95	5.96	5.79	5.81	1183100	32473268.00
2000/03/17	5.83	6.04	5.76	6.04	2114500	58422720.00
2000/03/20	5.96	6.11	5.62	5.69	1804500	49607828.00
2000/03/21	5.61	5.65	5.31	5.41	2101600	53111872.00
2000/03/22	5.41	5.51	5.39	5.40	972800	24595852.00
2000/03/23	5.41	5.50	5.39	5.47	1082100	27347326.00
2000/03/24	5.48	5.67	5.47	5.67	1871500	48543920.00
2000/03/27	5.67	5.82	5.61	5.73	2052600	54851644.00
2000/03/28	5.73	5.77	5.49	5.57	1317200	34112532.00
2000/03/29	5.55	5.55	5.36	5.43	1011500	25408588.00
2000/03/30	5.43	5.53	5.41	5.43	972200	24721344.00
2000/03/31	5.43	5.64	5.39	5.64	1511600	38640536.00
2000/04/03	5.64	5.79	5.57	5.59	1532300	40807980.00
2000/04/04	5.57	5.57	5.43	5.51	982400	24956872.00
2000/04/05	5.49	5.59	5.46	5.57	969300	24901718.00
2000/04/06	5.57	5.69	5.57	5.64	1033000	27095802.00
2000/04/07	5.65	5.72	5.58	5.69	1172200	30851172.00
2000/04/10	5.72	5.74	5.57	5.69	731000	19174208.00
2000/04/11	5.72	5.74	5.47	5.55	759300	19682072.00
2000/04/12	5.55	5.58	5.35	5.41	685900	17241120.00
2000/04/13	5.39	5.45	5.34	5.40	812700	20283276.00
2000/04/14	5.40	5.49	5.35	5.41	698400	17559348.00
2000/04/17	5.41	5.41	5.21	5.21	668000	16617478.00
2000/04/18	5.25	5.32	4.99	5.05	596700	14027693.00
2000/04/19	5.00	5.39	4.99	5.37	2508700	60432820.00
2000/04/20	5.33	5.45	5.31	5.39	1044000	26177202.00
2000/04/21	5.41	5.43	5.20	5.33	760900	18730272.00
2000/04/24	5.33	5.38	5.16	5.19	671400	16198172.00
2000/04/25	5.19	5.22	5.12	5.20	650000	15523054.00
2000/04/26	5.20	5.27	5.15	5.24	657300	15893844.00
2000/04/27	5.24	5.24	5.15	5.22	580500	13926028.00
2000/04/28	4.99	5.39	4.99	5.39	1927500	45927008.00
2000/05/08	5.35	5.37	5.20	5.29	697400	16952750.00
2000/05/09	5.29	5.32	5.24	5.30	838600	20537744.00
2000/05/10	5.30	5.35	5.09	5.19	677200	16229586.00
2000/05/11	5.15	5.22	4.98	5.03	640400	14984824.00
2000/05/12	5.01	5.07	4.74	4.83	612000	13757557.00
2000/05/15	4.84	4.86	4.73	4.86	661000	14496316.00
2000/05/16	4.87	4.91	4.75	4.82	548800	12112451.00
2000/05/17	4.81	4.91	4.80	4.83	637100	14247084.00
2000/05/18	4.83	4.95	4.76	4.95	910400	20278234.00
2000/05/19	4.98	5.30	4.98	5.21	1872900	44885244.00
2000/05/22	5.21	5.38	5.19	5.34	2607900	63935068.00
2000/05/24	5.35	5.83	5.35	5.61	1909600	49072848.00
2000/05/25	5.65	5.71	5.48	5.51	1082100	28039364.00
2000/05/26	5.51	5.53	5.27	5.31	961800	23896230.00
2000/05/29	5.29	5.35	5.27	5.32	823100	20236966.00
2000/05/30	5.32	5.37	5.27	5.33	808500	19925952.00
2000/05/31	5.33	5.35	5.21	5.31	1051600	25712392.00
2000/06/01	5.31	5.45	5.28	5.43	1441200	35720864.00
2000/06/02	5.39	5.47	5.36	5.45	991300	24920508.00
2000/06/05	5.45	5.55	5.35	5.39	910200	22891904.00
2000/06/06	5.38	5.41	5.29	5.33	735100	18130472.00
2000/06/07	5.33	5.38	5.14	5.23	634700	15355408.00
2000/06/08	5.34	5.34	5.14	5.20	620000	15028370.00
2000/06/09	5.17	5.22	4.99	5.12	682900	15991188.00
2000/06/12	5.09	5.15	5.05	5.08	628800	14830998.00
2000/06/13	5.07	5.08	4.95	5.03	764800	17581320.00
2000/06/14	5.01	5.12	5.00	5.11	802400	18759898.00
2000/06/15	5.12	5.33	5.11	5.33	1327600	32265360.00
2000/06/16	5.35	5.39	5.21	5.27	807600	19807390.00
2000/06/19	5.29	5.32	4.98	5.07	808100	19110628.00
2000/06/20	5.06	5.23	5.05	5.21	973600	23256804.00
2000/06/21	5.21	5.33	5.08	5.12	873500	21077340.00
2000/06/22	5.09	5.17	5.03	5.17	828800	19478740.00
2000/06/23	5.19	5.25	5.05	5.12	729200	17300452.00
2000/06/26	5.09	5.19	5.05	5.13	681200	16059223.00
2000/06/27	5.10	5.15	5.01	5.04	543800	12690680.00
2000/06/28	5.06	5.09	4.89	4.92	748700	17093456.00
2000/06/29	5.19	5.19	4.81	4.95	845800	19304678.00
2000/06/30	4.95	5.03	4.89	5.03	822900	18734760.00
2000/07/03	5.05	5.06	4.89	4.95	569300	12975108.00
2000/07/04	4.95	4.99	4.89	4.98	464300	10564996.00
2000/07/05	4.99	5.03	4.84	4.87	495400	11225743.00
2000/07/06	4.85	4.85	4.42	4.81	500200	11030589.00
2000/07/07	4.80	4.83	4.69	4.73	533400	11685442.00
2000/07/10	4.74	4.75	4.54	4.60	502000	10529260.00
2000/07/11	4.58	4.69	4.56	4.68	583600	12281916.00
2000/07/12	4.64	4.95	4.64	4.95	1423700	31336644.00
2000/07/13	4.99	5.02	4.85	4.90	1124400	25497858.00
2000/07/14	4.86	4.93	4.80	4.87	1042900	23308776.00
2000/07/17	4.87	4.96	4.86	4.90	1511700	34215160.00
2000/07/18	4.86	4.99	4.86	4.98	1372000	31175424.00
2000/07/19	4.96	5.01	4.85	4.86	969200	21988120.00
2000/07/20	4.85	4.88	4.79	4.84	789500	17520210.00
2000/07/21	4.84	4.90	4.76	4.78	639400	14094043.00
2000/07/24	4.78	4.81	4.64	4.65	618700	13442193.00
2000/07/25	4.60	4.83	4.60	4.83	1429100	30806340.00
2000/07/26	4.85	4.91	4.70	4.75	809400	17888570.00
2000/07/27	4.70	4.83	4.70	4.82	1040100	22779608.00
2000/07/28	4.78	4.86	4.76	4.76	764900	16867412.00
2000/07/31	4.76	4.79	4.71	4.76	531600	11610570.00
2000/08/01	4.76	4.81	4.74	4.75	601100	13161926.00
2000/08/02	4.75	4.77	4.67	4.69	514800	11072288.00
2000/08/03	4.68	4.76	4.65	4.68	515900	11079163.00
2000/08/04	4.67	4.74	4.63	4.74	616300	13145936.00
2000/08/07	4.71	4.79	4.71	4.74	606900	13249535.00
2000/08/08	4.64	4.76	4.64	4.75	660100	14210188.00
2000/08/09	4.76	4.79	4.70	4.71	550600	11993543.00
2000/08/10	4.71	4.72	4.65	4.67	433200	9266402.00
2000/08/11	4.67	4.78	4.64	4.76	820400	17697264.00
2000/08/14	4.73	4.81	4.72	4.75	789600	17296026.00
2000/08/15	4.74	4.75	4.68	4.71	548700	11804898.00
2000/08/16	4.71	4.76	4.68	4.73	606800	13137088.00
2000/08/17	4.73	4.80	4.71	4.79	746700	16316907.00
2000/08/18	4.79	4.87	4.77	4.86	860500	19072806.00
2000/08/21	4.86	4.90	4.81	4.84	698900	15623852.00
2000/08/22	4.83	4.89	4.80	4.81	658000	14684891.00
2000/08/23	4.78	4.81	4.62	4.76	675200	14544920.00
2000/08/24	4.74	4.83	4.73	4.81	1013100	22268768.00
2000/08/25	4.89	5.02	4.78	5.01	1615400	36578080.00
2000/08/28	5.02	5.11	5.00	5.05	2837200	66154976.00
2000/08/29	5.01	5.05	4.87	4.95	1143700	25921328.00
2000/08/30	4.93	5.00	4.92	4.98	2028100	46457848.00
2000/08/31	4.96	4.96	4.81	4.85	929800	20882716.00
2000/09/01	4.83	4.87	4.78	4.79	833400	18514936.00
2000/09/04	4.79	4.83	4.71	4.78	734700	16014253.00
2000/09/05	4.76	4.78	4.72	4.76	897700	19547832.00
2000/09/06	4.75	4.78	4.72	4.76	741300	16150931.00
2000/09/07	4.76	4.82	4.76	4.80	937400	20612756.00
2000/09/08	4.80	4.83	4.76	4.79	846500	18656706.00
2000/09/11	4.78	4.80	4.70	4.72	709800	15442443.00
2000/09/12	4.72	4.76	4.70	4.73	666200	14405598.00
2000/09/13	4.72	4.75	4.66	4.68	627300	13532063.00
2000/09/14	4.68	4.74	4.68	4.73	873800	18865966.00
2000/09/15	4.72	4.73	4.68	4.70	704300	15145720.00
2000/09/18	4.70	4.72	4.68	4.69	675500	14517642.00
2000/09/19	4.69	4.69	4.64	4.66	655400	14004718.00
2000/09/20	4.65	4.69	4.64	4.67	675300	14403866.00
2000/09/21	4.67	4.69	4.64	4.67	626300	13355268.00
2000/09/22	4.67	4.71	4.65	4.67	629500	13503186.00
2000/09/26	4.67	4.73	4.67	4.71	716200	15440132.00
2000/09/27	4.71	4.74	4.69	4.71	654100	14130908.00
2000/09/28	4.71	4.73	4.66	4.68	580500	12432849.00
2000/09/29	4.68	4.72	4.67	4.69	655900	14110226.00
2000/10/09	4.70	4.71	4.64	4.65	604100	12884244.00
2000/10/10	4.65	4.68	4.60	4.67	681300	14480048.00
2000/10/11	4.67	4.67	4.60	4.62	561900	11874978.00
2000/10/12	4.62	4.64	4.45	4.49	568400	11752209.00
2000/10/13	4.48	4.53	4.46	4.48	468600	9579336.00
2000/10/16	4.48	4.49	4.35	4.41	660600	13277287.00
2000/10/17	4.40	4.41	4.37	4.40	476300	9503182.00
2000/10/18	4.40	4.43	4.39	4.41	497500	9983703.00
2000/10/19	4.41	4.46	4.38	4.44	550800	11084513.00
2000/10/20	4.44	4.53	4.42	4.50	769500	15739067.00
2000/10/23	4.49	4.51	4.28	4.47	1753200	34660576.00
2000/10/24	4.43	4.43	4.34	4.38	444100	8852901.00
2000/10/25	4.39	4.42	4.30	4.33	559800	11030093.00
2000/10/26	4.32	4.35	4.22	4.35	476100	9222265.00
2000/10/27	4.35	4.38	4.24	4.30	461400	9018416.00
2000/10/30	4.29	4.30	4.26	4.27	404400	7840284.00
2000/10/31	4.27	4.34	4.27	4.32	439900	8609367.00
2000/11/01	4.32	4.40	4.30	4.40	588300	11665466.00
2000/11/02	4.41	4.42	4.34	4.37	565600	11253201.00
2000/11/03	4.36	4.39	4.31	4.33	427600	8451783.00
2000/11/06	4.33	4.35	4.24	4.27	459200	8980819.00
2000/11/07	4.26	4.30	4.24	4.27	445700	8625753.00
2000/11/08	4.27	4.33	4.26	4.32	488000	9484164.00
2000/11/09	4.32	4.37	4.30	4.35	569500	11218129.00
2000/11/10	4.35	4.39	4.32	4.36	506200	10033000.00
2000/11/13	4.36	4.51	4.32	4.51	1213100	24284094.00
2000/11/14	4.53	4.54	4.43	4.49	811900	16534755.00
2000/11/15	4.49	4.54	4.43	4.49	637900	13070127.00
2000/11/16	4.49	4.53	4.43	4.47	522300	10670784.00
2000/11/17	4.46	4.49	4.43	4.47	659300	13388180.00
2000/11/20	4.47	4.48	4.40	4.42	492000	9959445.00
2000/11/21	4.41	4.48	4.41	4.45	944100	19115560.00
2000/11/22	4.45	4.71	4.44	4.71	2193300	45622416.00
2000/11/23	4.69	4.83	4.69	4.76	2304500	50486864.00
2000/11/24	4.77	4.80	4.56	4.58	3687800	77899752.00
2000/11/27	4.57	4.64	4.55	4.62	1900400	39848768.00
2000/11/28	4.62	4.76	4.62	4.72	1858200	40087280.00
