600819 耀皮玻璃 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	6.07	6.44	6.07	6.41	219700	3284450.00
2000/01/05	6.46	6.46	6.26	6.32	43300	650604.00
2000/01/06	6.29	6.81	6.29	6.81	311000	4841967.00
2000/01/07	7.01	7.38	6.73	7.10	388100	6433138.00
2000/01/10	7.09	7.70	6.86	7.70	803300	13641117.00
2000/01/11	7.75	7.99	7.34	7.50	460300	8000610.00
2000/01/12	7.45	7.84	7.30	7.84	462100	8109232.00
2000/01/13	7.83	7.83	7.34	7.35	406500	6947328.00
2000/01/14	7.25	7.81	7.25	7.78	770100	13523776.00
2000/01/17	7.80	7.86	7.34	7.62	497000	8597344.00
2000/01/18	7.62	7.62	7.35	7.35	307700	5250702.00
2000/01/19	7.38	7.38	7.35	7.37	101600	1730959.00
2000/01/20	7.38	7.86	7.35	7.86	839800	14991497.00
2000/01/21	7.92	8.33	7.92	8.31	1415900	26100424.00
2000/01/24	8.31	8.51	7.94	8.24	1314800	25042660.00
2000/01/25	8.12	8.19	7.34	7.35	543200	9338511.00
2000/01/26	7.35	7.44	7.35	7.38	294600	5014920.00
2000/01/27	7.35	7.44	7.35	7.35	194200	3302222.00
2000/01/28	7.40	7.41	7.34	7.35	228700	3888553.00
2000/02/14	7.50	7.65	7.30	7.52	1307400	22630376.00
2000/02/15	7.54	7.82	7.33	7.82	1506900	26235356.00
2000/02/16	7.80	8.35	7.78	8.35	1913300	35556428.00
2000/02/17	8.36	9.05	8.36	9.04	2655100	52577796.00
2000/02/18	8.96	9.10	8.34	9.10	1117300	21983216.00
2000/02/21	9.10	9.26	8.59	8.83	962000	19644548.00
2000/02/22	8.65	8.83	8.28	8.83	696200	13366046.00
2000/02/23	8.83	9.82	8.78	9.82	2752400	58850528.00
2000/02/24	9.87	10.39	8.73	8.73	2462800	54473960.00
2000/02/25	7.79	7.91	7.76	7.76	1571000	28107184.00
2000/02/28	7.45	7.83	7.20	7.44	1285100	21950208.00
2000/02/29	7.50	7.60	7.35	7.43	889000	15146543.00
2000/03/01	7.40	7.48	7.30	7.37	981100	16719672.00
2000/03/02	7.37	7.47	7.35	7.36	646800	11044493.00
2000/03/03	7.35	7.41	7.35	7.36	720600	12262844.00
2000/03/06	7.38	7.68	7.36	7.67	1630400	28357144.00
2000/03/07	7.64	7.64	7.36	7.46	684300	11855259.00
2000/03/08	7.36	7.78	7.36	7.36	919600	16050320.00
2000/03/09	7.38	7.40	6.54	7.38	1248200	20176626.00
2000/03/10	7.35	7.35	6.76	7.30	1103100	18375416.00
2000/03/13	7.20	7.37	6.97	7.34	467200	7846075.00
2000/03/14	7.25	7.35	6.98	7.35	444200	7466546.00
2000/03/15	7.30	7.30	7.10	7.17	92100	1531900.00
2000/03/16	7.13	7.15	6.76	6.96	792400	12803890.00
2000/03/17	6.86	7.34	6.81	7.34	1830800	29812660.00
2000/03/20	7.24	7.33	6.98	7.29	151200	2525602.00
2000/03/21	7.04	7.48	7.01	7.42	586300	10034653.00
2000/03/22	7.35	7.38	7.34	7.38	366500	6233167.00
2000/03/23	7.38	7.78	7.35	7.78	1084200	19003984.00
2000/03/24	7.78	7.78	7.38	7.50	451400	7824864.00
2000/03/27	7.47	7.82	7.25	7.55	1042700	18424042.00
2000/03/28	7.45	7.84	7.45	7.74	963200	16998228.00
2000/03/29	7.55	7.75	7.45	7.67	137500	2408110.00
2000/03/30	7.54	7.60	7.45	7.50	124100	2150494.00
2000/03/31	7.50	7.50	7.26	7.39	310100	5273680.00
2000/04/03	7.20	7.35	7.15	7.23	78200	1312881.00
2000/04/04	7.11	7.20	6.95	7.05	143500	2352088.00
2000/04/05	6.95	7.05	6.86	6.93	109900	1776826.00
2000/04/06	7.05	7.20	6.93	7.20	112400	1827341.00
2000/04/07	7.10	7.50	7.10	7.50	249600	4220855.00
2000/04/10	7.70	7.75	7.40	7.70	277000	4848403.00
2000/04/11	7.70	7.74	7.60	7.70	276600	4891251.00
2000/04/12	7.70	7.88	7.50	7.84	352100	6245615.00
2000/04/13	7.86	8.07	7.84	7.92	694100	12639133.00
2000/04/14	7.92	8.07	7.72	8.06	594700	10855183.00
2000/04/17	8.06	8.12	7.75	8.03	1300000	23683892.00
2000/04/18	7.80	8.08	7.75	7.99	627600	11459039.00
2000/04/19	7.97	8.26	7.84	8.26	411500	7587630.00
2000/04/20	8.44	9.20	8.44	9.20	610700	12564869.00
2000/04/21	9.72	9.82	9.20	9.62	1097600	23429982.00
2000/04/24	9.50	9.57	8.83	9.23	623500	12770229.00
2000/04/25	9.10	9.42	8.83	9.18	732200	15188976.00
2000/04/26	8.93	9.03	8.73	8.98	723900	14631068.00
2000/04/27	8.83	9.33	8.83	9.25	1194400	24775676.00
2000/04/28	9.08	9.32	9.07	9.32	272300	5638098.00
2000/05/08	9.34	9.55	8.86	9.31	94800	1954401.00
2000/05/09	9.32	9.82	9.30	9.75	1812900	38909792.00
2000/05/10	9.61	9.70	8.84	9.47	1198100	25763096.00
2000/05/11	9.32	9.32	8.83	8.97	810300	16341372.00
2000/05/12	8.63	9.08	8.63	9.08	985600	20003110.00
2000/05/15	8.93	9.04	8.82	8.96	184500	3716896.00
2000/05/16	8.83	8.99	8.18	8.23	291600	5646312.00
2000/05/17	8.23	8.23	7.66	7.84	164600	2957555.00
2000/05/18	7.70	7.70	7.35	7.60	730800	12459441.00
2000/05/19	7.44	7.45	7.35	7.44	758700	12929305.00
2000/05/22	7.40	7.44	7.34	7.36	1286800	21908676.00
2000/05/23	7.36	7.49	7.35	7.39	1284900	21894376.00
2000/05/24	7.41	7.49	7.35	7.46	1535600	26170680.00
2000/05/25	7.49	7.56	7.35	7.35	2283100	38944040.00
2000/05/26	7.36	7.53	7.35	7.53	2601100	44370516.00
2000/05/29	7.60	7.67	7.35	7.54	5403200	92434080.00
2000/05/30	7.50	7.53	7.34	7.34	2074800	35344904.00
2000/05/31	7.35	7.52	7.09	7.10	2211900	37492756.00
2000/06/01	7.05	7.05	6.59	6.61	3876600	61314860.00
2000/06/02	6.56	6.81	6.36	6.70	2739700	42552988.00
2000/06/05	6.71	6.74	6.50	6.51	1449300	22346598.00
2000/06/06	6.51	6.62	6.51	6.62	553200	8549463.00
2000/06/07	6.69	6.71	6.55	6.56	588400	9097234.00
2000/06/08	6.61	6.66	6.50	6.50	647100	9919097.00
2000/06/09	6.51	6.61	6.50	6.58	526300	8064764.00
2000/06/12	6.57	6.57	6.50	6.51	394500	6035933.00
2000/06/13	6.51	6.67	6.50	6.62	742300	11441238.00
2000/06/14	6.60	7.23	6.57	6.95	4930500	79390480.00
2000/06/15	6.98	7.10	6.73	6.88	2168500	34919088.00
2000/06/16	6.86	7.03	6.81	6.81	1751300	28281166.00
2000/06/19	6.82	6.86	6.51	6.53	731800	11317697.00
2000/06/20	6.54	6.56	6.37	6.49	470800	7114849.00
2000/06/21	6.49	6.50	6.41	6.47	308500	4679983.00
2000/06/22	6.44	6.73	6.44	6.73	623800	9703973.00
2000/06/23	6.86	6.99	6.61	6.66	617900	9775442.00
2000/06/26	6.66	6.70	6.35	6.36	3426200	51580440.00
2000/06/27	6.36	6.46	6.12	6.19	991000	14673680.00
2000/06/29	6.22	6.36	6.12	6.29	372900	5518673.00
2000/06/30	6.22	6.29	6.12	6.12	553600	8048557.00
2000/07/03	6.12	6.12	5.67	5.69	910800	12584534.00
