600836 界龙实业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	1.54	1.64	1.50	1.64	585900	6109250.00
2000/01/05	1.67	1.82	1.67	1.70	1300600	14595986.00
2000/01/06	1.69	1.76	1.65	1.76	411000	4550858.00
2000/01/07	1.76	1.81	1.74	1.78	860600	9768507.00
2000/01/10	1.77	1.86	1.72	1.84	1166600	13438379.00
2000/01/11	1.92	2.04	1.85	1.88	3119700	39116032.00
2000/01/12	1.87	1.87	1.74	1.75	1064200	12283008.00
2000/01/13	1.74	1.79	1.74	1.76	372600	4206283.00
2000/01/14	1.76	1.77	1.58	1.65	642400	6923612.00
2000/01/17	1.63	1.68	1.58	1.66	363300	3827264.00
2000/01/18	1.67	1.68	1.62	1.62	264100	2784995.00
2000/01/19	1.62	1.64	1.61	1.63	225300	2363890.00
2000/01/20	1.63	1.71	1.63	1.70	294900	3192198.00
2000/01/21	1.71	1.71	1.65	1.70	467700	5049127.00
2000/01/24	1.71	1.72	1.63	1.65	485500	5151780.00
2000/01/25	1.65	1.74	1.63	1.69	529700	5741283.00
2000/01/26	1.69	1.71	1.66	1.67	176000	1899618.00
2000/01/27	1.68	1.70	1.63	1.65	743200	7869439.00
2000/01/28	1.66	1.66	1.58	1.64	1016300	10508917.00
2000/02/14	1.71	1.81	1.67	1.81	1030900	11658575.00
2000/02/15	1.83	1.87	1.74	1.74	1610300	18700944.00
2000/02/16	1.72	1.87	1.71	1.87	1651300	18917962.00
2000/02/17	1.93	1.99	1.70	1.71	1596800	18923832.00
2000/02/18	1.71	1.85	1.70	1.79	878400	10024254.00
2000/02/21	1.79	1.94	1.76	1.91	2525800	30290700.00
2000/02/22	1.94	1.96	1.76	1.77	1319700	15639686.00
2000/02/23	1.76	1.81	1.73	1.75	641500	7247760.00
2000/02/24	1.75	1.83	1.73	1.78	550900	6259609.00
2000/02/25	1.78	1.86	1.77	1.85	1130200	13213326.00
2000/02/28	1.88	1.96	1.86	1.90	1737900	21265224.00
2000/02/29	1.94	1.95	1.84	1.86	1186000	14221210.00
2000/03/01	1.89	2.02	1.89	1.93	1997300	24928668.00
2000/03/02	1.94	2.14	1.93	2.14	4027900	52408304.00
2000/03/03	2.23	2.30	2.09	2.10	5693400	78972816.00
2000/03/06	2.17	2.17	1.89	1.90	2506700	32420028.00
2000/03/07	1.88	1.96	1.86	1.93	1053100	12911424.00
2000/03/08	1.93	1.99	1.90	1.97	752700	9363394.00
2000/03/09	1.98	1.99	1.91	1.94	883700	10926156.00
2000/03/10	1.94	1.97	1.88	1.89	919300	11256919.00
2000/03/13	1.89	1.96	1.88	1.92	687200	8423707.00
2000/03/14	1.88	1.90	1.79	1.88	1168000	13849984.00
2000/03/15	1.87	1.92	1.77	1.78	1663100	19123214.00
2000/03/16	1.78	1.87	1.68	1.69	1159000	12870601.00
2000/03/17	1.69	1.74	1.68	1.73	802600	8784652.00
2000/03/20	1.71	1.75	1.65	1.74	833300	9146384.00
2000/03/21	1.74	1.82	1.70	1.80	915600	10399834.00
2000/03/22	1.79	1.83	1.76	1.77	497300	5689361.00
2000/03/23	1.78	1.80	1.76	1.80	530600	6060870.00
2000/03/24	1.82	1.87	1.80	1.81	932400	10915142.00
2000/03/27	1.79	1.87	1.78	1.83	775500	9120259.00
2000/03/28	1.85	1.95	1.72	1.92	1598200	19198002.00
2000/03/29	1.92	1.92	1.86	1.92	746600	9022368.00
2000/03/30	2.02	2.02	1.91	1.93	1373200	17181794.00
2000/03/31	1.93	2.01	1.91	1.96	1739700	21836816.00
2000/04/03	1.96	2.07	1.96	2.00	1538200	19849688.00
2000/04/04	1.99	1.99	1.90	1.90	728600	8970221.00
2000/04/05	1.90	1.94	1.88	1.93	456100	5567671.00
2000/04/06	1.95	2.04	1.95	2.03	1349300	17276844.00
2000/04/07	2.04	2.06	1.98	2.00	827500	10630757.00
2000/04/10	2.01	2.04	1.96	2.01	617900	7829054.00
2000/04/11	2.01	2.02	1.93	1.94	555700	6964460.00
2000/04/12	1.94	1.97	1.87	1.91	664400	8130135.00
2000/04/13	1.91	1.94	1.88	1.93	475100	5811515.00
2000/04/14	1.93	1.95	1.91	1.92	428100	5245270.00
2000/04/17	1.91	1.91	1.84	1.86	635900	7573207.00
2000/04/18	1.86	1.92	1.84	1.91	383300	4598144.00
2000/04/19	1.93	1.94	1.91	1.94	416800	5144955.00
2000/04/20	1.94	2.00	1.92	1.98	818900	10294933.00
2000/04/21	2.02	2.13	2.01	2.05	3330400	44017512.00
2000/04/24	2.07	2.17	2.02	2.09	2330600	31107056.00
2000/04/25	2.09	2.10	1.98	2.02	837100	10840591.00
2000/04/26	2.05	2.20	2.05	2.12	1970300	26645446.00
2000/04/27	2.11	2.11	2.02	2.03	903900	11836052.00
2000/04/28	2.03	2.07	2.00	2.06	734400	9459128.00
2000/05/08	2.04	2.17	2.04	2.15	1588200	21418136.00
2000/05/09	2.14	2.25	2.12	2.14	2375600	33003512.00
2000/05/10	2.12	2.14	2.01	2.01	935800	12267634.00
2000/05/11	2.01	2.03	1.88	1.88	1010700	12531783.00
2000/05/12	1.88	1.96	1.88	1.90	631200	7719996.00
2000/05/15	1.91	1.96	1.91	1.94	439900	5438929.00
2000/05/17	1.97	1.98	1.91	1.92	298700	3734327.00
2000/05/18	1.91	2.07	1.91	2.06	1212900	15700568.00
2000/05/19	2.07	2.12	2.04	2.11	1225800	16312480.00
2000/05/22	2.14	2.20	2.11	2.16	1552900	21243424.00
2000/05/23	2.17	2.22	2.11	2.20	1985100	27473570.00
2000/05/24	2.22	2.27	2.16	2.20	1965300	27612732.00
2000/05/25	2.20	2.22	2.15	2.19	1382600	19145544.00
2000/05/26	2.20	2.39	2.16	2.33	3661900	53207592.00
2000/05/29	2.37	2.53	2.34	2.39	4207900	64807544.00
2000/05/30	2.39	2.42	2.30	2.36	2048700	30551598.00
2000/05/31	2.34	2.48	2.32	2.39	1480800	22666084.00
2000/06/01	2.40	2.43	2.33	2.43	1319800	19934662.00
2000/06/02	2.43	2.48	2.36	2.38	1027500	15717364.00
2000/06/05	2.37	2.38	2.21	2.24	1847100	26737252.00
2000/06/06	2.24	2.30	2.22	2.27	675000	9665328.00
2000/06/07	2.24	2.29	2.24	2.28	520000	7478509.00
2000/06/08	2.28	2.28	2.19	2.24	1042600	14641713.00
2000/06/09	2.24	2.35	2.22	2.25	965100	14004190.00
2000/06/12	2.25	2.32	2.21	2.25	613000	8758948.00
2000/06/13	2.26	2.33	2.24	2.31	621000	9052925.00
2000/06/14	2.32	2.34	2.26	2.27	431500	6259462.00
2000/06/15	2.27	2.36	2.27	2.35	749500	11005499.00
2000/06/16	2.36	2.37	2.30	2.30	534100	7872202.00
2000/06/19	2.30	2.30	2.22	2.24	577900	8247850.00
2000/06/20	2.21	2.25	2.18	2.20	725100	10126913.00
2000/06/21	2.19	2.24	2.15	2.23	460000	6348779.00
2000/06/22	2.24	2.25	2.15	2.20	391900	5478919.00
2000/06/23	2.20	2.21	2.17	2.21	513000	7131171.00
2000/06/26	2.21	2.22	2.16	2.18	463100	6435884.00
2000/06/27	2.18	2.22	2.18	2.21	346800	4827589.00
2000/06/28	2.21	2.22	2.17	2.20	412700	5728507.00
2000/06/29	2.19	2.19	2.12	2.13	700800	9556942.00
2000/06/30	2.12	2.12	2.06	2.10	723600	9599864.00
2000/07/03	2.08	2.08	2.01	2.02	572300	7398748.00
2000/07/04	2.02	2.06	2.01	2.06	193800	2520797.00
2000/07/05	2.06	2.11	2.06	2.07	209200	2768247.00
2000/07/06	2.07	2.09	2.02	2.04	254300	3312726.00
2000/07/07	2.04	2.07	2.02	2.06	268700	3507107.00
2000/07/10	2.07	2.07	2.02	2.03	384600	4970247.00
2000/07/11	2.03	2.03	1.97	1.99	699800	8856677.00
2000/07/12	1.99	2.05	1.99	2.00	313000	4034415.00
2000/07/13	2.04	2.04	1.99	2.02	342100	4402452.00
2000/07/14	2.03	2.09	2.01	2.09	464800	6103006.00
2000/07/17	2.03	2.12	2.03	2.07	329900	4384272.00
2000/07/18	2.07	2.11	2.07	2.11	292400	3900591.00
2000/07/19	2.11	2.11	2.08	2.09	178400	2375522.00
2000/07/20	2.08	2.11	2.04	2.10	246900	3243474.00
2000/07/21	2.10	2.10	2.06	2.10	236100	3127213.00
2000/07/24	2.24	2.24	2.10	2.16	674900	9292042.00
