600847 万里股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/06	7.02	7.02	7.02	7.02	10800	95263.00
2000/01/07	7.38	7.38	7.38	7.38	156200	1440690.00
2000/01/10	7.74	7.74	7.60	7.74	5651700	54691036.00
2000/01/11	7.98	8.05	7.69	7.70	2784900	27540844.00
2000/01/12	7.66	7.88	7.39	7.40	1818100	17452574.00
2000/01/13	7.36	7.54	7.34	7.44	640700	5954841.00
2000/01/14	7.44	7.82	7.44	7.82	1738600	16963400.00
2000/01/17	7.76	8.08	7.60	7.86	2901800	28643728.00
2000/01/18	7.80	7.90	7.61	7.76	1523600	14807790.00
2000/01/19	7.72	7.92	7.65	7.90	1594200	15499945.00
2000/01/20	7.99	8.30	7.93	8.30	4437900	45917848.00
2000/01/21	8.69	8.71	8.33	8.63	4639200	49999212.00
2000/01/24	8.70	9.06	8.68	9.06	2736100	30734776.00
2000/01/25	9.51	9.52	9.26	9.52	1185100	14058557.00
2000/01/26	10.00	10.00	9.92	10.00	942800	11784297.00
2000/01/27	10.50	10.50	9.61	10.50	7617900	97568672.00
2000/01/28	11.03	11.03	10.68	11.03	3596900	49186520.00
2000/02/14	11.58	11.58	11.32	11.58	1251900	18105892.00
2000/02/15	12.16	12.16	12.16	12.16	913200	13882084.00
2000/02/16	12.38	12.77	12.38	12.77	283900	4531194.00
2000/02/17	13.41	13.41	12.13	13.04	6268900	103119192.00
2000/02/18	12.80	12.80	12.39	12.39	1079400	16748940.00
2000/02/21	11.78	11.78	11.78	11.78	880300	12958016.00
2000/02/22	12.37	12.37	11.18	11.18	4225700	62516584.00
2000/02/23	10.62	11.04	10.62	10.62	2059700	27462564.00
2000/02/24	10.10	10.38	10.10	10.10	984700	12457027.00
2000/02/25	10.00	10.58	9.67	10.31	3312500	42482676.00
2000/02/28	10.40	10.82	10.32	10.82	928300	12347005.00
2000/02/29	11.37	11.37	11.37	11.37	454600	6460108.00
2000/03/01	11.94	11.94	10.82	11.00	3734800	53253068.00
2000/03/02	10.96	11.52	10.84	11.41	1641900	23285744.00
2000/03/03	11.44	11.84	11.04	11.10	1590100	22312628.00
2000/03/06	11.16	11.19	10.55	10.55	1709700	22701756.00
2000/03/07	10.02	10.88	10.02	10.88	1255200	16178295.00
2000/03/08	11.03	11.04	10.40	10.74	711000	9518663.00
2000/03/09	10.76	10.84	10.25	10.38	821000	10848437.00
2000/03/10	10.37	10.57	10.14	10.25	705600	9115028.00
2000/03/13	10.17	10.56	10.08	10.52	750900	9670619.00
2000/03/14	10.30	10.40	9.99	10.28	1358200	17199876.00
2000/03/15	10.24	10.79	10.12	10.79	728000	9493833.00
2000/03/16	10.89	10.95	10.26	10.26	771700	10134800.00
2000/03/17	10.11	10.54	10.10	10.40	536000	6908581.00
2000/03/20	10.16	10.56	10.16	10.53	538500	7008101.00
2000/03/21	10.53	11.06	10.44	11.06	562500	7643298.00
2000/03/22	11.58	11.60	11.04	11.14	1546800	21905100.00
2000/03/23	11.12	11.24	10.82	11.19	703300	9702634.00
2000/03/24	11.20	11.36	10.88	10.89	913400	12661201.00
2000/03/27	11.04	11.36	10.87	11.19	939200	12988033.00
2000/03/28	11.22	11.75	11.04	11.75	1380500	19966740.00
2000/03/29	12.34	12.34	11.92	12.34	1987100	30485688.00
2000/03/30	12.60	12.95	12.16	12.52	2387100	37943804.00
2000/03/31	12.40	13.12	12.18	12.93	980300	15566067.00
2000/04/03	12.87	13.32	12.32	12.37	1024100	16423811.00
2000/04/04	12.24	12.24	11.75	11.75	1199500	17773528.00
2000/04/05	11.44	11.84	11.20	11.47	936100	13442468.00
2000/04/06	11.64	12.05	11.52	12.05	267800	3989104.00
2000/04/07	12.65	12.65	12.09	12.42	1209500	18827680.00
2000/04/10	12.39	12.68	12.10	12.20	572200	8791542.00
2000/04/11	12.04	12.53	12.04	12.20	602000	9250731.00
2000/04/12	12.24	12.24	11.61	11.84	805700	11963116.00
2000/04/13	11.92	12.43	11.76	12.06	723300	11049058.00
2000/04/14	12.08	12.66	12.08	12.66	1689700	26347948.00
2000/04/17	12.66	12.96	12.34	12.92	1852600	29543764.00
2000/04/18	12.86	13.57	12.64	13.57	1964200	32498712.00
2000/04/19	13.84	14.22	13.12	13.12	2469200	42244528.00
2000/04/20	13.02	13.47	12.80	13.19	1777500	28960470.00
2000/04/21	12.95	13.28	12.64	12.72	1386900	22358854.00
2000/04/24	12.80	13.12	12.56	12.63	788100	12625066.00
2000/04/25	12.64	13.12	12.50	12.82	671500	10775693.00
2000/04/26	12.90	12.92	12.18	12.20	806500	12579900.00
2000/04/28	11.68	11.90	11.14	11.43	1496700	21548208.00
2000/05/08	11.24	11.56	10.88	10.88	923200	12832356.00
2000/05/09	10.80	10.99	10.60	10.69	731200	9815584.00
2000/05/10	10.65	10.96	10.57	10.64	402400	5416668.00
2000/05/11	10.62	10.73	10.30	10.40	416100	5453257.00
2000/05/12	10.48	10.60	10.34	10.36	386700	5034190.00
2000/05/15	10.32	10.40	9.66	9.79	752100	9356281.00
2000/05/16	9.72	10.39	9.72	10.01	396800	4988061.00
2000/05/17	10.08	10.19	9.93	9.94	227400	2858605.00
2000/05/18	9.93	10.21	9.82	10.21	378300	4716402.00
2000/05/19	10.22	10.30	10.07	10.22	350100	4448489.00
2000/05/22	10.30	11.18	10.28	10.95	776300	10512491.00
2000/05/23	11.04	11.10	10.64	10.72	441900	5953581.00
2000/05/24	10.77	11.08	10.59	10.81	568600	7631607.00
2000/05/25	10.78	11.04	10.69	11.04	512700	6958078.00
2000/05/26	11.52	11.52	11.04	11.14	1257700	17716012.00
2000/05/29	11.04	11.04	10.64	10.78	929600	12570563.00
2000/05/30	10.72	10.76	10.35	10.36	1447200	18936948.00
2000/05/31	10.32	10.62	10.01	10.38	775400	10060736.00
2000/06/01	10.42	10.46	10.08	10.24	1218800	15588632.00
2000/06/02	10.20	10.47	10.16	10.32	884100	11371234.00
2000/06/05	10.32	10.33	10.16	10.32	884900	11315172.00
2000/06/06	10.46	10.80	10.24	10.76	791000	10542574.00
2000/06/07	10.76	11.04	10.56	10.98	908400	12286671.00
2000/06/08	10.98	11.36	10.85	11.21	1529900	21387008.00
2000/06/09	11.22	11.40	10.88	10.92	966100	13400828.00
2000/06/12	10.88	10.96	10.66	10.70	631800	8521903.00
2000/06/13	10.80	11.18	10.70	11.08	457400	6304870.00
2000/06/14	11.10	11.60	11.10	11.36	1690700	24074064.00
2000/06/15	11.36	11.58	11.26	11.27	804700	11446186.00
2000/06/16	11.28	11.36	11.05	11.13	697600	9752236.00
2000/06/19	11.08	11.16	10.92	11.01	429800	5921976.00
2000/06/20	11.01	11.01	10.65	10.86	515700	6972158.00
2000/06/21	10.86	11.22	10.80	11.06	547100	7603388.00
2000/06/22	11.05	11.20	10.83	10.94	520300	7107981.00
2000/06/23	11.00	11.18	10.78	11.07	684100	9448538.00
2000/06/27	11.16	11.20	10.65	10.84	350900	4791880.00
2000/06/28	10.84	10.84	10.40	10.50	1344200	17750116.00
2000/06/29	10.50	10.62	10.30	10.38	842500	10955931.00
2000/06/30	10.32	10.52	10.30	10.48	636700	8264683.00
2000/07/03	10.40	10.40	10.16	10.29	337400	4337226.00
2000/07/04	10.24	10.38	10.24	10.30	251100	3232029.00
2000/07/05	10.32	10.56	10.28	10.47	353000	4579303.00
2000/07/06	10.44	10.54	10.32	10.38	172600	2247898.00
2000/07/07	10.38	10.54	10.36	10.38	233300	3043498.00
2000/07/10	10.38	10.40	10.08	10.10	695300	8875807.00
2000/07/11	10.12	10.24	9.98	10.15	501200	6328207.00
2000/07/12	10.12	10.24	10.02	10.06	376700	4750155.00
2000/07/13	10.08	10.44	9.99	10.37	620000	7867013.00
2000/07/14	10.38	10.48	10.26	10.33	266200	3429844.00
2000/07/17	10.28	10.28	10.04	10.20	205100	2611940.00
2000/07/18	10.14	10.36	10.12	10.36	202500	2582804.00
2000/07/19	10.56	10.56	10.28	10.42	271100	3530281.00
2000/07/20	10.42	10.56	10.36	10.54	387200	5069749.00
2000/07/21	10.48	10.68	10.39	10.58	670300	8844321.00
2000/07/24	10.71	11.10	10.44	10.88	873000	11883261.00
2000/07/25	10.88	11.17	10.78	10.94	682600	9372455.00
2000/07/26	10.94	11.16	10.88	11.12	563700	7760027.00
2000/07/27	11.14	11.60	10.97	11.36	1878300	26590592.00
2000/07/28	11.36	11.54	11.14	11.28	844000	11990423.00
2000/07/31	11.40	12.41	11.38	11.84	3665200	55326648.00
2000/08/01	11.88	12.16	11.57	11.57	1190800	17660004.00
2000/08/02	11.58	12.00	11.58	11.76	1299500	19272412.00
2000/08/03	11.86	12.00	11.68	11.77	897500	13319406.00
2000/08/04	11.72	11.80	11.25	11.28	1541800	22070964.00
2000/08/07	11.19	11.64	11.15	11.64	803000	11563091.00
2000/08/08	11.62	11.99	11.58	11.98	592400	8711511.00
2000/08/09	11.88	12.36	11.88	11.96	1360300	20757764.00
2000/08/10	11.92	12.29	11.61	11.83	1747400	26336910.00
2000/08/11	11.76	12.18	11.72	12.00	1371300	20506256.00
2000/08/14	12.16	12.97	12.16	12.46	1681300	26496312.00
2000/08/15	12.48	12.78	12.34	12.42	1065000	16708496.00
2000/08/16	12.64	13.00	12.49	12.86	1494900	23972992.00
2000/08/17	12.92	13.21	12.66	12.96	869800	14042891.00
2000/08/18	12.96	13.04	12.69	12.92	642500	10311160.00
2000/08/21	13.04	13.12	12.86	13.00	810500	13171630.00
2000/08/22	13.00	13.10	12.40	12.40	1139700	18120066.00
2000/08/23	12.24	12.65	11.79	12.46	1890200	29011584.00
2000/08/24	12.48	13.10	12.21	12.87	1408500	22611452.00
2000/08/25	12.87	12.94	12.61	12.70	566500	9046043.00
2000/08/28	12.68	13.18	12.68	12.88	652100	10517519.00
2000/08/29	12.88	13.08	12.80	13.02	419300	6778156.00
2000/08/30	13.05	13.08	12.44	12.56	615500	9807958.00
2000/08/31	12.47	12.62	12.08	12.08	1007600	15539341.00
2000/09/01	11.98	12.24	11.84	11.85	931900	14044172.00
2000/09/04	11.76	12.30	11.66	11.96	585600	8693621.00
2000/09/05	12.12	12.14	11.43	11.48	624400	9130442.00
2000/09/06	11.28	11.49	11.12	11.16	547500	7716033.00
2000/09/07	10.88	11.54	10.88	11.36	411000	5832977.00
2000/09/11	11.60	11.99	11.41	11.88	483600	7155443.00
2000/09/12	11.88	12.05	11.54	11.88	392700	5843236.00
2000/09/13	11.85	12.16	11.77	11.92	509700	7657038.00
2000/09/14	11.88	12.02	11.62	11.78	326500	4855307.00
2000/09/15	11.76	11.88	11.62	11.66	234700	3434205.00
2000/09/18	11.66	11.80	11.37	11.44	415900	5998497.00
2000/09/19	11.32	11.36	11.12	11.23	558100	7830088.00
2000/09/20	11.12	11.52	11.06	11.41	417300	5898177.00
2000/09/21	11.29	11.68	11.22	11.52	298600	4299886.00
2000/09/22	11.45	12.00	11.38	11.97	612800	9062163.00
2000/09/25	11.98	12.14	11.76	12.00	356600	5333369.00
2000/09/26	12.00	12.24	11.60	11.66	429800	6353543.00
2000/09/27	11.70	11.73	11.30	11.73	308800	4467034.00
2000/09/28	11.66	12.00	11.38	11.64	421300	6187209.00
2000/09/29	11.59	11.94	11.46	11.60	327600	4830131.00
2000/10/09	11.88	12.25	11.58	12.24	564700	8524715.00
2000/10/10	12.22	12.64	12.22	12.43	573900	8976335.00
2000/10/11	12.54	12.72	12.32	12.52	404900	6352698.00
2000/10/12	12.58	12.66	12.37	12.64	473700	7442275.00
2000/10/13	12.68	12.74	12.40	12.44	324300	5082996.00
2000/10/16	12.39	12.39	11.94	12.00	385700	5844693.00
2000/10/17	12.00	12.23	11.91	12.16	248700	3749034.00
2000/10/18	12.14	12.47	12.12	12.42	219500	3387539.00
2000/10/19	12.40	12.42	12.00	12.00	266000	4032779.00
2000/10/20	12.00	12.36	12.00	12.12	199500	3023039.00
2000/10/23	12.16	13.00	12.16	12.76	837700	13267979.00
2000/10/24	12.86	12.92	12.60	12.79	1075700	17160144.00
2000/10/25	13.04	13.52	12.80	13.39	1772400	29169296.00
2000/10/26	13.34	13.36	13.08	13.19	659600	10899217.00
2000/10/27	13.16	13.30	12.96	12.99	419900	6867544.00
2000/10/30	13.19	13.34	12.97	12.98	565200	9294518.00
2000/10/31	13.00	13.16	12.60	12.68	433200	6963791.00
2000/11/01	12.64	12.86	12.48	12.63	376300	5940987.00
2000/11/02	12.71	12.88	12.60	12.78	322100	5117126.00
2000/11/03	12.88	12.98	12.64	12.94	295100	4736448.00
2000/11/06	12.96	13.16	12.82	12.96	435000	7061899.00
2000/11/07	12.97	13.10	12.86	12.86	244800	3973362.00
2000/11/08	12.86	13.14	12.86	13.06	397300	6473519.00
2000/11/09	13.12	13.20	12.88	13.06	509700	8282315.00
2000/11/10	13.12	13.16	12.60	12.64	869500	13876656.00
2000/11/13	12.60	12.80	12.53	12.55	635200	10035191.00
2000/11/14	12.44	13.07	12.44	12.92	522700	8370079.00
2000/11/15	12.92	13.80	12.84	13.28	1651100	27518050.00
2000/11/16	13.50	13.68	13.36	13.40	927100	15683249.00
2000/11/17	13.48	13.56	13.05	13.10	1240300	20512804.00
