600855 航天长峰 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	6.66	6.82	6.42	6.63	92000	969809.00
2000/01/05	6.50	6.80	6.37	6.69	579100	6210630.00
2000/01/06	6.54	6.70	6.41	6.56	279700	2934658.00
2000/01/07	6.42	6.63	6.38	6.59	709000	7397954.00
2000/01/10	6.60	6.63	6.47	6.59	508000	5375879.00
2000/01/11	6.59	6.78	6.59	6.69	690000	7465248.00
2000/01/12	6.72	6.73	6.35	6.49	423500	4441238.00
2000/01/13	6.48	6.49	6.16	6.37	436600	4390222.00
2000/01/14	6.31	6.31	6.05	6.18	122000	1209107.00
2000/01/18	5.86	5.86	5.86	5.86	47000	446500.00
2000/01/19	5.56	5.80	5.56	5.56	965200	8754224.00
2000/01/20	5.35	5.61	5.35	5.59	626700	5586798.00
2000/01/21	5.53	5.88	5.53	5.88	447600	4242653.00
2000/01/24	5.88	6.05	5.61	5.78	210700	1968765.00
2000/01/25	5.77	6.05	5.77	5.96	273200	2619768.00
2000/01/26	5.91	6.16	5.91	6.00	338800	3318615.00
2000/01/27	5.98	6.15	5.72	5.86	217300	2091948.00
2000/01/28	5.85	6.12	5.57	6.12	281300	2630260.00
2000/02/14	6.04	6.43	5.83	6.43	1030400	10387489.00
2000/02/15	6.29	6.29	6.10	6.10	616500	6132757.00
2000/02/16	5.80	6.24	5.79	5.93	368600	3512279.00
2000/02/17	5.80	6.05	5.62	5.63	457500	4249474.00
2000/02/21	5.35	5.92	5.35	5.92	557000	5272373.00
2000/02/22	5.97	6.22	5.97	6.21	1087200	10836471.00
2000/02/23	6.24	6.53	6.24	6.53	361300	3804134.00
2000/02/24	6.50	6.87	6.47	6.87	1304000	14382470.00
2000/02/25	7.20	7.22	6.82	6.91	933500	10682924.00
2000/02/28	7.07	7.22	6.85	7.01	838200	9597146.00
2000/02/29	7.02	7.09	6.65	6.65	256200	2776681.00
2000/03/01	6.31	6.99	6.31	6.67	568500	6059235.00
2000/03/02	6.98	7.01	6.66	6.78	388700	4242619.00
2000/03/03	6.82	6.82	6.57	6.72	500800	5415522.00
2000/03/06	6.82	6.99	6.38	6.38	424200	4539996.00
2000/03/07	6.17	6.21	6.05	6.21	450400	4438308.00
2000/03/08	6.05	6.24	5.93	6.04	897900	8752339.00
2000/03/09	6.06	6.15	5.77	5.95	490800	4737030.00
2000/03/10	5.93	5.93	5.67	5.84	346900	3270203.00
2000/03/13	5.84	6.14	5.73	6.14	341600	3296180.00
2000/03/14	6.19	6.46	6.18	6.46	1047800	10920908.00
2000/03/15	6.79	6.79	6.78	6.79	583400	6394211.00
2000/03/17	7.10	7.13	6.50	6.74	1077400	11896645.00
2000/03/20	6.40	6.69	6.40	6.40	969300	10063316.00
2000/03/21	6.07	6.28	6.07	6.18	655200	6531917.00
