600871 *ST油服 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	2.07	2.10	2.02	2.08	2083400	10431321.00
2000/01/05	2.08	2.15	2.06	2.08	3693300	18731782.00
2000/01/06	2.07	2.22	2.06	2.16	5431700	28038272.00
2000/01/07	2.16	2.34	2.15	2.20	5763000	30506884.00
2000/01/10	2.23	2.28	2.16	2.24	7244200	38502600.00
2000/01/11	2.24	2.24	2.09	2.10	3300100	17160768.00
2000/01/12	2.08	2.14	2.04	2.06	2937800	14731313.00
2000/01/13	2.04	2.09	2.02	2.08	1908100	9497668.00
2000/01/14	2.08	2.17	2.08	2.12	2642800	13528143.00
2000/01/17	2.11	2.25	2.10	2.21	6023700	31917368.00
2000/01/18	2.21	2.29	2.18	2.19	4618700	24844364.00
2000/01/19	2.18	2.21	2.14	2.18	2241700	11683813.00
2000/01/20	2.17	2.22	2.15	2.18	1823200	9555735.00
2000/01/21	2.20	2.21	2.10	2.13	4054100	20847004.00
2000/01/24	2.11	2.16	2.07	2.14	2581400	13126556.00
2000/01/25	2.14	2.23	2.11	2.16	3495100	18241368.00
2000/01/26	2.19	2.36	2.18	2.25	12621400	69051456.00
2000/01/27	2.25	2.25	2.16	2.17	5610500	29519920.00
2000/01/28	2.16	2.22	2.14	2.18	4320100	22630416.00
2000/02/14	2.24	2.39	2.18	2.37	9972500	55219484.00
2000/02/15	2.37	2.37	2.21	2.23	10407500	56944248.00
2000/02/16	2.22	2.22	2.12	2.17	7782400	40492832.00
2000/02/17	2.17	2.34	2.15	2.27	13919000	75298704.00
2000/02/18	2.26	2.27	2.14	2.16	5820800	30387506.00
2000/02/21	2.16	2.25	2.14	2.20	5588500	29363040.00
2000/02/22	2.21	2.26	2.12	2.14	4384500	22920928.00
2000/02/23	2.12	2.15	2.06	2.11	5265400	26552688.00
2000/02/24	2.08	2.13	2.07	2.10	2440800	12369906.00
2000/02/25	2.11	2.11	2.07	2.08	4672700	23462928.00
2000/02/28	2.10	2.18	2.09	2.11	3468000	17725736.00
2000/02/29	2.12	2.14	2.07	2.13	5306700	26869392.00
2000/03/01	2.15	2.15	2.08	2.10	3509200	17844128.00
2000/03/02	2.10	2.14	2.09	2.10	3098900	15721751.00
2000/03/03	2.10	2.16	2.10	2.14	4639700	23856804.00
2000/03/06	2.16	2.17	2.10	2.11	4127600	21283568.00
