600883 博闻科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.94	4.02	3.88	3.97	27000	493609.00
2000/01/05	3.92	4.09	3.84	3.90	82400	1516890.00
2000/01/06	4.21	4.21	3.84	3.95	256400	4656959.00
2000/01/07	3.96	4.19	3.91	4.14	193100	3658288.00
2000/01/10	4.17	4.18	4.02	4.13	180400	3470002.00
2000/01/11	4.13	4.13	3.95	4.05	152800	2891208.00
2000/01/12	4.11	4.11	3.89	3.89	150300	2765313.00
2000/01/13	3.86	3.96	3.84	3.94	31300	562760.00
2000/01/14	3.96	3.96	3.86	3.89	75900	1379351.00
2000/01/17	3.86	3.95	3.86	3.88	40100	723736.00
2000/01/18	3.89	3.94	3.87	3.93	50300	908366.00
2000/01/19	3.95	4.25	3.93	4.22	404300	7962025.00
2000/01/20	4.18	4.25	4.14	4.18	203900	4033818.00
2000/01/21	4.17	4.31	4.09	4.20	177500	3496951.00
2000/01/24	4.21	4.55	4.21	4.55	387200	8238033.00
2000/01/25	4.69	4.82	4.52	4.61	458500	10293272.00
2000/01/26	4.60	4.64	4.53	4.55	173200	3770224.00
2000/01/27	4.55	4.80	4.34	4.66	189000	4209768.00
2000/01/28	4.66	4.66	4.52	4.54	203800	4436452.00
2000/02/14	4.92	4.92	4.92	4.92	79000	1878644.00
2000/02/15	5.34	5.34	5.23	5.34	567200	14837406.00
2000/02/16	5.55	5.79	5.49	5.67	753400	21001500.00
2000/02/17	6.17	6.17	5.26	5.39	878400	24604040.00
2000/02/18	5.30	5.57	5.24	5.49	650000	17409788.00
2000/02/21	5.49	5.98	5.49	5.81	982900	28168968.00
2000/02/22	5.76	5.76	5.30	5.30	593800	15925466.00
2000/02/23	5.19	5.30	4.84	4.84	558300	13420428.00
2000/02/24	4.84	4.97	4.69	4.89	735700	17086994.00
2000/02/25	4.94	4.95	4.74	4.76	889900	20501466.00
2000/02/28	4.76	4.94	4.75	4.85	1554400	36174744.00
2000/02/29	4.92	4.96	4.60	4.76	1397600	31955404.00
2000/03/01	4.76	4.92	4.69	4.76	754500	17373816.00
2000/03/02	4.76	4.95	4.75	4.93	640800	15061302.00
2000/03/03	4.99	5.35	4.87	5.24	1245100	31133108.00
2000/03/06	5.28	5.31	4.87	4.87	698400	17289024.00
2000/03/07	4.82	5.01	4.76	4.99	429000	10216557.00
2000/03/08	5.10	5.23	5.03	5.08	384400	9591071.00
2000/03/09	5.32	5.37	5.14	5.19	951000	24339626.00
2000/03/10	5.23	5.26	4.96	5.14	1335500	33289776.00
2000/03/13	5.12	5.37	5.07	5.28	1420800	36068976.00
2000/03/14	5.19	5.23	4.87	5.17	1328200	32708146.00
2000/03/15	5.17	5.26	5.10	5.18	783700	19814266.00
2000/03/16	5.14	5.14	4.87	4.92	900000	21745368.00
2000/03/20	5.17	5.34	5.08	5.34	1747000	43991456.00
2000/03/21	5.34	5.60	5.32	5.41	2275700	61257680.00
2000/03/22	5.41	5.44	5.26	5.40	1857100	48818556.00
2000/03/23	5.44	5.47	5.26	5.36	975500	17005396.00
2000/03/24	5.36	5.43	5.17	5.22	1762400	30290772.00
2000/03/27	5.20	5.39	5.17	5.30	1211600	20951700.00
2000/03/28	5.31	5.41	5.30	5.39	1020800	17802660.00
2000/03/29	5.41	5.46	5.35	5.38	949600	16723758.00
2000/03/30	5.39	5.44	5.33	5.40	896200	15699685.00
2000/03/31	5.39	5.41	5.30	5.39	825100	14380836.00
2000/04/03	5.37	5.63	5.35	5.59	1629500	29374192.00
2000/04/04	5.57	5.57	5.44	5.46	1091400	19584966.00
2000/04/05	5.44	5.49	5.32	5.36	586700	10350362.00
2000/04/06	5.36	5.49	5.35	5.44	662400	11811415.00
2000/04/07	5.46	5.49	5.36	5.41	582600	10302944.00
2000/04/10	5.40	5.48	5.35	5.43	682300	12139022.00
2000/04/11	5.45	5.72	5.41	5.69	1897700	34686012.00
2000/04/12	5.69	5.69	5.46	5.52	896700	16370695.00
2000/04/13	5.49	5.63	5.49	5.56	598000	10914259.00
2000/04/14	5.56	5.59	5.49	5.50	576000	10398443.00
2000/04/17	5.47	5.47	5.31	5.35	678100	11860049.00
2000/04/18	5.33	5.41	5.31	5.36	385600	6753143.00
2000/04/19	5.36	5.50	5.36	5.42	382500	6784453.00
2000/04/20	5.43	5.44	5.36	5.39	366600	6459287.00
2000/04/21	5.39	5.44	5.35	5.36	387400	6825200.00
2000/04/24	5.31	5.36	5.23	5.28	474400	8187107.00
2000/04/25	5.28	5.33	5.27	5.31	272300	4696697.00
2000/04/26	5.31	5.33	5.29	5.30	216500	3744160.00
2000/04/27	5.32	5.32	5.25	5.26	315800	5434412.00
2000/04/28	5.27	5.42	5.25	5.40	445800	7767404.00
2000/05/08	5.41	5.44	5.35	5.41	284500	5004729.00
2000/05/09	5.40	5.40	5.25	5.29	205200	3553860.00
