600890 中房股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	2.18	2.22	2.17	2.21	359700	2064763.00
2000/01/05	2.21	2.29	2.18	2.25	659200	3864384.00
2000/01/06	2.24	2.37	2.24	2.36	1097200	6652237.00
2000/01/07	2.38	2.42	2.34	2.39	1387700	8587720.00
2000/01/10	2.40	2.43	2.35	2.39	1500200	9318509.00
2000/01/11	2.39	2.50	2.36	2.38	1536700	9763051.00
2000/01/12	2.36	2.41	2.27	2.27	1040700	6261236.00
2000/01/13	2.27	2.33	2.22	2.24	482400	2852843.00
2000/01/14	2.23	2.24	2.18	2.19	517300	2975187.00
2000/01/17	2.18	2.25	2.16	2.22	267300	1524337.00
2000/01/18	2.22	2.29	2.20	2.26	487800	2846518.00
2000/01/19	2.27	2.34	2.25	2.34	508100	3049552.00
2000/01/20	2.34	2.42	2.34	2.42	1151300	7124731.00
2000/01/21	2.42	2.46	2.38	2.45	2071200	13014632.00
2000/01/24	2.46	2.67	2.46	2.59	6922700	46237340.00
2000/01/25	2.61	2.62	2.50	2.50	2156100	14170368.00
2000/01/26	2.50	2.57	2.50	2.53	919900	6026746.00
2000/01/27	2.54	2.57	2.44	2.45	1347500	8661364.00
2000/01/28	2.45	2.46	2.37	2.43	1368900	8528763.00
2000/02/14	2.48	2.67	2.48	2.67	2175900	14532255.00
2000/02/15	2.71	2.74	2.46	2.46	3093300	20815952.00
2000/02/16	2.50	2.72	2.45	2.72	3748000	24610512.00
2000/02/17	2.91	2.94	2.51	2.60	4041200	28404472.00
2000/02/18	2.58	2.58	2.49	2.53	1204800	7870953.00
2000/02/21	2.54	2.61	2.46	2.55	1825500	11932479.00
2000/02/22	2.55	2.58	2.46	2.47	1240500	8104543.00
2000/02/23	2.46	2.52	2.40	2.41	1077500	6829629.00
2000/02/24	2.40	2.46	2.39	2.44	850900	5342297.00
2000/02/25	2.44	2.57	2.41	2.56	1671500	10835584.00
2000/02/28	2.67	2.82	2.65	2.82	6071000	43666276.00
2000/02/29	2.99	3.03	2.71	2.83	10681700	79667128.00
2000/03/01	2.83	2.83	2.71	2.74	2664600	18971100.00
2000/03/02	2.74	2.82	2.71	2.78	2085000	14816418.00
2000/03/03	2.79	2.83	2.73	2.76	2185600	15567766.00
