600901 江苏租赁 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/03/01	7.38	8.88	7.38	8.88	719729	6463311.00
2018/03/02	9.78	9.78	9.78	9.78	930444	9211396.00
2018/03/05	10.77	10.77	10.19	10.77	249621357	2671782656.00
2018/03/06	11.18	11.86	11.16	11.86	139645140	1618029184.00
2018/03/07	11.88	12.63	10.99	11.67	319540882	3724494592.00
2018/03/08	11.34	11.82	11.10	11.36	169105295	1951570560.00
2018/03/09	11.23	11.85	11.23	11.60	180832157	2115999232.00
2018/03/12	11.71	12.70	11.40	12.31	215618846	2607583488.00
2018/03/13	12.08	12.21	11.54	11.57	169913018	2028991616.00
2018/03/14	11.44	11.65	11.25	11.48	90991148	1054120128.00
2018/03/15	11.29	11.38	10.59	10.84	128861613	1426941824.00
2018/03/16	10.85	11.08	10.78	10.87	65030759	718931776.00
2018/03/19	10.86	11.07	10.60	10.94	63368080	695248320.00
2018/03/20	10.68	10.84	10.59	10.73	58015137	627561792.00
2018/03/21	10.67	11.21	10.66	10.77	84396060	935420224.00
2018/03/22	10.74	10.84	10.46	10.56	69920531	749872256.00
2018/03/23	10.02	10.13	9.49	9.49	101265389	1002117248.00
2018/03/26	9.13	9.53	8.89	9.49	56955032	533668448.00
2018/03/27	9.61	9.81	9.54	9.63	58267538	570073024.00
2018/03/28	9.43	10.13	9.29	9.74	72946919	725665600.00
2018/03/29	9.72	9.87	9.63	9.79	46776320	462417920.00
2018/03/30	9.87	9.92	9.69	9.76	43093247	425453280.00
2018/04/02	9.72	9.79	9.52	9.56	46278660	452890368.00
2018/04/03	9.36	9.42	9.23	9.34	36962731	348852736.00
2018/04/04	9.42	9.60	9.32	9.33	35802780	342061888.00
2018/04/09	9.18	9.72	9.11	9.62	53592696	511247264.00
2018/04/10	9.62	9.96	9.54	9.93	73537073	725834368.00
2018/04/11	9.96	10.03	9.78	9.81	56218436	562050496.00
2018/04/12	9.98	10.80	9.94	10.80	61694590	658795712.00
