600908 无锡银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/09/23	5.06	6.14	5.06	6.14	69016	440035.03
2016/09/26	6.78	6.78	6.78	6.78	49916	353405.28
2016/09/27	7.49	7.49	7.49	7.49	50025	389694.75
2016/09/28	8.27	8.27	8.27	8.27	131117	1123672.75
2016/09/29	9.13	9.13	9.13	9.13	380725	3590236.75
2016/09/30	10.07	10.07	10.07	10.07	1400113	14519172.00
2016/10/10	11.11	11.11	11.11	11.11	1129604	12888782.00
2016/10/11	12.25	12.25	12.25	12.25	920282	11549539.00
2016/10/12	13.51	13.51	12.81	13.47	125745081	1690421504.00
2016/10/13	13.08	13.17	12.56	12.67	76309598	1006216896.00
2016/10/14	12.70	13.67	12.53	12.95	79164062	1061258880.00
2016/10/17	12.70	12.75	12.13	12.25	53289935	674576768.00
2016/10/18	12.15	12.17	11.72	12.15	44524741	546452288.00
2016/10/19	12.05	12.17	11.82	11.99	24012346	294383520.00
2016/10/20	12.03	12.04	11.55	11.57	29579040	356633088.00
2016/10/21	11.50	11.65	11.10	11.21	30312516	352609888.00
2016/10/24	11.20	12.09	11.13	11.71	51835826	620260992.00
2016/10/25	11.57	11.90	11.32	11.71	35894505	428391808.00
2016/10/26	11.66	11.68	11.39	11.48	18115692	214706688.00
2016/10/27	11.47	11.77	11.47	11.59	17568659	208944560.00
2016/10/28	11.62	12.78	11.50	12.77	100668241	1304221440.00
2016/10/31	12.70	13.65	11.87	13.29	110485040	1442102400.00
2016/11/01	12.89	12.95	12.58	12.85	57072060	746265408.00
2016/11/02	12.70	12.83	12.32	12.61	41195881	528187840.00
2016/11/03	12.45	12.96	12.28	12.60	41160707	534713600.00
2016/11/04	12.50	12.80	12.42	12.51	25862948	333400000.00
2016/11/07	12.43	12.73	12.36	12.55	18950035	243515360.00
2016/11/08	12.66	13.35	12.50	12.94	50136640	666370688.00
2016/11/09	12.81	12.83	12.31	12.48	35586630	457390944.00
2016/11/10	12.65	13.76	12.54	13.32	67410677	921483392.00
2016/11/11	13.39	14.50	13.10	13.83	65486438	916364672.00
2016/11/14	13.50	14.88	13.39	14.16	59811375	860297152.00
2016/11/15	13.96	14.16	13.75	13.82	29243076	415657184.00
2016/11/16	13.85	14.24	13.75	13.85	23415491	333102432.00
2016/11/17	13.73	13.74	13.32	13.63	23672953	326323520.00
2016/11/18	13.56	13.61	13.05	13.13	19811930	270314112.00
2016/11/21	13.10	13.68	13.02	13.38	21919931	301072480.00
2016/11/22	13.29	13.60	13.20	13.54	19130376	262344400.00
2016/11/23	13.52	13.90	13.30	13.39	27995414	389620704.00
2016/11/24	13.25	13.38	13.06	13.12	18144739	245220928.00
2016/11/25	13.13	13.35	12.96	13.23	13665968	183675440.00
2016/11/28	13.27	13.44	13.19	13.24	13764675	187160944.00
2016/11/29	13.18	13.20	12.50	12.54	22525567	295741408.00
2016/11/30	12.45	12.51	12.23	12.28	14063998	178188416.00
2016/12/01	12.35	12.46	12.27	12.40	9095619	115178688.00
2016/12/02	12.37	12.39	12.08	12.10	11107359	139063904.00
2016/12/05	11.97	12.18	11.90	12.15	6434846	79611896.00
2016/12/06	12.16	12.33	12.16	12.21	6296500	78999432.00
2016/12/07	12.20	12.37	12.17	12.35	6709668	84409096.00
2016/12/08	12.32	13.05	12.31	12.63	19570657	253333040.00
2016/12/09	12.59	12.85	12.38	12.46	16949375	218366064.00
2016/12/12	12.42	12.58	11.55	11.64	16058088	198882928.00
2016/12/13	11.58	11.67	11.30	11.55	9528359	112711080.00
2016/12/14	11.50	11.66	11.36	11.46	7501629	88726808.00
2016/12/15	11.38	11.61	11.34	11.50	6570502	77574104.00
2016/12/16	11.48	11.55	11.39	11.50	4682847	55199128.00
2016/12/19	11.50	11.50	11.30	11.32	5676527	66325900.00
2016/12/20	11.31	11.35	11.07	11.13	6789774	77902696.00
2016/12/21	11.18	11.33	11.16	11.28	5704133	65902240.00
2016/12/22	11.22	11.30	11.10	11.15	4814386	55163640.00
2016/12/23	11.14	11.16	10.76	10.78	7472100	83884584.00
2016/12/26	10.67	10.88	10.47	10.86	7343018	80456656.00
2016/12/27	10.80	10.86	10.70	10.72	4594671	50862436.00
2016/12/28	10.70	10.78	10.58	10.63	3180198	34912128.00
2016/12/29	10.65	10.81	10.62	10.66	4156186	45756296.00
2016/12/30	10.65	10.79	10.62	10.63	3147890	34561136.00
2017/01/03	10.71	10.84	10.67	10.77	4835267	53508432.00
2017/01/04	10.78	10.83	10.57	10.82	4681733	51778984.00
2017/01/05	10.81	10.86	10.78	10.79	5181943	57638604.00
2017/01/06	10.77	10.83	10.57	10.58	5886786	64509412.00
2017/01/09	10.57	10.58	10.42	10.50	4508607	48704188.00
2017/01/10	10.50	10.52	10.33	10.35	4784974	51366764.00
2017/01/11	10.34	10.46	10.16	10.32	9049652	96295272.00
2017/01/12	10.24	10.39	10.12	10.15	4512698	47591732.00
2017/01/13	10.14	10.16	9.89	9.92	6936301	71524568.00
2017/01/16	9.90	9.91	9.21	9.48	10599969	104557000.00
2017/01/17	9.36	9.54	9.11	9.46	8249612	79591304.00
2017/01/18	9.41	9.44	9.21	9.22	6160100	59169896.00
2017/01/19	9.22	9.29	9.00	9.16	6689833	63305536.00
2017/01/20	9.12	9.52	9.12	9.40	8353929	80677032.00
2017/01/23	9.41	9.51	9.37	9.45	5525129	53864776.00
2017/01/24	9.45	9.52	9.40	9.41	3232908	31508876.00
2017/01/25	9.40	9.46	9.38	9.43	3247097	31576852.00
2017/01/26	9.45	9.59	9.44	9.57	4575080	44974356.00
2017/02/03	9.56	9.57	9.37	9.38	3331448	32427302.00
2017/02/06	9.38	9.65	9.23	9.64	7273448	71343936.00
2017/02/07	9.57	9.79	9.53	9.58	7197208	71635152.00
2017/02/08	9.53	9.97	9.39	9.94	15851282	158830912.00
2017/02/09	9.80	9.96	9.78	9.88	9609717	97846688.00
2017/02/10	9.87	10.84	9.85	10.37	27144280	291555488.00
2017/02/13	10.55	11.44	10.55	11.18	45464325	522818016.00
2017/02/14	11.28	11.44	10.71	11.17	37583791	430814496.00
2017/02/15	11.05	12.32	11.05	11.88	52920428	640830848.00
2017/02/16	11.69	12.50	11.52	12.02	44716831	552799680.00
2017/02/17	11.90	12.30	11.41	11.44	32661307	396453280.00
2017/02/20	11.30	12.61	11.12	12.61	50754093	635317248.00
2017/02/21	13.47	13.80	12.43	12.70	64120544	854592320.00
2017/02/22	12.26	12.45	11.94	12.15	37549773	468090880.00
2017/02/23	12.13	12.29	11.90	11.99	22887691	282958784.00
2017/02/24	11.99	12.55	11.91	12.37	26546026	331435424.00
2017/02/27	12.20	12.57	11.85	12.25	29465967	369324288.00
2017/02/28	12.19	13.51	12.15	13.51	24960948	338071232.00
2017/03/01	14.10	14.58	13.37	13.56	78584814	1125070336.00
2017/03/02	13.61	14.55	13.55	14.17	66685366	954602304.00
2017/03/03	13.87	13.97	13.36	13.48	38175823	534604000.00
2017/03/06	13.30	14.86	13.11	14.11	42371384	608532032.00
2017/03/07	13.90	14.55	13.82	14.36	41496298	605148608.00
2017/03/08	14.15	14.69	14.00	14.22	36415464	530964672.00
2017/03/09	14.10	14.55	14.01	14.19	29261900	426424576.00
2017/03/10	14.05	14.20	13.53	13.63	27245417	383578784.00
2017/03/13	13.68	13.79	13.37	13.62	15320800	212666784.00
2017/03/14	13.62	13.75	13.41	13.51	15745267	217767104.00
2017/03/15	13.56	13.74	13.40	13.47	14386435	199074768.00
2017/03/16	13.45	14.60	13.45	14.17	41592501	600020544.00
2017/03/17	14.02	14.07	13.34	13.36	33934022	474922368.00
2017/03/20	13.26	13.59	13.05	13.28	18176769	246834736.00
2017/03/21	13.20	13.20	12.91	13.04	13678553	182566288.00
2017/03/22	12.98	13.02	12.62	12.81	14193584	186045184.00
2017/03/23	12.88	13.06	12.64	12.91	14255670	188016384.00
2017/03/24	12.89	12.89	12.62	12.77	10333356	134443136.00
2017/03/27	12.78	13.14	12.63	12.90	12241396	161446096.00
2017/03/28	12.86	13.05	12.80	12.97	9677802	127974408.00
2017/03/29	12.96	13.00	12.42	12.43	13017800	168521472.00
2017/03/30	12.35	12.65	11.95	12.44	16966864	212889920.00
2017/03/31	12.42	13.71	12.23	13.71	67076737	926206144.00
2017/04/05	13.09	13.36	12.63	13.03	53728115	711893888.00
2017/04/06	12.79	12.94	12.71	12.85	18938121	248459024.00
2017/04/07	12.80	13.08	12.74	12.77	18444062	243492592.00
2017/04/10	12.57	13.30	12.29	13.08	36644161	484280608.00
2017/04/11	13.01	14.42	12.85	14.20	77347954	1104145152.00
